#                mSDM             lambdahs              omegah2               sigmav               con_tt               con_hh               con_zz               con_ww               con_bb             con_tata               con_cc               con_gg               con_aa 
                    5       0.892272869065                 0.12             2.17e-26                  0.0                  0.0                  0.0                  0.0                0.326                0.364                  0.3              0.00942             5.48e-05 
                    6       0.566108014946                 0.12             2.23e-26                  0.0                  0.0                  0.0                  0.0                0.728                0.153                0.114              0.00489             3.18e-05 
                    7       0.468880827632                 0.12             2.23e-26                  0.0                  0.0                  0.0                  0.0                0.809                 0.11               0.0765              0.00428             3.22e-05 
                    8       0.422920268625                 0.12             2.19e-26                  0.0                  0.0                  0.0                  0.0                 0.84               0.0936               0.0617              0.00438             3.74e-05 
                   10        0.38321493248                 0.12             2.16e-26                  0.0                  0.0                  0.0                  0.0                0.863               0.0816               0.0495              0.00527             5.38e-05 
                   12       0.364633813862                 0.12             2.13e-26                  0.0                  0.0                  0.0                  0.0                0.871               0.0778               0.0445               0.0066              7.6e-05 
                   15       0.348890337166                 0.12              2.1e-26                  0.0                  0.0                  0.0                  0.0                0.874               0.0764               0.0408              0.00916             0.000119 
                   20       0.326237941322                0.122             2.03e-26                  0.0                  0.0                  0.0                  0.0                 0.87               0.0771               0.0381               0.0146             0.000219 
                   25       0.307641509304                 0.12             2.03e-26                  0.0                  0.0                  0.0                  0.0                0.863               0.0786               0.0367               0.0215             0.000355 
                   30       0.282079485371                 0.12                2e-26                  0.0                  0.0                  0.0                  0.0                0.854                 0.08               0.0358               0.0296             0.000533 
                   35        0.25118544503                 0.12             1.97e-26                  0.0                  0.0                  0.0                  0.0                0.844               0.0812                0.035               0.0389             0.000756 
                   40       0.214229543758                 0.12             1.91e-26                  0.0                  0.0                  0.0                  0.0                0.833                0.082               0.0343               0.0493              0.00103 
                   45       0.170226218713                0.119              1.8e-26                  0.0                  0.0                  0.0                  0.0                0.821               0.0826               0.0337               0.0608              0.00137 
                 47.5       0.130823757158                 0.12             1.38e-26                  0.0                  0.0                  0.0                  0.0                0.815               0.0828               0.0334                0.067              0.00157 
                   50      0.0661299223163                 0.12              4.9e-27                  0.0                  0.0                  0.0               0.0111                  0.8                0.082               0.0327               0.0726              0.00177 
                 52.5       0.020852657566                0.119             7.36e-28                  0.0                  0.0                  0.0               0.0243                0.783               0.0809                0.032               0.0781              0.00199 
                   55     0.00619584268991                 0.12             1.13e-28                  0.0                  0.0                  0.0                0.048                0.757               0.0789               0.0309               0.0828               0.0022 
                 57.5     0.00194097967352                 0.12              2.5e-29                  0.0                  0.0              0.00795               0.0856                0.715               0.0751               0.0292               0.0853              0.00237 
                 60.0     0.00064856857442                 0.12             1.13e-29                  0.0                  0.0               0.0147                 0.14                 0.66               0.0699               0.0269               0.0857               0.0025 
                 61.0     0.00041499483686                 0.12             1.29e-29                  0.0                  0.0               0.0182                0.167                0.634               0.0673               0.0258                0.085              0.00254 
                 62.0     0.00025550497614                 0.12             4.02e-29                  0.0                  0.0               0.0223                0.197                0.605               0.0645               0.0247               0.0839              0.00256 
                 62.3     0.00021265178705                 0.12             1.39e-28                  0.0                  0.0               0.0236                0.207                0.596               0.0636               0.0243               0.0834              0.00256 
                 62.5     0.00019296893792                 0.12             3.42e-27                  0.0                  0.0               0.0245                0.213                 0.59                0.063                0.024               0.0831              0.00256 
                62.52     0.00019836826849                0.119             1.17e-26                  0.0                  0.0               0.0246                0.214                0.589               0.0629                0.024               0.0831              0.00256 
                62.54     0.00022523828573                 0.12              3.8e-25                  0.0                  0.0               0.0247                0.214                0.589               0.0628                0.024                0.083              0.00256 
