Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
9.999500e+03 1.963955e-18 
9.999000e+03 1.963361e-18 
9.998500e+03 1.962768e-18 
9.998000e+03 1.962175e-18 
9.997500e+03 1.961582e-18 
9.997000e+03 1.960990e-18 
9.996500e+03 1.960397e-18 
9.996000e+03 1.959805e-18 
9.995500e+03 1.959212e-18 
9.995000e+03 1.958620e-18 
9.994500e+03 1.958028e-18 
9.994000e+03 1.957437e-18 
9.993500e+03 1.956845e-18 
9.993000e+03 1.956253e-18 
9.992500e+03 1.955662e-18 
9.992000e+03 1.955071e-18 
9.991500e+03 1.954480e-18 
9.991000e+03 1.953889e-18 
9.990500e+03 1.953298e-18 
9.990000e+03 1.952708e-18 
9.989500e+03 1.952117e-18 
9.989000e+03 1.951527e-18 
9.988500e+03 1.950937e-18 
9.988000e+03 1.950347e-18 
9.987500e+03 1.949757e-18 
9.987000e+03 1.949167e-18 
9.986500e+03 1.948578e-18 
9.986000e+03 1.947988e-18 
9.985500e+03 1.947399e-18 
9.985000e+03 1.946810e-18 
9.984500e+03 1.946221e-18 
9.984000e+03 1.945632e-18 
9.983500e+03 1.945043e-18 
9.983000e+03 1.944455e-18 
9.982500e+03 1.943866e-18 
9.982000e+03 1.943278e-18 
9.981500e+03 1.942690e-18 
9.981000e+03 1.942102e-18 
9.980500e+03 1.941514e-18 
9.980000e+03 1.940927e-18 
9.979500e+03 1.940339e-18 
9.979000e+03 1.939752e-18 
9.978500e+03 1.939165e-18 
9.978000e+03 1.938578e-18 
9.977500e+03 1.937991e-18 
9.977000e+03 1.937404e-18 
9.976500e+03 1.936817e-18 
9.976000e+03 1.936231e-18 
9.975500e+03 1.935645e-18 
9.975000e+03 1.935059e-18 
9.974500e+03 1.934473e-18 
9.974000e+03 1.933887e-18 
9.973500e+03 1.933301e-18 
9.973000e+03 1.932715e-18 
9.972500e+03 1.932130e-18 
9.972000e+03 1.931545e-18 
9.971500e+03 1.930960e-18 
9.971000e+03 1.930375e-18 
9.970500e+03 1.929790e-18 
9.970000e+03 1.929205e-18 
9.969500e+03 1.928621e-18 
9.969000e+03 1.928036e-18 
9.968500e+03 1.927452e-18 
9.968000e+03 1.926868e-18 
9.967500e+03 1.926284e-18 
9.967000e+03 1.925700e-18 
9.966500e+03 1.925117e-18 
9.966000e+03 1.924533e-18 
9.965500e+03 1.923950e-18 
9.965000e+03 1.923366e-18 
9.964500e+03 1.922783e-18 
9.964000e+03 1.922201e-18 
9.963500e+03 1.921618e-18 
9.963000e+03 1.921035e-18 
9.962500e+03 1.920453e-18 
9.962000e+03 1.919870e-18 
9.961500e+03 1.919288e-18 
9.961000e+03 1.918706e-18 
9.960500e+03 1.918124e-18 
9.960000e+03 1.917543e-18 
9.959500e+03 1.916961e-18 
9.959000e+03 1.916380e-18 
9.958500e+03 1.915798e-18 
9.958000e+03 1.915217e-18 
9.957500e+03 1.914636e-18 
9.957000e+03 1.914055e-18 
9.956500e+03 1.913475e-18 
9.956000e+03 1.912894e-18 
9.955500e+03 1.912314e-18 
9.955000e+03 1.911733e-18 
9.954500e+03 1.911153e-18 
9.954000e+03 1.910573e-18 
9.953500e+03 1.909993e-18 
9.953000e+03 1.909414e-18 
9.952500e+03 1.908834e-18 
9.952000e+03 1.908255e-18 
9.951500e+03 1.907676e-18 
9.951000e+03 1.907097e-18 
9.950500e+03 1.906518e-18 
9.950000e+03 1.905939e-18 
9.949500e+03 1.905360e-18 
9.949000e+03 1.904782e-18 
9.948500e+03 1.904203e-18 
9.948000e+03 1.903625e-18 
9.947500e+03 1.903047e-18 
9.947000e+03 1.902469e-18 
9.946500e+03 1.901891e-18 
9.946000e+03 1.901314e-18 
9.945500e+03 1.900736e-18 
9.945000e+03 1.900159e-18 
9.944500e+03 1.899582e-18 
9.944000e+03 1.899005e-18 
9.943500e+03 1.898428e-18 
9.943000e+03 1.897851e-18 
9.942500e+03 1.897274e-18 
9.942000e+03 1.896698e-18 
9.941500e+03 1.896122e-18 
9.941000e+03 1.895545e-18 
9.940500e+03 1.894969e-18 
9.940000e+03 1.894394e-18 
9.939500e+03 1.893818e-18 
9.939000e+03 1.893242e-18 
9.938500e+03 1.892667e-18 
9.938000e+03 1.892092e-18 
9.937500e+03 1.891516e-18 
9.937000e+03 1.890941e-18 
9.936500e+03 1.890367e-18 
9.936000e+03 1.889792e-18 
9.935500e+03 1.889217e-18 
9.935000e+03 1.888643e-18 
9.934500e+03 1.888069e-18 
9.934000e+03 1.887495e-18 
9.933500e+03 1.886921e-18 
9.933000e+03 1.886347e-18 
9.932500e+03 1.885773e-18 
9.932000e+03 1.885199e-18 
9.931500e+03 1.884626e-18 
9.931000e+03 1.884053e-18 
9.930500e+03 1.883480e-18 
9.930000e+03 1.882907e-18 
9.929500e+03 1.882334e-18 
9.929000e+03 1.881761e-18 
9.928500e+03 1.881189e-18 
9.928000e+03 1.880616e-18 
9.927500e+03 1.880044e-18 
9.927000e+03 1.879472e-18 
9.926500e+03 1.878900e-18 
9.926000e+03 1.878328e-18 
9.925500e+03 1.877757e-18 
9.925000e+03 1.877185e-18 
9.924500e+03 1.876614e-18 
9.924000e+03 1.876043e-18 
9.923500e+03 1.875471e-18 
9.923000e+03 1.874901e-18 
9.922500e+03 1.874330e-18 
9.922000e+03 1.873759e-18 
9.921500e+03 1.873189e-18 
9.921000e+03 1.872618e-18 
9.920500e+03 1.872048e-18 
9.920000e+03 1.871478e-18 
9.919500e+03 1.870908e-18 
9.919000e+03 1.870338e-18 
9.918500e+03 1.869769e-18 
9.918000e+03 1.869199e-18 
9.917500e+03 1.868630e-18 
9.917000e+03 1.868061e-18 
9.916500e+03 1.867492e-18 
9.916000e+03 1.866923e-18 
9.915500e+03 1.866354e-18 
9.915000e+03 1.865785e-18 
9.914500e+03 1.865217e-18 
9.914000e+03 1.864648e-18 
9.913500e+03 1.864080e-18 
9.913000e+03 1.863512e-18 
9.912500e+03 1.862944e-18 
9.912000e+03 1.862377e-18 
9.911500e+03 1.861809e-18 
9.911000e+03 1.861242e-18 
9.910500e+03 1.860674e-18 
9.910000e+03 1.860107e-18 
9.909500e+03 1.859540e-18 
9.909000e+03 1.858973e-18 
9.908500e+03 1.858406e-18 
9.908000e+03 1.857840e-18 
9.907500e+03 1.857273e-18 
9.907000e+03 1.856707e-18 
9.906500e+03 1.856141e-18 
9.906000e+03 1.855575e-18 
9.905500e+03 1.855009e-18 
9.905000e+03 1.854443e-18 
9.904500e+03 1.853878e-18 
9.904000e+03 1.853312e-18 
9.903500e+03 1.852747e-18 
9.903000e+03 1.852182e-18 
9.902500e+03 1.851617e-18 
9.902000e+03 1.851052e-18 
9.901500e+03 1.850487e-18 
9.901000e+03 1.849923e-18 
9.900500e+03 1.849358e-18 
9.900000e+03 1.848794e-18 
9.899500e+03 1.848230e-18 
9.899000e+03 1.847666e-18 
9.898500e+03 1.847102e-18 
9.898000e+03 1.846538e-18 
9.897500e+03 1.845974e-18 
9.897000e+03 1.845411e-18 
9.896500e+03 1.844848e-18 
9.896000e+03 1.844285e-18 
9.895500e+03 1.843722e-18 
9.895000e+03 1.843159e-18 
9.894500e+03 1.842596e-18 
9.894000e+03 1.842033e-18 
9.893500e+03 1.841471e-18 
9.893000e+03 1.840909e-18 
9.892500e+03 1.840346e-18 
9.892000e+03 1.839784e-18 
9.891500e+03 1.839223e-18 
9.891000e+03 1.838661e-18 
9.890500e+03 1.838099e-18 
9.890000e+03 1.837538e-18 
9.889500e+03 1.836977e-18 
9.889000e+03 1.836415e-18 
9.888500e+03 1.835854e-18 
9.888000e+03 1.835294e-18 
9.887500e+03 1.834733e-18 
9.887000e+03 1.834172e-18 
9.886500e+03 1.833612e-18 
9.886000e+03 1.833052e-18 
9.885500e+03 1.832491e-18 
9.885000e+03 1.831931e-18 
9.884500e+03 1.831371e-18 
9.884000e+03 1.830812e-18 
9.883500e+03 1.830252e-18 
9.883000e+03 1.829693e-18 
9.882500e+03 1.829133e-18 
9.882000e+03 1.828574e-18 
9.881500e+03 1.828015e-18 
9.881000e+03 1.827456e-18 
9.880500e+03 1.826898e-18 
9.880000e+03 1.826339e-18 
9.879500e+03 1.825781e-18 
9.879000e+03 1.825222e-18 
9.878500e+03 1.824664e-18 
9.878000e+03 1.824106e-18 
9.877500e+03 1.823548e-18 
9.877000e+03 1.822991e-18 
9.876500e+03 1.822433e-18 
9.876000e+03 1.821876e-18 
9.875500e+03 1.821318e-18 
9.875000e+03 1.820761e-18 
9.874500e+03 1.820204e-18 
9.874000e+03 1.819647e-18 
9.873500e+03 1.819090e-18 
9.873000e+03 1.818534e-18 
9.872500e+03 1.817977e-18 
9.872000e+03 1.817421e-18 
9.871500e+03 1.816865e-18 
9.871000e+03 1.816309e-18 
9.870500e+03 1.815753e-18 
9.870000e+03 1.815197e-18 
9.869500e+03 1.814642e-18 
9.869000e+03 1.814086e-18 
9.868500e+03 1.813531e-18 
9.868000e+03 1.812976e-18 
9.867500e+03 1.812421e-18 
9.867000e+03 1.811866e-18 
9.866500e+03 1.811311e-18 
9.866000e+03 1.810756e-18 
9.865500e+03 1.810202e-18 
9.865000e+03 1.809648e-18 
9.864500e+03 1.809093e-18 
9.864000e+03 1.808539e-18 
9.863500e+03 1.807986e-18 
9.863000e+03 1.807432e-18 
9.862500e+03 1.806878e-18 
9.862000e+03 1.806325e-18 
9.861500e+03 1.805771e-18 
9.861000e+03 1.805218e-18 
9.860500e+03 1.804665e-18 
9.860000e+03 1.804112e-18 
9.859500e+03 1.803559e-18 
9.859000e+03 1.803007e-18 
9.858500e+03 1.802454e-18 
9.858000e+03 1.801902e-18 
9.857500e+03 1.801350e-18 
9.857000e+03 1.800798e-18 
9.856500e+03 1.800246e-18 
9.856000e+03 1.799694e-18 
9.855500e+03 1.799142e-18 
9.855000e+03 1.798591e-18 
9.854500e+03 1.798039e-18 
9.854000e+03 1.797488e-18 
9.853500e+03 1.796937e-18 
9.853000e+03 1.796386e-18 
9.852500e+03 1.795835e-18 
9.852000e+03 1.795285e-18 
9.851500e+03 1.794734e-18 
9.851000e+03 1.794184e-18 
9.850500e+03 1.793634e-18 
9.850000e+03 1.793083e-18 
