Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
9.999500e+03 3.217192e-18 
9.999000e+03 3.216210e-18 
9.998500e+03 3.215229e-18 
9.998000e+03 3.214247e-18 
9.997500e+03 3.213266e-18 
9.997000e+03 3.212285e-18 
9.996500e+03 3.211304e-18 
9.996000e+03 3.210323e-18 
9.995500e+03 3.209343e-18 
9.995000e+03 3.208363e-18 
9.994500e+03 3.207383e-18 
9.994000e+03 3.206403e-18 
9.993500e+03 3.205424e-18 
9.993000e+03 3.204445e-18 
9.992500e+03 3.203466e-18 
9.992000e+03 3.202487e-18 
9.991500e+03 3.201509e-18 
9.991000e+03 3.200531e-18 
9.990500e+03 3.199553e-18 
9.990000e+03 3.198576e-18 
9.989500e+03 3.197598e-18 
9.989000e+03 3.196621e-18 
9.988500e+03 3.195644e-18 
9.988000e+03 3.194668e-18 
9.987500e+03 3.193691e-18 
9.987000e+03 3.192715e-18 
9.986500e+03 3.191739e-18 
9.986000e+03 3.190764e-18 
9.985500e+03 3.189789e-18 
9.985000e+03 3.188813e-18 
9.984500e+03 3.187839e-18 
9.984000e+03 3.186864e-18 
9.983500e+03 3.185890e-18 
9.983000e+03 3.184916e-18 
9.982500e+03 3.183942e-18 
9.982000e+03 3.182968e-18 
9.981500e+03 3.181995e-18 
9.981000e+03 3.181022e-18 
9.980500e+03 3.180049e-18 
9.980000e+03 3.179076e-18 
9.979500e+03 3.178104e-18 
9.979000e+03 3.177132e-18 
9.978500e+03 3.176160e-18 
9.978000e+03 3.175188e-18 
9.977500e+03 3.174217e-18 
9.977000e+03 3.173246e-18 
9.976500e+03 3.172275e-18 
9.976000e+03 3.171304e-18 
9.975500e+03 3.170334e-18 
9.975000e+03 3.169364e-18 
9.974500e+03 3.168394e-18 
9.974000e+03 3.167424e-18 
9.973500e+03 3.166455e-18 
9.973000e+03 3.165486e-18 
9.972500e+03 3.164517e-18 
9.972000e+03 3.163548e-18 
9.971500e+03 3.162580e-18 
9.971000e+03 3.161612e-18 
9.970500e+03 3.160644e-18 
9.970000e+03 3.159676e-18 
9.969500e+03 3.158709e-18 
9.969000e+03 3.157742e-18 
9.968500e+03 3.156775e-18 
9.968000e+03 3.155808e-18 
9.967500e+03 3.154842e-18 
9.967000e+03 3.153876e-18 
9.966500e+03 3.152910e-18 
9.966000e+03 3.151944e-18 
9.965500e+03 3.150979e-18 
9.965000e+03 3.150014e-18 
9.964500e+03 3.149049e-18 
9.964000e+03 3.148084e-18 
9.963500e+03 3.147120e-18 
9.963000e+03 3.146155e-18 
9.962500e+03 3.145192e-18 
9.962000e+03 3.144228e-18 
9.961500e+03 3.143264e-18 
9.961000e+03 3.142301e-18 
9.960500e+03 3.141338e-18 
9.960000e+03 3.140376e-18 
9.959500e+03 3.139413e-18 
9.959000e+03 3.138451e-18 
9.958500e+03 3.137489e-18 
9.958000e+03 3.136527e-18 
9.957500e+03 3.135566e-18 
9.957000e+03 3.134605e-18 
9.956500e+03 3.133644e-18 
9.956000e+03 3.132683e-18 
9.955500e+03 3.131722e-18 
9.955000e+03 3.130762e-18 
9.954500e+03 3.129802e-18 
9.954000e+03 3.128842e-18 
9.953500e+03 3.127883e-18 
9.953000e+03 3.126924e-18 
9.952500e+03 3.125965e-18 
9.952000e+03 3.125006e-18 
9.951500e+03 3.124047e-18 
9.951000e+03 3.123089e-18 
9.950500e+03 3.122131e-18 
9.950000e+03 3.121173e-18 
9.949500e+03 3.120216e-18 
9.949000e+03 3.119259e-18 
9.948500e+03 3.118302e-18 
9.948000e+03 3.117345e-18 
9.947500e+03 3.116388e-18 
9.947000e+03 3.115432e-18 
9.946500e+03 3.114476e-18 
9.946000e+03 3.113520e-18 
9.945500e+03 3.112565e-18 
9.945000e+03 3.111609e-18 
9.944500e+03 3.110654e-18 
9.944000e+03 3.109699e-18 
9.943500e+03 3.108745e-18 
9.943000e+03 3.107790e-18 
9.942500e+03 3.106836e-18 
9.942000e+03 3.105882e-18 
9.941500e+03 3.104929e-18 
9.941000e+03 3.103975e-18 
9.940500e+03 3.103022e-18 
9.940000e+03 3.102069e-18 
9.939500e+03 3.101117e-18 
9.939000e+03 3.100164e-18 
9.938500e+03 3.099212e-18 
9.938000e+03 3.098260e-18 
9.937500e+03 3.097309e-18 
9.937000e+03 3.096357e-18 
9.936500e+03 3.095406e-18 
9.936000e+03 3.094455e-18 
9.935500e+03 3.093505e-18 
9.935000e+03 3.092554e-18 
9.934500e+03 3.091604e-18 
9.934000e+03 3.090654e-18 
9.933500e+03 3.089704e-18 
9.933000e+03 3.088755e-18 
9.932500e+03 3.087806e-18 
9.932000e+03 3.086857e-18 
9.931500e+03 3.085908e-18 
9.931000e+03 3.084960e-18 
9.930500e+03 3.084011e-18 
9.930000e+03 3.083063e-18 
9.929500e+03 3.082116e-18 
9.929000e+03 3.081168e-18 
9.928500e+03 3.080221e-18 
9.928000e+03 3.079274e-18 
9.927500e+03 3.078327e-18 
9.927000e+03 3.077381e-18 
9.926500e+03 3.076434e-18 
9.926000e+03 3.075488e-18 
9.925500e+03 3.074543e-18 
9.925000e+03 3.073597e-18 
9.924500e+03 3.072652e-18 
9.924000e+03 3.071707e-18 
9.923500e+03 3.070762e-18 
9.923000e+03 3.069817e-18 
9.922500e+03 3.068873e-18 
9.922000e+03 3.067929e-18 
9.921500e+03 3.066985e-18 
9.921000e+03 3.066041e-18 
9.920500e+03 3.065098e-18 
9.920000e+03 3.064155e-18 
9.919500e+03 3.063212e-18 
9.919000e+03 3.062269e-18 
9.918500e+03 3.061327e-18 
9.918000e+03 3.060385e-18 
9.917500e+03 3.059443e-18 
9.917000e+03 3.058501e-18 
9.916500e+03 3.057560e-18 
9.916000e+03 3.056619e-18 
9.915500e+03 3.055678e-18 
9.915000e+03 3.054737e-18 
9.914500e+03 3.053796e-18 
9.914000e+03 3.052856e-18 
9.913500e+03 3.051916e-18 
9.913000e+03 3.050977e-18 
9.912500e+03 3.050037e-18 
9.912000e+03 3.049098e-18 
9.911500e+03 3.048159e-18 
9.911000e+03 3.047220e-18 
9.910500e+03 3.046281e-18 
9.910000e+03 3.045343e-18 
9.909500e+03 3.044405e-18 
9.909000e+03 3.043467e-18 
9.908500e+03 3.042530e-18 
9.908000e+03 3.041592e-18 
9.907500e+03 3.040655e-18 
9.907000e+03 3.039719e-18 
9.906500e+03 3.038782e-18 
9.906000e+03 3.037846e-18 
9.905500e+03 3.036910e-18 
9.905000e+03 3.035974e-18 
9.904500e+03 3.035038e-18 
9.904000e+03 3.034103e-18 
9.903500e+03 3.033168e-18 
9.903000e+03 3.032233e-18 
9.902500e+03 3.031298e-18 
9.902000e+03 3.030364e-18 
9.901500e+03 3.029429e-18 
9.901000e+03 3.028495e-18 
9.900500e+03 3.027562e-18 
9.900000e+03 3.026628e-18 
9.899500e+03 3.025695e-18 
9.899000e+03 3.024762e-18 
9.898500e+03 3.023829e-18 
9.898000e+03 3.022897e-18 
9.897500e+03 3.021965e-18 
9.897000e+03 3.021033e-18 
9.896500e+03 3.020101e-18 
9.896000e+03 3.019169e-18 
9.895500e+03 3.018238e-18 
9.895000e+03 3.017307e-18 
9.894500e+03 3.016376e-18 
9.894000e+03 3.015445e-18 
9.893500e+03 3.014515e-18 
9.893000e+03 3.013585e-18 
9.892500e+03 3.012655e-18 
9.892000e+03 3.011726e-18 
9.891500e+03 3.010796e-18 
9.891000e+03 3.009867e-18 
9.890500e+03 3.008938e-18 
9.890000e+03 3.008010e-18 
9.889500e+03 3.007081e-18 
9.889000e+03 3.006153e-18 
9.888500e+03 3.005225e-18 
9.888000e+03 3.004297e-18 
9.887500e+03 3.003370e-18 
9.887000e+03 3.002443e-18 
9.886500e+03 3.001516e-18 
9.886000e+03 3.000589e-18 
9.885500e+03 2.999662e-18 
9.885000e+03 2.998736e-18 
9.884500e+03 2.997810e-18 
9.884000e+03 2.996884e-18 
9.883500e+03 2.995959e-18 
9.883000e+03 2.995033e-18 
9.882500e+03 2.994108e-18 
9.882000e+03 2.993184e-18 
9.881500e+03 2.992259e-18 
9.881000e+03 2.991335e-18 
9.880500e+03 2.990411e-18 
9.880000e+03 2.989487e-18 
9.879500e+03 2.988563e-18 
9.879000e+03 2.987640e-18 
9.878500e+03 2.986716e-18 
9.878000e+03 2.985794e-18 
9.877500e+03 2.984871e-18 
9.877000e+03 2.983948e-18 
9.876500e+03 2.983026e-18 
9.876000e+03 2.982104e-18 
9.875500e+03 2.981182e-18 
9.875000e+03 2.980261e-18 
9.874500e+03 2.979340e-18 
9.874000e+03 2.978419e-18 
9.873500e+03 2.977498e-18 
9.873000e+03 2.976577e-18 
9.872500e+03 2.975657e-18 
9.872000e+03 2.974737e-18 
9.871500e+03 2.973817e-18 
9.871000e+03 2.972898e-18 
9.870500e+03 2.971978e-18 
9.870000e+03 2.971059e-18 
9.869500e+03 2.970140e-18 
9.869000e+03 2.969222e-18 
9.868500e+03 2.968303e-18 
9.868000e+03 2.967385e-18 
9.867500e+03 2.966467e-18 
9.867000e+03 2.965550e-18 
9.866500e+03 2.964632e-18 
9.866000e+03 2.963715e-18 
9.865500e+03 2.962798e-18 
9.865000e+03 2.961881e-18 
9.864500e+03 2.960965e-18 
9.864000e+03 2.960048e-18 
9.863500e+03 2.959132e-18 
9.863000e+03 2.958217e-18 
9.862500e+03 2.957301e-18 
9.862000e+03 2.956386e-18 
9.861500e+03 2.955471e-18 
9.861000e+03 2.954556e-18 
9.860500e+03 2.953641e-18 
9.860000e+03 2.952727e-18 
9.859500e+03 2.951813e-18 
9.859000e+03 2.950899e-18 
9.858500e+03 2.949985e-18 
9.858000e+03 2.949072e-18 
9.857500e+03 2.948158e-18 
9.857000e+03 2.947246e-18 
9.856500e+03 2.946333e-18 
9.856000e+03 2.945420e-18 
9.855500e+03 2.944508e-18 
9.855000e+03 2.943596e-18 
9.854500e+03 2.942684e-18 
9.854000e+03 2.941773e-18 
9.853500e+03 2.940862e-18 
9.853000e+03 2.939950e-18 
9.852500e+03 2.939040e-18 
9.852000e+03 2.938129e-18 
9.851500e+03 2.937219e-18 
9.851000e+03 2.936309e-18 
9.850500e+03 2.935399e-18 
9.850000e+03 2.934489e-18 
