Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
9.999500e+03 2.224643e-18 
9.999000e+03 2.223971e-18 
9.998500e+03 2.223299e-18 
9.998000e+03 2.222628e-18 
9.997500e+03 2.221956e-18 
9.997000e+03 2.221285e-18 
9.996500e+03 2.220614e-18 
9.996000e+03 2.219943e-18 
9.995500e+03 2.219272e-18 
9.995000e+03 2.218602e-18 
9.994500e+03 2.217931e-18 
9.994000e+03 2.217261e-18 
9.993500e+03 2.216591e-18 
9.993000e+03 2.215921e-18 
9.992500e+03 2.215251e-18 
9.992000e+03 2.214582e-18 
9.991500e+03 2.213912e-18 
9.991000e+03 2.213243e-18 
9.990500e+03 2.212574e-18 
9.990000e+03 2.211905e-18 
9.989500e+03 2.211236e-18 
9.989000e+03 2.210568e-18 
9.988500e+03 2.209899e-18 
9.988000e+03 2.209231e-18 
9.987500e+03 2.208563e-18 
9.987000e+03 2.207895e-18 
9.986500e+03 2.207227e-18 
9.986000e+03 2.206560e-18 
9.985500e+03 2.205892e-18 
9.985000e+03 2.205225e-18 
9.984500e+03 2.204558e-18 
9.984000e+03 2.203891e-18 
9.983500e+03 2.203224e-18 
9.983000e+03 2.202558e-18 
9.982500e+03 2.201891e-18 
9.982000e+03 2.201225e-18 
9.981500e+03 2.200559e-18 
9.981000e+03 2.199893e-18 
9.980500e+03 2.199228e-18 
9.980000e+03 2.198562e-18 
9.979500e+03 2.197897e-18 
9.979000e+03 2.197232e-18 
9.978500e+03 2.196566e-18 
9.978000e+03 2.195902e-18 
9.977500e+03 2.195237e-18 
9.977000e+03 2.194572e-18 
9.976500e+03 2.193908e-18 
9.976000e+03 2.193244e-18 
9.975500e+03 2.192580e-18 
9.975000e+03 2.191916e-18 
9.974500e+03 2.191252e-18 
9.974000e+03 2.190589e-18 
9.973500e+03 2.189925e-18 
9.973000e+03 2.189262e-18 
9.972500e+03 2.188599e-18 
9.972000e+03 2.187936e-18 
9.971500e+03 2.187274e-18 
9.971000e+03 2.186611e-18 
9.970500e+03 2.185949e-18 
9.970000e+03 2.185286e-18 
9.969500e+03 2.184624e-18 
9.969000e+03 2.183963e-18 
9.968500e+03 2.183301e-18 
9.968000e+03 2.182639e-18 
9.967500e+03 2.181978e-18 
9.967000e+03 2.181317e-18 
9.966500e+03 2.180656e-18 
9.966000e+03 2.179995e-18 
9.965500e+03 2.179334e-18 
9.965000e+03 2.178674e-18 
9.964500e+03 2.178013e-18 
9.964000e+03 2.177353e-18 
9.963500e+03 2.176693e-18 
9.963000e+03 2.176033e-18 
9.962500e+03 2.175374e-18 
9.962000e+03 2.174714e-18 
9.961500e+03 2.174055e-18 
9.961000e+03 2.173396e-18 
9.960500e+03 2.172736e-18 
9.960000e+03 2.172078e-18 
9.959500e+03 2.171419e-18 
9.959000e+03 2.170760e-18 
9.958500e+03 2.170102e-18 
9.958000e+03 2.169444e-18 
9.957500e+03 2.168786e-18 
9.957000e+03 2.168128e-18 
9.956500e+03 2.167470e-18 
9.956000e+03 2.166813e-18 
9.955500e+03 2.166155e-18 
9.955000e+03 2.165498e-18 
9.954500e+03 2.164841e-18 
9.954000e+03 2.164184e-18 
9.953500e+03 2.163528e-18 
9.953000e+03 2.162871e-18 
9.952500e+03 2.162215e-18 
9.952000e+03 2.161559e-18 
9.951500e+03 2.160903e-18 
9.951000e+03 2.160247e-18 
9.950500e+03 2.159591e-18 
9.950000e+03 2.158935e-18 
9.949500e+03 2.158280e-18 
9.949000e+03 2.157625e-18 
9.948500e+03 2.156970e-18 
9.948000e+03 2.156315e-18 
9.947500e+03 2.155660e-18 
9.947000e+03 2.155006e-18 
9.946500e+03 2.154351e-18 
9.946000e+03 2.153697e-18 
9.945500e+03 2.153043e-18 
9.945000e+03 2.152389e-18 
9.944500e+03 2.151736e-18 
9.944000e+03 2.151082e-18 
9.943500e+03 2.150429e-18 
9.943000e+03 2.149775e-18 
9.942500e+03 2.149122e-18 
9.942000e+03 2.148469e-18 
9.941500e+03 2.147817e-18 
9.941000e+03 2.147164e-18 
9.940500e+03 2.146512e-18 
9.940000e+03 2.145860e-18 
9.939500e+03 2.145208e-18 
9.939000e+03 2.144556e-18 
9.938500e+03 2.143904e-18 
9.938000e+03 2.143252e-18 
9.937500e+03 2.142601e-18 
9.937000e+03 2.141950e-18 
9.936500e+03 2.141299e-18 
9.936000e+03 2.140648e-18 
9.935500e+03 2.139997e-18 
9.935000e+03 2.139346e-18 
9.934500e+03 2.138696e-18 
9.934000e+03 2.138046e-18 
9.933500e+03 2.137396e-18 
9.933000e+03 2.136746e-18 
9.932500e+03 2.136096e-18 
9.932000e+03 2.135446e-18 
9.931500e+03 2.134797e-18 
9.931000e+03 2.134148e-18 
9.930500e+03 2.133499e-18 
9.930000e+03 2.132850e-18 
9.929500e+03 2.132201e-18 
9.929000e+03 2.131552e-18 
9.928500e+03 2.130904e-18 
9.928000e+03 2.130256e-18 
9.927500e+03 2.129608e-18 
9.927000e+03 2.128960e-18 
9.926500e+03 2.128312e-18 
9.926000e+03 2.127664e-18 
9.925500e+03 2.127017e-18 
9.925000e+03 2.126370e-18 
9.924500e+03 2.125722e-18 
9.924000e+03 2.125075e-18 
9.923500e+03 2.124429e-18 
9.923000e+03 2.123782e-18 
9.922500e+03 2.123136e-18 
9.922000e+03 2.122489e-18 
9.921500e+03 2.121843e-18 
9.921000e+03 2.121197e-18 
9.920500e+03 2.120551e-18 
9.920000e+03 2.119906e-18 
9.919500e+03 2.119260e-18 
9.919000e+03 2.118615e-18 
9.918500e+03 2.117970e-18 
9.918000e+03 2.117325e-18 
9.917500e+03 2.116680e-18 
9.917000e+03 2.116035e-18 
9.916500e+03 2.115391e-18 
9.916000e+03 2.114746e-18 
9.915500e+03 2.114102e-18 
9.915000e+03 2.113458e-18 
9.914500e+03 2.112814e-18 
9.914000e+03 2.112171e-18 
9.913500e+03 2.111527e-18 
9.913000e+03 2.110884e-18 
9.912500e+03 2.110241e-18 
9.912000e+03 2.109598e-18 
9.911500e+03 2.108955e-18 
9.911000e+03 2.108312e-18 
9.910500e+03 2.107670e-18 
9.910000e+03 2.107027e-18 
9.909500e+03 2.106385e-18 
9.909000e+03 2.105743e-18 
9.908500e+03 2.105101e-18 
9.908000e+03 2.104459e-18 
9.907500e+03 2.103818e-18 
9.907000e+03 2.103176e-18 
9.906500e+03 2.102535e-18 
9.906000e+03 2.101894e-18 
9.905500e+03 2.101253e-18 
9.905000e+03 2.100612e-18 
9.904500e+03 2.099972e-18 
9.904000e+03 2.099331e-18 
9.903500e+03 2.098691e-18 
9.903000e+03 2.098051e-18 
9.902500e+03 2.097411e-18 
9.902000e+03 2.096771e-18 
9.901500e+03 2.096132e-18 
9.901000e+03 2.095492e-18 
9.900500e+03 2.094853e-18 
9.900000e+03 2.094214e-18 
9.899500e+03 2.093575e-18 
9.899000e+03 2.092936e-18 
9.898500e+03 2.092298e-18 
9.898000e+03 2.091659e-18 
9.897500e+03 2.091021e-18 
9.897000e+03 2.090383e-18 
9.896500e+03 2.089745e-18 
9.896000e+03 2.089107e-18 
9.895500e+03 2.088469e-18 
9.895000e+03 2.087832e-18 
9.894500e+03 2.087194e-18 
9.894000e+03 2.086557e-18 
9.893500e+03 2.085920e-18 
9.893000e+03 2.085283e-18 
9.892500e+03 2.084647e-18 
9.892000e+03 2.084010e-18 
9.891500e+03 2.083374e-18 
9.891000e+03 2.082738e-18 
9.890500e+03 2.082101e-18 
9.890000e+03 2.081466e-18 
9.889500e+03 2.080830e-18 
9.889000e+03 2.080194e-18 
9.888500e+03 2.079559e-18 
9.888000e+03 2.078924e-18 
9.887500e+03 2.078289e-18 
9.887000e+03 2.077654e-18 
9.886500e+03 2.077019e-18 
9.886000e+03 2.076384e-18 
9.885500e+03 2.075750e-18 
9.885000e+03 2.075116e-18 
9.884500e+03 2.074482e-18 
9.884000e+03 2.073848e-18 
9.883500e+03 2.073214e-18 
9.883000e+03 2.072580e-18 
9.882500e+03 2.071947e-18 
9.882000e+03 2.071314e-18 
9.881500e+03 2.070680e-18 
9.881000e+03 2.070047e-18 
9.880500e+03 2.069415e-18 
9.880000e+03 2.068782e-18 
9.879500e+03 2.068150e-18 
9.879000e+03 2.067517e-18 
9.878500e+03 2.066885e-18 
9.878000e+03 2.066253e-18 
9.877500e+03 2.065621e-18 
9.877000e+03 2.064990e-18 
9.876500e+03 2.064358e-18 
9.876000e+03 2.063727e-18 
9.875500e+03 2.063095e-18 
9.875000e+03 2.062464e-18 
9.874500e+03 2.061834e-18 
9.874000e+03 2.061203e-18 
9.873500e+03 2.060572e-18 
9.873000e+03 2.059942e-18 
9.872500e+03 2.059312e-18 
9.872000e+03 2.058682e-18 
9.871500e+03 2.058052e-18 
9.871000e+03 2.057422e-18 
9.870500e+03 2.056792e-18 
9.870000e+03 2.056163e-18 
9.869500e+03 2.055534e-18 
9.869000e+03 2.054905e-18 
9.868500e+03 2.054276e-18 
9.868000e+03 2.053647e-18 
9.867500e+03 2.053018e-18 
9.867000e+03 2.052390e-18 
9.866500e+03 2.051761e-18 
9.866000e+03 2.051133e-18 
9.865500e+03 2.050505e-18 
9.865000e+03 2.049877e-18 
9.864500e+03 2.049250e-18 
9.864000e+03 2.048622e-18 
9.863500e+03 2.047995e-18 
9.863000e+03 2.047368e-18 
9.862500e+03 2.046741e-18 
9.862000e+03 2.046114e-18 
9.861500e+03 2.045487e-18 
9.861000e+03 2.044861e-18 
9.860500e+03 2.044234e-18 
9.860000e+03 2.043608e-18 
9.859500e+03 2.042982e-18 
9.859000e+03 2.042356e-18 
9.858500e+03 2.041730e-18 
9.858000e+03 2.041105e-18 
9.857500e+03 2.040479e-18 
9.857000e+03 2.039854e-18 
9.856500e+03 2.039229e-18 
9.856000e+03 2.038604e-18 
9.855500e+03 2.037979e-18 
9.855000e+03 2.037355e-18 
9.854500e+03 2.036730e-18 
9.854000e+03 2.036106e-18 
9.853500e+03 2.035482e-18 
9.853000e+03 2.034858e-18 
9.852500e+03 2.034234e-18 
9.852000e+03 2.033610e-18 
9.851500e+03 2.032987e-18 
9.851000e+03 2.032363e-18 
9.850500e+03 2.031740e-18 
9.850000e+03 2.031117e-18 
