Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
9.999500e+03 3.186722e-18 
9.999000e+03 3.185743e-18 
9.998500e+03 3.184763e-18 
9.998000e+03 3.183784e-18 
9.997500e+03 3.182805e-18 
9.997000e+03 3.181827e-18 
9.996500e+03 3.180848e-18 
9.996000e+03 3.179870e-18 
9.995500e+03 3.178893e-18 
9.995000e+03 3.177915e-18 
9.994500e+03 3.176938e-18 
9.994000e+03 3.175961e-18 
9.993500e+03 3.174984e-18 
9.993000e+03 3.174007e-18 
9.992500e+03 3.173031e-18 
9.992000e+03 3.172055e-18 
9.991500e+03 3.171079e-18 
9.991000e+03 3.170103e-18 
9.990500e+03 3.169128e-18 
9.990000e+03 3.168153e-18 
9.989500e+03 3.167178e-18 
9.989000e+03 3.166203e-18 
9.988500e+03 3.165229e-18 
9.988000e+03 3.164255e-18 
9.987500e+03 3.163281e-18 
9.987000e+03 3.162308e-18 
9.986500e+03 3.161334e-18 
9.986000e+03 3.160361e-18 
9.985500e+03 3.159388e-18 
9.985000e+03 3.158416e-18 
9.984500e+03 3.157444e-18 
9.984000e+03 3.156471e-18 
9.983500e+03 3.155500e-18 
9.983000e+03 3.154528e-18 
9.982500e+03 3.153557e-18 
9.982000e+03 3.152586e-18 
9.981500e+03 3.151615e-18 
9.981000e+03 3.150644e-18 
9.980500e+03 3.149674e-18 
9.980000e+03 3.148704e-18 
9.979500e+03 3.147734e-18 
9.979000e+03 3.146764e-18 
9.978500e+03 3.145795e-18 
9.978000e+03 3.144826e-18 
9.977500e+03 3.143857e-18 
9.977000e+03 3.142889e-18 
9.976500e+03 3.141920e-18 
9.976000e+03 3.140952e-18 
9.975500e+03 3.139984e-18 
9.975000e+03 3.139017e-18 
9.974500e+03 3.138050e-18 
9.974000e+03 3.137082e-18 
9.973500e+03 3.136116e-18 
9.973000e+03 3.135149e-18 
9.972500e+03 3.134183e-18 
9.972000e+03 3.133217e-18 
9.971500e+03 3.132251e-18 
9.971000e+03 3.131285e-18 
9.970500e+03 3.130320e-18 
9.970000e+03 3.129355e-18 
9.969500e+03 3.128390e-18 
9.969000e+03 3.127425e-18 
9.968500e+03 3.126461e-18 
9.968000e+03 3.125497e-18 
9.967500e+03 3.124533e-18 
9.967000e+03 3.123569e-18 
9.966500e+03 3.122606e-18 
9.966000e+03 3.121643e-18 
9.965500e+03 3.120680e-18 
9.965000e+03 3.119718e-18 
9.964500e+03 3.118755e-18 
9.964000e+03 3.117793e-18 
9.963500e+03 3.116831e-18 
9.963000e+03 3.115870e-18 
9.962500e+03 3.114908e-18 
9.962000e+03 3.113947e-18 
9.961500e+03 3.112986e-18 
9.961000e+03 3.112026e-18 
9.960500e+03 3.111065e-18 
9.960000e+03 3.110105e-18 
9.959500e+03 3.109145e-18 
9.959000e+03 3.108186e-18 
9.958500e+03 3.107226e-18 
9.958000e+03 3.106267e-18 
9.957500e+03 3.105308e-18 
9.957000e+03 3.104350e-18 
9.956500e+03 3.103391e-18 
9.956000e+03 3.102433e-18 
9.955500e+03 3.101475e-18 
9.955000e+03 3.100518e-18 
9.954500e+03 3.099560e-18 
9.954000e+03 3.098603e-18 
9.953500e+03 3.097646e-18 
9.953000e+03 3.096689e-18 
9.952500e+03 3.095733e-18 
9.952000e+03 3.094777e-18 
9.951500e+03 3.093821e-18 
9.951000e+03 3.092865e-18 
9.950500e+03 3.091910e-18 
9.950000e+03 3.090955e-18 
9.949500e+03 3.090000e-18 
9.949000e+03 3.089045e-18 
9.948500e+03 3.088091e-18 
9.948000e+03 3.087136e-18 
9.947500e+03 3.086182e-18 
9.947000e+03 3.085229e-18 
9.946500e+03 3.084275e-18 
9.946000e+03 3.083322e-18 
9.945500e+03 3.082369e-18 
9.945000e+03 3.081416e-18 
9.944500e+03 3.080464e-18 
9.944000e+03 3.079512e-18 
9.943500e+03 3.078560e-18 
9.943000e+03 3.077608e-18 
9.942500e+03 3.076656e-18 
9.942000e+03 3.075705e-18 
9.941500e+03 3.074754e-18 
9.941000e+03 3.073803e-18 
9.940500e+03 3.072853e-18 
9.940000e+03 3.071903e-18 
9.939500e+03 3.070953e-18 
9.939000e+03 3.070003e-18 
9.938500e+03 3.069053e-18 
9.938000e+03 3.068104e-18 
9.937500e+03 3.067155e-18 
9.937000e+03 3.066206e-18 
9.936500e+03 3.065258e-18 
9.936000e+03 3.064309e-18 
9.935500e+03 3.063361e-18 
9.935000e+03 3.062414e-18 
9.934500e+03 3.061466e-18 
9.934000e+03 3.060519e-18 
9.933500e+03 3.059572e-18 
9.933000e+03 3.058625e-18 
9.932500e+03 3.057678e-18 
9.932000e+03 3.056732e-18 
9.931500e+03 3.055786e-18 
9.931000e+03 3.054840e-18 
9.930500e+03 3.053894e-18 
9.930000e+03 3.052949e-18 
9.929500e+03 3.052004e-18 
9.929000e+03 3.051059e-18 
9.928500e+03 3.050114e-18 
9.928000e+03 3.049170e-18 
9.927500e+03 3.048226e-18 
9.927000e+03 3.047282e-18 
9.926500e+03 3.046338e-18 
9.926000e+03 3.045395e-18 
9.925500e+03 3.044452e-18 
9.925000e+03 3.043509e-18 
9.924500e+03 3.042566e-18 
9.924000e+03 3.041624e-18 
9.923500e+03 3.040682e-18 
9.923000e+03 3.039740e-18 
9.922500e+03 3.038798e-18 
9.922000e+03 3.037857e-18 
9.921500e+03 3.036915e-18 
9.921000e+03 3.035974e-18 
9.920500e+03 3.035034e-18 
9.920000e+03 3.034093e-18 
9.919500e+03 3.033153e-18 
9.919000e+03 3.032213e-18 
9.918500e+03 3.031273e-18 
9.918000e+03 3.030334e-18 
9.917500e+03 3.029395e-18 
9.917000e+03 3.028456e-18 
9.916500e+03 3.027517e-18 
9.916000e+03 3.026578e-18 
9.915500e+03 3.025640e-18 
9.915000e+03 3.024702e-18 
9.914500e+03 3.023764e-18 
9.914000e+03 3.022827e-18 
9.913500e+03 3.021889e-18 
9.913000e+03 3.020952e-18 
9.912500e+03 3.020015e-18 
9.912000e+03 3.019079e-18 
9.911500e+03 3.018142e-18 
9.911000e+03 3.017206e-18 
9.910500e+03 3.016270e-18 
9.910000e+03 3.015335e-18 
9.909500e+03 3.014399e-18 
9.909000e+03 3.013464e-18 
9.908500e+03 3.012529e-18 
9.908000e+03 3.011595e-18 
9.907500e+03 3.010660e-18 
9.907000e+03 3.009726e-18 
9.906500e+03 3.008792e-18 
9.906000e+03 3.007859e-18 
9.905500e+03 3.006925e-18 
9.905000e+03 3.005992e-18 
9.904500e+03 3.005059e-18 
9.904000e+03 3.004126e-18 
9.903500e+03 3.003194e-18 
9.903000e+03 3.002262e-18 
9.902500e+03 3.001330e-18 
9.902000e+03 3.000398e-18 
9.901500e+03 2.999467e-18 
9.901000e+03 2.998535e-18 
9.900500e+03 2.997604e-18 
9.900000e+03 2.996674e-18 
9.899500e+03 2.995743e-18 
9.899000e+03 2.994813e-18 
9.898500e+03 2.993883e-18 
9.898000e+03 2.992953e-18 
9.897500e+03 2.992023e-18 
9.897000e+03 2.991094e-18 
9.896500e+03 2.990165e-18 
9.896000e+03 2.989236e-18 
9.895500e+03 2.988307e-18 
9.895000e+03 2.987379e-18 
9.894500e+03 2.986451e-18 
9.894000e+03 2.985523e-18 
9.893500e+03 2.984595e-18 
9.893000e+03 2.983668e-18 
9.892500e+03 2.982741e-18 
9.892000e+03 2.981814e-18 
9.891500e+03 2.980887e-18 
9.891000e+03 2.979961e-18 
9.890500e+03 2.979035e-18 
9.890000e+03 2.978109e-18 
9.889500e+03 2.977183e-18 
9.889000e+03 2.976258e-18 
9.888500e+03 2.975332e-18 
9.888000e+03 2.974407e-18 
9.887500e+03 2.973483e-18 
9.887000e+03 2.972558e-18 
9.886500e+03 2.971634e-18 
9.886000e+03 2.970710e-18 
9.885500e+03 2.969786e-18 
9.885000e+03 2.968863e-18 
9.884500e+03 2.967939e-18 
9.884000e+03 2.967016e-18 
9.883500e+03 2.966093e-18 
9.883000e+03 2.965171e-18 
9.882500e+03 2.964248e-18 
9.882000e+03 2.963326e-18 
9.881500e+03 2.962404e-18 
9.881000e+03 2.961483e-18 
9.880500e+03 2.960561e-18 
9.880000e+03 2.959640e-18 
9.879500e+03 2.958719e-18 
9.879000e+03 2.957799e-18 
9.878500e+03 2.956878e-18 
9.878000e+03 2.955958e-18 
9.877500e+03 2.955038e-18 
9.877000e+03 2.954118e-18 
9.876500e+03 2.953199e-18 
9.876000e+03 2.952280e-18 
9.875500e+03 2.951361e-18 
9.875000e+03 2.950442e-18 
9.874500e+03 2.949523e-18 
9.874000e+03 2.948605e-18 
9.873500e+03 2.947687e-18 
9.873000e+03 2.946769e-18 
9.872500e+03 2.945852e-18 
9.872000e+03 2.944934e-18 
9.871500e+03 2.944017e-18 
9.871000e+03 2.943101e-18 
9.870500e+03 2.942184e-18 
9.870000e+03 2.941268e-18 
9.869500e+03 2.940351e-18 
9.869000e+03 2.939436e-18 
9.868500e+03 2.938520e-18 
9.868000e+03 2.937605e-18 
9.867500e+03 2.936689e-18 
9.867000e+03 2.935774e-18 
9.866500e+03 2.934860e-18 
9.866000e+03 2.933945e-18 
9.865500e+03 2.933031e-18 
9.865000e+03 2.932117e-18 
9.864500e+03 2.931203e-18 
9.864000e+03 2.930290e-18 
9.863500e+03 2.929377e-18 
9.863000e+03 2.928463e-18 
9.862500e+03 2.927551e-18 
9.862000e+03 2.926638e-18 
9.861500e+03 2.925726e-18 
9.861000e+03 2.924814e-18 
9.860500e+03 2.923902e-18 
9.860000e+03 2.922990e-18 
9.859500e+03 2.922079e-18 
9.859000e+03 2.921168e-18 
9.858500e+03 2.920257e-18 
9.858000e+03 2.919346e-18 
9.857500e+03 2.918436e-18 
9.857000e+03 2.917526e-18 
9.856500e+03 2.916616e-18 
9.856000e+03 2.915706e-18 
9.855500e+03 2.914797e-18 
9.855000e+03 2.913887e-18 
9.854500e+03 2.912978e-18 
9.854000e+03 2.912070e-18 
9.853500e+03 2.911161e-18 
9.853000e+03 2.910253e-18 
9.852500e+03 2.909345e-18 
9.852000e+03 2.908437e-18 
9.851500e+03 2.907529e-18 
9.851000e+03 2.906622e-18 
9.850500e+03 2.905715e-18 
9.850000e+03 2.904808e-18 
