# standard BBN prediction for primordial Helium mass fraction $Y_p$ as
# function of the baryon density $\omega_b h^2$ and number of extra
# radiation degrees of freedom $\Delta N = N_eff-3.046$. Impact of
# chemical potential of electron neutrinos neglected in this version.
#
# Calculated with PArthENoPE v1.2 for a neutron lifetime of 880.2 s,
# and with the rate d(p,gamma)^3He coming from ab initio calculations
# by Marcucci et al. 2015.
#
# Format:
# First line must contain (num_ombh2,num_DeltaN), other lines must
# contain (ombh2,DeltaN,YHe) blank lines and lines starting with #
# neglected

48 11
0.00499 -3.0 0.17644
0.00599 -3.0 0.17896
0.00699 -3.0 0.18092
0.00799 -3.0 0.18252
0.00898 -3.0 0.18387
0.00998 -3.0 0.18503
0.01098 -3.0 0.18603
0.01198 -3.0 0.18696
0.01298 -3.0 0.18778
0.01398 -3.0 0.18852
0.01497 -3.0 0.18922
0.01597 -3.0 0.18985
0.01697 -3.0 0.19045
0.01797 -3.0 0.191
0.01897 -3.0 0.19152
0.01997 -3.0 0.19202
0.02021 -3.0 0.19214
0.02046 -3.0 0.19226
0.02071 -3.0 0.19236
0.02096 -3.0 0.19248
0.02121 -3.0 0.1926
0.02146 -3.0 0.19271
0.02171 -3.0 0.19281
0.02196 -3.0 0.19292
0.02221 -3.0 0.19301
0.02246 -3.0 0.19313
0.02271 -3.0 0.19323
0.02296 -3.0 0.19334
0.02321 -3.0 0.19343
0.02346 -3.0 0.19354
0.02371 -3.0 0.19363
0.02396 -3.0 0.19372
0.02496 -3.0 0.19411
0.02595 -3.0 0.19449
0.02695 -3.0 0.19482
0.02795 -3.0 0.19517
0.02895 -3.0 0.19549
0.02995 -3.0 0.19579
0.03094 -3.0 0.1961
0.03194 -3.0 0.19638
0.03294 -3.0 0.19667
0.03394 -3.0 0.19695
0.03494 -3.0 0.19721
0.03594 -3.0 0.19746
0.03693 -3.0 0.19771
0.03793 -3.0 0.19793
0.03893 -3.0 0.19819
0.03993 -3.0 0.19841
0.00499 -2.0 0.1965
0.00599 -2.0 0.19921
0.00699 -2.0 0.20132
0.00799 -2.0 0.20299
0.00898 -2.0 0.2044
0.00998 -2.0 0.20563
0.01098 -2.0 0.20669
0.01198 -2.0 0.20764
0.01298 -2.0 0.20849
0.01398 -2.0 0.20925
0.01497 -2.0 0.20996
0.01597 -2.0 0.21061
0.01697 -2.0 0.21123
0.01797 -2.0 0.21177
0.01897 -2.0 0.2123
0.01997 -2.0 0.21281
0.02021 -2.0 0.21292
0.02046 -2.0 0.21305
0.02071 -2.0 0.21316
0.02096 -2.0 0.21328
0.02121 -2.0 0.2134
0.02146 -2.0 0.2135
0.02171 -2.0 0.21361
0.02196 -2.0 0.21372
0.02221 -2.0 0.21384
0.02246 -2.0 0.21395
0.02271 -2.0 0.21403
0.02296 -2.0 0.21414
0.02321 -2.0 0.21424
0.02346 -2.0 0.21435
0.02371 -2.0 0.21445
0.02396 -2.0 0.21455
0.02496 -2.0 0.21493
0.02595 -2.0 0.21531
0.02695 -2.0 0.21566
0.02795 -2.0 0.216
0.02895 -2.0 0.21634
0.02995 -2.0 0.21663
0.03094 -2.0 0.21694
0.03194 -2.0 0.21721
0.03294 -2.0 0.21751
0.03394 -2.0 0.21778
0.03494 -2.0 0.21805
0.03594 -2.0 0.21831
0.03693 -2.0 0.21856
0.03793 -2.0 0.2188
0.03893 -2.0 0.21902
0.03993 -2.0 0.21926
0.00499 -1.0 0.21295
0.00599 -1.0 0.21586
0.00699 -1.0 0.21808
0.00799 -1.0 0.21983
0.00898 -1.0 0.22132
0.00998 -1.0 0.22256
0.01098 -1.0 0.22365
0.01198 -1.0 0.22462
0.01298 -1.0 0.22547
0.01398 -1.0 0.22628
0.01497 -1.0 0.22697
0.01597 -1.0 0.22764
0.01697 -1.0 0.22827
0.01797 -1.0 0.22884
0.01897 -1.0 0.22935
0.01997 -1.0 0.22987
0.02021 -1.0 0.22999
0.02046 -1.0 0.23009
0.02071 -1.0 0.23021
0.02096 -1.0 0.23035
0.02121 -1.0 0.23046
0.02146 -1.0 0.23057
0.02171 -1.0 0.23068
0.02196 -1.0 0.23078
0.02221 -1.0 0.2309
0.02246 -1.0 0.23099
0.02271 -1.0 0.2311
0.02296 -1.0 0.23122
0.02321 -1.0 0.23131
0.02346 -1.0 0.23143
0.02371 -1.0 0.23153
0.02396 -1.0 0.23161
0.02496 -1.0 0.23199
0.02595 -1.0 0.23237
0.02695 -1.0 0.23273
0.02795 -1.0 0.23307
0.02895 -1.0 0.23339
0.02995 -1.0 0.23369
0.03094 -1.0 0.234
0.03194 -1.0 0.23429
0.03294 -1.0 0.23458
0.03394 -1.0 0.23485
0.03494 -1.0 0.2351
0.03594 -1.0 0.23536
0.03693 -1.0 0.23562
0.03793 -1.0 0.23587
0.03893 -1.0 0.23608
0.03993 -1.0 0.23633
0.00499 0.0 0.22688
0.00599 0.0 0.22997
0.00699 0.0 0.23227
0.00799 0.0 0.2341
0.00898 0.0 0.23562
0.00998 0.0 0.23691
0.01098 0.0 0.23802
0.01198 0.0 0.239
0.01298 0.0 0.23988
0.01398 0.0 0.24067
0.01497 0.0 0.24141
0.01597 0.0 0.24207
0.01697 0.0 0.24267
0.01797 0.0 0.24327
0.01897 0.0 0.24379
0.01997 0.0 0.24431
0.02021 0.0 0.24442
0.02046 0.0 0.24453
0.02071 0.0 0.24467
0.02096 0.0 0.24478
0.02121 0.0 0.2449
0.02146 0.0 0.24499
0.02171 0.0 0.2451
0.02196 0.0 0.24521
0.02221 0.0 0.24532
0.02246 0.0 0.24544
0.02271 0.0 0.24553
0.02296 0.0 0.24565
0.02321 0.0 0.24575
0.02346 0.0 0.24584
0.02371 0.0 0.24594
0.02396 0.0 0.24604
0.02496 0.0 0.24644
0.02595 0.0 0.24681
0.02695 0.0 0.24717
0.02795 0.0 0.24749
0.02895 0.0 0.24781
0.02995 0.0 0.24814
0.03094 0.0 0.24844
0.03194 0.0 0.24871
0.03294 0.0 0.24901
0.03394 0.0 0.24928
0.03494 0.0 0.24953
0.03594 0.0 0.2498
0.03693 0.0 0.25004
0.03793 0.0 0.25027
0.03893 0.0 0.25051
0.03993 0.0 0.25074
0.00499 1.0 0.23892
0.00599 1.0 0.24217
0.00699 1.0 0.24456
0.00799 1.0 0.24647
0.00898 1.0 0.24801
0.00998 1.0 0.24933
0.01098 1.0 0.25048
0.01198 1.0 0.25147
0.01298 1.0 0.25235
0.01398 1.0 0.25318
0.01497 1.0 0.25389
0.01597 1.0 0.25457
0.01697 1.0 0.2552
0.01797 1.0 0.25578
0.01897 1.0 0.25629
0.01997 1.0 0.25679
0.02021 1.0 0.25693
0.02046 1.0 0.25703
0.02071 1.0 0.25717
0.02096 1.0 0.25727
0.02121 1.0 0.25738
0.02146 1.0 0.2575
0.02171 1.0 0.25762
0.02196 1.0 0.25773
0.02221 1.0 0.25783
0.02246 1.0 0.25794
0.02271 1.0 0.25804
0.02296 1.0 0.25815
0.02321 1.0 0.25827
0.02346 1.0 0.25837
0.02371 1.0 0.25846
0.02396 1.0 0.25855
0.02496 1.0 0.25895
0.02595 1.0 0.25929
0.02695 1.0 0.25967
0.02795 1.0 0.26
0.02895 1.0 0.26032
0.02995 1.0 0.26062
0.03094 1.0 0.26093
0.03194 1.0 0.26122
0.03294 1.0 0.2615
0.03394 1.0 0.26175
0.03494 1.0 0.26202
0.03594 1.0 0.26227
0.03693 1.0 0.26252
0.03793 1.0 0.26274
0.03893 1.0 0.26299
0.03993 1.0 0.2632
0.00499 2.0 0.24951
0.00599 2.0 0.25289
0.00699 2.0 0.2554
0.00799 2.0 0.25736
0.00898 2.0 0.25894
0.00998 2.0 0.26029
0.01098 2.0 0.26144
0.01198 2.0 0.26244
0.01298 2.0 0.26336
0.01398 2.0 0.26418
0.01497 2.0 0.2649
0.01597 2.0 0.26557
0.01697 2.0 0.26619
0.01797 2.0 0.26679
0.01897 2.0 0.26731
0.01997 2.0 0.26782
0.02021 2.0 0.26795
0.02046 2.0 0.26807
0.02071 2.0 0.26816
0.02096 2.0 0.2683
0.02121 2.0 0.26839
0.02146 2.0 0.26852
0.02171 2.0 0.26864
0.02196 2.0 0.26875
0.02221 2.0 0.26884
0.02246 2.0 0.26894
0.02271 2.0 0.26905
0.02296 2.0 0.26918
0.02321 2.0 0.26927
0.02346 2.0 0.26938
0.02371 2.0 0.26946
0.02396 2.0 0.26956
0.02496 2.0 0.26996
0.02595 2.0 0.27031
0.02695 2.0 0.27067
0.02795 2.0 0.27101
0.02895 2.0 0.27132
0.02995 2.0 0.27161
0.03094 2.0 0.27191
0.03194 2.0 0.27222
0.03294 2.0 0.27248
0.03394 2.0 0.27276
0.03494 2.0 0.27303
0.03594 2.0 0.27327
0.03693 2.0 0.27351
0.03793 2.0 0.27375
0.03893 2.0 0.27398
0.03993 2.0 0.27419
0.00499 3.0 0.25892
0.00599 3.0 0.26245
0.00699 3.0 0.26504
0.00799 3.0 0.26706
0.00898 3.0 0.26871
0.00998 3.0 0.27008
0.01098 3.0 0.27123
0.01198 3.0 0.27226
0.01298 3.0 0.27319
0.01398 3.0 0.27399
0.01497 3.0 0.27472
0.01597 3.0 0.2754
0.01697 3.0 0.27605
0.01797 3.0 0.27663
0.01897 3.0 0.27716
0.01997 3.0 0.27764
0.02021 3.0 0.27777
0.02046 3.0 0.2779
0.02071 3.0 0.278
0.02096 3.0 0.27812
0.02121 3.0 0.27825
0.02146 3.0 0.27836
0.02171 3.0 0.27846
0.02196 3.0 0.27857
0.02221 3.0 0.27867
0.02246 3.0 0.27878
0.02271 3.0 0.2789
0.02296 3.0 0.27901
0.02321 3.0 0.27911
0.02346 3.0 0.27919
0.02371 3.0 0.27931
0.02396 3.0 0.27941
0.02496 3.0 0.27977
0.02595 3.0 0.28014
0.02695 3.0 0.28049
0.02795 3.0 0.28083
0.02895 3.0 0.28113
0.02995 3.0 0.28145
0.03094 3.0 0.28175
0.03194 3.0 0.28204
0.03294 3.0 0.28229
0.03394 3.0 0.28258
0.03494 3.0 0.28283
0.03594 3.0 0.28308
0.03693 3.0 0.2833
0.03793 3.0 0.28354
0.03893 3.0 0.28377
0.03993 3.0 0.28398
0.00499 4.0 0.2674
0.00599 4.0 0.27106
0.00699 4.0 0.27376
0.00799 4.0 0.27582
0.00898 4.0 0.27751
0.00998 4.0 0.2789
0.01098 4.0 0.28009
0.01198 4.0 0.28111
0.01298 4.0 0.28203
0.01398 4.0 0.28287
0.01497 4.0 0.28361
0.01597 4.0 0.28427
0.01697 4.0 0.2849
0.01797 4.0 0.2855
0.01897 4.0 0.28602
0.01997 4.0 0.28654
0.02021 4.0 0.28665
0.02046 4.0 0.28678
0.02071 4.0 0.28689
0.02096 4.0 0.28699
0.02121 4.0 0.2871
0.02146 4.0 0.28724
0.02171 4.0 0.28735
0.02196 4.0 0.28745
0.02221 4.0 0.28756
0.02246 4.0 0.28767
0.02271 4.0 0.28775
0.02296 4.0 0.28788
0.02321 4.0 0.28796
0.02346 4.0 0.28808
0.02371 4.0 0.28816
0.02396 4.0 0.28829
0.02496 4.0 0.28864
0.02595 4.0 0.289
0.02695 4.0 0.28936
0.02795 4.0 0.28968
0.02895 4.0 0.29002
0.02995 4.0 0.2903
0.03094 4.0 0.29059
0.03194 4.0 0.29087
0.03294 4.0 0.29116
0.03394 4.0 0.29141
0.03494 4.0 0.29168
0.03594 4.0 0.29193
0.03693 4.0 0.29215
0.03793 4.0 0.29238
0.03893 4.0 0.29262
0.03993 4.0 0.29282
0.00499 5.0 0.27508
0.00599 5.0 0.2789
0.00699 5.0 0.28168
0.00799 5.0 0.28379
0.00898 5.0 0.2855
0.00998 5.0 0.28693
0.01098 5.0 0.28812
0.01198 5.0 0.28919
0.01298 5.0 0.2901
0.01398 5.0 0.29093
0.01497 5.0 0.29167
0.01597 5.0 0.29236
0.01697 5.0 0.29299
0.01797 5.0 0.29356
0.01897 5.0 0.2941
0.01997 5.0 0.2946
0.02021 5.0 0.29474
0.02046 5.0 0.29484
0.02071 5.0 0.29496
0.02096 5.0 0.29508
0.02121 5.0 0.29519
0.02146 5.0 0.2953
0.02171 5.0 0.29543
0.02196 5.0 0.29554
0.02221 5.0 0.29565
0.02246 5.0 0.29576
0.02271 5.0 0.29586
0.02296 5.0 0.29594
0.02321 5.0 0.29606
0.02346 5.0 0.29614
0.02371 5.0 0.29625
0.02396 5.0 0.29636
0.02496 5.0 0.29673
0.02595 5.0 0.29709
0.02695 5.0 0.29742
0.02795 5.0 0.29776
0.02895 5.0 0.29806
0.02995 5.0 0.29836
0.03094 5.0 0.29866
0.03194 5.0 0.29895
0.03294 5.0 0.29921
0.03394 5.0 0.29949
0.03494 5.0 0.29972
0.03594 5.0 0.29997
0.03693 5.0 0.3002
0.03793 5.0 0.30044
0.03893 5.0 0.30065
0.03993 5.0 0.30089
0.00499 6.0 0.28208
0.00599 6.0 0.28607
0.00699 6.0 0.28892
0.00799 6.0 0.29111
0.00898 6.0 0.29284
0.00998 6.0 0.2943
0.01098 6.0 0.29552
0.01198 6.0 0.29658
0.01298 6.0 0.2975
0.01398 6.0 0.29835
0.01497 6.0 0.29909
0.01597 6.0 0.29979
0.01697 6.0 0.30041
0.01797 6.0 0.30099
0.01897 6.0 0.30152
0.01997 6.0 0.30204
0.02021 6.0 0.30214
0.02046 6.0 0.30226
0.02071 6.0 0.30239
0.02096 6.0 0.30249
0.02121 6.0 0.30261
0.02146 6.0 0.30273
0.02171 6.0 0.30284
0.02196 6.0 0.30294
0.02221 6.0 0.30306
0.02246 6.0 0.30317
0.02271 6.0 0.30327
0.02296 6.0 0.30338
0.02321 6.0 0.30346
0.02346 6.0 0.30357
0.02371 6.0 0.30368
0.02396 6.0 0.30378
0.02496 6.0 0.30412
0.02595 6.0 0.30449
0.02695 6.0 0.30484
0.02795 6.0 0.30515
0.02895 6.0 0.30549
0.02995 6.0 0.30576
0.03094 6.0 0.30605
0.03194 6.0 0.30635
0.03294 6.0 0.3066
0.03394 6.0 0.30688
0.03494 6.0 0.30711
0.03594 6.0 0.30737
0.03693 6.0 0.30759
0.03793 6.0 0.30783
0.03893 6.0 0.30803
0.03993 6.0 0.30824
0.00499 7.0 0.28853
0.00599 7.0 0.29268
0.00699 7.0 0.29562
0.00799 7.0 0.29783
0.00898 7.0 0.29963
0.00998 7.0 0.30109
0.01098 7.0 0.30232
0.01198 7.0 0.30341
0.01298 7.0 0.30433
0.01398 7.0 0.30517
0.01497 7.0 0.30594
0.01597 7.0 0.30664
0.01697 7.0 0.30725
0.01797 7.0 0.30782
0.01897 7.0 0.30836
0.01997 7.0 0.30886
0.02021 7.0 0.309
0.02046 7.0 0.3091
0.02071 7.0 0.30922
0.02096 7.0 0.30936
0.02121 7.0 0.30947
0.02146 7.0 0.30956
0.02171 7.0 0.30967
0.02196 7.0 0.30979
0.02221 7.0 0.30988
0.02246 7.0 0.30999
0.02271 7.0 0.31009
0.02296 7.0 0.3102
0.02321 7.0 0.3103
0.02346 7.0 0.31042
0.02371 7.0 0.3105
0.02396 7.0 0.31061
0.02496 7.0 0.31097
0.02595 7.0 0.31133
0.02695 7.0 0.31167
0.02795 7.0 0.31199
0.02895 7.0 0.3123
0.02995 7.0 0.31259
0.03094 7.0 0.31288
0.03194 7.0 0.31318
0.03294 7.0 0.31345
0.03394 7.0 0.3137
0.03494 7.0 0.31393
0.03594 7.0 0.31417
0.03693 7.0 0.31441
0.03793 7.0 0.31463
0.03893 7.0 0.31485
0.03993 7.0 0.31505
