# BBN prediction of the primordial abundances of Helium4 as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
#
# $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
# If $\Delta N=0$, then $N_{eff} = 3.0440$ #
# because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).
#
# Computation performed with PRIMAT (by Cyril Pitrou 2018-2024 http://www2.iap.fr/users/pitrou/primat.htm)
# Details on arXiv:1801.08023 and update arXiv:2011.11320
# Last update 20/09/2024 (notably including the LUNA rate for the d(p,g)He3 reaction)
#
# Neutron Decay rate $\tau_n$ is 878.4s, following Particle Data Group 2024
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
#
# He4 is given as the density ratio of He4 density to all baryon density (YHe) as used by class
# To convert from/to more traditional BBN quantities, note that
# f_He = n_He/n_H = (YHe/m_He)/((1-YHe)/m_H)
# and
# Y_p^BBN = 4 n_He/n_B ~= 4 n_He/(4n_He + n_H) = 4 f_He/(4 f_He + 1)
# Note that this means that YHe from class coincides roughly with Y_p from primat
# which is NOT the same as the Y_p from PArthENoPE (which is instead Y_p^BBN)
#
# Format:
# First line must contain (num_ombh2,num_DeltaN), other lines must
# contain (ombh2,DeltaN,YHe). bBank lines and lines starting with # are neglected

52 25
5.000000000000000104e-03 -3.000000000000000000e+00 1.768160000000000009e-01
6.000000000000000125e-03 -3.000000000000000000e+00 1.793510000000000104e-01
7.000000000000000146e-03 -3.000000000000000000e+00 1.813220000000000109e-01
8.000000000000000167e-03 -3.000000000000000000e+00 1.829280000000000073e-01
8.999999999999999320e-03 -3.000000000000000000e+00 1.842810000000000004e-01
1.000000000000000021e-02 -3.000000000000000000e+00 1.854490000000000027e-01
1.099999999999999936e-02 -3.000000000000000000e+00 1.864750000000000019e-01
1.200000000000000025e-02 -3.000000000000000000e+00 1.873910000000000020e-01
1.299999999999999940e-02 -3.000000000000000000e+00 1.882179999999999964e-01
1.400000000000000029e-02 -3.000000000000000000e+00 1.889710000000000001e-01
1.499999999999999944e-02 -3.000000000000000000e+00 1.896629999999999983e-01
1.600000000000000033e-02 -3.000000000000000000e+00 1.903029999999999999e-01
1.700000000000000122e-02 -3.000000000000000000e+00 1.908980000000000121e-01
1.799999999999999864e-02 -3.000000000000000000e+00 1.914540000000000131e-01
1.899999999999999953e-02 -3.000000000000000000e+00 1.919750000000000068e-01
2.000000000000000042e-02 -3.000000000000000000e+00 1.924669999999999992e-01
2.019999999999999921e-02 -3.000000000000000000e+00 1.925620000000000109e-01
2.040000000000000147e-02 -3.000000000000000000e+00 1.926559999999999939e-01
2.060000000000000026e-02 -3.000000000000000000e+00 1.927490000000000037e-01
2.079999999999999905e-02 -3.000000000000000000e+00 1.928410000000000124e-01
2.100000000000000130e-02 -3.000000000000000000e+00 1.929319999999999924e-01
2.120000000000000009e-02 -3.000000000000000000e+00 1.930219999999999991e-01
2.139999999999999888e-02 -3.000000000000000000e+00 1.931110000000000049e-01
2.160000000000000114e-02 -3.000000000000000000e+00 1.931990000000000096e-01
2.179999999999999993e-02 -3.000000000000000000e+00 1.932860000000000134e-01
2.199999999999999872e-02 -3.000000000000000000e+00 1.933719999999999883e-01
2.220000000000000098e-02 -3.000000000000000000e+00 1.934579999999999911e-01
2.239999999999999977e-02 -3.000000000000000000e+00 1.935419999999999918e-01
2.259999999999999856e-02 -3.000000000000000000e+00 1.936259999999999926e-01
2.280000000000000082e-02 -3.000000000000000000e+00 1.937089999999999923e-01
2.299999999999999961e-02 -3.000000000000000000e+00 1.937909999999999910e-01
2.319999999999999840e-02 -3.000000000000000000e+00 1.938729999999999898e-01
2.340000000000000066e-02 -3.000000000000000000e+00 1.939529999999999865e-01
2.359999999999999945e-02 -3.000000000000000000e+00 1.940330000000000110e-01
2.380000000000000171e-02 -3.000000000000000000e+00 1.941120000000000068e-01
2.400000000000000050e-02 -3.000000000000000000e+00 1.941910000000000025e-01
2.500000000000000139e-02 -3.000000000000000000e+00 1.945719999999999950e-01
2.599999999999999881e-02 -3.000000000000000000e+00 1.949369999999999992e-01
2.699999999999999969e-02 -3.000000000000000000e+00 1.952869999999999884e-01
2.800000000000000058e-02 -3.000000000000000000e+00 1.956239999999999923e-01
2.900000000000000147e-02 -3.000000000000000000e+00 1.959470000000000101e-01
2.999999999999999889e-02 -3.000000000000000000e+00 1.962589999999999890e-01
3.099999999999999978e-02 -3.000000000000000000e+00 1.965600000000000125e-01
3.200000000000000067e-02 -3.000000000000000000e+00 1.968499999999999972e-01
3.300000000000000155e-02 -3.000000000000000000e+00 1.971310000000000007e-01
3.400000000000000244e-02 -3.000000000000000000e+00 1.974039999999999961e-01
3.500000000000000333e-02 -3.000000000000000000e+00 1.976670000000000094e-01
3.599999999999999728e-02 -3.000000000000000000e+00 1.979229999999999878e-01
3.699999999999999817e-02 -3.000000000000000000e+00 1.981710000000000138e-01
3.799999999999999906e-02 -3.000000000000000000e+00 1.984130000000000060e-01
3.899999999999999994e-02 -3.000000000000000000e+00 1.986479999999999912e-01
