# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k)
# k [1/Mpc]                P_scalar(k)                P_gwb(k)                   ad x gwb                   P_tensor(k)
9.999999999999999547e-07   3.327016867781665244e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.574764801964892488e-10
1.016265089392995130e-06   3.324999154916738124e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.567389722429615240e-10
1.032794731918952538e-06   3.322982665720149870e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.560026532423200551e-10
1.049593230558226563e-06   3.320967399449791673e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.552675212778276651e-10
1.066664958279538696e-06   3.318953355364003470e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.545335744358370071e-10
1.084014359178330942e-06   3.316940532721574770e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.538008108057858074e-10
1.101645949633656974e-06   3.314928930781746309e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.530692284801920063e-10
1.119564319483879533e-06   3.312918548804206742e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.523388255546486914e-10
1.137774133221490236e-06   3.310909386049094296e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.516096001278188242e-10
1.156280131207375345e-06   3.308901441776995117e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.508815503014306392e-10
1.175087130904807464e-06   3.306894715248944096e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.501546741802726807e-10
1.194200028133532450e-06   3.304889205726424869e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.494289698721888395e-10
1.213623798344241863e-06   3.302884912471368578e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.487044354880732869e-10
1.233363497913774651e-06   3.300881834746153455e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.479810691418658730e-10
1.253424265461399568e-06   3.298879971813606477e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.472588689505465951e-10
1.273811323186478410e-06   3.296879322936999646e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.465378330341314620e-10
1.294529978227915984e-06   3.294879887380052882e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.458179595156671689e-10
1.315585624045705155e-06   3.292881664406933193e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.450992465212262891e-10
1.336983741824945150e-06   3.290884653282253856e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.443816921799024149e-10
1.358729901902709220e-06   3.288888853271072341e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.436652946238050907e-10
1.380829765218092407e-06   3.286894263638893621e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.429500519880553152e-10
1.403289084785873119e-06   3.284900883651667283e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.422359624107803718e-10
1.426113707194129844e-06   3.282908712575788347e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.415230240331093823e-10
1.449309574126215151e-06   3.280917749678097686e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.408112349991679820e-10
1.472882723907501804e-06   3.278927994225877885e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.401005934560734598e-10
1.496839293077255471e-06   3.276939445486859863e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.393910975539306745e-10
1.521185517986104767e-06   3.274952102729215424e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.386827454458264707e-10
1.545927736419478581e-06   3.272965965221561398e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.379755352878250780e-10
1.571072389247448800e-06   3.270981032232959223e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.372694652389636650e-10
1.596626022101425042e-06   3.268997303032911224e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.365645334612468588e-10
1.622595287078087214e-06   3.267014776891365163e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.358607381196426096e-10
1.648986944471064962e-06   3.265033453078710104e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.351580773820771753e-10
1.675807864530768688e-06   3.263053330865777650e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.344565494194303142e-10
1.703065029252842653e-06   3.261074409523842362e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.337561524055305800e-10
1.730765534195724041e-06   3.259096688324620100e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.330568845171502036e-10
1.758916590327732554e-06   3.257120166540268853e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.323587439340012160e-10
1.787525525904235397e-06   3.255144843443387498e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.316617288387298128e-10
1.816599788375328531e-06   3.253170718307016625e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.309658374169121667e-10
1.846146946324545581e-06   3.251197790404637710e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.302710678570494127e-10
1.876174691439119582e-06   3.249226059010171466e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.295774183505629955e-10
1.906690840512251975e-06   3.247255523397981144e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.288848870917901711e-10
1.937703337477988979e-06   3.245286182842868816e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.281934722779790445e-10
1.969220255479173340e-06   3.243318036620075373e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.275031721092839677e-10
2.001249798969034926e-06   3.241351084005284247e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.268139847887610425e-10
2.033800305846980069e-06   3.239385324274614381e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.261259085223628986e-10
2.066880249629081940e-06   3.237420756704626847e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.254389415189346614e-10
2.100498241653915279e-06   3.235457380572319467e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.247530819902090918e-10
2.134663033324245611e-06   3.233495195155129710e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.240683281508015203e-10
2.169383518385181950e-06   3.231534199730933451e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.233846782182059693e-10
2.204668735239407535e-06   3.229574393578042488e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.227021304127896212e-10
2.240527869300017970e-06   3.227615775975208682e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.220206829577889931e-10
2.276970255381679993e-06   3.225658346201619814e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.213403340793048698e-10
2.314005380130654226e-06   3.223702103536901660e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.206610820062976514e-10
2.351642884494351072e-06   3.221747047261116748e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.199829249705830101e-10
2.389892566231047836e-06   3.219793176654763113e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.193058612068271863e-10
2.428764382460450616e-06   3.217840490998776787e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.186298889525420764e-10
2.468268452255692627e-06   3.215888989574529307e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.179550064480813043e-10
2.508415059277541020e-06   3.213938671663827313e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.172812119366349480e-10
2.549214654451425881e-06   3.211989536548912950e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.166085036642254550e-10
