##################################################
### This is the standardized output to be read by CLASS.
### For the correct usage ensure that all other
### "print(...)"-commands in your script are silenced.
##################################################

#z_dep	f_heat	f_lya	f_ionH	f_ionHe	f_lowE

62

0.00e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.42e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.55e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.69e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.85e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.02e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.20e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.40e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.63e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.87e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.13e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.42e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.73e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
4.07e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
4.44e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
4.85e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
5.30e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
5.78e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
6.31e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
6.89e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
7.53e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
8.22e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
8.97e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
9.79e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.07e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.17e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.27e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.39e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.52e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.66e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.81e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.98e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.16e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.35e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.57e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.81e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.06e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.34e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.65e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.99e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
4.35e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
4.75e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
5.19e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
5.66e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
6.18e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
6.75e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
7.37e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
8.04e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
