#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
95	-7.02	9.1446e+00	0.0000e+00	0.0000e+00
95	-6.97	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.92	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.87	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.82	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.77	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.72	2.7499e+01	0.0000e+00	0.0000e+00
95	-6.67	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.62	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.57	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.52	5.7836e+00	0.0000e+00	0.0000e+00
95	-6.47	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.42	4.5941e+00	0.0000e+00	0.0000e+00
95	-6.37	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.32	7.2984e+00	0.0000e+00	0.0000e+00
95	-6.27	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.22	5.7973e+00	0.0000e+00	0.0000e+00
95	-6.17	6.4586e+00	0.0000e+00	0.0000e+00
95	-6.12	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.07	5.1302e+00	0.0000e+00	0.0000e+00
95	-6.02	9.1446e+00	0.0000e+00	0.0000e+00
95	-5.97	1.6300e+00	0.0000e+00	0.0000e+00
95	-5.92	2.9055e+00	0.0000e+00	0.0000e+00
95	-5.87	6.4739e+00	0.0000e+00	0.0000e+00
95	-5.82	2.8849e+00	0.0000e+00	0.0000e+00
95	-5.77	4.1139e+00	5.1424e-01	0.0000e+00
95	-5.72	1.8333e+00	0.0000e+00	0.0000e+00
95	-5.67	2.0424e+00	0.0000e+00	0.0000e+00
95	-5.62	4.0046e+00	0.0000e+00	0.0000e+00
95	-5.57	3.2446e+00	0.0000e+00	0.0000e+00
95	-5.52	2.0243e+00	0.0000e+00	0.0000e+00
95	-5.47	3.0928e+00	0.0000e+00	0.0000e+00
95	-5.42	3.6752e+00	0.0000e+00	4.5941e-01
95	-5.37	2.0472e+00	0.0000e+00	2.0472e-01
95	-5.32	4.1966e+00	0.0000e+00	3.6492e-01
95	-5.27	2.6019e+00	0.0000e+00	3.2523e-01
95	-5.22	3.7682e+00	1.4493e-01	0.0000e+00
95	-5.17	4.2627e+00	0.0000e+00	5.1669e-01
95	-5.12	3.5688e+00	0.0000e+00	5.7562e-01
95	-5.07	4.1042e+00	0.0000e+00	8.2084e-01
95	-5.02	2.2862e+00	9.1446e-02	5.4868e-01
95	-4.97	3.2601e+00	0.0000e+00	8.1502e-01
95	-4.92	4.5036e+00	0.0000e+00	1.2349e+00
95	-4.87	2.8485e+00	6.4739e-02	1.3595e+00
95	-4.82	3.7504e+00	0.0000e+00	1.3271e+00
95	-4.77	3.7025e+00	0.0000e+00	1.6456e+00
95	-4.72	3.2541e+00	0.0000e+00	1.8791e+00
95	-4.67	3.9214e+00	0.0000e+00	1.5522e+00
95	-4.62	3.4949e+00	0.0000e+00	3.2037e+00
95	-4.57	3.6989e+00	0.0000e+00	2.8228e+00
95	-4.52	3.6147e+00	0.0000e+00	4.1931e+00
95	-4.47	3.3247e+00	0.0000e+00	4.2010e+00
95	-4.42	3.6752e+00	0.0000e+00	5.0994e+00
95	-4.37	3.2346e+00	2.0472e-02	6.1007e+00
95	-4.32	3.5580e+00	0.0000e+00	6.3678e+00
95	-4.27	3.1548e+00	0.0000e+00	8.2122e+00
95	-4.22	3.7538e+00	0.0000e+00	1.0058e+01
95	-4.17	3.3714e+00	1.2917e-02	1.0631e+01
95	-4.12	3.4537e+00	0.0000e+00	1.2249e+01
95	-4.07	3.3346e+00	0.0000e+00	1.3359e+01
95	-4.02	3.8042e+00	0.0000e+00	1.5454e+01
95	-3.97	3.3497e+00	8.1502e-03	1.7873e+01
95	-3.92	3.4503e+00	0.0000e+00	1.9147e+01
95	-3.87	3.6642e+00	0.0000e+00	2.0872e+01
