#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
90	-7.05	0.0000e+00	0.0000e+00	0.0000e+00	8.9125e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-7.00	5.3612e+02	0.0000e+00	0.0000e+00	1.0000e-07	5.3612e-05	0.0000e+00	0.0000e+00	5.3612e-05
90	-6.95	0.0000e+00	0.0000e+00	0.0000e+00	1.1220e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.90	0.0000e+00	0.0000e+00	0.0000e+00	1.2589e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.85	0.0000e+00	0.0000e+00	0.0000e+00	1.4125e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.80	0.0000e+00	0.0000e+00	0.0000e+00	1.5849e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.75	0.0000e+00	0.0000e+00	0.0000e+00	1.7783e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.70	1.7913e+02	0.0000e+00	0.0000e+00	1.9953e-07	3.5741e-05	0.0000e+00	0.0000e+00	3.5741e-05
90	-6.65	0.0000e+00	0.0000e+00	0.0000e+00	2.2387e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.60	0.0000e+00	0.0000e+00	0.0000e+00	2.5119e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.55	1.2681e+02	0.0000e+00	0.0000e+00	2.8184e-07	3.5741e-05	0.0000e+00	0.0000e+00	3.5741e-05
90	-6.50	0.0000e+00	0.0000e+00	0.0000e+00	3.1623e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.45	0.0000e+00	0.0000e+00	0.0000e+00	3.5481e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.40	1.7956e+02	0.0000e+00	0.0000e+00	3.9811e-07	7.1482e-05	0.0000e+00	0.0000e+00	7.1482e-05
90	-6.35	0.0000e+00	0.0000e+00	0.0000e+00	4.4668e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.30	1.4263e+02	0.0000e+00	0.0000e+00	5.0119e-07	7.1483e-05	0.0000e+00	0.0000e+00	7.1483e-05
90	-6.25	9.5338e+01	0.0000e+00	0.0000e+00	5.6234e-07	5.3612e-05	0.0000e+00	0.0000e+00	5.3612e-05
90	-6.20	0.0000e+00	0.0000e+00	0.0000e+00	6.3096e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
90	-6.15	1.0097e+02	0.0000e+00	0.0000e+00	7.0795e-07	7.1483e-05	0.0000e+00	0.0000e+00	7.1483e-05
90	-6.10	4.4995e+01	0.0000e+00	0.0000e+00	7.9433e-07	3.5741e-05	0.0000e+00	0.0000e+00	3.5741e-05
90	-6.05	1.4036e+02	0.0000e+00	2.0051e+01	8.9125e-07	1.2509e-04	0.0000e+00	1.7871e-05	1.4296e-04
90	-6.00	5.3612e+01	0.0000e+00	0.0000e+00	1.0000e-06	5.3612e-05	0.0000e+00	0.0000e+00	5.3612e-05
90	-5.95	2.2298e+02	0.0000e+00	0.0000e+00	1.1220e-06	2.5019e-04	0.0000e+00	0.0000e+00	2.5019e-04
90	-5.90	5.6780e+01	0.0000e+00	1.4195e+01	1.2589e-06	7.1482e-05	0.0000e+00	1.7871e-05	8.9352e-05
90	-5.85	1.1386e+02	0.0000e+00	0.0000e+00	1.4125e-06	1.6084e-04	0.0000e+00	0.0000e+00	1.6084e-04
90	-5.80	2.2552e+01	0.0000e+00	0.0000e+00	1.5849e-06	3.5742e-05	0.0000e+00	0.0000e+00	3.5742e-05
90	-5.75	8.0396e+01	0.0000e+00	0.0000e+00	1.7783e-06	1.4297e-04	0.0000e+00	0.0000e+00	1.4297e-04
90	-5.70	3.5827e+01	0.0000e+00	0.0000e+00	1.9953e-06	7.1484e-05	0.0000e+00	0.0000e+00	7.1484e-05
90	-5.65	9.5791e+01	0.0000e+00	0.0000e+00	2.2387e-06	2.1445e-04	0.0000e+00	0.0000e+00	2.1445e-04
90	-5.60	1.1383e+02	0.0000e+00	0.0000e+00	2.5119e-06	2.8593e-04	0.0000e+00	0.0000e+00	2.8593e-04
90	-5.55	1.2047e+02	0.0000e+00	0.0000e+00	2.8184e-06	3.3954e-04	0.0000e+00	0.0000e+00	3.3954e-04
90	-5.50	9.0420e+01	0.0000e+00	0.0000e+00	3.1623e-06	2.8593e-04	0.0000e+00	0.0000e+00	2.8593e-04
90	-5.45	8.5623e+01	0.0000e+00	5.0366e+00	3.5481e-06	3.0380e-04	0.0000e+00	1.7870e-05	3.2167e-04
90	-5.40	8.9778e+01	0.0000e+00	4.4889e+00	3.9811e-06	3.5741e-04	0.0000e+00	1.7871e-05	3.7528e-04
90	-5.35	8.0015e+01	0.0000e+00	8.0015e+00	4.4668e-06	3.5741e-04	0.0000e+00	3.5741e-05	3.9316e-04
90	-5.30	8.2011e+01	0.0000e+00	3.5656e+00	5.0119e-06	4.1103e-04	0.0000e+00	1.7870e-05	4.2890e-04
90	-5.25	6.9914e+01	0.0000e+00	6.3558e+00	5.6234e-06	3.9315e-04	0.0000e+00	3.5741e-05	4.2890e-04
90	-5.20	9.6298e+01	0.0000e+00	0.0000e+00	6.3096e-06	6.0760e-04	0.0000e+00	0.0000e+00	6.0760e-04
90	-5.15	5.0486e+01	0.0000e+00	1.7670e+01	7.0795e-06	3.5742e-04	0.0000e+00	1.2509e-04	4.8251e-04
90	-5.10	7.6492e+01	0.0000e+00	2.2497e+00	7.9433e-06	6.0760e-04	0.0000e+00	1.7870e-05	6.2547e-04
90	-5.05	7.4189e+01	0.0000e+00	1.4036e+01	8.9125e-06	6.6121e-04	0.0000e+00	1.2509e-04	7.8631e-04
90	-5.00	6.6121e+01	0.0000e+00	2.5019e+01	1.0000e-05	6.6121e-04	0.0000e+00	2.5019e-04	9.1139e-04
