#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
50	-7.30	0.0000e+00	0.0000e+00	0.0000e+00	5.0119e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.25	0.0000e+00	0.0000e+00	0.0000e+00	5.6234e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.20	0.0000e+00	0.0000e+00	0.0000e+00	6.3096e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.15	0.0000e+00	0.0000e+00	0.0000e+00	7.0795e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.10	0.0000e+00	0.0000e+00	0.0000e+00	7.9433e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.05	0.0000e+00	0.0000e+00	0.0000e+00	8.9125e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.95	0.0000e+00	0.0000e+00	0.0000e+00	1.1220e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.90	0.0000e+00	0.0000e+00	0.0000e+00	1.2589e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.85	0.0000e+00	0.0000e+00	0.0000e+00	1.4125e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.80	0.0000e+00	0.0000e+00	0.0000e+00	1.5849e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.75	0.0000e+00	0.0000e+00	0.0000e+00	1.7783e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.70	0.0000e+00	0.0000e+00	0.0000e+00	1.9953e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.65	0.0000e+00	0.0000e+00	0.0000e+00	2.2387e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.60	0.0000e+00	0.0000e+00	0.0000e+00	2.5119e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.55	0.0000e+00	0.0000e+00	0.0000e+00	2.8184e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.50	0.0000e+00	0.0000e+00	0.0000e+00	3.1623e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.45	0.0000e+00	0.0000e+00	0.0000e+00	3.5481e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.40	0.0000e+00	0.0000e+00	0.0000e+00	3.9811e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.35	0.0000e+00	0.0000e+00	0.0000e+00	4.4668e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.30	0.0000e+00	0.0000e+00	0.0000e+00	5.0119e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.25	0.0000e+00	0.0000e+00	0.0000e+00	5.6234e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.20	0.0000e+00	0.0000e+00	0.0000e+00	6.3096e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.15	0.0000e+00	0.0000e+00	0.0000e+00	7.0795e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.10	0.0000e+00	0.0000e+00	0.0000e+00	7.9433e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.05	0.0000e+00	0.0000e+00	0.0000e+00	8.9125e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.95	0.0000e+00	0.0000e+00	0.0000e+00	1.1220e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.90	0.0000e+00	0.0000e+00	0.0000e+00	1.2589e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.85	0.0000e+00	0.0000e+00	0.0000e+00	1.4125e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.80	0.0000e+00	0.0000e+00	0.0000e+00	1.5849e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.75	0.0000e+00	0.0000e+00	0.0000e+00	1.7783e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.70	8.6997e-01	5.2199e+01	0.0000e+00	1.9953e-06	1.7358e-06	1.0415e-04	0.0000e+00	1.0589e-04
50	-5.65	0.0000e+00	2.2176e+02	0.0000e+00	2.2387e-06	0.0000e+00	4.9646e-04	0.0000e+00	4.9646e-04
50	-5.60	0.0000e+00	1.0635e+03	0.0000e+00	2.5119e-06	0.0000e+00	2.6714e-03	0.0000e+00	2.6714e-03
50	-5.55	0.0000e+00	1.4276e+03	0.0000e+00	2.8184e-06	0.0000e+00	4.0236e-03	0.0000e+00	4.0236e-03
50	-5.50	5.4891e-01	2.5454e+03	0.0000e+00	3.1623e-06	1.7358e-06	8.0491e-03	0.0000e+00	8.0509e-03
50	-5.45	0.0000e+00	2.0234e+03	0.0000e+00	3.5481e-06	0.0000e+00	7.1793e-03	0.0000e+00	7.1793e-03
50	-5.40	4.3602e-01	2.5133e+03	0.0000e+00	3.9811e-06	1.7358e-06	1.0005e-02	0.0000e+00	1.0007e-02
50	-5.35	0.0000e+00	2.5332e+03	0.0000e+00	4.4668e-06	0.0000e+00	1.1315e-02	0.0000e+00	1.1315e-02
50	-5.30	0.0000e+00	2.4369e+03	0.0000e+00	5.0119e-06	0.0000e+00	1.2213e-02	0.0000e+00	1.2213e-02
50	-5.25	0.0000e+00	1.8888e+03	0.0000e+00	5.6234e-06	0.0000e+00	1.0621e-02	0.0000e+00	1.0621e-02
50	-5.20	0.0000e+00	1.6674e+03	0.0000e+00	6.3096e-06	0.0000e+00	1.0521e-02	0.0000e+00	1.0521e-02
50	-5.15	0.0000e+00	1.2309e+03	0.0000e+00	7.0795e-06	0.0000e+00	8.7138e-03	0.0000e+00	8.7138e-03
50	-5.10	0.0000e+00	1.5467e+03	0.0000e+00	7.9433e-06	0.0000e+00	1.2286e-02	0.0000e+00	1.2286e-02
50	-5.05	0.0000e+00	1.9624e+03	0.0000e+00	8.9125e-06	0.0000e+00	1.7490e-02	0.0000e+00	1.7490e-02
50	-5.00	0.0000e+00	1.6532e+03	0.0000e+00	1.0000e-05	0.0000e+00	1.6532e-02	0.0000e+00	1.6532e-02
50	-4.95	1.5471e-01	1.7203e+03	0.0000e+00	1.1220e-05	1.7358e-06	1.9302e-02	0.0000e+00	1.9304e-02
50	-4.90	0.0000e+00	1.6128e+03	0.0000e+00	1.2589e-05	0.0000e+00	2.0304e-02	0.0000e+00	2.0304e-02
50	-4.85	0.0000e+00	1.2915e+03	0.0000e+00	1.4125e-05	0.0000e+00	1.8243e-02	0.0000e+00	1.8243e-02
50	-4.80	1.0952e-01	9.0356e+02	0.0000e+00	1.5849e-05	1.7358e-06	1.4321e-02	0.0000e+00	1.4322e-02
50	-4.75	2.9283e-01	1.1713e+03	9.7612e-02	1.7783e-05	5.2074e-06	2.0830e-02	1.7358e-06	2.0837e-02
50	-4.70	0.0000e+00	1.0272e+03	0.0000e+00	1.9953e-05	0.0000e+00	2.0495e-02	0.0000e+00	2.0495e-02
50	-4.65	7.7537e-02	1.1392e+03	0.0000e+00	2.2387e-05	1.7358e-06	2.5504e-02	0.0000e+00	2.5506e-02
50	-4.60	0.0000e+00	1.0927e+03	1.3821e-01	2.5119e-05	0.0000e+00	2.7447e-02	3.4717e-06	2.7450e-02
50	-4.55	0.0000e+00	8.2344e+02	1.2318e-01	2.8184e-05	0.0000e+00	2.3208e-02	3.4716e-06	2.3211e-02
50	-4.50	1.0978e-01	8.1540e+02	5.4891e-02	3.1623e-05	3.4716e-06	2.5785e-02	1.7358e-06	2.5791e-02
50	-4.45	1.9569e-01	6.7953e+02	0.0000e+00	3.5481e-05	6.9433e-06	2.4111e-02	0.0000e+00	2.4118e-02
50	-4.40	4.3602e-02	7.3352e+02	8.7204e-02	3.9811e-05	1.7358e-06	2.9202e-02	3.4717e-06	2.9207e-02
50	-4.35	1.1658e-01	5.9657e+02	7.7720e-02	4.4668e-05	5.2074e-06	2.6648e-02	3.4716e-06	2.6657e-02
50	-4.30	1.0390e-01	8.4050e+02	1.7317e-01	5.0119e-05	5.2074e-06	4.2125e-02	8.6791e-06	4.2139e-02
50	-4.25	3.0868e-02	5.4498e+02	9.2603e-02	5.6234e-05	1.7359e-06	3.0646e-02	5.2075e-06	3.0653e-02
50	-4.20	2.2008e-01	4.9759e+02	1.6506e-01	6.3096e-05	1.3886e-05	3.1396e-02	1.0415e-05	3.1420e-02
50	-4.15	7.3558e-02	4.6451e+02	1.2259e-01	7.0795e-05	5.2075e-06	3.2885e-02	8.6790e-06	3.2899e-02
50	-4.10	6.5559e-02	3.7986e+02	1.7482e-01	7.9433e-05	5.2075e-06	3.0173e-02	1.3887e-05	3.0192e-02
50	-4.05	7.7904e-02	4.2970e+02	9.7380e-02	8.9125e-05	6.9432e-06	3.8297e-02	8.6790e-06	3.8313e-02
50	-4.00	3.4716e-02	3.4750e+02	6.9433e-02	1.0000e-04	3.4716e-06	3.4750e-02	6.9433e-06	3.4761e-02
50	-3.95	7.7352e-02	2.5105e+02	6.1882e-02	1.1220e-04	8.6790e-06	2.8168e-02	6.9433e-06	2.8184e-02
50	-3.90	9.6517e-02	2.9692e+02	1.5167e-01	1.2589e-04	1.2151e-05	3.7380e-02	1.9094e-05	3.7411e-02
50	-3.85	1.4746e-01	3.1048e+02	2.0890e-01	1.4125e-04	2.0830e-05	4.3856e-02	2.9508e-05	4.3907e-02
50	-3.80	1.2048e-01	2.2593e+02	1.5333e-01	1.5849e-04	1.9094e-05	3.5807e-02	2.4301e-05	3.5850e-02
50	-3.75	5.8567e-02	1.8373e+02	1.5618e-01	1.7783e-04	1.0415e-05	3.2672e-02	2.7773e-05	3.2710e-02
50	-3.70	9.5698e-02	2.3490e+02	1.4789e-01	1.9953e-04	1.9094e-05	4.6868e-02	2.9509e-05	4.6917e-02
50	-3.65	9.3044e-02	1.6670e+02	1.1630e-01	2.2387e-04	2.0830e-05	3.7320e-02	2.6037e-05	3.7367e-02
50	-3.60	5.5283e-02	1.7221e+02	1.2439e-01	2.5119e-04	1.3887e-05	4.3257e-02	3.1245e-05	4.3302e-02
50	-3.55	9.8543e-02	1.6062e+02	1.9709e-01	2.8184e-04	2.7773e-05	4.5270e-02	5.5546e-05	4.5353e-02
50	-3.50	8.7826e-02	1.5512e+02	1.1527e-01	3.1623e-04	2.7773e-05	4.9053e-02	3.6452e-05	4.9117e-02
50	-3.45	1.0763e-01	1.1846e+02	1.3698e-01	3.5481e-04	3.8188e-05	4.2031e-02	4.8603e-05	4.2118e-02
50	-3.40	9.1565e-02	1.3268e+02	1.4825e-01	3.9811e-04	3.6453e-05	5.2823e-02	5.9018e-05	5.2918e-02
50	-3.35	1.0104e-01	1.1273e+02	1.8653e-01	4.4668e-04	4.5131e-05	5.0356e-02	8.3319e-05	5.0485e-02
50	-3.30	1.1776e-01	1.0589e+02	1.3161e-01	5.0119e-04	5.9018e-05	5.3070e-02	6.5961e-05	5.3195e-02
50	-3.25	9.8776e-02	7.7545e+01	1.3273e-01	5.6234e-04	5.5546e-05	4.3607e-02	7.4640e-05	4.3737e-02
50	-3.20	5.5022e-02	7.3163e+01	1.8432e-01	6.3096e-04	3.4717e-05	4.6163e-02	1.1630e-04	4.6314e-02
50	-3.15	8.5817e-02	6.8653e+01	1.4466e-01	7.0795e-04	6.0754e-05	4.8603e-02	1.0241e-04	4.8766e-02
50	-3.10	1.1801e-01	6.4628e+01	1.5734e-01	7.9433e-04	9.3735e-05	5.1336e-02	1.2498e-04	5.1554e-02
