Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
You are working in Slatyer et al. Formalism. 
pann(600)= 3.921510e-06
f_halo= 1.612549e-02
3.817715e-01 6.362858e-06 9.999500e+03 
3.817694e-01 6.362824e-06 9.999000e+03 
3.817674e-01 6.362790e-06 9.998500e+03 
3.817654e-01 6.362756e-06 9.998000e+03 
3.817634e-01 6.362723e-06 9.997500e+03 
3.817613e-01 6.362689e-06 9.997000e+03 
3.817593e-01 6.362655e-06 9.996500e+03 
3.817573e-01 6.362621e-06 9.996000e+03 
3.817552e-01 6.362587e-06 9.995500e+03 
3.817532e-01 6.362553e-06 9.995000e+03 
3.817512e-01 6.362519e-06 9.994500e+03 
3.817491e-01 6.362486e-06 9.994000e+03 
3.817471e-01 6.362452e-06 9.993500e+03 
3.817451e-01 6.362418e-06 9.993000e+03 
3.817430e-01 6.362384e-06 9.992500e+03 
3.817410e-01 6.362350e-06 9.992000e+03 
3.817390e-01 6.362316e-06 9.991500e+03 
3.817370e-01 6.362283e-06 9.991000e+03 
3.817349e-01 6.362249e-06 9.990500e+03 
3.817329e-01 6.362215e-06 9.990000e+03 
3.817309e-01 6.362181e-06 9.989500e+03 
3.817288e-01 6.362147e-06 9.989000e+03 
3.817268e-01 6.362113e-06 9.988500e+03 
3.817248e-01 6.362079e-06 9.988000e+03 
3.817227e-01 6.362046e-06 9.987500e+03 
3.817207e-01 6.362012e-06 9.987000e+03 
3.817187e-01 6.361978e-06 9.986500e+03 
3.817166e-01 6.361944e-06 9.986000e+03 
3.817146e-01 6.361910e-06 9.985500e+03 
3.817126e-01 6.361876e-06 9.985000e+03 
3.817105e-01 6.361842e-06 9.984500e+03 
3.817085e-01 6.361808e-06 9.984000e+03 
3.817065e-01 6.361774e-06 9.983500e+03 
3.817044e-01 6.361741e-06 9.983000e+03 
3.817024e-01 6.361707e-06 9.982500e+03 
3.817004e-01 6.361673e-06 9.982000e+03 
3.816983e-01 6.361639e-06 9.981500e+03 
3.816963e-01 6.361605e-06 9.981000e+03 
3.816943e-01 6.361571e-06 9.980500e+03 
3.816922e-01 6.361537e-06 9.980000e+03 
3.816902e-01 6.361503e-06 9.979500e+03 
3.816882e-01 6.361469e-06 9.979000e+03 
3.816861e-01 6.361436e-06 9.978500e+03 
3.816841e-01 6.361402e-06 9.978000e+03 
3.816821e-01 6.361368e-06 9.977500e+03 
3.816800e-01 6.361334e-06 9.977000e+03 
3.816780e-01 6.361300e-06 9.976500e+03 
3.816760e-01 6.361266e-06 9.976000e+03 
3.816739e-01 6.361232e-06 9.975500e+03 
3.816719e-01 6.361198e-06 9.975000e+03 
3.816699e-01 6.361164e-06 9.974500e+03 
3.816678e-01 6.361130e-06 9.974000e+03 
3.816658e-01 6.361096e-06 9.973500e+03 
3.816638e-01 6.361063e-06 9.973000e+03 
3.816617e-01 6.361029e-06 9.972500e+03 
3.816597e-01 6.360995e-06 9.972000e+03 
3.816576e-01 6.360961e-06 9.971500e+03 
3.816556e-01 6.360927e-06 9.971000e+03 
3.816536e-01 6.360893e-06 9.970500e+03 
3.816515e-01 6.360859e-06 9.970000e+03 
3.816495e-01 6.360825e-06 9.969500e+03 
3.816475e-01 6.360791e-06 9.969000e+03 
3.816454e-01 6.360757e-06 9.968500e+03 
3.816434e-01 6.360723e-06 9.968000e+03 
3.816414e-01 6.360689e-06 9.967500e+03 
3.816393e-01 6.360655e-06 9.967000e+03 
3.816373e-01 6.360621e-06 9.966500e+03 
3.816353e-01 6.360588e-06 9.966000e+03 
3.816332e-01 6.360554e-06 9.965500e+03 
3.816312e-01 6.360520e-06 9.965000e+03 
3.816291e-01 6.360486e-06 9.964500e+03 
3.816271e-01 6.360452e-06 9.964000e+03 
3.816251e-01 6.360418e-06 9.963500e+03 
3.816230e-01 6.360384e-06 9.963000e+03 
3.816210e-01 6.360350e-06 9.962500e+03 
3.816190e-01 6.360316e-06 9.962000e+03 
3.816169e-01 6.360282e-06 9.961500e+03 
3.816149e-01 6.360248e-06 9.961000e+03 
3.816128e-01 6.360214e-06 9.960500e+03 
3.816108e-01 6.360180e-06 9.960000e+03 
3.816088e-01 6.360146e-06 9.959500e+03 
3.816067e-01 6.360112e-06 9.959000e+03 
3.816047e-01 6.360078e-06 9.958500e+03 
3.816027e-01 6.360044e-06 9.958000e+03 
3.816006e-01 6.360010e-06 9.957500e+03 
3.815986e-01 6.359976e-06 9.957000e+03 
3.815965e-01 6.359942e-06 9.956500e+03 
3.815945e-01 6.359908e-06 9.956000e+03 
3.815925e-01 6.359874e-06 9.955500e+03 
3.815904e-01 6.359840e-06 9.955000e+03 
3.815884e-01 6.359806e-06 9.954500e+03 
3.815863e-01 6.359772e-06 9.954000e+03 
3.815843e-01 6.359738e-06 9.953500e+03 
3.815823e-01 6.359704e-06 9.953000e+03 
3.815802e-01 6.359670e-06 9.952500e+03 
3.815782e-01 6.359636e-06 9.952000e+03 
3.815761e-01 6.359602e-06 9.951500e+03 
3.815741e-01 6.359569e-06 9.951000e+03 
3.815721e-01 6.359535e-06 9.950500e+03 
3.815700e-01 6.359501e-06 9.950000e+03 
3.815680e-01 6.359467e-06 9.949500e+03 
3.815660e-01 6.359433e-06 9.949000e+03 
3.815639e-01 6.359399e-06 9.948500e+03 
3.815619e-01 6.359365e-06 9.948000e+03 
3.815598e-01 6.359331e-06 9.947500e+03 
3.815578e-01 6.359296e-06 9.947000e+03 
3.815557e-01 6.359262e-06 9.946500e+03 
