z	chi_Mpc	D_M_Mpc	D_A_Mpc	H_1perMpc
0.0100	44.107659963	44.107659142	43.670949645	2.250525764010e-04
0.0200	88.008530322	88.008523800	86.282866470	2.239018732128e-04
0.0300	131.701462916	131.701441059	127.865476756	2.227891558536e-04
0.0400	175.185373350	175.185321909	168.447424912	2.217133072177e-04
0.0500	218.459240934	218.459141180	208.056324934	2.206732507702e-04
0.0600	261.522108319	261.521937182	246.718808662	2.196679455438e-04
0.0700	304.373080970	304.372811174	284.460571190	2.186963882572e-04
0.0800	347.011326845	347.010927040	321.306413926	2.177576112587e-04
0.0900	389.436075841	389.435510740	357.280285083	2.168506779572e-04
0.1000	431.646619069	431.645849580	392.405317800	2.159746846291e-04
0.1100	473.642308385	473.641291740	426.703866433	2.151287591029e-04
0.1200	515.422555627	515.421245517	460.197540640	2.143120558906e-04
0.1300	556.986831783	556.985178481	492.907237594	2.135237587784e-04
0.1400	598.334666394	598.332616886	524.853172707	2.127630797409e-04
0.1500	639.465646540	639.463144646	556.054908388	2.120292531629e-04
0.1600	680.379416021	680.376402524	586.531381487	2.113215408266e-04
0.1700	721.075674570	721.072087336	616.300929347	2.106392269106e-04
0.1800	761.554176680	761.549950778	645.381314218	2.099816183579e-04
0.1900	801.814730832	801.809798650	673.789746765	2.093480451547e-04
0.2000	841.857198406	841.851489772	701.542908144	2.087378563597e-04
0.2100	881.681492603	881.674934897	728.656970989	2.081504228238e-04
0.2200	921.287577541	921.280095805	755.147619512	2.075851339885e-04
0.2300	960.675466978	960.666984032	781.030068319	2.070413981132e-04
0.2400	999.845223403	999.835659947	806.319080603	2.065186423716e-04
0.2500	1038.796956811	1038.786231536	831.028985229	2.060163096749e-04
0.2600	1077.530823611	1077.518853300	855.173693095	2.055338611290e-04
0.2700	1116.047025532	1116.033725163	878.766712727	2.050707729949e-04
0.2800	1154.345808389	1154.331091234	901.821165026	2.046265376658e-04
0.2900	1192.427461046	1192.411238766	924.349797493	2.042006622498e-04
0.3000	1230.292314137	1230.274496882	946.364997602	2.037926682735e-04
0.3100	1267.940739020	1267.921235517	967.878805738	2.034020917415e-04
0.3200	1305.373146525	1305.351864171	988.902927402	2.030284813247e-04
0.3300	1342.589985853	1342.566830803	1009.448744965	2.026713994252e-04
0.3400	1379.591743388	1379.566620639	1029.527328835	2.023304206055e-04
0.3500	1416.378941551	1416.351755030	1049.149448170	2.020051318181e-04
0.3600	1452.952137649	1452.922790289	1068.325581095	2.016951316770e-04
0.3700	1489.311922737	1489.280316558	1087.065924495	2.014000301526e-04
0.3800	1525.458920466	1525.424956656	1105.380403374	2.011194482940e-04
0.3900	1561.393785988	1561.357364972	1123.278679836	2.008530176389e-04
0.4000	1597.117204796	1597.078226312	1140.770161652	2.006003802072e-04
0.4100	1632.629891680	1632.588254849	1157.864010531	2.003611877446e-04
0.4200	1667.932589560	1667.888192954	1174.569149968	2.001351019006e-04
0.4300	1703.026068499	1702.978810206	1190.894272871	1.999217933614e-04
0.4400	1737.911124534	1737.860902224	1206.847848767	1.997209421949e-04
0.4500	1772.588578746	1772.535289733	1222.438130850	1.995322368303e-04
0.4600	1807.059276101	1807.002817400	1237.673162603	1.993553746325e-04
0.4700	1841.324084565	1841.264352953	1252.560784322	1.991900606659e-04
0.4800	1875.383893970	1875.320786042	1267.108639217	1.990360085724e-04
0.4900	1909.239615171	1909.173027392	1281.324179458	1.988929389980e-04
0.5000	1942.892178947	1942.822007706	1295.214671804	1.987605809343e-04
0.5100	1976.342535185	1976.268676844	1308.787203208	1.986386696081e-04
0.5200	2009.591651838	2009.514002782	1322.048686041	1.985269485295e-04
0.5300	2042.640514115	2042.558970796	1335.005863265	1.984251665407e-04
0.5400	2075.490123528	2075.404582512	1347.665313320	1.983330809177e-04
0.5500	2108.141497048	2108.051855057	1360.033454876	1.982504532146e-04
0.5600	2140.595666291	2140.501820247	1372.116551440	1.981770537154e-04
0.5700	2172.853676582	2172.755523641	1383.920715695	1.981126560205e-04
0.5800	2204.916586337	2204.814023932	1395.451913881	1.980570420622e-04
0.5900	2236.785466025	2236.678391904	1406.715969751	1.980099983433e-04
0.6000	2268.461397680	2268.349709934	1417.718568709	1.979713166545e-04
0.6100	2299.945473871	2299.829070975	1428.465261475	1.979407949838e-04
0.6200	2331.238797235	2331.117578074	1438.961467947	1.979182355120e-04
0.6300	2362.342479553	2362.216343458	1449.212480649	1.979034469467e-04
0.6400	2393.257641212	2393.126487985	1459.223468283	1.978962409231e-04
0.6500	2423.985410480	2423.849140423	1468.999479044	1.978964364170e-04
0.6600	2454.526922786	2454.385436727	1478.545443812	1.979038541322e-04
0.6700	2484.883320295	2484.736519616	1487.866179411	1.979183219715e-04
0.6800	2515.055751012	2514.903537669	1496.966391470	1.979396709727e-04
0.6900	2545.045368484	2544.887645033	1505.850677534	1.979677360769e-04
0.7000	2574.853330972	2574.690000588	1514.523529758	1.980023577253e-04
0.7100	2604.480801071	2604.311767571	1522.989337761	1.980433783517e-04
0.7200	2633.928945118	2633.754112977	1531.252391266	1.980906466959e-04
0.7300	2663.198932575	2663.018206947	1539.316882629	1.981440135229e-04
0.7400	2692.291935767	2692.105222502	1547.186909484	1.982033340772e-04
0.7500	2721.209129098	2721.016334755	1554.866477003	1.982684674988e-04
0.7600	2749.951688841	2749.752720707	1562.359500402	1.983392751435e-04
0.7700	2778.520792534	2778.315558638	1569.669807140	1.984156238570e-04
0.7800	2806.917618539	2806.706027663	1576.801139136	1.984973812798e-04
0.7900	2835.143345803	2834.925307494	1583.757155025	1.985844205844e-04
0.8000	2863.199153178	2862.974577763	1590.541432090	1.986766172418e-04
0.8100	2891.086219288	2890.855017882	1597.157468443	1.987738488509e-04
0.8200	2918.805722004	2918.567806520	1603.608684901	1.988759979065e-04
0.8300	2946.358838067	2946.114121228	1609.898426901	1.989829476258e-04
0.8400	2973.746742939	2973.495138282	1616.029966458	1.990945858333e-04
0.8500	3000.970610195	3000.712032084	1622.006503829	1.992108027023e-04
0.8600	3028.031611432	3027.765975058	1627.831169386	1.993314897671e-04
0.8700	3054.930915863	3054.658137256	1633.507025271	1.994565430784e-04
