# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE               BB               phiphi           Tphi             Ephi             
   2 1.3192005508e-10 6.2650309424e-15 4.0007404862e-13 2.5297438792e-19 8.1762970784e-09 4.6969047130e-10 -2.1457211785e-12
   3 1.2472401991e-10 9.8297504789e-15 4.9390257647e-13 5.0512169751e-19 5.0142291596e-09 3.3415851541e-10 -1.8355961508e-12
   4 1.1770877885e-10 1.0564846737e-14 5.0233398364e-13 8.4078651514e-19 3.4888338496e-09 2.5444780945e-10 -1.3921419289e-12
   5 1.1231453045e-10 8.9160951699e-15 4.6048203471e-13 1.2601799787e-18 2.6054130097e-09 2.0204593581e-10 -9.6743022296e-13
   6 1.0848590112e-10 6.2469275558e-15 3.9608266150e-13 1.7636123641e-18 2.0367914728e-09 1.6512080438e-10 -6.0347535294e-13
   7 1.0595129645e-10 3.7874435051e-15 3.2700107185e-13 2.3513236667e-18 1.6440408519e-09 1.3783115583e-10 -3.1287181395e-13
   8 1.0439557332e-10 2.1388602926e-15 2.6313463900e-13 3.0234661017e-18 1.3598682565e-09 1.1701469324e-10 -1.0298696710e-13
   9 1.0361979127e-10 1.3093587382e-15 2.1013661471e-13 3.7801593365e-18 1.1459100942e-09 1.0071008055e-10 2.9528707989e-14
  10 1.0344508952e-10 1.0012184338e-15 1.7064013468e-13 4.6215433934e-18 9.8016961706e-10 8.7684478098e-11 9.7515556337e-14
  11 1.0372055011e-10 8.9951454154e-16 1.4478151899e-13 5.5477969921e-18 8.4873162661e-10 7.7113461812e-11 1.1663464748e-13
  12 1.0434501890e-10 8.2189289245e-16 1.3110158818e-13 6.5591289012e-18 7.4256970555e-10 6.8410326620e-11 1.0314602472e-13
  13 1.0524165303e-10 7.2494328505e-16 1.2710862676e-13 7.6557616251e-18 6.5535933320e-10 6.1150257523e-11 7.1901266993e-14
  14 1.0635440401e-10 6.3678226868e-16 1.2990827694e-13 8.8379211920e-18 5.8275509541e-10 5.5019094439e-11 3.5010513236e-14
  15 1.0764382459e-10 5.8954791373e-16 1.3676566040e-13 1.0105834712e-17 5.2159909985e-10 4.9782407077e-11 1.1010691322e-15
  16 1.0907593100e-10 5.8907773505e-16 1.4542967523e-13 1.1459731835e-17 4.6955661838e-10 4.5264179434e-11 -2.4695284394e-14
  17 1.1062652494e-10 6.1972776864e-16 1.5430471251e-13 1.2899845038e-17 4.2486970780e-10 4.1329469850e-11 -4.0332309362e-14
  18 1.1228360451e-10 6.6309791514e-16 1.6250215565e-13 1.4426407772e-17 3.8619064249e-10 3.7874242800e-11 -4.6207151312e-14
  19 1.1402584106e-10 7.1157485029e-16 1.6968769106e-13 1.6039650992e-17 3.5247385923e-10 3.4821768407e-11 -4.4254262770e-14
  20 1.1584722021e-10 7.6985598193e-16 1.7599015363e-13 1.7739800543e-17 3.2289454800e-10 3.2109486111e-11 -3.7215802076e-14
  21 1.1773359642e-10 8.4827513574e-16 1.8175610728e-13 1.9527075650e-17 2.9679641996e-10 2.9690281134e-11 -2.7907905991e-14
  22 1.1967965555e-10 9.5526196321e-16 1.8742311866e-13 2.1401689015e-17 2.7364785494e-10 2.7524415369e-11 -1.8723771754e-14
  23 1.2167701482e-10 1.0938178443e-15 1.9334881961e-13 2.3363846880e-17 2.5301687474e-10 2.5580129228e-11 -1.1347963709e-14
  24 1.2372055149e-10 1.2624315309e-15 1.9973990453e-13 2.5413749225e-17 2.3455013538e-10 2.3829775384e-11 -6.6535779697e-15
  25 1.2580637007e-10 1.4579960028e-15 2.0661698381e-13 2.7551588978e-17 2.1793939981e-10 2.2249301286e-11 -4.7810057502e-15
  26 1.2793051102e-10 1.6781484397e-15 2.1382086289e-13 2.9777551424e-17 2.0298303420e-10 2.0817959996e-11 -5.3086733589e-15
  27 1.3009080124e-10 1.9218950310e-15 2.2104777277e-13 3.2091812890e-17 1.8943350666e-10 1.9517601679e-11 -7.4637508083e-15
  28 1.3228557845e-10 2.1890370782e-15 2.2793867837e-13 3.4494540223e-17 1.7711742380e-10 1.8332236709e-11 -1.0376382111e-14
  29 1.3451316376e-10 2.4794417421e-15 2.3412262948e-13 3.6985889756e-17 1.6591321377e-10 1.7247589295e-11 -1.3251797691e-14
  30 1.3677240206e-10 2.7928911416e-15 2.3927028578e-13 3.9566006899e-17 1.5569329051e-10 1.6251903214e-11 -1.5482604907e-14
  31 1.3906246642e-10 3.1294552100e-15 2.4314674483e-13 4.2235025217e-17 1.4632443150e-10 1.5335278859e-11 -1.6743563874e-14
  32 1.4138240108e-10 3.4899616544e-15 2.4562522833e-13 4.4993066240e-17 1.3772544571e-10 1.4489368042e-11 -1.6967891216e-14
  33 1.4373110755e-10 3.8761205311e-15 2.4664825914e-13 4.7840238719e-17 1.2981519042e-10 1.3706744212e-11 -1.6286292483e-14
  34 1.4610769315e-10 4.2901921979e-15 2.4626234520e-13 5.0776638851e-17 1.2251126080e-10 1.2981413139e-11 -1.4983975353e-14
  35 1.4851119810e-10 4.7344667231e-15 2.4455133002e-13 5.3802350193e-17 1.1577522194e-10 1.2308502985e-11 -1.3395318567e-14
  36 1.5094099250e-10 5.2108035663e-15 2.4161003599e-13 5.6917444252e-17 1.0955089512e-10 1.1683528992e-11 -1.1846029703e-14
  37 1.5339605715e-10 5.7204703190e-15 2.3751433158e-13 6.0121980520e-17 1.0376886071e-10 1.1102389166e-11 -1.0557461391e-14
  38 1.5587602137e-10 6.2642071570e-15 2.3230230743e-13 6.3416007170e-17 9.8399571600e-11 1.0561133177e-11 -9.6818470404e-15
  39 1.5838033769e-10 6.8424424535e-15 2.2596385399e-13 6.6799560928e-17 9.3404451382e-11 1.0056657069e-11 -9.2521806424e-15
  40 1.6090910565e-10 7.4554709447e-15 2.1844065717e-13 7.0272667624e-17 8.8750152222e-11 9.5860377036e-12 -9.2169926496e-15
  41 1.6346187604e-10 8.1035578230e-15 2.0964008916e-13 7.3835342221e-17 8.4377695473e-11 9.2508653095e-12 -1.1330507370e-14
  42 1.6603906019e-10 8.7899769106e-15 2.0040600452e-13 7.7487589577e-17 8.0321481320e-11 8.8389171039e-12 -1.1727591116e-14
  43 1.6864044800e-10 9.5094817732e-15 1.8879593085e-13 8.1229404977e-17 7.6525998682e-11 8.4525417717e-12 -1.2132964835e-14
  44 1.7126654185e-10 1.0265021418e-14 1.7558953799e-13 8.5060774201e-17 7.2969946111e-11 8.0898623588e-12 -1.2445384935e-14
  45 1.7391719110e-10 1.1057043357e-14 1.6071125952e-13 8.8981674159e-17 6.9634140817e-11 7.7487531685e-12 -1.2600095619e-14
  46 1.7659275606e-10 1.1886102485e-14 1.4410304123e-13 9.2992073485e-17 6.6501278104e-11 7.4272260475e-12 -1.2557116686e-14
  47 1.7929319942e-10 1.2752824410e-14 1.2575074401e-13 9.7091932947e-17 6.3555705931e-11 7.1240306175e-12 -1.2345092664e-14
  48 1.8201874254e-10 1.3657844096e-14 1.0566614710e-13 1.0128120641e-16 6.0783245927e-11 6.8379673432e-12 -1.2005713833e-14
