# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.496485656466e-10       7.302452673916e-15       4.831725766789e-13       0.000000000000e+00       8.708007053459e-09       4.849011310181e-10      -2.510179930875e-12 
    3       1.410312780552e-10       1.236020992391e-14       6.074145442903e-13       0.000000000000e+00       5.404151723426e-09       3.464524096680e-10      -2.208832185910e-12 
    4       1.325393240734e-10       1.443059024279e-14       6.283238236053e-13       0.000000000000e+00       3.767201427734e-09       2.636727853532e-10      -1.761855896666e-12 
    5       1.258125822917e-10       1.334496854957e-14       5.883777112841e-13       0.000000000000e+00       2.814104098389e-09       2.091631047093e-10      -1.307729478991e-12 
    6       1.208569847552e-10       1.029623104033e-14       5.176623898182e-13       0.000000000000e+00       2.199164494672e-09       1.707730421175e-10      -8.935281086583e-13 
    7       1.173741204595e-10       6.823485243848e-15       4.366280681001e-13       0.000000000000e+00       1.773937609074e-09       1.424317078850e-10      -5.434888306518e-13 
    8       1.150435080203e-10       4.031899630514e-15       3.576082581025e-13       0.000000000000e+00       1.465152588776e-09       1.207719762725e-10      -2.683858532929e-13 
    9       1.136201192504e-10       2.330874340208e-15       2.878928144987e-13       0.000000000000e+00       1.233277187719e-09       1.037824713963e-10      -6.983496779708e-14 
   10       1.128882577706e-10       1.568586011110e-15       2.315425142327e-13       0.000000000000e+00       1.054321297195e-09       9.020256009332e-11       5.750606440066e-14 
   11       1.127074247533e-10       1.343610724634e-15       1.903063077047e-13       0.000000000000e+00       8.886880779372e-10       7.944374600502e-11       1.232430326813e-13 
   12       1.129688672070e-10       1.286147855758e-15       1.638505915481e-13       0.000000000000e+00       7.765264497831e-10       7.022981940854e-11       1.420138990466e-13 
   13       1.135526243339e-10       1.198637515112e-15       1.503820632001e-13       0.000000000000e+00       6.844552060276e-10       6.269868369315e-11       1.275833919786e-13 
   14       1.143595226919e-10       1.053056310682e-15       1.473434535810e-13       0.000000000000e+00       6.078496484184e-10       5.616585859878e-11       9.266981508547e-14 
   15       1.153960669316e-10       9.091882114326e-16       1.516886591702e-13       0.000000000000e+00       5.433684450740e-10       5.070664669834e-11       4.950139770334e-14 
   16       1.166230278016e-10       8.283497168590e-16       1.603881424586e-13       0.000000000000e+00       4.885445690006e-10       4.607979588060e-11       7.183149764866e-15 
   17       1.179581458390e-10       8.278607468650e-16       1.709421751463e-13       0.000000000000e+00       4.415146609080e-10       4.208619239029e-11      -2.792608523720e-14 
   18       1.194049012009e-10       8.803265333822e-16       1.814784354115e-13       0.000000000000e+00       4.006944297302e-10       3.854002123925e-11      -5.227763977057e-14 
   19       1.209712191298e-10       9.531621853419e-16       1.910155943134e-13       0.000000000000e+00       3.654367432120e-10       3.541102438714e-11      -6.500554356104e-14 
   20       1.226015489212e-10       1.012976983407e-15       1.988102710533e-13       0.000000000000e+00       3.343828063970e-10       3.264533228961e-11      -6.695891230051e-14 
   21       1.243077568881e-10       1.062740225988e-15       2.049527429041e-13       0.000000000000e+00       3.070451521977e-10       3.019855063666e-11      -6.028128319731e-14 
   22       1.260893258692e-10       1.120557549170e-15       2.099117306735e-13       0.000000000000e+00       2.827701028345e-10       2.798942319141e-11      -4.831748664375e-14 
   23       1.279353154086e-10       1.205652731953e-15       2.141437315164e-13       0.000000000000e+00       2.612241845858e-10       2.598729448218e-11      -3.399711424129e-14 
   24       1.298135731552e-10       1.336431849474e-15       2.181718921718e-13       0.000000000000e+00       2.419096030539e-10       2.415912101313e-11      -2.040030175347e-14 
   25       1.317412817420e-10       1.513432424851e-15       2.224741045377e-13       0.000000000000e+00       2.245994738689e-10       2.251448787556e-11      -9.381642584793e-15 
   26       1.337311331465e-10       1.729847375866e-15       2.274763306837e-13       0.000000000000e+00       2.089807960411e-10       2.105580873624e-11      -2.299058732253e-15 
   27       1.357640512638e-10       1.979202194415e-15       2.332130638284e-13       0.000000000000e+00       1.948663125330e-10       1.974971079341e-11       6.518110097680e-16 
   28       1.378040173465e-10       2.254958891717e-15       2.395233094784e-13       0.000000000000e+00       1.820127416789e-10       1.854483930628e-11      -1.373882308251e-16 
   29       1.398607612745e-10       2.556647757292e-15       2.461029438077e-13       0.000000000000e+00       1.703545267868e-10       1.743690481622e-11      -3.857092434000e-15 
   30       1.419486579940e-10       2.885583068559e-15       2.525071317382e-13       0.000000000000e+00       1.597665822331e-10       1.642760884984e-11      -9.275843054947e-15 
   31       1.440717051429e-10       3.242450292983e-15       2.582120419329e-13       0.000000000000e+00       1.500330524734e-10       1.550929665882e-11      -1.495041124220e-14 
   32       1.462328357868e-10       3.625082160861e-15       2.628422962409e-13       0.000000000000e+00       1.411037493007e-10       1.467249892545e-11      -2.001173364494e-14 
   33       1.484253645978e-10       4.029746868204e-15       2.660179145303e-13       0.000000000000e+00       1.329156013383e-10       1.389928416149e-11      -2.364654350239e-14 
   34       1.506364167598e-10       4.453214681188e-15       2.673713760911e-13       0.000000000000e+00       1.253541080910e-10       1.316782259274e-11      -2.511013685512e-14 
   35       1.528725655530e-10       4.898201464933e-15       2.668274625789e-13       0.000000000000e+00       1.183806283447e-10       1.247877547252e-11      -2.451144976093e-14 
   36       1.551415067815e-10       5.369899115231e-15       2.644234066857e-13       0.000000000000e+00       1.119392781488e-10       1.183727469286e-11      -2.231364367631e-14 
   37       1.574455563819e-10       5.873669829938e-15       2.602393935107e-13       0.000000000000e+00       1.059462940393e-10       1.124552865466e-11      -1.908346087875e-14 
   38       1.597852040401e-10       6.411779475594e-15       2.544019213743e-13       0.000000000000e+00       1.003862275044e-10       1.070238273854e-11      -1.529923956206e-14 
   39       1.621555020131e-10       6.985630208784e-15       2.470870778390e-13       0.000000000000e+00       9.524146654297e-11       1.020306656910e-11      -1.149456532520e-14 
   40       1.645442257146e-10       7.596633201051e-15       2.385238366990e-13       0.000000000000e+00       9.046297333413e-11       9.738895087598e-12      -8.318924007195e-15 
   41       1.669374951686e-10       8.245966084431e-15       2.289292610861e-13       0.000000000000e+00       8.598737635012e-11       9.300021034080e-12      -6.374594469118e-15 
   42       1.693405072913e-10       8.933754204264e-15       2.182809133674e-13       0.000000000000e+00       8.180152882150e-11       8.885552019942e-12      -5.646234790975e-15 
   43       1.717623854620e-10       9.659620119747e-15       2.064758395862e-13       0.000000000000e+00       7.789435191408e-11       8.496179382116e-12      -5.897673172788e-15 
   44       1.742101925125e-10       1.042288369315e-14       1.933908338227e-13       0.000000000000e+00       7.423746216623e-11       8.131273027952e-12      -6.821702422559e-15 
   45       1.766885980704e-10       1.122282396583e-14       1.788903068280e-13       0.000000000000e+00       7.079531636848e-11       7.789322307726e-12      -8.082902924553e-15 
   46       1.791993744618e-10       1.205960098751e-14       1.628560715074e-13       0.000000000000e+00       6.756250959123e-11       7.469683710383e-12      -9.472121858264e-15 
   47       1.817413079961e-10       1.293357865291e-14       1.451640263407e-13       0.000000000000e+00       6.453528418640e-11       7.171162273468e-12      -1.079042187072e-14 
   48       1.843100013950e-10       1.384506657351e-14       1.256747548339e-13       0.000000000000e+00       6.170027959024e-11       6.891422756125e-12      -1.180392551418e-14 
   49       1.868976096988e-10       1.479431802633e-14       1.042326292108e-13       0.000000000000e+00       5.903381817119e-11       6.626907889522e-12      -1.224198487381e-14 
   50       1.894960555304e-10       1.578153280166e-14       8.070785137097e-14       0.000000000000e+00       5.650903818403e-11       6.373870501670e-12      -1.188329283952e-14 
   51       1.921083164728e-10       1.680687141605e-14       5.513810830140e-14       0.000000000000e+00       5.412123201019e-11       6.131989830810e-12      -1.084601899209e-14 
   52       1.947397450201e-10       1.787044121164e-14       2.762381810189e-14       0.000000000000e+00       5.186815124064e-11       5.901595510266e-12      -9.373263912867e-15 
   53       1.973947590211e-10       1.897229001706e-14      -1.710349058410e-15       0.000000000000e+00       4.974242399805e-11       5.682610851173e-12      -7.754254007594e-15 
   54       2.000767413198e-10       2.011240432672e-14      -3.271434667166e-14       0.000000000000e+00       4.773121006024e-11       5.474523510523e-12      -6.326649564411e-15 
   55       2.027880771562e-10       2.129073603257e-14      -6.524851510109e-14       0.000000000000e+00       4.582011964370e-11       5.276620040448e-12      -5.397466299879e-15 
   56       2.055305071631e-10       2.250729456663e-14      -9.930385065200e-14       0.000000000000e+00       4.400689984455e-11       5.088824965415e-12      -4.977547804889e-15 
   57       2.083046862732e-10       2.376207445959e-14      -1.349096446739e-13       0.000000000000e+00       4.229054412509e-11       4.911018772601e-12      -4.985173098780e-15 
   58       2.111099607179e-10       2.505502810118e-14      -1.720995198536e-13       0.000000000000e+00       4.066715167246e-11       4.742773657091e-12      -5.320819822320e-15 
   59       2.139442730345e-10       2.638606503189e-14      -2.109117431202e-13       0.000000000000e+00       3.912974863877e-11       4.583334471016e-12      -5.866301392630e-15 
