# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341354385e-10       4.176086487289e-15       3.515761247480e-13       2.323324434893e-19       8.285700864043e-09       4.560794619797e-10      -1.840600396559e-12 
    3       1.306088274932e-10       5.351275202370e-15       3.951629285272e-13       4.647553137368e-19       5.086963624179e-09       3.225653631594e-10      -1.393870156763e-12 
    4       1.235436785314e-10       4.627240341995e-15       3.695432460774e-13       7.747915220300e-19       3.522983251416e-09       2.438408440312e-10      -9.122245259357e-13 
    5       1.182602899189e-10       3.085974768306e-15       3.147003996154e-13       1.162557181000e-18       2.621516519829e-09       1.923923820338e-10      -5.067135435892e-13 
    6       1.146396072221e-10       1.725603559506e-15       2.534557931986e-13       1.628193689801e-18       2.042590358271e-09       1.563935182778e-10      -2.080082806226e-13 
    7       1.122822483505e-10       9.335020754340e-16       1.990061312759e-13       2.171865387914e-18       1.644358566172e-09       1.299931986689e-10      -1.760723899487e-14 
    8       1.109081807897e-10       6.038238265947e-16       1.571242754545e-13       2.793756881739e-18       1.356592502342e-09       1.099887336367e-10       7.943242717031e-14 
    9       1.102693324286e-10       4.859094309218e-16       1.290899922277e-13       3.494070113863e-18       1.140655034546e-09       9.448220023644e-11       1.064493835548e-13 
   10       1.101354185865e-10       4.150351498140e-16       1.135792926060e-13       4.273021250524e-18       9.737536593782e-10       8.220663513243e-11       8.928873663452e-14 
   11       1.104473731458e-10       3.497986859765e-16       1.079343365475e-13       5.130837466131e-18       8.334433332985e-10       7.301999829784e-11       5.203849829817e-14 
