# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537006577e+01 
       2.326965112666e-05       1.050300526723e+02 
       3.616368417375e-05       1.608004190520e+02 
       4.913719192485e-05       2.162184423017e+02 
       6.222526307468e-05       2.716135682221e+02 
       7.546386574649e-05       3.272350781834e+02 
       8.889016873453e-05       3.832976870845e+02 
       1.025428769068e-04       4.400002620749e+02 
       1.164625850536e-04       4.975354594011e+02 
       1.306921545019e-04       5.560955875727e+02 
       1.452771168203e-04       6.158767099446e+02 
       1.602661088862e-04       6.770818629883e+02 
       1.757113434113e-04       7.399238153492e+02 
       1.916691186669e-04       8.046276082557e+02 
       2.082003705119e-04       8.714330005700e+02 
       2.253712687827e-04       9.405968880693e+02 
       2.432538584903e-04       1.012395745556e+03 
       2.619267438711e-04       1.087128084448e+03 
       2.814758098934e-04       1.165116929314e+03 
       3.019949710081e-04       1.246712254785e+03 
       3.235869303808e-04       1.332293316636e+03 
       3.463639241639e-04       1.422270766950e+03 
       3.704484141795e-04       1.517088385587e+03 
       3.959736784465e-04       1.617224231265e+03 
       4.230842322809e-04       1.723190921507e+03 
       4.519359937387e-04       1.835534712867e+03 
       4.826960872144e-04       1.954832964236e+03 
       5.155421604781e-04       2.081689527605e+03 
       5.506610772693e-04       2.216727579421e+03 
       5.882468453750e-04       2.360579417648e+03 
       6.284976560808e-04       2.513872888101e+03 
       6.716119527484e-04       2.677214255138e+03 
       7.177835205273e-04       2.851167695516e+03 
       7.671956979860e-04       3.036232033569e+03 
       8.200149489180e-04       3.232815839292e+03 
       8.763841818207e-04       3.441212620419e+03 
       9.364163371341e-04       3.661578175734e+03 
       1.000188842513e-03       3.893912555582e+03 
       1.067739530634e-03       4.138048809981e+03 
       1.139064503776e-03       4.393650193856e+03 
       1.214118222002e-03       4.660216782563e+03 
       1.292815823260e-03       4.937100930848e+03 
       1.375037410330e-03       5.223510082908e+03 
       1.460633819817e-03       5.518572235326e+03 
       1.549433264401e-03       5.821370253864e+03 
       1.641248224555e-03       6.130931112469e+03 
       1.735882044826e-03       6.446272505980e+03 
       1.833134828495e-03       6.766426392370e+03 
       1.932808384171e-03       7.090457900434e+03 
       2.034710126273e-03       7.417479759213e+03 
       2.138655948704e-03       7.746661728674e+03 
       2.244472170009e-03       8.077237237817e+03 
       2.351996691270e-03       8.408505499671e+03 
       2.461079522327e-03       8.739830717897e+03 
       2.571582826552e-03       9.070642165561e+03 
       2.683380617625e-03       9.400428752498e+03 
       2.796358219767e-03       9.728736850625e+03 
       2.910411580188e-03       1.005516448979e+04 
       3.025446501437e-03       1.037935853354e+04 
       3.141377843278e-03       1.070100809793e+04 
       3.258128729027e-03       1.101984287931e+04 
       3.375629779701e-03       1.133562615702e+04 
       3.493818390642e-03       1.164815368256e+04 
       3.612638058872e-03       1.195724819952e+04 
       3.732037764891e-03       1.226275948860e+04 
       3.851971409492e-03       1.256455614343e+04 
       3.972397304111e-03       1.286253061997e+04 
       4.093277711952e-03       1.315658967562e+04 
       4.214578436392e-03       1.344665873136e+04 
       4.336268452808e-03       1.373267310585e+04 
       4.458319579921e-03       1.401458592670e+04 
       4.580706186804e-03       1.429235638108e+04 
       4.703404931905e-03       1.456594849640e+04 
       4.826394530699e-03       1.483530442763e+04 
       4.949655548838e-03       1.510050657293e+04 
       5.073170217971e-03       1.536146888113e+04 
       5.196922271687e-03       1.561821119448e+04 
       5.320896799291e-03       1.587077464342e+04 
       5.445080115389e-03       1.611917143052e+04 
       5.569459643462e-03       1.636335305526e+04 
       5.694023811832e-03       1.660261943289e+04 
       5.818761960618e-03       1.683846152830e+04 
       5.943664258416e-03       1.707016158675e+04 
       6.068721627603e-03       1.729769726282e+04 
       6.193925677305e-03       1.752122600781e+04 
       6.319268643164e-03       1.774084805144e+04 
       6.444743333143e-03       1.795662256198e+04 
       6.570343078715e-03       1.816789634603e+04 
       6.696061690841e-03       1.837529612652e+04 
       6.821893420219e-03       1.857871610525e+04 
       6.947832921347e-03       1.877832688892e+04 
       7.073875219992e-03       1.897407717844e+04 
       7.200015683710e-03       1.916595670036e+04 
       7.326249995097e-03       1.935404222291e+04 
       7.452574127488e-03       1.953822182436e+04 
       7.578984322862e-03       1.971886760695e+04 
       7.705477071717e-03       1.989631446925e+04 
       7.832049094729e-03       2.006958486458e+04 
       7.958697326016e-03       2.023922028746e+04 
       8.085418897848e-03       2.040527691844e+04 
       8.212211126666e-03       2.056784231094e+04 
       8.339071500282e-03       2.072688058926e+04 
       8.465997666151e-03       2.088244625697e+04 
       8.592987420613e-03       2.103458064838e+04 
       8.720038699016e-03       2.118333594170e+04 
       8.847149566641e-03       2.132872273527e+04 
       8.974318210349e-03       2.147075130487e+04 
       9.101542930899e-03       2.160952503027e+04 
       9.228822135867e-03       2.174505219976e+04 
       9.356154333111e-03       2.187736170343e+04 
       9.483538124748e-03       2.200650838577e+04 
       9.610972201586e-03       2.213251443115e+04 
       9.738455337982e-03       2.225544312373e+04 
       9.865986387077e-03       2.237521206885e+04 
       9.993564276402e-03       2.249205627788e+04 
       1.012118800379e-02       2.260576026278e+04 
       1.024885663360e-02       2.271655203809e+04 
       1.037656929323e-02       2.282447925854e+04 
       1.050432516982e-02       2.292943315002e+04 
       1.063212350728e-02       2.303145201115e+04 
       1.075996360348e-02       2.313077166760e+04 
       1.088784480763e-02       2.322710558966e+04 
       1.101576651788e-02       2.332079515572e+04 
       1.114372817906e-02       2.341171817369e+04 
       1.127172928058e-02       2.349993378978e+04 
       1.139976935452e-02       2.358545266954e+04 
       1.152784797380e-02       2.366832539907e+04 
       1.165596475048e-02       2.374859093904e+04 
       1.178411933424e-02       2.382626712232e+04 
       1.191231141088e-02       2.390138332702e+04 
       1.204054070099e-02       2.397403790719e+04 
       1.216880695870e-02       2.404401207209e+04 
       1.229710997048e-02       2.411163909344e+04 
       1.242544955407e-02       2.417679300984e+04 
       1.255382555749e-02       2.423957756120e+04 
       1.268223785804e-02       2.429995650954e+04 
       1.281068636151e-02       2.435802915368e+04 
       1.293917100131e-02       2.441371678073e+04 
       1.306769173775e-02       2.446713958173e+04 
       1.319624855738e-02       2.451823795554e+04 
       1.332484147227e-02       2.456714830613e+04 
       1.345347051952e-02       2.461385885688e+04 
       1.358213576065e-02       2.465839952356e+04 
       1.371083728114e-02       2.470066625204e+04 
       1.383957518996e-02       2.474081962147e+04 
       1.396834961917e-02       2.477886995619e+04 
       1.409716072353e-02       2.481488567273e+04 
       1.422600868017e-02       2.484884433003e+04 
       1.435489368830e-02       2.488073005637e+04 
       1.448381596891e-02       2.491058823231e+04 
       1.461277576452e-02       2.493852536522e+04 
       1.474177333902e-02       2.496447874914e+04 
       1.487080897744e-02       2.498852718550e+04 
       1.499988298581e-02       2.501058370713e+04 
       1.512899569102e-02       2.503083079806e+04 
       1.525814744072e-02       2.504918279486e+04 
       1.538733860327e-02       2.506574510446e+04 
       1.551656956762e-02       2.508042828662e+04 
       1.564584074333e-02       2.509338068030e+04 
       1.577515256052e-02       2.510452970489e+04 
       1.590450546991e-02       2.511400992908e+04 
       1.603389994281e-02       2.512171351217e+04 
       1.616333647121e-02       2.512772398424e+04 
       1.629281556782e-02       2.513208290651e+04 
       1.642233776615e-02       2.513473330836e+04 
       1.655190362066e-02       2.513573955398e+04 
       1.668151370682e-02       2.513528138050e+04 
       1.681116862130e-02       2.513314261727e+04 
       1.694086898211e-02       2.512955714603e+04 
       1.707061542878e-02       2.512427133074e+04 
       1.720040862257e-02       2.511750949927e+04 
       1.733024924663e-02       2.510924718955e+04 
       1.746013800629e-02       2.509955553360e+04 
       1.759007562927e-02       2.508839143299e+04 
       1.772006286593e-02       2.507484228557e+04 
       1.785010048960e-02       2.506179752259e+04 
       1.798018929681e-02       2.504555646531e+04 
       1.811033010764e-02       2.502966090898e+04 
       1.824052376604e-02       2.501068843235e+04 
       1.837077114016e-02       2.499122540745e+04 
       1.850107312274e-02       2.497072118186e+04 
       1.863143063147e-02       2.494922121152e+04 
       1.876184460936e-02       2.492575386036e+04 
       1.889231602521e-02       2.490059399913e+04 
       1.902284587398e-02       2.487532182763e+04 
       1.915343517728e-02       2.484766573822e+04 
       1.928408498382e-02       2.481925034688e+04 
       1.941479636988e-02       2.478962744412e+04 
       1.954557043981e-02       2.476028034879e+04 
       1.967640832658e-02       2.472850259218e+04 
       1.980731119230e-02       2.469557108823e+04 
       1.993828022876e-02       2.466112055068e+04 
       2.006931665802e-02       2.462615118937e+04 
       2.020042173303e-02       2.458988156800e+04 
       2.033159673820e-02       2.455369701984e+04 
       2.046284299009e-02       2.451556343749e+04 
       2.059416183802e-02       2.447641486978e+04 
       2.072555466478e-02       2.443523674798e+04 
       2.085702288735e-02       2.439434715955e+04 
       2.098856795757e-02       2.435298495801e+04 
       2.112019136295e-02       2.430925961272e+04 
       2.125189462741e-02       2.426511339730e+04 
       2.138367931206e-02       2.422030665195e+04 
       2.151554701609e-02       2.417454496400e+04 
       2.164749937756e-02       2.412799838294e+04 
       2.177953807430e-02       2.408065906595e+04 
       2.191166482479e-02       2.403233685403e+04 
       2.204388138914e-02       2.398316477461e+04 
       2.217618957001e-02       2.393309969773e+04 
       2.230859121362e-02       2.388247831018e+04 
       2.244108821077e-02       2.383093201259e+04 
       2.257368249788e-02       2.377857333106e+04 
       2.270637605811e-02       2.372565668995e+04 
       2.283917092244e-02       2.367235481045e+04 
       2.297206917088e-02       2.361743087546e+04 
       2.310507293361e-02       2.356295108009e+04 
       2.323818439225e-02       2.350640011840e+04 
       2.337140578109e-02       2.344990357043e+04 
       2.350473938845e-02       2.339255374493e+04 
       2.363818755800e-02       2.333495700897e+04 
       2.377175269013e-02       2.327635189711e+04 
       2.390543724345e-02       2.321725904226e+04 
       2.403924373624e-02       2.315767218782e+04 
       2.417317474796e-02       2.309728131546e+04 
       2.430723292088e-02       2.303719999692e+04 
       2.444142096167e-02       2.297520002152e+04 
       2.457574164311e-02       2.291310084406e+04 
       2.471019780582e-02       2.285120355074e+04 
       2.484479236007e-02       2.278780022915e+04 
       2.497952828761e-02       2.272432106756e+04 
       2.511440864363e-02       2.265998462112e+04 
       2.524943655868e-02       2.259554928655e+04 
       2.538461524079e-02       2.253074460619e+04 
       2.551994797754e-02       2.246530480137e+04 
       2.565543813825e-02       2.239942061819e+04 
       2.579108917626e-02       2.233319541710e+04 
       2.592690463127e-02       2.226651992806e+04 
       2.606288813173e-02       2.219928103999e+04 
       2.619904339738e-02       2.213225733856e+04 
       2.633537424183e-02       2.206384797800e+04 
       2.647188457524e-02       2.199546705699e+04 
       2.660857840707e-02       2.192681804492e+04 
       2.674545984901e-02       2.185779039549e+04 
       2.688253311790e-02       2.178887997281e+04 
       2.701980253887e-02       2.171878985472e+04 
       2.715727254846e-02       2.164914333142e+04 
       2.729494769802e-02       2.157882206422e+04 
       2.743283265706e-02       2.150794982742e+04 
       2.757093221689e-02       2.143698143537e+04 
       2.770925129424e-02       2.136581047741e+04 
       2.784779493513e-02       2.129457982404e+04 
       2.798656831883e-02       2.122268855652e+04 
       2.812557676200e-02       2.115067989388e+04 
       2.826482572296e-02       2.107852229019e+04 
       2.840432080615e-02       2.100603294269e+04 
       2.854406776672e-02       2.093344685165e+04 
       2.868407251539e-02       2.086058569093e+04 
       2.882434112338e-02       2.078742713812e+04 
       2.896487982764e-02       2.071446228667e+04 
       2.910569503624e-02       2.064070122330e+04 
       2.924679333399e-02       2.056707208503e+04 
       2.938818148824e-02       2.049364576203e+04 
