# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.450837006147e-10       4.308041810342e-17       5.545397385519e-14       0.000000000000e+00 
    3       1.396996647648e-10       1.568733191596e-17       3.705636917622e-14       0.000000000000e+00 
    4       1.346480475778e-10       9.206705631044e-18       3.002346972449e-14       0.000000000000e+00 
    5       1.310346325293e-10       9.360108720147e-18       3.063849106147e-14       0.000000000000e+00 
    6       1.287027114134e-10       1.280342533461e-17       3.539203673293e-14       0.000000000000e+00 
    7       1.273490339652e-10       1.947362239591e-17       4.280363929468e-14       0.000000000000e+00 
    8       1.267266207967e-10       2.995282822956e-17       5.196375295672e-14       0.000000000000e+00 
    9       1.266461403203e-10       4.501469317712e-17       6.234665790418e-14       0.000000000000e+00 
   10       1.269709147246e-10       6.551458747383e-17       7.363622531388e-14       0.000000000000e+00 
   11       1.276487260190e-10       9.237674227459e-17       8.561817921045e-14       0.000000000000e+00 
   12       1.286138904497e-10       1.266067728250e-16       9.814600863733e-14       0.000000000000e+00 
   13       1.297969246961e-10       1.692511753427e-16       1.110695297661e-13       0.000000000000e+00 
   14       1.311240285140e-10       2.214221934782e-16       1.242687526020e-13       0.000000000000e+00 
   15       1.326329410095e-10       2.842976821784e-16       1.376902468368e-13       0.000000000000e+00 
   16       1.343106400012e-10       3.590581843399e-16       1.512111349587e-13       0.000000000000e+00 
   17       1.360716514082e-10       4.469327216822e-16       1.646827197598e-13       0.000000000000e+00 
   18       1.379240475736e-10       5.491828288733e-16       1.780738039637e-13       0.000000000000e+00 
   19       1.398883910120e-10       6.670857216931e-16       1.912864325798e-13       0.000000000000e+00 
   20       1.419176477499e-10       8.019320341862e-16       2.041925535380e-13       0.000000000000e+00 
   21       1.440265602610e-10       9.550282440565e-16       2.167210592302e-13       0.000000000000e+00 
   22       1.462121151170e-10       1.127690577919e-15       2.288157089050e-13       0.000000000000e+00 
   23       1.484657568185e-10       1.321247290840e-15       2.403690430884e-13       0.000000000000e+00 
   24       1.507569341467e-10       1.537027697605e-15       2.512645265232e-13       0.000000000000e+00 
   25       1.531060330138e-10       1.776348198928e-15       2.614485506608e-13       0.000000000000e+00 
   26       1.555269472455e-10       2.040514799276e-15       2.708822165264e-13       0.000000000000e+00 
   27       1.579991501363e-10       2.330832316704e-15       2.794666158280e-13       0.000000000000e+00 
   28       1.604831490034e-10       2.648592418247e-15       2.870886665318e-13       0.000000000000e+00 
   29       1.629896538444e-10       2.995063663378e-15       2.936789108668e-13       0.000000000000e+00 
   30       1.655338065570e-10       3.371488683842e-15       2.991861939279e-13       0.000000000000e+00 
   31       1.681188729537e-10       3.779085124986e-15       3.035609062042e-13       0.000000000000e+00 
   32       1.707481904087e-10       4.219057732811e-15       3.067324696448e-13       0.000000000000e+00 
   33       1.734145764693e-10       4.692584357013e-15       3.086232768158e-13       0.000000000000e+00 
   34       1.761037280430e-10       5.200806208535e-15       3.091583496689e-13       0.000000000000e+00 
   35       1.788228557038e-10       5.744817831025e-15       3.082795126600e-13       0.000000000000e+00 
   36       1.815801643965e-10       6.325667052332e-15       3.059362894513e-13       0.000000000000e+00 
