# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.480359627874e-10       4.086092165555e-15       3.623378984038e-13       0.000000000000e+00 
    3       1.400625813324e-10       5.486257683895e-15       4.152952576937e-13       0.000000000000e+00 
    4       1.324736358181e-10       5.022442625820e-15       3.964365465415e-13       0.000000000000e+00 
    5       1.267288219674e-10       3.602776616665e-15       3.451421329373e-13       0.000000000000e+00 
    6       1.227235144256e-10       2.183302325806e-15       2.845336589330e-13       0.000000000000e+00 
    7       1.200874932629e-10       1.225405384408e-15       2.284900235160e-13       0.000000000000e+00 
    8       1.184843326595e-10       7.332130805636e-16       1.836237506243e-13       0.000000000000e+00 
    9       1.176525702916e-10       5.246542013048e-16       1.520151665692e-13       0.000000000000e+00 
   10       1.173854318148e-10       4.348950837678e-16       1.330025425864e-13       0.000000000000e+00 
   11       1.175766345043e-10       3.807230922733e-16       1.243802091628e-13       0.000000000000e+00 
   12       1.181300890907e-10       3.402162808681e-16       1.233276530850e-13       0.000000000000e+00 
   13       1.189527402227e-10       3.156345028708e-16       1.271795690098e-13       0.000000000000e+00 
   14       1.199602494835e-10       3.114704564225e-16       1.338661724822e-13       0.000000000000e+00 
   15       1.211689281731e-10       3.287183087842e-16       1.419922398777e-13       0.000000000000e+00 
   16       1.225590786701e-10       3.662287752080e-16       1.507321773920e-13       0.000000000000e+00 
   17       1.240473487869e-10       4.227190278446e-16       1.597396983415e-13       0.000000000000e+00 
   18       1.256362073731e-10       4.974992008401e-16       1.690030725041e-13       0.000000000000e+00 
   19       1.273394851655e-10       5.909585248831e-16       1.785373982359e-13       0.000000000000e+00 
   20       1.291075586380e-10       7.032342584308e-16       1.883059243459e-13       0.000000000000e+00 
   21       1.309532435188e-10       8.346829865382e-16       1.982598175133e-13       0.000000000000e+00 
   22       1.328742264875e-10       9.854899933401e-16       2.082917156888e-13       0.000000000000e+00 
   23       1.348605587364e-10       1.156203550318e-15       2.181737756466e-13       0.000000000000e+00 
   24       1.368815607564e-10       1.347420344390e-15       2.276246540658e-13       0.000000000000e+00 
   25       1.389576718962e-10       1.560153875026e-15       2.365264073186e-13       0.000000000000e+00 
   26       1.411042705025e-10       1.795490563065e-15       2.447991738861e-13       0.000000000000e+00 
   27       1.433011342518e-10       2.054394374218e-15       2.523237998296e-13       0.000000000000e+00 
   28       1.455095176305e-10       2.337789943261e-15       2.589763509523e-13       0.000000000000e+00 
   29       1.477393185092e-10       2.646808737664e-15       2.647124754376e-13       0.000000000000e+00 
   30       1.500054333833e-10       2.982643445693e-15       2.695215120720e-13       0.000000000000e+00 
   31       1.523117494894e-10       3.346448832925e-15       2.733860220418e-13       0.000000000000e+00 
   32       1.546608163990e-10       3.739207526073e-15       2.762053850254e-13       0.000000000000e+00 
   33       1.570449152757e-10       4.161805407980e-15       2.778418848706e-13       0.000000000000e+00 
   34       1.594497826454e-10       4.615097332568e-15       2.781657817743e-13       0.000000000000e+00 
   35       1.618818979884e-10       5.100035691041e-15       2.771485839885e-13       0.000000000000e+00 
   36       1.643489988178e-10       5.617581485683e-15       2.748032147555e-13       0.000000000000e+00 
   37       1.668532269915e-10       6.168665314211e-15       2.711430196786e-13       0.000000000000e+00 
   38       1.693951013896e-10       6.754177231206e-15       2.661214673769e-13       0.000000000000e+00 
   39       1.719695718737e-10       7.374969534878e-15       2.596728045208e-13       0.000000000000e+00 
   40       1.745640314466e-10       8.031856357561e-15       2.517277461204e-13       0.000000000000e+00 
   41       1.771642156193e-10       8.725600237885e-15       2.422227380268e-13       0.000000000000e+00 
   42       1.797759451931e-10       9.456872487323e-15       2.311322159209e-13       0.000000000000e+00 
   43       1.824092467072e-10       1.022627578554e-14       2.184462560263e-13       0.000000000000e+00 
   44       1.850720805554e-10       1.103435088430e-14       2.041621712125e-13       0.000000000000e+00 
   45       1.877698268131e-10       1.188158648333e-14       1.882747899441e-13       0.000000000000e+00 
   46       1.905041890523e-10       1.276845997379e-14       1.707431018797e-13       0.000000000000e+00 
   47       1.932735083073e-10       1.369540339309e-14       1.515141644199e-13       0.000000000000e+00 
   48       1.960727074937e-10       1.466278897897e-14       1.305320033387e-13       0.000000000000e+00 
   49       1.988930099936e-10       1.567092670086e-14       1.077373431325e-13       0.000000000000e+00 
   50       2.017254426767e-10       1.672006680731e-14       8.307753476338e-14       0.000000000000e+00 
   51       2.045731188179e-10       1.781041401054e-14       5.654014135752e-14       0.000000000000e+00 
   52       2.074418027955e-10       1.894211288498e-14       2.812800285683e-14       0.000000000000e+00 
   53       2.103363161802e-10       2.011524100818e-14      -2.149959350860e-15       0.000000000000e+00 
   54       2.132604344106e-10       2.132980672828e-14      -3.427853220531e-14       0.000000000000e+00 
   55       2.162168535892e-10       2.258574650101e-14      -6.824307390011e-14       0.000000000000e+00 
   56       2.192073179137e-10       2.388292124072e-14      -1.040525807590e-13       0.000000000000e+00 
   57       2.222323429220e-10       2.522111515240e-14      -1.417219824385e-13       0.000000000000e+00 
   58       2.252910497431e-10       2.660003388227e-14      -1.812656347583e-13       0.000000000000e+00 
   59       2.283810645055e-10       2.801930226846e-14      -2.226973850521e-13       0.000000000000e+00 
   60       2.314984177446e-10       2.947846209168e-14      -2.660306375183e-13       0.000000000000e+00 
   61       2.346391491675e-10       3.097699871705e-14      -3.112749384137e-13       0.000000000000e+00 
   62       2.378047704397e-10       3.251443309619e-14      -3.584246881037e-13       0.000000000000e+00 
   63       2.409978556570e-10       3.409024651849e-14      -4.074679997458e-13       0.000000000000e+00 
   64       2.442203986275e-10       3.570385223602e-14      -4.583899116894e-13       0.000000000000e+00 
   65       2.474737663886e-10       3.735459413086e-14      -5.111723424039e-13       0.000000000000e+00 
   66       2.507586527251e-10       3.904174538252e-14      -5.657940454064e-13       0.000000000000e+00 
   67       2.540750316858e-10       4.076450713525e-14      -6.222305641903e-13       0.000000000000e+00 
   68       2.574226614765e-10       4.252201332005e-14      -6.804557792368e-13       0.000000000000e+00 
   69       2.608028185999e-10       4.431334923392e-14      -7.404470138008e-13       0.000000000000e+00 
   70       2.642168332089e-10       4.613753434854e-14      -8.021808864763e-13       0.000000000000e+00 
   71       2.676655379972e-10       4.799351533463e-14      -8.656318063747e-13       0.000000000000e+00 
   72       2.711492357925e-10       4.988016488669e-14      -9.307719687715e-13       0.000000000000e+00 
   73       2.746676671501e-10       5.179628054782e-14      -9.975713507522e-13       0.000000000000e+00 
   74       2.782199779465e-10       5.374058353445e-14      -1.065997706859e-12       0.000000000000e+00 
   75       2.818046869731e-10       5.571171756115e-14      -1.136016564738e-12       0.000000000000e+00 
   76       2.854203341829e-10       5.770827156973e-14      -1.207591394056e-12       0.000000000000e+00 
   77       2.890676335413e-10       5.972885529960e-14      -1.280684158446e-12       0.000000000000e+00 
   78       2.927476557058e-10       6.177203542691e-14      -1.355254856774e-12       0.000000000000e+00 
   79       2.964611640500e-10       6.383631220878e-14      -1.431261358002e-12       0.000000000000e+00 
   80       3.002085962139e-10       6.592011879823e-14      -1.508659400388e-12       0.000000000000e+00 
   81       3.039900456552e-10       6.802182055915e-14      -1.587402590691e-12       0.000000000000e+00 
   82       3.078052432002e-10       7.013971438124e-14      -1.667442403363e-12       0.000000000000e+00 
   83       3.116535385942e-10       7.227202799497e-14      -1.748728179755e-12       0.000000000000e+00 
   84       3.155342593448e-10       7.441695886231e-14      -1.831207702452e-12       0.000000000000e+00 
   85       3.194478960115e-10       7.657279975726e-14      -1.914829029453e-12       0.000000000000e+00 
   86       3.233950805003e-10       7.873783284468e-14      -1.999538964006e-12       0.000000000000e+00 
   87       3.273762143125e-10       8.091029193595e-14      -2.085282515237e-12       0.000000000000e+00 
   88       3.313914564371e-10       8.308836246903e-14      -2.172002907017e-12       0.000000000000e+00 
   89       3.354407112424e-10       8.527018148859e-14      -2.259641586829e-12       0.000000000000e+00 
   90       3.395236163683e-10       8.745383762605e-14      -2.348138234629e-12       0.000000000000e+00 
   91       3.436395306180e-10       8.963737107971e-14      -2.437430771715e-12       0.000000000000e+00 
   92       3.477875218501e-10       9.181877359484e-14      -2.527455369594e-12       0.000000000000e+00 
   93       3.519666743021e-10       9.399602268406e-14      -2.618146999324e-12       0.000000000000e+00 
   94       3.561770897337e-10       9.616719021925e-14      -2.709441154813e-12       0.000000000000e+00 
   95       3.604190151695e-10       9.833035021108e-14      -2.801272406303e-12       0.000000000000e+00 
   96       3.646925292641e-10       1.004835464680e-13      -2.893573899051e-12       0.000000000000e+00 
   97       3.689975345784e-10       1.026247930462e-13      -2.986277369612e-12       0.000000000000e+00 
   98       3.733337498566e-10       1.047520747001e-13      -3.079313162126e-12       0.000000000000e+00 
   99       3.777007023028e-10       1.068633473320e-13      -3.172610244602e-12       0.000000000000e+00 
  100       3.820977198578e-10       1.089565384423e-13      -3.266096225201e-12       0.000000000000e+00 
  101       3.865239234758e-10       1.110295475800e-13      -3.359697368525e-12       0.000000000000e+00 
  102       3.909782194011e-10       1.130802467921e-13      -3.453338611896e-12       0.000000000000e+00 
  103       3.954592914448e-10       1.151064810744e-13      -3.546943581647e-12       0.000000000000e+00 
  104       3.999658806540e-10       1.171061228745e-13      -3.640435594619e-12       0.000000000000e+00 
  105       4.044976839799e-10       1.190772430178e-13      -3.733740781682e-12       0.000000000000e+00 
  106       4.090545631733e-10       1.210179638179e-13      -3.826785418482e-12       0.000000000000e+00 
  107       4.136362637230e-10       1.229264081167e-13      -3.919495004685e-12       0.000000000000e+00 
  108       4.182424102902e-10       1.248007003281e-13      -4.011794291088e-12       0.000000000000e+00 
  109       4.228725021440e-10       1.266389674826e-13      -4.103607306734e-12       0.000000000000e+00 
  110       4.275259085957e-10       1.284393402711e-13      -4.194857386020e-12       0.000000000000e+00 
  111       4.322018644341e-10       1.301999540890e-13      -4.285467195806e-12       0.000000000000e+00 
  112       4.368994653602e-10       1.319189500804e-13      -4.375358762534e-12       0.000000000000e+00 
  113       4.416176634221e-10       1.335944761821e-13      -4.464453499332e-12       0.000000000000e+00 
  114       4.463552624499e-10       1.352246881678e-13      -4.552672233129e-12       0.000000000000e+00 
  115       4.511109134907e-10       1.368077506922e-13      -4.639935231765e-12       0.000000000000e+00 
  116       4.558832995920e-10       1.383418878403e-13      -4.726162953241e-12       0.000000000000e+00 
  117       4.606717254003e-10       1.398255395165e-13      -4.811278338849e-12       0.000000000000e+00 
  118       4.654755910080e-10       1.412572261187e-13      -4.895204851051e-12       0.000000000000e+00 
  119       4.702942061589e-10       1.426355022000e-13      -4.977865809422e-12       0.000000000000e+00 
  120       4.751267873571e-10       1.439589579502e-13      -5.059184424143e-12       0.000000000000e+00 
  121       4.799724549767e-10       1.452262206782e-13      -5.139083829500e-12       0.000000000000e+00 
  122       4.848302303702e-10       1.464359562933e-13      -5.217487117380e-12       0.000000000000e+00 
  123       4.896990329779e-10       1.475868707871e-13      -5.294317370767e-12       0.000000000000e+00 
  124       4.945776774369e-10       1.486777117154e-13      -5.369497697236e-12       0.000000000000e+00 
  125       4.994648706902e-10       1.497072696801e-13      -5.442951262452e-12       0.000000000000e+00 
  126       5.043592090954e-10       1.506743798108e-13      -5.514601323667e-12       0.000000000000e+00 
  127       5.092591755345e-10       1.515779232467e-13      -5.584371263215e-12       0.000000000000e+00 
  128       5.141631365221e-10       1.524168286186e-13      -5.652184622006e-12       0.000000000000e+00 
  129       5.190695116722e-10       1.531901159440e-13      -5.717965984188e-12       0.000000000000e+00 
  130       5.239773092563e-10       1.538970306124e-13      -5.781643669694e-12       0.000000000000e+00 
  131       5.288856442067e-10       1.545369269667e-13      -5.843147401746e-12       0.000000000000e+00 
  132       5.337935693846e-10       1.551092289759e-13      -5.902407521369e-12       0.000000000000e+00 
  133       5.387000739221e-10       1.556134320193e-13      -5.959355026972e-12       0.000000000000e+00 
  134       5.436040815652e-10       1.560491046727e-13      -6.013921613944e-12       0.000000000000e+00 
  135       5.485044490156e-10       1.564158904929e-13      -6.066039714233e-12       0.000000000000e+00 
  136       5.533999642733e-10       1.567135098036e-13      -6.115642535937e-12       0.000000000000e+00 
  137       5.582893449791e-10       1.569417614807e-13      -6.162664102892e-12       0.000000000000e+00 
  138       5.631712367568e-10       1.571005247370e-13      -6.207039294255e-12       0.000000000000e+00 
  139       5.680442115557e-10       1.571897609083e-13      -6.248703884091e-12       0.000000000000e+00 
  140       5.729067659929e-10       1.572095152382e-13      -6.287594580967e-12       0.000000000000e+00 
  141       5.777573196957e-10       1.571599186635e-13      -6.323649067528e-12       0.000000000000e+00 
  142       5.825942136440e-10       1.570411895997e-13      -6.356806040093e-12       0.000000000000e+00 
  143       5.874157085128e-10       1.568536357259e-13      -6.387005248238e-12       0.000000000000e+00 
  144       5.922201233913e-10       1.565976685045e-13      -6.414188074046e-12       0.000000000000e+00 
  145       5.970062708542e-10       1.562738445832e-13      -6.438299250645e-12       0.000000000000e+00 
  146       6.017730618312e-10       1.558828318873e-13      -6.459285389139e-12       0.000000000000e+00 
  147       6.065193682386e-10       1.554253990940e-13      -6.477094496464e-12       0.000000000000e+00 
  148       6.112440221278e-10       1.549024174916e-13      -6.491676018082e-12       0.000000000000e+00 
  149       6.159458148352e-10       1.543148628374e-13      -6.502980880666e-12       0.000000000000e+00 
  150       6.206234961306e-10       1.536638172163e-13      -6.510961534787e-12       0.000000000000e+00 
  151       6.252757733669e-10       1.529504708995e-13      -6.515571997609e-12       0.000000000000e+00 
  152       6.299013106291e-10       1.521761242028e-13      -6.516767895568e-12       0.000000000000e+00 
  153       6.344987278832e-10       1.513421893453e-13      -6.514506507068e-12       0.000000000000e+00 
  154       6.390666001256e-10       1.504501923075e-13      -6.508746805167e-12       0.000000000000e+00 
  155       6.436034565322e-10       1.495017746901e-13      -6.499449500264e-12       0.000000000000e+00 
  156       6.481077796077e-10       1.484986955727e-13      -6.486577082791e-12       0.000000000000e+00 
  157       6.525780043342e-10       1.474428333716e-13      -6.470093865895e-12       0.000000000000e+00 
  158       6.570125173211e-10       1.463361876990e-13      -6.449966028134e-12       0.000000000000e+00 
  159       6.614096559537e-10       1.451808812212e-13      -6.426161656160e-12       0.000000000000e+00 
  160       6.657677075424e-10       1.439791615169e-13      -6.398650787410e-12       0.000000000000e+00 
  161       6.700850269379e-10       1.427333515416e-13      -6.367405290106e-12       0.000000000000e+00 
  162       6.743604028509e-10       1.414456921950e-13      -6.332398401705e-12       0.000000000000e+00 
  163       6.785927224514e-10       1.401184893184e-13      -6.293605231028e-12       0.000000000000e+00 
  164       6.827808555135e-10       1.387541654461e-13      -6.251002958883e-12       0.000000000000e+00 
  165       6.869236541091e-10       1.373552614271e-13      -6.204570880004e-12       0.000000000000e+00 
  166       6.910199523026e-10       1.359244380478e-13      -6.154290444989e-12       0.000000000000e+00 
  167       6.950685658447e-10       1.344644776533e-13      -6.100145302247e-12       0.000000000000e+00 
  168       6.990682918668e-10       1.329782857701e-13      -6.042121339929e-12       0.000000000000e+00 
  169       7.030179085750e-10       1.314688927275e-13      -5.980206727874e-12       0.000000000000e+00 
  170       7.069161749446e-10       1.299394552802e-13      -5.914391959547e-12       0.000000000000e+00 
  171       7.107618304139e-10       1.283932582299e-13      -5.844669893977e-12       0.000000000000e+00 
  172       7.145535945790e-10       1.268337160477e-13      -5.771035797701e-12       0.000000000000e+00 
  173       7.182901668871e-10       1.252643744956e-13      -5.693487386701e-12       0.000000000000e+00 
  174       7.219702263314e-10       1.236889122493e-13      -5.612024868344e-12       0.000000000000e+00 
