# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.475342106125e-10       3.600885053601e-15       3.474931139242e-13       0.000000000000e+00 
    3       1.396309971133e-10       4.247424957738e-15       3.787507168441e-13       0.000000000000e+00 
    4       1.322588642870e-10       3.482054221439e-15       3.478673896915e-13       0.000000000000e+00 
    5       1.267744622610e-10       2.297476746368e-15       2.940106232797e-13       0.000000000000e+00 
    6       1.230138258408e-10       1.339386653642e-15       2.378691630249e-13       0.000000000000e+00 
    7       1.205824932646e-10       7.655227584017e-16       1.905193125251e-13       0.000000000000e+00 
    8       1.191411207309e-10       4.775969559323e-16       1.558393095688e-13       0.000000000000e+00 
    9       1.184287022483e-10       3.434624805363e-16       1.337289974951e-13       0.000000000000e+00 
   10       1.182490645589e-10       2.797935037747e-16       1.221522100276e-13       0.000000000000e+00 
   11       1.185060324391e-10       2.491775875447e-16       1.184267485402e-13       0.000000000000e+00 
   12       1.191104570261e-10       2.381230890991e-16       1.200114253254e-13       0.000000000000e+00 
   13       1.199768257432e-10       2.426702341821e-16       1.248985296069e-13       0.000000000000e+00 
   14       1.210205330506e-10       2.622502645805e-16       1.317813807642e-13       0.000000000000e+00 
   15       1.222611123397e-10       2.972550389575e-16       1.399697912852e-13       0.000000000000e+00 
   16       1.236830779710e-10       3.480782000222e-16       1.490604896726e-13       0.000000000000e+00 
   17       1.252000146173e-10       4.149660157910e-16       1.588160927811e-13       0.000000000000e+00 
   18       1.268150303849e-10       4.980117297507e-16       1.691369819615e-13       0.000000000000e+00 
   19       1.285444399423e-10       5.976532863906e-16       1.798417248618e-13       0.000000000000e+00 
   20       1.303408131573e-10       7.141508003952e-16       1.906421179127e-13       0.000000000000e+00 
   21       1.322168425658e-10       8.482764660659e-16       2.013458778333e-13       0.000000000000e+00 
   22       1.341690944089e-10       1.000883671139e-15       2.117640293874e-13       0.000000000000e+00 
   23       1.361878290955e-10       1.173039297983e-15       2.217416395588e-13       0.000000000000e+00 
   24       1.382427268503e-10       1.365830817617e-15       2.311397194851e-13       0.000000000000e+00 
   25       1.403538800964e-10       1.580356775418e-15       2.399265266171e-13       0.000000000000e+00 
   26       1.425359406895e-10       1.817693618897e-15       2.480945204033e-13       0.000000000000e+00 
   27       1.447683716543e-10       2.078973465787e-15       2.555515480481e-13       0.000000000000e+00 
   28       1.470121704857e-10       2.365315039014e-15       2.621800125015e-13       0.000000000000e+00 
   29       1.492772362609e-10       2.677792305740e-15       2.679069487017e-13       0.000000000000e+00 
   30       1.515784628868e-10       3.017426489010e-15       2.726732777241e-13       0.000000000000e+00 
   31       1.539197153434e-10       3.385207542039e-15       2.764195024358e-13       0.000000000000e+00 
   32       1.563038461099e-10       3.782188461760e-15       2.790804391825e-13       0.000000000000e+00 
   33       1.587235371829e-10       4.209419814224e-15       2.805880953402e-13       0.000000000000e+00 
   34       1.611648229444e-10       4.667917912152e-15       2.808780364468e-13       0.000000000000e+00 
   35       1.636340051158e-10       5.158649990264e-15       2.799077465530e-13       0.000000000000e+00 
   36       1.661383892375e-10       5.682538003775e-15       2.776448816608e-13       0.000000000000e+00 
   37       1.686796477545e-10       6.240461235721e-15       2.740567722737e-13       0.000000000000e+00 
   38       1.712582509290e-10       6.833263929676e-15       2.690901560550e-13       0.000000000000e+00 
   39       1.738692013433e-10       7.461744438702e-15       2.626846059609e-13       0.000000000000e+00 
   40       1.764999189146e-10       8.126648945104e-15       2.547776259081e-13       0.000000000000e+00 
   41       1.791361845805e-10       8.828685268186e-15       2.453095443402e-13       0.000000000000e+00 
   42       1.817840417245e-10       9.568577663804e-15       2.342407282729e-13       0.000000000000e+00 
   43       1.844538037837e-10       1.034702428333e-14       2.215395406930e-13       0.000000000000e+00 
   44       1.871537388536e-10       1.116467949065e-14       2.071777692683e-13       0.000000000000e+00 
