# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.472635140352e-10       3.148663853638e-15       3.294170738771e-13       0.000000000000e+00 
    3       1.395088045675e-10       3.500552767503e-15       3.507260365182e-13       0.000000000000e+00 
    4       1.323245045070e-10       2.745714323333e-15       3.164490339880e-13       0.000000000000e+00 
    5       1.270194665271e-10       1.764627082178e-15       2.642378314341e-13       0.000000000000e+00 
    6       1.234067996551e-10       1.023342518277e-15       2.128621621039e-13       0.000000000000e+00 
    7       1.210895267171e-10       5.927635366464e-16       1.715479933479e-13       0.000000000000e+00 
    8       1.197332576061e-10       3.779371333521e-16       1.426700828578e-13       0.000000000000e+00 
    9       1.190842367408e-10       2.779999910201e-16       1.251880139818e-13       0.000000000000e+00 
   10       1.189543387673e-10       2.324316688765e-16       1.167531933973e-13       0.000000000000e+00 
   11       1.192524323077e-10       2.139330096008e-16       1.148790796448e-13       0.000000000000e+00 
   12       1.198929150299e-10       2.125115453348e-16       1.174728374967e-13       0.000000000000e+00 
   13       1.207907131362e-10       2.252403387821e-16       1.229860731455e-13       0.000000000000e+00 
   14       1.218615731243e-10       2.516680885097e-16       1.304269054646e-13       0.000000000000e+00 
   15       1.231274706175e-10       2.920931743286e-16       1.392181034740e-13       0.000000000000e+00 
   16       1.245735722536e-10       3.469565374605e-16       1.489321699049e-13       0.000000000000e+00 
   17       1.261129832385e-10       4.167161126279e-16       1.592438059656e-13       0.000000000000e+00 
   18       1.277498334114e-10       5.018294948649e-16       1.699658375959e-13       0.000000000000e+00 
   19       1.295012749470e-10       6.030510399363e-16       1.809125876289e-13       0.000000000000e+00 
   20       1.313201913215e-10       7.210123198027e-16       1.918370900872e-13       0.000000000000e+00 
   21       1.332191839089e-10       8.566349899954e-16       2.026024167437e-13       0.000000000000e+00 
   22       1.351944088060e-10       1.010860526951e-15       2.130863664138e-13       0.000000000000e+00 
   23       1.372361682203e-10       1.184786592370e-15       2.231615757896e-13       0.000000000000e+00 
   24       1.393142063579e-10       1.379507509364e-15       2.326982562865e-13       0.000000000000e+00 
   25       1.414487004130e-10       1.596091126944e-15       2.416366022076e-13       0.000000000000e+00 
   26       1.436543074775e-10       1.835578334138e-15       2.499301759633e-13       0.000000000000e+00 
   27       1.459105636807e-10       2.099127072301e-15       2.574819719909e-13       0.000000000000e+00 
   28       1.481784652757e-10       2.387900664600e-15       2.641817373337e-13       0.000000000000e+00 
   29       1.504678103176e-10       2.702985690414e-15       2.699653513783e-13       0.000000000000e+00 
   30       1.527932381010e-10       3.045406176423e-15       2.747854842500e-13       0.000000000000e+00 
   31       1.551583164537e-10       3.416160197556e-15       2.785943356740e-13       0.000000000000e+00 
   32       1.575660500879e-10       3.816335022532e-15       2.813255959315e-13       0.000000000000e+00 
   33       1.600094026437e-10       4.247029481007e-15       2.829052254497e-13       0.000000000000e+00 
   34       1.624746565884e-10       4.709305809258e-15       2.832616972651e-13       0.000000000000e+00 
   35       1.649682170207e-10       5.204134526334e-15       2.823468416814e-13       0.000000000000e+00 
   36       1.674974099601e-10       5.732424077581e-15       2.801223424252e-13       0.000000000000e+00 
   37       1.700638770300e-10       6.295040709980e-15       2.765495062550e-13       0.000000000000e+00 
   38       1.726680380598e-10       6.892840649309e-15       2.715723822669e-13       0.000000000000e+00 
   39       1.753047935642e-10       7.526642646168e-15       2.651289041304e-13       0.000000000000e+00 
   40       1.779613934903e-10       8.197215268026e-15       2.571551026051e-13       0.000000000000e+00 
   41       1.806234426239e-10       8.905288901955e-15       2.475909449474e-13       0.000000000000e+00 
   42       1.832970259404e-10       9.651604163361e-15       2.364007110771e-13       0.000000000000e+00 
   43       1.859925549626e-10       1.043687385372e-14       2.235588502335e-13       0.000000000000e+00 
   44       1.887183894780e-10       1.126176699544e-14       2.090446529272e-13       0.000000000000e+00 
   45       1.914802328909e-10       1.212688929873e-14       1.928380720832e-13       0.000000000000e+00 
   46       1.942797361879e-10       1.303272272174e-14       1.749052730948e-13       0.000000000000e+00 
   47       1.971150193432e-10       1.397966414326e-14       1.552090695727e-13       0.000000000000e+00 
   48       1.999806902349e-10       1.496803806190e-14       1.337128375002e-13       0.000000000000e+00 
   49       2.028675564871e-10       1.599809342237e-14       1.103804439703e-13       0.000000000000e+00 
   50       2.057662573397e-10       1.707001705797e-14       8.517985827558e-14       0.000000000000e+00 
   51       2.086799899901e-10       1.818398568247e-14       5.809530606151e-14       0.000000000000e+00 
   52       2.116147395729e-10       1.934012252493e-14       2.911829109746e-14       0.000000000000e+00 
   53       2.145755598221e-10       2.053847961197e-14      -1.755699129581e-15       0.000000000000e+00 
   54       2.175664693845e-10       2.177903537602e-14      -3.452709139130e-14       0.000000000000e+00 
   55       2.205903766826e-10       2.306170490357e-14      -6.919557134156e-14       0.000000000000e+00 
   56       2.236490701848e-10       2.438637914047e-14      -1.057713240956e-13       0.000000000000e+00 
   57       2.267430441022e-10       2.575289123672e-14      -1.442664073492e-13       0.000000000000e+00 
   58       2.298713692851e-10       2.716100290182e-14      -1.846915809440e-13       0.000000000000e+00 
   59       2.330315906481e-10       2.861040250555e-14      -2.270563391283e-13       0.000000000000e+00 
