# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.549745343501e-10       2.509001122616e-13       3.852624119038e-12       0.000000000000e+00 
    3       1.314377565322e-10       1.003203495746e-13       2.366848815011e-12       0.000000000000e+00 
    4       1.147563959836e-10       3.473977627922e-14       1.337112341980e-12       0.000000000000e+00 
    5       1.035425726660e-10       1.248074863463e-14       7.878741661989e-13       0.000000000000e+00 
    6       9.594587490079e-11       5.128013765790e-15       4.951502268491e-13       0.000000000000e+00 
    7       9.071659258998e-11       2.554249901700e-15       3.354051026002e-13       0.000000000000e+00 
    8       8.707668417474e-11       1.507302608229e-15       2.435703489626e-13       0.000000000000e+00 
    9       8.451716397661e-11       9.989177405837e-16       1.880275075581e-13       0.000000000000e+00 
   10       8.271698536600e-11       7.135948718716e-16       1.533936501764e-13       0.000000000000e+00 
   11       8.150711119309e-11       5.381575777672e-16       1.318215810850e-13       0.000000000000e+00 
   12       8.074873182792e-11       4.261139101937e-16       1.187298630709e-13       0.000000000000e+00 
   13       8.032275606992e-11       3.560959220953e-16       1.110815756995e-13       0.000000000000e+00 
   14       8.014506927302e-11       3.173543241254e-16       1.071481843481e-13       0.000000000000e+00 
   15       8.020944549738e-11       3.031136202427e-16       1.062027775540e-13       0.000000000000e+00 
   16       8.048405272342e-11       3.086356964146e-16       1.073507349369e-13       0.000000000000e+00 
   17       8.088721121901e-11       3.314040905983e-16       1.099466547360e-13       0.000000000000e+00 
   18       8.140359645674e-11       3.686528196513e-16       1.137379429647e-13       0.000000000000e+00 
   19       8.204420926297e-11       4.196441883041e-16       1.183528662408e-13       0.000000000000e+00 
   20       8.277601928631e-11       4.835826633668e-16       1.232493759488e-13       0.000000000000e+00 
   21       8.360055345888e-11       5.599614208302e-16       1.283538476104e-13       0.000000000000e+00 
   22       8.450367550232e-11       6.481731414468e-16       1.336878554782e-13       0.000000000000e+00 
   23       8.547454292589e-11       7.486467081547e-16       1.390661287942e-13       0.000000000000e+00 
   24       8.648911465730e-11       8.620548202195e-16       1.442219779805e-13       0.000000000000e+00 
   25       8.755683313961e-11       9.890026304771e-16       1.490760024276e-13       0.000000000000e+00 
   26       8.868359934546e-11       1.129985427084e-15       1.535992565233e-13       0.000000000000e+00 
   27       8.985880125755e-11       1.285390772416e-15       1.577457989272e-13       0.000000000000e+00 
   28       9.106039059723e-11       1.455588113887e-15       1.614589511247e-13       0.000000000000e+00 
   29       9.229184058451e-11       1.641355423264e-15       1.646829280318e-13       0.000000000000e+00 
   30       9.355625277061e-11       1.843617118518e-15       1.673551887763e-13       0.000000000000e+00 
   31       9.484926991593e-11       2.063267822111e-15       1.694136815645e-13       0.000000000000e+00 
   32       9.617367310648e-11       2.300933887996e-15       1.708346633173e-13       0.000000000000e+00 
   33       9.752835981394e-11       2.557114256878e-15       1.716089744255e-13       0.000000000000e+00 
   34       9.890743811221e-11       2.832266910851e-15       1.717219970704e-13       0.000000000000e+00 
   35       1.003137089736e-10       3.126917946013e-15       1.711172381668e-13       0.000000000000e+00 
   36       1.017486908202e-10       3.441583660464e-15       1.697190581829e-13       0.000000000000e+00 
   37       1.032101731014e-10       3.776764972112e-15       1.674549951167e-13       0.000000000000e+00 
   38       1.046981041731e-10       4.133038225674e-15       1.643022659303e-13       0.000000000000e+00 
   39       1.062097762397e-10       4.510991262215e-15       1.602565211040e-13       0.000000000000e+00 
   40       1.077376569973e-10       4.911197753304e-15       1.553198250151e-13       0.000000000000e+00 
   41       1.092730249027e-10       5.334184431350e-15       1.494924617062e-13       0.000000000000e+00 
   42       1.108194096363e-10       5.780322543173e-15       1.427443421478e-13       0.000000000000e+00 
   43       1.123827488007e-10       6.249899245759e-15       1.350348505186e-13       0.000000000000e+00 
   44       1.139674906259e-10       6.743143049932e-15       1.263203205465e-13       0.000000000000e+00 
