# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.480299990963e-10       4.083433992998e-15       3.615683198758e-13       0.000000000000e+00 
    3       1.400449521097e-10       5.485981020615e-15       4.149800893085e-13       0.000000000000e+00 
    4       1.324590622307e-10       5.021797845858e-15       3.961493286638e-13       0.000000000000e+00 
    5       1.267190062299e-10       3.602424366858e-15       3.449461305249e-13       0.000000000000e+00 
    6       1.227166531441e-10       2.183079137298e-15       2.844320251450e-13       0.000000000000e+00 
    7       1.200825213411e-10       1.225273850080e-15       2.284529019699e-13       0.000000000000e+00 
    8       1.184802143541e-10       7.331407128316e-16       1.836226192469e-13       0.000000000000e+00 
    9       1.176497448987e-10       5.246081026850e-16       1.520376212163e-13       0.000000000000e+00 
   10       1.173835478037e-10       4.348540120090e-16       1.330262141499e-13       0.000000000000e+00 
   11       1.175750196261e-10       3.806917826884e-16       1.243852041226e-13       0.000000000000e+00 
   12       1.181284501639e-10       3.401961599293e-16       1.233365274215e-13       0.000000000000e+00 
   13       1.189508769412e-10       3.155945485032e-16       1.271881192889e-13       0.000000000000e+00 
   14       1.199581894813e-10       3.114361195553e-16       1.338408147096e-13       0.000000000000e+00 
   15       1.211665442154e-10       3.287323746400e-16       1.419709100637e-13       0.000000000000e+00 
   16       1.225566172329e-10       3.662342869290e-16       1.507388883963e-13       0.000000000000e+00 
   17       1.240444963476e-10       4.226680110968e-16       1.597394456316e-13       0.000000000000e+00 
   18       1.256332776365e-10       4.974876704498e-16       1.689802757577e-13       0.000000000000e+00 
   19       1.273367560821e-10       5.910171384337e-16       1.785074280366e-13       0.000000000000e+00 
   20       1.291049059861e-10       7.032577251144e-16       1.883044739000e-13       0.000000000000e+00 
   21       1.309505850515e-10       8.346209020010e-16       1.982812794501e-13       0.000000000000e+00 
   22       1.328716552310e-10       9.854133566574e-16       2.082798985131e-13       0.000000000000e+00 
   23       1.348581078931e-10       1.156212615087e-15       2.181272751601e-13       0.000000000000e+00 
   24       1.368791414472e-10       1.347581746973e-15       2.276165441635e-13       0.000000000000e+00 
   25       1.389552376127e-10       1.560356203142e-15       2.365685578508e-13       0.000000000000e+00 
   26       1.411018620315e-10       1.795451577134e-15       2.448147282557e-13       0.000000000000e+00 
   27       1.432987754187e-10       2.054053862233e-15       2.522916564669e-13       0.000000000000e+00 
   28       1.455071899111e-10       2.337406157255e-15       2.589656661366e-13       0.000000000000e+00 
   29       1.477370226311e-10       2.646615182169e-15       2.647701530635e-13       0.000000000000e+00 
   30       1.500032159891e-10       2.982712814525e-15       2.696255968180e-13       0.000000000000e+00 
   31       1.523096959054e-10       3.346680894783e-15       2.734517424474e-13       0.000000000000e+00 
