# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.476114860415e-10       3.755941844602e-15       3.551242296433e-13       0.000000000000e+00 
    3       1.396630073804e-10       4.613818320485e-15       3.930822442967e-13       0.000000000000e+00 
    4       1.321984427865e-10       3.982900398198e-15       3.670086751879e-13       0.000000000000e+00 
    5       1.266188632325e-10       2.788685279510e-15       3.156980174909e-13       0.000000000000e+00 
    6       1.227631068800e-10       1.718858912867e-15       2.601934119711e-13       0.000000000000e+00 
    7       1.202573029547e-10       1.015112438202e-15       2.120077487803e-13       0.000000000000e+00 
    8       1.186933395767e-10       6.335499195811e-16       1.755439083031e-13       0.000000000000e+00 
    9       1.178955790745e-10       4.499835955631e-16       1.512073745092e-13       0.000000000000e+00 
   10       1.176868281442e-10       3.649796754142e-16       1.373583641777e-13       0.000000000000e+00 
   11       1.178585260770e-10       3.249260592920e-16       1.316813264769e-13       0.000000000000e+00 
   12       1.184018590036e-10       3.084391569031e-16       1.318570063368e-13       0.000000000000e+00 
   13       1.192040063082e-10       3.095983294185e-16       1.359160032760e-13       0.000000000000e+00 
   14       1.202140147139e-10       3.278317032672e-16       1.424570119781e-13       0.000000000000e+00 
   15       1.214236460098e-10       3.637680429872e-16       1.505169505789e-13       0.000000000000e+00 
   16       1.227490722366e-10       4.180399640917e-16       1.595379871242e-13       0.000000000000e+00 
   17       1.242513334476e-10       4.910337969629e-16       1.691877299038e-13       0.000000000000e+00 
   18       1.258451972245e-10       5.829440098185e-16       1.791846751240e-13       0.000000000000e+00 
   19       1.275290207352e-10       6.942356063812e-16       1.893876591759e-13       0.000000000000e+00 
   20       1.292880798704e-10       8.250335415979e-16       1.996356640926e-13       0.000000000000e+00 
   21       1.311262907331e-10       9.759728332592e-16       2.097627471677e-13       0.000000000000e+00 
   22       1.330220695909e-10       1.147682400713e-15       2.195801155913e-13       0.000000000000e+00 
   23       1.349856858970e-10       1.341023613956e-15       2.289919952943e-13       0.000000000000e+00 
   24       1.370127594799e-10       1.556843523371e-15       2.379133449179e-13       0.000000000000e+00 
   25       1.390943430719e-10       1.796100525172e-15       2.462171746801e-13       0.000000000000e+00 
   26       1.412063472393e-10       2.059750393922e-15       2.537659980682e-13       0.000000000000e+00 
   27       1.433568692411e-10       2.348865039128e-15       2.605094586903e-13       0.000000000000e+00 
   28       1.455526562791e-10       2.664517903472e-15       2.664181915854e-13       0.000000000000e+00 
   29       1.477993662783e-10       3.007747267370e-15       2.714187826107e-13       0.000000000000e+00 
   30       1.500879060096e-10       3.379539409478e-15       2.754171158904e-13       0.000000000000e+00 
   31       1.523983771601e-10       3.780840529052e-15       2.783189511049e-13       0.000000000000e+00 
   32       1.547368081125e-10       4.212629918425e-15       2.800695474528e-13       0.000000000000e+00 
   33       1.571094706549e-10       4.675867491197e-15       2.806285940443e-13       0.000000000000e+00 
   34       1.595144897817e-10       5.171479354426e-15       2.799570997980e-13       0.000000000000e+00 
   35       1.619503414441e-10       5.700385362573e-15       2.780070510277e-13       0.000000000000e+00 
   36       1.644083879781e-10       6.263476432547e-15       2.747279373515e-13       0.000000000000e+00 
   37       1.668765543636e-10       6.861598780556e-15       2.700701547832e-13       0.000000000000e+00 
   38       1.693633130106e-10       7.495533622828e-15       2.639879890057e-13       0.000000000000e+00 
   39       1.718804629815e-10       8.166005833498e-15       2.564373786262e-13       0.000000000000e+00 
   40       1.744360988298e-10       8.873685441761e-15       2.473749692766e-13       0.000000000000e+00 
   41       1.770337628078e-10       9.619192837856e-15       2.367588901581e-13       0.000000000000e+00 
   42       1.796707196150e-10       1.040312384715e-14       2.245516641589e-13       0.000000000000e+00 
   43       1.823383147917e-10       1.122602762471e-14       2.107180515160e-13       0.000000000000e+00 
   44       1.850218010084e-10       1.208839659818e-14       1.952241873050e-13       0.000000000000e+00 
   45       1.877062143475e-10       1.299066713258e-14       1.780385461893e-13       0.000000000000e+00 
   46       1.903972850490e-10       1.393322771340e-14       1.591353065753e-13       0.000000000000e+00 
   47       1.931059214380e-10       1.491640891371e-14       1.384919012739e-13       0.000000000000e+00 
   48       1.958422399361e-10       1.594047813494e-14       1.160880916578e-13       0.000000000000e+00 
   49       1.986154287904e-10       1.700563726497e-14       9.190597284396e-14       0.000000000000e+00 
   50       2.014321979399e-10       1.811202016533e-14       6.592921295230e-14       0.000000000000e+00 
   51       2.042919487246e-10       1.925968976186e-14       3.814051542400e-14       0.000000000000e+00 
   52       2.071900574955e-10       2.044863611624e-14       8.523476836335e-15       0.000000000000e+00 
   53       2.101189768880e-10       2.167877423359e-14      -2.293673750701e-14       0.000000000000e+00 
   54       2.130680330162e-10       2.294994171257e-14      -5.625342443707e-14       0.000000000000e+00 
   55       2.160269742863e-10       2.426191734502e-14      -9.143717292870e-14       0.000000000000e+00 
   56       2.189981148303e-10       2.561448770940e-14      -1.284919430670e-13       0.000000000000e+00 
   57       2.219868525317e-10       2.700739300446e-14      -1.674180670675e-13       0.000000000000e+00 
   58       2.249981263030e-10       2.844030604866e-14      -2.082133492076e-13       0.000000000000e+00 
   59       2.280363594477e-10       2.991283074646e-14      -2.508730499014e-13       0.000000000000e+00 
   60       2.311054030205e-10       3.142450055456e-14      -2.953898697740e-13       0.000000000000e+00 
   61       2.342083421739e-10       3.297477802609e-14      -3.417544350307e-13       0.000000000000e+00 
   62       2.373469925356e-10       3.456305679332e-14      -3.899569169012e-13       0.000000000000e+00 
