# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.475554174699e-10       3.380874777627e-15       3.348108474642e-13       0.000000000000e+00 
    3       1.398056946388e-10       3.750090504641e-15       3.564102541769e-13       0.000000000000e+00 
    4       1.325894351157e-10       2.789873577587e-15       3.180564432685e-13       0.000000000000e+00 
    5       1.272924407125e-10       1.617247369479e-15       2.603932435554e-13       0.000000000000e+00 
    6       1.237302214037e-10       8.453863784937e-16       2.040481962560e-13       0.000000000000e+00 
    7       1.215104443525e-10       4.978081250031e-16       1.594149481924e-13       0.000000000000e+00 
    8       1.202079422055e-10       3.664707999843e-16       1.294180636323e-13       0.000000000000e+00 
    9       1.196435293217e-10       2.978275903087e-16       1.129583963357e-13       0.000000000000e+00 
   10       1.196370213234e-10       2.481689760248e-16       1.071083110804e-13       0.000000000000e+00 
   11       1.199753341660e-10       2.221414332703e-16       1.085900760503e-13       0.000000000000e+00 
   12       1.206606989585e-10       2.219158108273e-16       1.145476931784e-13       0.000000000000e+00 
   13       1.215821633273e-10       2.409844290847e-16       1.228353873355e-13       0.000000000000e+00 
   14       1.226889800775e-10       2.751787213475e-16       1.321661493973e-13       0.000000000000e+00 
   15       1.239857314443e-10       3.259114768417e-16       1.419718593256e-13       0.000000000000e+00 
   16       1.253851054566e-10       3.954667255222e-16       1.521829290197e-13       0.000000000000e+00 
   17       1.269516500765e-10       4.839845519089e-16       1.628409574329e-13       0.000000000000e+00 
   18       1.286028650245e-10       5.906248948699e-16       1.740085758295e-13       0.000000000000e+00 
   19       1.303377448116e-10       7.153485490430e-16       1.856245091499e-13       0.000000000000e+00 
   20       1.321417173463e-10       8.580798141757e-16       1.974932380629e-13       0.000000000000e+00 
   21       1.340209186182e-10       1.019222281083e-15       2.092534954046e-13       0.000000000000e+00 
   22       1.359562894399e-10       1.199301878305e-15       2.204608922567e-13       0.000000000000e+00 
   23       1.379590553984e-10       1.399334888789e-15       2.309116145643e-13       0.000000000000e+00 
   24       1.400247776556e-10       1.620590638449e-15       2.404855933405e-13       0.000000000000e+00 
   25       1.421440949925e-10       1.864727116237e-15       2.491168718133e-13       0.000000000000e+00 
   26       1.442923336172e-10       2.133498208163e-15       2.567906510267e-13       0.000000000000e+00 
   27       1.464788544131e-10       2.428108798119e-15       2.636047928816e-13       0.000000000000e+00 
   28       1.487118713176e-10       2.749578418201e-15       2.696797658494e-13       0.000000000000e+00 
   29       1.509969549972e-10       3.099012781086e-15       2.749456247364e-13       0.000000000000e+00 
   30       1.533239757420e-10       3.477517623903e-15       2.792568960474e-13       0.000000000000e+00 
   31       1.556717881887e-10       3.886150234067e-15       2.824549982454e-13       0.000000000000e+00 
   32       1.580467647499e-10       4.325879653713e-15       2.844229198863e-13       0.000000000000e+00 
   33       1.604559344256e-10       4.797602590100e-15       2.850489733688e-13       0.000000000000e+00 
   34       1.628980190525e-10       5.302175163132e-15       2.842382694153e-13       0.000000000000e+00 
   35       1.653716172389e-10       5.840506838870e-15       2.820044524999e-13       0.000000000000e+00 
   36       1.678679029769e-10       6.413493437443e-15       2.784119843754e-13       0.000000000000e+00 
   37       1.703745092408e-10       7.021988894370e-15       2.735248304618e-13       0.000000000000e+00 
   38       1.729000304439e-10       7.666802824957e-15       2.673071399902e-13       0.000000000000e+00 
   39       1.754564250000e-10       8.348697370466e-15       2.596900518468e-13       0.000000000000e+00 
   40       1.780518286597e-10       9.068384221901e-15       2.505974196236e-13       0.000000000000e+00 
   41       1.806897238697e-10       9.826518628582e-15       2.399529551815e-13       0.000000000000e+00 
   42       1.833673045371e-10       1.062368592675e-14       2.277060820754e-13       0.000000000000e+00 
   43       1.860757514149e-10       1.146040583040e-14       2.138133598767e-13       0.000000000000e+00 
   44       1.888000195690e-10       1.233713218611e-14       1.982312544178e-13       0.000000000000e+00 
   45       1.915248638728e-10       1.325426626767e-14       1.809185236852e-13       0.000000000000e+00 
   46       1.942562768450e-10       1.421220864230e-14       1.618445501890e-13       0.000000000000e+00 
   47       1.970055841120e-10       1.521131758218e-14       1.409832656883e-13       0.000000000000e+00 
   48       1.997833258856e-10       1.625189196699e-14       1.183108516117e-13       0.000000000000e+00 
   49       2.025991187850e-10       1.733416915300e-14       9.380574684807e-14       0.000000000000e+00 
   50       2.054600097335e-10       1.845833761062e-14       6.744852046608e-14       0.000000000000e+00 
   51       2.083653314720e-10       1.962458382452e-14       3.922143107211e-14       0.000000000000e+00 
   52       2.113102117825e-10       2.083305444072e-14       9.108761311121e-15       0.000000000000e+00 
   53       2.142867551877e-10       2.208384120902e-14      -2.290305611698e-14       0.000000000000e+00 
   54       2.172838338106e-10       2.337697954714e-14      -5.682543702328e-14       0.000000000000e+00 
   55       2.202907657299e-10       2.471239428390e-14      -9.266608888066e-14       0.000000000000e+00 
   56       2.233098992311e-10       2.608972439442e-14      -1.304238906595e-13       0.000000000000e+00 
   57       2.263467884291e-10       2.750845221032e-14      -1.700927385213e-13       0.000000000000e+00 
   58       2.294065232483e-10       2.896794900822e-14      -2.116629291086e-13       0.000000000000e+00 
   59       2.324936717441e-10       3.046747151591e-14      -2.551210975098e-13       0.000000000000e+00 
   60       2.356122224242e-10       3.200615841847e-14      -3.004501552250e-13       0.000000000000e+00 
   61       2.387653766948e-10       3.358313103055e-14      -3.476323456844e-13       0.000000000000e+00 
   62       2.419550022472e-10       3.519782962289e-14      -3.966593525911e-13       0.000000000000e+00 
   63       2.451819540679e-10       3.684974673159e-14      -4.475243607490e-13       0.000000000000e+00 
   64       2.484461522883e-10       3.853832946860e-14      -5.002191748759e-13       0.000000000000e+00 
   65       2.517465197511e-10       4.026297933302e-14      -5.547342564869e-13       0.000000000000e+00 
   66       2.550809195757e-10       4.202305202237e-14      -6.110587607773e-13       0.000000000000e+00 
   67       2.584460927241e-10       4.381785724385e-14      -6.691805735055e-13       0.000000000000e+00 
   68       2.618388765450e-10       4.564661092549e-14      -7.290844681118e-13       0.000000000000e+00 
   69       2.652602866815e-10       4.750828102694e-14      -7.907460610117e-13       0.000000000000e+00 
   70       2.687121539058e-10       4.940171000330e-14      -8.541366921163e-13       0.000000000000e+00 
   71       2.721958871823e-10       5.132565826001e-14      -9.192251852335e-13       0.000000000000e+00 
   72       2.757124439947e-10       5.327880274671e-14      -9.859778368748e-13       0.000000000000e+00 
   73       2.792623006734e-10       5.525973555116e-14      -1.054358405063e-12       0.000000000000e+00 
   74       2.828454227229e-10       5.726696249308e-14      -1.124328098138e-12       0.000000000000e+00 
   75       2.864612351491e-10       5.929890171803e-14      -1.195845563566e-12       0.000000000000e+00 
   76       2.901090980894e-10       6.135393873813e-14      -1.268868294452e-12       0.000000000000e+00 
   77       2.937898994256e-10       6.343060624980e-14      -1.343357169923e-12       0.000000000000e+00 
   78       2.975047000320e-10       6.552743470433e-14      -1.419272726221e-12       0.000000000000e+00 
   79       3.012542352382e-10       6.764289852549e-14      -1.496573830032e-12       0.000000000000e+00 
   80       3.050388955185e-10       6.977541586088e-14      -1.575217696368e-12       0.000000000000e+00 
   81       3.088587071807e-10       7.192334833328e-14      -1.655159906443e-12       0.000000000000e+00 
   82       3.127133130554e-10       7.408500079205e-14      -1.736354425555e-12       0.000000000000e+00 
   83       3.166019531847e-10       7.625862106447e-14      -1.818753620959e-12       0.000000000000e+00 
   84       3.205238405410e-10       7.844241668833e-14      -1.902307724024e-12       0.000000000000e+00 
   85       3.244794020489e-10       8.063460884142e-14      -1.986963075073e-12       0.000000000000e+00 
   86       3.284692088493e-10       8.283338693811e-14      -2.072663619001e-12       0.000000000000e+00 
   87       3.324935870767e-10       8.503689247927e-14      -2.159351443539e-12       0.000000000000e+00 
   88       3.365526051875e-10       8.724321908905e-14      -2.246966787800e-12       0.000000000000e+00 
   89       3.406460612882e-10       8.945041255162e-14      -2.335448050809e-12       0.000000000000e+00 
   90       3.447734704637e-10       9.165647084796e-14      -2.424731800048e-12       0.000000000000e+00 
   91       3.489340521051e-10       9.385934419261e-14      -2.514752779991e-12       0.000000000000e+00 
   92       3.531267172380e-10       9.605693507045e-14      -2.605443920644e-12       0.000000000000e+00 
   93       3.573504134853e-10       9.824714200162e-14      -2.696737399653e-12       0.000000000000e+00 
   94       3.616052468268e-10       1.004279982860e-13      -2.788567992816e-12       0.000000000000e+00 
   95       3.658915059082e-10       1.025975542908e-13      -2.880870245620e-12       0.000000000000e+00 
   96       3.702093117808e-10       1.047538362107e-13      -2.973577487264e-12       0.000000000000e+00 
   97       3.745586101388e-10       1.068948467042e-13      -3.066621853656e-12       0.000000000000e+00 
   98       3.789391635568e-10       1.090185655311e-13      -3.159934310418e-12       0.000000000000e+00 
   99       3.833505437269e-10       1.111229501893e-13      -3.253444675884e-12       0.000000000000e+00 
  100       3.877921236963e-10       1.132059365520e-13      -3.347081644101e-12       0.000000000000e+00 
  101       3.922630701045e-10       1.152654395045e-13      -3.440772807829e-12       0.000000000000e+00 
  102       3.967623354207e-10       1.172993535813e-13      -3.534444681543e-12       0.000000000000e+00 
  103       4.012886501812e-10       1.193055536032e-13      -3.628022724433e-12       0.000000000000e+00 
  104       4.058407939383e-10       1.212819421293e-13      -3.721431811450e-12       0.000000000000e+00 
  105       4.104184665111e-10       1.232265977417e-13      -3.814597669372e-12       0.000000000000e+00 
  106       4.150215205043e-10       1.251376480727e-13      -3.907445678510e-12       0.000000000000e+00 
  107       4.196496884627e-10       1.270132259162e-13      -3.999900469578e-12       0.000000000000e+00 
  108       4.243025781722e-10       1.288514703789e-13      -4.091885951613e-12       0.000000000000e+00 
  109       4.289796679589e-10       1.306505280322e-13      -4.183325339902e-12       0.000000000000e+00 
  110       4.336803019900e-10       1.324085540630e-13      -4.274141183903e-12       0.000000000000e+00 
  111       4.384036855737e-10       1.341237134258e-13      -4.364255395175e-12       0.000000000000e+00 
  112       4.431488804591e-10       1.357941819940e-13      -4.453589275294e-12       0.000000000000e+00 
  113       4.479148001366e-10       1.374181477112e-13      -4.542063543785e-12       0.000000000000e+00 
  114       4.527002051378e-10       1.389938117426e-13      -4.629598366041e-12       0.000000000000e+00 
  115       4.575036983357e-10       1.405193896267e-13      -4.716113381250e-12       0.000000000000e+00 
  116       4.623239206108e-10       1.419931601215e-13      -4.801528556277e-12       0.000000000000e+00 
  117       4.671601748846e-10       1.434136160171e-13      -4.885766805391e-12       0.000000000000e+00 
  118       4.720118694841e-10       1.447793339067e-13      -4.968751742970e-12       0.000000000000e+00 
  119       4.768783216686e-10       1.460889296887e-13      -5.050406920880e-12       0.000000000000e+00 
  120       4.817587547011e-10       1.473410601398e-13      -5.130655863707e-12       0.000000000000e+00 
  121       4.866522949197e-10       1.485344244878e-13      -5.209422103982e-12       0.000000000000e+00 
  122       4.915579688102e-10       1.496677659856e-13      -5.286629217408e-12       0.000000000000e+00 
  123       4.964747000770e-10       1.507398734837e-13      -5.362200858088e-12       0.000000000000e+00 
  124       5.014013067150e-10       1.517495830033e-13      -5.436060793752e-12       0.000000000000e+00 
  125       5.063364980816e-10       1.526957793102e-13      -5.508132940982e-12       0.000000000000e+00 
  126       5.112788719678e-10       1.535773974871e-13      -5.578341400441e-12       0.000000000000e+00 
  127       5.162269116707e-10       1.543934245074e-13      -5.646610492102e-12       0.000000000000e+00 
  128       5.211789830643e-10       1.551429008080e-13      -5.712864790470e-12       0.000000000000e+00 
  129       5.261335031898e-10       1.558249584721e-13      -5.777029856939e-12       0.000000000000e+00 
  130       5.310894731526e-10       1.564389371707e-13      -5.839034452856e-12       0.000000000000e+00 
  131       5.360459984229e-10       1.569842839719e-13      -5.898808636932e-12       0.000000000000e+00 
  132       5.410021208738e-10       1.574605196893e-13      -5.956283129700e-12       0.000000000000e+00 
  133       5.459568170802e-10       1.578672407166e-13      -6.011389353733e-12       0.000000000000e+00 
  134       5.509089966181e-10       1.582041208626e-13      -6.064059473855e-12       0.000000000000e+00 
  135       5.558575003633e-10       1.584709131871e-13      -6.114226437360e-12       0.000000000000e+00 
  136       5.608010987906e-10       1.586674518353e-13      -6.161824014225e-12       0.000000000000e+00 
  137       5.657384902730e-10       1.587936538731e-13      -6.206786837328e-12       0.000000000000e+00 
  138       5.706682993803e-10       1.588495211226e-13      -6.249050442662e-12       0.000000000000e+00 
  139       5.755890751783e-10       1.588351419966e-13      -6.288551309549e-12       0.000000000000e+00 
