# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.475898863498e-10       3.398728439551e-15       3.356142850693e-13       0.000000000000e+00 
    3       1.398078394901e-10       3.770699160075e-15       3.575502537496e-13       0.000000000000e+00 
    4       1.325890681835e-10       2.803932729297e-15       3.189691769722e-13       0.000000000000e+00 
    5       1.272821475940e-10       1.624217908140e-15       2.609994592811e-13       0.000000000000e+00 
    6       1.237086375271e-10       8.477650534985e-16       2.043375674421e-13       0.000000000000e+00 
    7       1.214587188585e-10       4.982302251997e-16       1.594447874898e-13       0.000000000000e+00 
    8       1.201875067757e-10       3.663534483716e-16       1.292741170138e-13       0.000000000000e+00 
    9       1.196273303868e-10       2.976419369946e-16       1.127093834868e-13       0.000000000000e+00 
   10       1.195777907716e-10       2.479783776170e-16       1.068203404607e-13       0.000000000000e+00 
   11       1.199439760636e-10       2.218689019548e-16       1.083142591580e-13       0.000000000000e+00 
   12       1.206360741963e-10       2.214136244792e-16       1.142835688362e-13       0.000000000000e+00 
   13       1.215714032248e-10       2.400963963746e-16       1.225782314126e-13       0.000000000000e+00 
   14       1.226698905364e-10       2.737556052148e-16       1.319203554494e-13       0.000000000000e+00 
   15       1.239510485085e-10       3.238836858896e-16       1.417494426315e-13       0.000000000000e+00 
   16       1.254044970278e-10       3.929011308166e-16       1.519812696817e-13       0.000000000000e+00 
   17       1.269460055511e-10       4.809012553246e-16       1.626657829281e-13       0.000000000000e+00 
   18       1.285784454910e-10       5.869677458894e-16       1.738863119037e-13       0.000000000000e+00 
   19       1.303192859275e-10       7.111345803763e-16       1.855634775112e-13       0.000000000000e+00 
   20       1.321224714583e-10       8.534349381574e-16       1.974741822733e-13       0.000000000000e+00 
   21       1.340014519541e-10       1.014218728052e-15       2.092806036120e-13       0.000000000000e+00 
   22       1.359531287548e-10       1.193916863042e-15       2.205686986323e-13       0.000000000000e+00 
   23       1.379685896591e-10       1.393619216295e-15       2.310824846318e-13       0.000000000000e+00 
   24       1.400183454074e-10       1.614704047773e-15       2.406419735517e-13       0.000000000000e+00 
   25       1.421234236344e-10       1.858760775186e-15       2.492672669959e-13       0.000000000000e+00 
   26       1.442990449259e-10       2.127437982612e-15       2.570562155462e-13       0.000000000000e+00 
   27       1.465240484171e-10       2.422021049103e-15       2.640365938011e-13       0.000000000000e+00 
