# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.460621157859e-10       5.221544811972e-16       1.597928808064e-13       0.000000000000e+00 
    3       1.402771411308e-10       6.348909395759e-16       1.856832625398e-13       0.000000000000e+00 
    4       1.348285008232e-10       7.628691449953e-16       2.115658550459e-13       0.000000000000e+00 
    5       1.308616329375e-10       9.557400424857e-16       2.426236182251e-13       0.000000000000e+00 
    6       1.282026059432e-10       1.248577834027e-15       2.788393902245e-13       0.000000000000e+00 
    7       1.265181437292e-10       1.673651545696e-15       3.197667426475e-13       0.000000000000e+00 
    8       1.255305741605e-10       2.260095223391e-15       3.641637504694e-13       0.000000000000e+00 
    9       1.250541699450e-10       3.035928039081e-15       4.106275191221e-13       0.000000000000e+00 
   10       1.249497250735e-10       4.028181130039e-15       4.578399431272e-13       0.000000000000e+00 
   11       1.251302625104e-10       5.262458304361e-15       5.046449419393e-13       0.000000000000e+00 
   12       1.255326408665e-10       6.762502612911e-15       5.499742522767e-13       0.000000000000e+00 
   13       1.260952096044e-10       8.549547769972e-15       5.928783392718e-13       0.000000000000e+00 
   14       1.267648264165e-10       1.064186753092e-14       6.326967364768e-13       0.000000000000e+00 
   15       1.275484424778e-10       1.305479652621e-14       6.689110077551e-13       0.000000000000e+00 
   16       1.284207352927e-10       1.580076381141e-14       7.009178969773e-13       0.000000000000e+00 
   17       1.293515994630e-10       1.888921600656e-14       7.282317271533e-13       0.000000000000e+00 
   18       1.303203912776e-10       2.232663288907e-14       7.506393607029e-13       0.000000000000e+00 
   19       1.313462058601e-10       2.611750979890e-14       7.678794188781e-13       0.000000000000e+00 
   20       1.323982242017e-10       3.026338385250e-14       7.796580228430e-13       0.000000000000e+00 
   21       1.334880804745e-10       3.476410605891e-14       7.858545924585e-13       0.000000000000e+00 
   22       1.346050612961e-10       3.961712123170e-14       7.864034214113e-13       0.000000000000e+00 
