# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.491550482102e-10       6.347914586670e-15       4.486399991964e-13       0.000000000000e+00 
    3       1.406810591150e-10       1.001990010678e-14       5.480549601278e-13       0.000000000000e+00 
    4       1.324468756634e-10       1.084449220206e-14       5.516176261507e-13       0.000000000000e+00 
    5       1.260287504041e-10       9.217891754285e-15       5.033048661480e-13       0.000000000000e+00 
    6       1.213922830812e-10       6.486041244785e-15       4.317837263623e-13       0.000000000000e+00 
    7       1.182122856084e-10       3.930990905146e-15       3.558349541397e-13       0.000000000000e+00 
    8       1.161546293674e-10       2.212959722861e-15       2.862407205643e-13       0.000000000000e+00 
    9       1.149671987684e-10       1.362754852079e-15       2.287815298908e-13       0.000000000000e+00 
   10       1.144290955568e-10       1.066688438742e-15       1.859650298093e-13       0.000000000000e+00 
   11       1.144101616393e-10       9.785607407767e-16       1.579164422395e-13       0.000000000000e+00 
   12       1.148035785101e-10       8.963485682970e-16       1.429606041010e-13       0.000000000000e+00 
   13       1.154955656954e-10       7.788875481229e-16       1.383745896748e-13       0.000000000000e+00 
   14       1.163955027013e-10       6.698299648509e-16       1.411358217330e-13       0.000000000000e+00 
   15       1.175104735523e-10       6.143979306947e-16       1.483840907891e-13       0.000000000000e+00 
   16       1.188117192052e-10       6.196525577250e-16       1.576593681774e-13       0.000000000000e+00 
   17       1.202126861912e-10       6.612679454619e-16       1.672259466524e-13       0.000000000000e+00 
   18       1.217210990160e-10       7.090727062916e-16       1.760638787993e-13       0.000000000000e+00 
   19       1.233468647754e-10       7.573975402394e-16       1.838779554930e-13       0.000000000000e+00 
   20       1.250338844844e-10       8.104317841791e-16       1.906308291262e-13       0.000000000000e+00 
   21       1.267945658172e-10       8.824484426653e-16       1.967062122221e-13       0.000000000000e+00 
   22       1.286288049974e-10       9.904224672070e-16       2.026821788434e-13       0.000000000000e+00 
   23       1.305251364045e-10       1.135810552954e-15       2.089262299543e-13       0.000000000000e+00 
   24       1.324508480825e-10       1.313653561278e-15       2.157216240955e-13       0.000000000000e+00 
   25       1.344259469118e-10       1.519428655631e-15       2.231544826358e-13       0.000000000000e+00 
   26       1.364665352274e-10       1.748620897208e-15       2.311566507523e-13       0.000000000000e+00 
   27       1.385532737812e-10       2.001721923463e-15       2.393588942218e-13       0.000000000000e+00 
   28       1.406486862168e-10       2.280279940092e-15       2.472480443572e-13       0.000000000000e+00 
   29       1.427629117571e-10       2.583407508774e-15       2.544550794192e-13       0.000000000000e+00 
   30       1.449111937876e-10       2.908919055029e-15       2.605946823574e-13       0.000000000000e+00 
   31       1.470980745496e-10       3.254780599778e-15       2.652723945481e-13       0.000000000000e+00 
   32       1.493260424770e-10       3.622620398003e-15       2.683516240012e-13       0.000000000000e+00 
   33       1.515873180629e-10       4.015578100793e-15       2.697872898307e-13       0.000000000000e+00 
   34       1.538677116844e-10       4.437063342947e-15       2.695807122988e-13       0.000000000000e+00 
   35       1.561733266180e-10       4.889417629454e-15       2.678546637327e-13       0.000000000000e+00 
   36       1.585114961491e-10       5.374820827451e-15       2.648110056545e-13       0.000000000000e+00 
   37       1.608841460871e-10       5.895287550874e-15       2.606588536921e-13       0.000000000000e+00 
   38       1.632919112169e-10       6.451404684875e-15       2.554211023909e-13       0.000000000000e+00 
   39       1.657301313260e-10       7.043162299346e-15       2.490659630780e-13       0.000000000000e+00 
   40       1.681868553099e-10       7.670266893685e-15       2.415581300907e-13       0.000000000000e+00 
   41       1.706484968140e-10       8.332377466727e-15       2.328410366285e-13       0.000000000000e+00 
   42       1.731206933268e-10       9.029952562296e-15       2.227778958765e-13       0.000000000000e+00 
   43       1.756130626158e-10       9.763646470337e-15       2.111906120892e-13       0.000000000000e+00 
   44       1.781331787482e-10       1.053407593221e-14       1.978736984866e-13       0.000000000000e+00 
   45       1.806861068542e-10       1.134179726751e-14       1.826397914628e-13       0.000000000000e+00 
   46       1.832734585342e-10       1.218723369603e-14       1.654763871932e-13       0.000000000000e+00 
