# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.477134397479e-10       3.954168828490e-15       3.631158130418e-13       0.000000000000e+00 
    3       1.397062385290e-10       4.989337838172e-15       4.063593270862e-13       0.000000000000e+00 
    4       1.321599918399e-10       4.418408143239e-15       3.829249797695e-13       0.000000000000e+00 
    5       1.264951982323e-10       3.167596781249e-15       3.319932362772e-13       0.000000000000e+00 
    6       1.225609126322e-10       1.989435318175e-15       2.752659015687e-13       0.000000000000e+00 
    7       1.199875640764e-10       1.184780426529e-15       2.249070519738e-13       0.000000000000e+00 
    8       1.183676674776e-10       7.345224049385e-16       1.859183479491e-13       0.000000000000e+00 
    9       1.175237847904e-10       5.126021665245e-16       1.591592210871e-13       0.000000000000e+00 
   10       1.172773691450e-10       4.083264759703e-16       1.432573843128e-13       0.000000000000e+00 
   11       1.174178842859e-10       3.582704513340e-16       1.360004071315e-13       0.000000000000e+00 
   12       1.179343404584e-10       3.354925134095e-16       1.350504696167e-13       0.000000000000e+00 
   13       1.187132779544e-10       3.316898761398e-16       1.383418532493e-13       0.000000000000e+00 
   14       1.197028414902e-10       3.455051932898e-16       1.443389610609e-13       0.000000000000e+00 
   15       1.208940954383e-10       3.774128951040e-16       1.519762193704e-13       0.000000000000e+00 
   16       1.222031115273e-10       4.280549123683e-16       1.606434495519e-13       0.000000000000e+00 
   17       1.236901401794e-10       4.978341140251e-16       1.699766921897e-13       0.000000000000e+00 
   18       1.252694397319e-10       5.869118259740e-16       1.796746723398e-13       0.000000000000e+00 
   19       1.269392917118e-10       6.957463807261e-16       1.896064899645e-13       0.000000000000e+00 
   20       1.286850987103e-10       8.244076483063e-16       1.996260366612e-13       0.000000000000e+00 
   21       1.305105322251e-10       9.734304149522e-16       2.095644013501e-13       0.000000000000e+00 
   22       1.323937225423e-10       1.143302895666e-15       2.192205235210e-13       0.000000000000e+00 
   23       1.343447920531e-10       1.334836722581e-15       2.284919847627e-13       0.000000000000e+00 
   24       1.363593368658e-10       1.548848225335e-15       2.372890707484e-13       0.000000000000e+00 
   25       1.384283876965e-10       1.786280019792e-15       2.454919208052e-13       0.000000000000e+00 
   26       1.405278925011e-10       2.048068466584e-15       2.529694748706e-13       0.000000000000e+00 
   27       1.426659388440e-10       2.335257460556e-15       2.596543180472e-13       0.000000000000e+00 
   28       1.448492799978e-10       2.648885159099e-15       2.654945127293e-13       0.000000000000e+00 
   29       1.470834909525e-10       2.989963991488e-15       2.704201440127e-13       0.000000000000e+00 
   30       1.493594084507e-10       3.359451879825e-15       2.743508091239e-13       0.000000000000e+00 
   31       1.516571180618e-10       3.758268419253e-15       2.772057280720e-13       0.000000000000e+00 
   32       1.539826717247e-10       4.187401195751e-15       2.789293987105e-13       0.000000000000e+00 
   33       1.563424270548e-10       4.647832959891e-15       2.794751324885e-13       0.000000000000e+00 
   34       1.587346190461e-10       5.140510450646e-15       2.787969432514e-13       0.000000000000e+00 
   35       1.611576850183e-10       5.666341964281e-15       2.768446380764e-13       0.000000000000e+00 
   36       1.636029194882e-10       6.226193835601e-15       2.735667158478e-13       0.000000000000e+00 
   37       1.660581956612e-10       6.820886628090e-15       2.689128848365e-13       0.000000000000e+00 
   38       1.685319392676e-10       7.451190153223e-15       2.628389751497e-13       0.000000000000e+00 
   39       1.710359197457e-10       8.117821602525e-15       2.553034344636e-13       0.000000000000e+00 
   40       1.735782253778e-10       8.821442909891e-15       2.462659051041e-13       0.000000000000e+00 
   41       1.761624113273e-10       9.562667491612e-15       2.356872027982e-13       0.000000000000e+00 
   42       1.787857539092e-10       1.034209058421e-14       2.235294475903e-13       0.000000000000e+00 
   43       1.814396272320e-10       1.116026354610e-14       2.097558334218e-13       0.000000000000e+00 
   44       1.841093378480e-10       1.201768246927e-14       1.943304899861e-13       0.000000000000e+00 
   45       1.867799766051e-10       1.291478489702e-14       1.772204252975e-13       0.000000000000e+00 
   46       1.894572422884e-10       1.385194456845e-14       1.584022336488e-13       0.000000000000e+00 
   47       1.921519902984e-10       1.482947094393e-14       1.378572575680e-13       0.000000000000e+00 
   48       1.948742876171e-10       1.584760747774e-14       1.155697755426e-13       0.000000000000e+00 
   49       1.976332771723e-10       1.690652912491e-14       9.152703882369e-14       0.000000000000e+00 
   50       2.004356368228e-10       1.800635048331e-14       6.571666645343e-14       0.000000000000e+00 
   51       2.032807778637e-10       1.914715860916e-14       3.811791136864e-14       0.000000000000e+00 
   52       2.061641087553e-10       2.032898479946e-14       8.708087198478e-15       0.000000000000e+00 
   53       2.090781296075e-10       2.155179278996e-14      -2.253508259892e-14       0.000000000000e+00 
   54       2.120122304088e-10       2.281547676260e-14      -5.563355225087e-14       0.000000000000e+00 
   55       2.149562193347e-10       2.411986638070e-14      -9.060558739634e-14       0.000000000000e+00 
   56       2.179123963282e-10       2.546474792448e-14      -1.274544864971e-13       0.000000000000e+00 
   57       2.208861254380e-10       2.684984491578e-14      -1.661772108715e-13       0.000000000000e+00 
   58       2.238823123077e-10       2.827480986891e-14      -2.067675469774e-13       0.000000000000e+00 
   59       2.269053477330e-10       2.973922257177e-14      -2.492160593635e-13       0.000000000000e+00 
   60       2.299590512176e-10       3.124258836706e-14      -2.935100436208e-13       0.000000000000e+00 
   61       2.330464808513e-10       3.278434353340e-14      -3.396352109021e-13       0.000000000000e+00 
   62       2.361694407641e-10       3.436387672839e-14      -3.875812897609e-13       0.000000000000e+00 
   63       2.393287624517e-10       3.598050933053e-14      -4.373376039389e-13       0.000000000000e+00 
   64       2.425243692167e-10       3.763348730006e-14      -4.888914594886e-13       0.000000000000e+00 
   65       2.457552154831e-10       3.932197968546e-14      -5.422281526662e-13       0.000000000000e+00 
   66       2.490192261120e-10       4.104507712987e-14      -5.973309778239e-13       0.000000000000e+00 
   67       2.523132357162e-10       4.280179037758e-14      -6.541812353026e-13       0.000000000000e+00 
   68       2.556341724794e-10       4.459107873944e-14      -7.127581875430e-13       0.000000000000e+00 
   69       2.589830238061e-10       4.641194552518e-14      -7.730388994496e-13       0.000000000000e+00 
   70       2.623615688916e-10       4.826335935400e-14      -8.349983797099e-13       0.000000000000e+00 
   71       2.657711769772e-10       5.014422519227e-14      -8.986096361652e-13       0.000000000000e+00 
   72       2.692127784937e-10       5.205338362623e-14      -9.638436823783e-13       0.000000000000e+00 
   73       2.726868362056e-10       5.398961013464e-14      -1.030669544202e-12       0.000000000000e+00 
   74       2.761933163549e-10       5.595161436148e-14      -1.099054266349e-12       0.000000000000e+00 
   75       2.797316598045e-10       5.793803938863e-14      -1.168962918955e-12       0.000000000000e+00 
   76       2.833012450250e-10       5.994747212607e-14      -1.240358667961e-12       0.000000000000e+00 
   77       2.869029383091e-10       6.197847827768e-14      -1.313202986527e-12       0.000000000000e+00 
   78       2.905377751337e-10       6.402957245986e-14      -1.387455494281e-12       0.000000000000e+00 
   79       2.942064749294e-10       6.609920715840e-14      -1.463073904680e-12       0.000000000000e+00 
   80       2.979094223097e-10       6.818577222907e-14      -1.540014032890e-12       0.000000000000e+00 
