# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.472137011292e-10       3.023246478182e-15       3.237260962413e-13       0.000000000000e+00 
    3       1.395100646384e-10       3.293250187252e-15       3.422630026782e-13       0.000000000000e+00 
    4       1.323716346553e-10       2.531656709723e-15       3.070893587130e-13       0.000000000000e+00 
    5       1.271247750806e-10       1.600270581757e-15       2.555760720589e-13       0.000000000000e+00 
    6       1.235693598884e-10       9.228516907138e-16       2.059771502321e-13       0.000000000000e+00 
    7       1.213162099188e-10       5.424162238448e-16       1.669702785404e-13       0.000000000000e+00 
    8       1.199566592082e-10       3.577279312007e-16       1.405189945151e-13       0.000000000000e+00 
    9       1.193236386445e-10       2.732898438168e-16       1.253169105202e-13       0.000000000000e+00 
   10       1.192464701609e-10       2.358324575762e-16       1.188275740436e-13       0.000000000000e+00 
   11       1.195248507091e-10       2.230836509329e-16       1.185271248999e-13       0.000000000000e+00 
   12       1.201587981173e-10       2.276557478069e-16       1.223699155312e-13       0.000000000000e+00 
   13       1.210371101560e-10       2.477266645216e-16       1.288865064949e-13       0.000000000000e+00 
   14       1.221132381154e-10       2.831664083226e-16       1.371496269553e-13       0.000000000000e+00 
   15       1.233823380186e-10       3.343137322376e-16       1.465557117135e-13       0.000000000000e+00 
   16       1.247601555172e-10       4.015921090936e-16       1.567702954900e-13       0.000000000000e+00 
   17       1.263115076365e-10       4.853853503856e-16       1.675306053713e-13       0.000000000000e+00 
   18       1.279528094734e-10       5.861517622621e-16       1.785395005688e-13       0.000000000000e+00 
   19       1.296824442241e-10       7.046557886188e-16       1.896318353116e-13       0.000000000000e+00 
   20       1.314851071979e-10       8.415347263161e-16       2.006383135396e-13       0.000000000000e+00 
   21       1.333659827780e-10       9.977401418564e-16       2.113951005963e-13       0.000000000000e+00 
   22       1.353049199323e-10       1.174245252722e-15       2.217290092445e-13       0.000000000000e+00 
   23       1.373122108938e-10       1.372125584628e-15       2.315572216240e-13       0.000000000000e+00 
   24       1.393827742545e-10       1.592443668971e-15       2.408156147499e-13       0.000000000000e+00 
   25       1.415078273697e-10       1.836303141478e-15       2.494035275173e-13       0.000000000000e+00 
   26       1.436634972039e-10       2.104789891728e-15       2.572115394244e-13       0.000000000000e+00 
   27       1.458580340559e-10       2.399007612505e-15       2.641852997209e-13       0.000000000000e+00 
   28       1.480981829247e-10       2.720041360079e-15       2.702838272782e-13       0.000000000000e+00 
   29       1.503898277148e-10       3.068978234518e-15       2.754360639999e-13       0.000000000000e+00 
   30       1.527239896948e-10       3.446876102857e-15       2.795571017870e-13       0.000000000000e+00 
   31       1.550806724998e-10       3.854755318314e-15       2.825634605685e-13       0.000000000000e+00 
   32       1.574657745670e-10       4.293620389558e-15       2.844040868175e-13       0.000000000000e+00 
   33       1.598852411235e-10       4.764439749859e-15       2.850408816231e-13       0.000000000000e+00 
   34       1.623367810088e-10       5.268149989422e-15       2.844363440691e-13       0.000000000000e+00 
   35       1.648189998497e-10       5.805703182006e-15       2.825379018157e-13       0.000000000000e+00 
   36       1.673234963976e-10       6.378031491308e-15       2.792878083589e-13       0.000000000000e+00 
   37       1.698383850666e-10       6.986017469973e-15       2.746294040925e-13       0.000000000000e+00 
   38       1.723723640127e-10       7.630443014218e-15       2.685154093077e-13       0.000000000000e+00 
   39       1.749374228499e-10       8.312018154588e-15       2.609021216517e-13       0.000000000000e+00 
   40       1.775417782646e-10       9.031390104234e-15       2.517470992366e-13       0.000000000000e+00 
   41       1.801890066496e-10       9.789164240601e-15       2.410093003769e-13       0.000000000000e+00 
   42       1.828762730964e-10       1.058598394683e-14       2.286497392708e-13       0.000000000000e+00 
   43       1.855947062104e-10       1.142247068278e-14       2.146309165025e-13       0.000000000000e+00 
   44       1.883292249447e-10       1.229919974937e-14       1.989165624209e-13       0.000000000000e+00 
   45       1.910645351453e-10       1.321668261760e-14       1.814730862922e-13       0.000000000000e+00 
   46       1.938064659458e-10       1.417531217223e-14       1.622745828779e-13       0.000000000000e+00 
   47       1.965661394309e-10       1.517539780893e-14       1.412992197722e-13       0.000000000000e+00 
   48       1.993538802853e-10       1.621717698427e-14       1.185278835138e-13       0.000000000000e+00 
   49       2.021790776573e-10       1.730081237573e-14       9.394420606126e-14       0.000000000000e+00 
   50       2.050485982833e-10       1.842640014220e-14       6.753323143792e-14       0.000000000000e+00 
   51       2.079618385357e-10       1.959400393742e-14       3.927692757251e-14       0.000000000000e+00 
