# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.476112537245e-10       3.391625812806e-15       3.359789271084e-13       0.000000000000e+00 
    3       1.398393806820e-10       3.765989368569e-15       3.572860289828e-13       0.000000000000e+00 
    4       1.326037644032e-10       2.808860406765e-15       3.190365326079e-13       0.000000000000e+00 
    5       1.272936839289e-10       1.633857288748e-15       2.613926665939e-13       0.000000000000e+00 
    6       1.237228096750e-10       8.558844359893e-16       2.049629947866e-13       0.000000000000e+00 
    7       1.214956131775e-10       5.024188686376e-16       1.601754502545e-13       0.000000000000e+00 
    8       1.201874398703e-10       3.674816669332e-16       1.299926122942e-13       0.000000000000e+00 
    9       1.196188113017e-10       2.975761432770e-16       1.133611849793e-13       0.000000000000e+00 
   10       1.196091757544e-10       2.479061087695e-16       1.073576756342e-13       0.000000000000e+00 
   11       1.199458756116e-10       2.220545697459e-16       1.087141562264e-13       0.000000000000e+00 
   12       1.206299055056e-10       2.216961633798e-16       1.145610404600e-13       0.000000000000e+00 
   13       1.215508793334e-10       2.403443970550e-16       1.227430912917e-13       0.000000000000e+00 
   14       1.226573495141e-10       2.739468172190e-16       1.320256716139e-13       0.000000000000e+00 
   15       1.239535649814e-10       3.239221445520e-16       1.417978206818e-13       0.000000000000e+00 
   16       1.253527461694e-10       3.926694400934e-16       1.519385385525e-13       0.000000000000e+00 
   17       1.269194450924e-10       4.803849733741e-16       1.625829748325e-13       0.000000000000e+00 
   18       1.285708591934e-10       5.859849831456e-16       1.737670690969e-13       0.000000000000e+00 
   19       1.303061108747e-10       7.095628396996e-16       1.853918274391e-13       0.000000000000e+00 
   20       1.321108760573e-10       8.513005670445e-16       1.972400475236e-13       0.000000000000e+00 
   21       1.339910475130e-10       1.011446593865e-15       2.089808931351e-13       0.000000000000e+00 
   22       1.359272008295e-10       1.190275301401e-15       2.202106851557e-13       0.000000000000e+00 
   23       1.379307016252e-10       1.389006758403e-15       2.306917663296e-13       0.000000000000e+00 
   24       1.399973902189e-10       1.609212587913e-15       2.402559889240e-13       0.000000000000e+00 
   25       1.421177889782e-10       1.852363504085e-15       2.488804856110e-13       0.000000000000e+00 
   26       1.442669998988e-10       2.119909325353e-15       2.566136947342e-13       0.000000000000e+00 
   27       1.464543795726e-10       2.413177658318e-15       2.635267871873e-13       0.000000000000e+00 
   28       1.486882165714e-10       2.733420852743e-15       2.696855537935e-13       0.000000000000e+00 
   29       1.509741329671e-10       3.081712712887e-15       2.750023034131e-13       0.000000000000e+00 
   30       1.533020591142e-10       3.459020894187e-15       2.793245181995e-13       0.000000000000e+00 
   31       1.556509069745e-10       3.866280422413e-15       2.824923544901e-13       0.000000000000e+00 
   32       1.580270145725e-10       4.304555043547e-15       2.844142953625e-13       0.000000000000e+00 
   33       1.604373399692e-10       4.774930645918e-15       2.850187794205e-13       0.000000000000e+00 
   34       1.628805357714e-10       5.278432291665e-15       2.842475496178e-13       0.000000000000e+00 
   35       1.653551892291e-10       5.815888670860e-15       2.821007365967e-13       0.000000000000e+00 
   36       1.678524848536e-10       6.388011615832e-15       2.786090105003e-13       0.000000000000e+00 
   37       1.703600686858e-10       6.995478088097e-15       2.738026253834e-13       0.000000000000e+00 
   38       1.728865327515e-10       7.639109672010e-15       2.676418780869e-13       0.000000000000e+00 
   39       1.754438303770e-10       8.319747136049e-15       2.600637665488e-13       0.000000000000e+00 
   40       1.780400946733e-10       9.038200400027e-15       2.509999134571e-13       0.000000000000e+00 
   41       1.806788091050e-10       9.795221117492e-15       2.403816395191e-13       0.000000000000e+00 
   42       1.833571757362e-10       1.059141344628e-14       2.281584744311e-13       0.000000000000e+00 
   43       1.860663887025e-10       1.142729159968e-14       2.142847582056e-13       0.000000000000e+00 
   44       1.887914211423e-10       1.230329991403e-14       1.987143913081e-13       0.000000000000e+00 
   45       1.915170441075e-10       1.321982398276e-14       1.814042510414e-13       0.000000000000e+00 
   46       1.942492415403e-10       1.417723593101e-14       1.623260248968e-13       0.000000000000e+00 
   47       1.969993223104e-10       1.517585697141e-14       1.414576505397e-13       0.000000000000e+00 
   48       1.997778079337e-10       1.621594163732e-14       1.187801001205e-13       0.000000000000e+00 
   49       2.025942943188e-10       1.729767526337e-14       9.427743056271e-14       0.000000000000e+00 
   50       2.054558123061e-10       1.842120789475e-14       6.793484393212e-14       0.000000000000e+00 
   51       2.083617054063e-10       1.958677271094e-14       3.973213119813e-14       0.000000000000e+00 
   52       2.113071227021e-10       2.079459539173e-14       9.648535781012e-15       0.000000000000e+00 
   53       2.142841945924e-10       2.204485971209e-14      -2.233545439717e-14       0.000000000000e+00 
   54       2.172818238935e-10       2.333770673697e-14      -5.623815026809e-14       0.000000000000e+00 
   55       2.202893558896e-10       2.467315256497e-14      -9.207342032977e-14       0.000000000000e+00 
   56       2.233091347028e-10       2.605081947468e-14      -1.298399245407e-13       0.000000000000e+00 
   57       2.263467002926e-10       2.747013657909e-14      -1.695292818348e-13       0.000000000000e+00 
   58       2.294071262851e-10       2.893041153315e-14      -2.111290376617e-13       0.000000000000e+00 
   59       2.324949622019e-10       3.043082655525e-14      -2.546225793699e-13       0.000000000000e+00 
   60       2.356141756892e-10       3.197043444866e-14      -2.999890515889e-13       0.000000000000e+00 
   61       2.387679494278e-10       3.354827900636e-14      -3.472072688854e-13       0.000000000000e+00 
   62       2.419581492844e-10       3.516379680789e-14      -3.962686714328e-13       0.000000000000e+00 
   63       2.451856337226e-10       3.681649896053e-14      -4.471671404599e-13       0.000000000000e+00 
   64       2.484503274422e-10       3.850585464291e-14      -4.998952989648e-13       0.000000000000e+00 
   65       2.517511589974e-10       4.023129107307e-14      -5.544445539279e-13       0.000000000000e+00 
   66       2.550859984154e-10       4.199219347643e-14      -6.108051385247e-13       0.000000000000e+00 
   67       2.584515948146e-10       4.378790505388e-14      -6.689661543387e-13       0.000000000000e+00 
   68       2.618447934867e-10       4.561767214096e-14      -7.289134420884e-13       0.000000000000e+00 
   69       2.652666129574e-10       4.748046685325e-14      -7.906225984435e-13       0.000000000000e+00 
   70       2.687188857760e-10       4.937512828169e-14      -8.540646135632e-13       0.000000000000e+00 
   71       2.722030230195e-10       5.130041271381e-14      -9.192079043019e-13       0.000000000000e+00 
   72       2.757199846333e-10       5.325499219992e-14      -9.860183008842e-13       0.000000000000e+00 
   73       2.792702497727e-10       5.523745311945e-14      -1.054459033582e-12       0.000000000000e+00 
   74       2.828537871439e-10       5.724629474720e-14      -1.124490719390e-12       0.000000000000e+00 
   75       2.864700253454e-10       5.927992781962e-14      -1.196071348703e-12       0.000000000000e+00 
   76       2.901183271354e-10       6.133673066917e-14      -1.269157822054e-12       0.000000000000e+00 
   77       2.937995776430e-10       6.341523261445e-14      -1.343710913311e-12       0.000000000000e+00 
   78       2.975148332364e-10       6.551396156275e-14      -1.419691191540e-12       0.000000000000e+00 
   79       3.012648242772e-10       6.763138915958e-14      -1.497057569400e-12       0.000000000000e+00 
   80       3.050499357943e-10       6.976593053540e-14      -1.575767321602e-12       0.000000000000e+00 
   81       3.088701881591e-10       7.191594405241e-14      -1.655776103370e-12       0.000000000000e+00 
   82       3.127252177597e-10       7.407973105130e-14      -1.737037968903e-12       0.000000000000e+00 
   83       3.166142576759e-10       7.625553559796e-14      -1.819505389840e-12       0.000000000000e+00 
   84       3.205365149276e-10       7.844156144241e-14      -1.903128680427e-12       0.000000000000e+00 
   85       3.244924164107e-10       8.063602668024e-14      -1.987854123110e-12       0.000000000000e+00 
   86       3.284825350392e-10       8.283711773068e-14      -2.073625564612e-12       0.000000000000e+00 
   87       3.325071990623e-10       8.504297296567e-14      -2.160384989956e-12       0.000000000000e+00 
   88       3.365664794035e-10       8.725168274593e-14      -2.248072530957e-12       0.000000000000e+00 
   89       3.406601770008e-10       8.946128945698e-14      -2.336626474713e-12       0.000000000000e+00 
   90       3.447878101462e-10       9.166978754517e-14      -2.425983272093e-12       0.000000000000e+00 
   91       3.489486018254e-10       9.387512355371e-14      -2.516077546227e-12       0.000000000000e+00 
   92       3.531414670575e-10       9.607519615873e-14      -2.606842101000e-12       0.000000000000e+00 
   93       3.573653570248e-10       9.826790007266e-14      -2.698208990283e-12       0.000000000000e+00 
   94       3.616203781644e-10       1.004512652295e-13      -2.790112891142e-12       0.000000000000e+00 
   95       3.659068187636e-10       1.026233386971e-13      -2.882488256022e-12       0.000000000000e+00 
   96       3.702247995081e-10       1.047821433045e-13      -2.975268319945e-12       0.000000000000e+00 
   97       3.745742657194e-10       1.069256782803e-13      -3.068385123562e-12       0.000000000000e+00 
   98       3.789549795923e-10       1.090519198908e-13      -3.161769536207e-12       0.000000000000e+00 
   99       3.833665124318e-10       1.111588220782e-13      -3.255351278943e-12       0.000000000000e+00 
  100       3.878082368906e-10       1.132443170986e-13      -3.349058947617e-12       0.000000000000e+00 
  101       3.922793192065e-10       1.153063161607e-13      -3.442820035908e-12       0.000000000000e+00 
  102       3.967787114398e-10       1.173427100632e-13      -3.536560958382e-12       0.000000000000e+00 
  103       4.013051437101e-10       1.193513698339e-13      -3.630207073537e-12       0.000000000000e+00 
  104       4.058573953306e-10       1.213301943094e-13      -3.723683162696e-12       0.000000000000e+00 
  105       4.104351666419e-10       1.232772588223e-13      -3.816914890691e-12       0.000000000000e+00 
  106       4.150383110261e-10       1.251906878829e-13      -3.909827586388e-12       0.000000000000e+00 
  107       4.196665618866e-10       1.270686111708e-13      -4.002345832191e-12       0.000000000000e+00 
  108       4.243195279499e-10       1.289091646888e-13      -4.094393492102e-12       0.000000000000e+00 
  109       4.289966885675e-10       1.307104919173e-13      -4.185893739778e-12       0.000000000000e+00 
  110       4.336973890185e-10       1.324707449678e-13      -4.276769086599e-12       0.000000000000e+00 
  111       4.384208358114e-10       1.341880857375e-13      -4.366941409718e-12       0.000000000000e+00 
  112       4.431660919861e-10       1.358606870630e-13      -4.456331980130e-12       0.000000000000e+00 
  113       4.479320724162e-10       1.374867338743e-13      -4.544861490727e-12       0.000000000000e+00 
  114       4.527175391111e-10       1.390644243492e-13      -4.632450084359e-12       0.000000000000e+00 
  115       4.575210965180e-10       1.405919710669e-13      -4.719017381896e-12       0.000000000000e+00 
  116       4.623413867125e-10       1.420676499376e-13      -4.804483327289e-12       0.000000000000e+00 
  117       4.671777119362e-10       1.434899512710e-13      -4.888770779339e-12       0.000000000000e+00 
  118       4.720294792784e-10       1.448574493277e-13      -4.971803289200e-12       0.000000000000e+00 
  119       4.768960046614e-10       1.461687577461e-13      -5.053504346466e-12       0.000000000000e+00 
  120       4.817765099099e-10       1.474225311196e-13      -5.133797414463e-12       0.000000000000e+00 
  121       4.866701198205e-10       1.486174665723e-13      -5.212605965522e-12       0.000000000000e+00 
  122       4.915758592310e-10       1.497523053363e-13      -5.289853516274e-12       0.000000000000e+00 
  123       4.964926500904e-10       1.508258343275e-13      -5.365463662924e-12       0.000000000000e+00 
  124       5.014193085277e-10       1.518368877221e-13      -5.439360116542e-12       0.000000000000e+00 
  125       5.063545419217e-10       1.527843485334e-13      -5.511466738345e-12       0.000000000000e+00 
  126       5.112969459706e-10       1.536671501883e-13      -5.581707574976e-12       0.000000000000e+00 
  127       5.162450017609e-10       1.544842781031e-13      -5.650006893796e-12       0.000000000000e+00 
  128       5.211970728377e-10       1.552347712608e-13      -5.716289218161e-12       0.000000000000e+00 
  129       5.261515742448e-10       1.559177604378e-13      -5.780480064539e-12       0.000000000000e+00 
  130       5.311075068395e-10       1.565325842796e-13      -5.842508170328e-12       0.000000000000e+00 
