# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.475917719898e-10       3.378798318073e-15       3.347116237715e-13       0.000000000000e+00 
    3       1.398244521819e-10       3.748098476886e-15       3.564697875118e-13       0.000000000000e+00 
    4       1.326005142562e-10       2.787278907717e-15       3.180045006010e-13       0.000000000000e+00 
    5       1.272997257216e-10       1.614808657583e-15       2.602381087169e-13       0.000000000000e+00 
    6       1.237354637474e-10       8.432932350221e-16       2.038039619885e-13       0.000000000000e+00 
    7       1.215150718895e-10       4.960610301164e-16       1.591042519056e-13       0.000000000000e+00 
    8       1.202125085061e-10       3.650139680886e-16       1.290739051267e-13       0.000000000000e+00 
    9       1.196490826183e-10       2.965972263453e-16       1.125991952453e-13       0.000000000000e+00 
   10       1.196435577507e-10       2.470686375976e-16       1.067466028026e-13       0.000000000000e+00 
   11       1.199833351619e-10       2.210088783307e-16       1.082285574288e-13       0.000000000000e+00 
   12       1.206700220300e-10       2.205753018238e-16       1.141576116776e-13       0.000000000000e+00 
   13       1.215929690671e-10       2.393064156559e-16       1.224160530416e-13       0.000000000000e+00 
   14       1.227014101822e-10       2.730397488379e-16       1.317461419164e-13       0.000000000000e+00 
   15       1.239991701794e-10       3.231688918654e-16       1.415641823207e-13       0.000000000000e+00 
   16       1.254000473682e-10       3.920099435939e-16       1.517735355760e-13       0.000000000000e+00 
   17       1.269681108137e-10       4.797712521284e-16       1.624329093707e-13       0.000000000000e+00 
   18       1.286209593510e-10       5.855917408699e-16       1.736163262755e-13       0.000000000000e+00 
   19       1.303576025315e-10       7.094380417320e-16       1.852613347057e-13       0.000000000000e+00 
   20       1.321633277284e-10       8.512601550680e-16       1.971669269033e-13       0.000000000000e+00 
   21       1.340442404102e-10       1.011477418336e-15       2.089615750201e-13       0.000000000000e+00 
   22       1.359812999782e-10       1.190620620409e-15       2.201905937754e-13       0.000000000000e+00 
   23       1.379857934258e-10       1.389672782937e-15       2.306561544400e-13       0.000000000000e+00 
   24       1.400533407362e-10       1.609872872528e-15       2.402507005101e-13       0.000000000000e+00 
   25       1.421745008841e-10       1.852958410763e-15       2.489162797934e-13       0.000000000000e+00 
   26       1.443244910366e-10       2.120781184944e-15       2.566424296225e-13       0.000000000000e+00 
   27       1.465127147574e-10       2.414494764912e-15       2.635168409096e-13       0.000000000000e+00 
   28       1.487474707830e-10       2.735019292274e-15       2.696455822203e-13       0.000000000000e+00 
   29       1.510343284655e-10       3.083424038972e-15       2.749553938673e-13       0.000000000000e+00 
   30       1.533631250916e-10       3.460794664252e-15       2.793012379080e-13       0.000000000000e+00 
   31       1.557126855410e-10       3.868185144783e-15       2.825266007521e-13       0.000000000000e+00 
