# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.475460743464e-10       3.424394473494e-15       3.375797806640e-13       0.000000000000e+00 
    3       1.397880513268e-10       3.825006774303e-15       3.617378381436e-13       0.000000000000e+00 
    4       1.325781529482e-10       2.883036307361e-15       3.260514076855e-13       0.000000000000e+00 
    5       1.272685773208e-10       1.717417204481e-15       2.712530413625e-13       0.000000000000e+00 
    6       1.236822944065e-10       9.449172790418e-16       2.179075144555e-13       0.000000000000e+00 
    7       1.214117587504e-10       5.928988233837e-16       1.763722867684e-13       0.000000000000e+00 
    8       1.201091030891e-10       4.567034609224e-16       1.495240326524e-13       0.000000000000e+00 
    9       1.195088976868e-10       3.862227645119e-16       1.361900628402e-13       0.000000000000e+00 
   10       1.194127403323e-10       3.411169884242e-16       1.333940192823e-13       0.000000000000e+00 
   11       1.197226630519e-10       3.286590713522e-16       1.378070239461e-13       0.000000000000e+00 
   12       1.203516745979e-10       3.524527442004e-16       1.464901937443e-13       0.000000000000e+00 
   13       1.212162850770e-10       4.063890757945e-16       1.572538790644e-13       0.000000000000e+00 
   14       1.222385168219e-10       4.861336663047e-16       1.687886266800e-13       0.000000000000e+00 
   15       1.234362163562e-10       5.928543943467e-16       1.805239183449e-13       0.000000000000e+00 
   16       1.248001748605e-10       7.286008811061e-16       1.923433445792e-13       0.000000000000e+00 
   17       1.262470162073e-10       8.931316126753e-16       2.042689881940e-13       0.000000000000e+00 
   18       1.277799603471e-10       1.085280698101e-15       2.163930894769e-13       0.000000000000e+00 
   19       1.294164727748e-10       1.304970360833e-15       2.286355521552e-13       0.000000000000e+00 
   20       1.311102896676e-10       1.552099226046e-15       2.407671420384e-13       0.000000000000e+00 
   21       1.328749918186e-10       1.827091087198e-15       2.524452830096e-13       0.000000000000e+00 
   22       1.347077752099e-10       2.130505040282e-15       2.632525652381e-13       0.000000000000e+00 
   23       1.366004053947e-10       2.463508249624e-15       2.729364511251e-13       0.000000000000e+00 
   24       1.385240334243e-10       2.827540612553e-15       2.813209201695e-13       0.000000000000e+00 
   25       1.404992924486e-10       3.224288084148e-15       2.884199663479e-13       0.000000000000e+00 
   26       1.425408704702e-10       3.655493629329e-15       2.943242466790e-13       0.000000000000e+00 
   27       1.446287270022e-10       4.122448183700e-15       2.990741301351e-13       0.000000000000e+00 
   28       1.467243094026e-10       4.626252218427e-15       3.026886751169e-13       0.000000000000e+00 
   29       1.488379483017e-10       5.167888034374e-15       3.051038795968e-13       0.000000000000e+00 
   30       1.509847171151e-10       5.748237262527e-15       3.062200323509e-13       0.000000000000e+00 
   31       1.531684706029e-10       6.368119504387e-15       3.059279828715e-13       0.000000000000e+00 
   32       1.553924737444e-10       7.028409228027e-15       3.041345948657e-13       0.000000000000e+00 
