# Matter power spectrum P(k) at redshift z=0
# for k=1.04465e-05 to 0.627679 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044645304858e-05       5.112966382914e+01 
       2.333984263817e-05       1.110205256680e+02 
       3.627862546472e-05       1.698821060091e+02 
       4.929768174674e-05       2.283407676597e+02 
       6.243246940771e-05       2.867542086171e+02 
       7.571934085301e-05       3.453913210887e+02 
       8.919586989022e-05       4.044826151945e+02 
       1.029011931491e-04       4.642408451610e+02 
       1.168763703905e-04       5.248716286026e+02 
       1.311647681266e-04       5.865798626138e+02 
       1.458124709819e-04       6.495742063914e+02 
       1.608687251632e-04       7.140705680852e+02 
       1.763864182237e-04       7.802950925801e+02 
       1.924225989350e-04       8.484868913779e+02 
       2.090390404099e-04       9.189006744127e+02 
       2.263028485296e-04       9.918093364268e+02 
       2.442871160406e-04       1.067506567777e+03 
       2.630716201798e-04       1.146309481048e+03 
       2.827435580915e-04       1.228561242308e+03 
       3.033983092665e-04       1.314633661555e+03 
       3.251402074050e-04       1.404929656541e+03 
       3.480832950423e-04       1.499885478840e+03 
       3.723520226272e-04       1.599972505234e+03 
       3.980818392359e-04       1.705698404149e+03 
       4.254196047771e-04       1.817607325032e+03 
       4.545237339466e-04       1.936278797327e+03 
       4.855639617097e-04       2.062324842383e+03 
       5.187206013381e-04       2.196384851700e+03 
       5.541831531922e-04       2.339117663372e+03 
       5.921481214896e-04       2.491190390491e+03 
       6.328159147200e-04       2.653263614099e+03 
       6.763867511757e-04       2.825972790204e+03 
       7.230555706644e-04       3.009906110903e+03 
       7.730060684759e-04       3.205579517766e+03 
       8.264041110116e-04       3.413410227773e+03 
       8.833909454490e-04       3.633690471745e+03 
       9.440767479319e-04       3.866563961096e+03 
       1.008535128808e-03       4.112007561576e+03 
       1.076799195774e-03       4.369820358562e+03 
       1.148859649891e-03       4.639622142532e+03 
       1.224665166442e-03       4.920861550309e+03 
       1.304125032945e-03       5.212833915679e+03 
       1.387113739856e-03       5.514685866286e+03 
       1.473477004827e-03       5.825483732448e+03 
       1.563038598973e-03       6.144251018619e+03 
       1.655607342853e-03       6.469956933799e+03 
       1.750983731856e-03       6.801565086972e+03 
       1.848965798582e-03       7.138057772926e+03 
       1.949353983911e-03       7.478455127577e+03 
       2.051954937014e-03       7.821829513682e+03 
       2.156584279209e-03       8.167315103726e+03 
       2.263068441521e-03       8.514114017334e+03 
       2.371245724691e-03       8.861498063918e+03 
       2.480966741089e-03       9.208808600479e+03 
       2.592094390081e-03       9.555453628260e+03 
       2.704503499757e-03       9.900905992416e+03 
       2.818080245062e-03       1.024469783706e+04 
       2.932721429105e-03       1.058641469916e+04 
       3.048333693365e-03       1.092569603712e+04 
       3.164832704527e-03       1.126222182662e+04 
       3.282142351224e-03       1.159571693710e+04 
       3.400193972698e-03       1.192593984689e+04 
       3.518925632914e-03       1.225268398095e+04 
       3.638281447528e-03       1.257576928486e+04 
       3.758210966739e-03       1.289504308412e+04 
       3.878668614126e-03       1.321037344944e+04 
       3.999613179597e-03       1.352165163696e+04 
       4.121007363443e-03       1.382878450098e+04 
       4.242817367780e-03       1.413169383449e+04 
       4.365012531444e-03       1.443031784054e+04 
       4.487565004291e-03       1.472460763104e+04 
       4.610449457039e-03       1.501452484703e+04 
       4.733642822945e-03       1.530003099561e+04 
       4.857124067917e-03       1.558108481672e+04 
       4.980873985943e-03       1.585774321582e+04 
       5.104875016988e-03       1.612993965193e+04 
       5.229111084830e-03       1.639768141493e+04 
       5.353567452565e-03       1.666107447201e+04 
       5.478230593742e-03       1.692002238831e+04 
       5.603088077349e-03       1.717454471892e+04 
       5.728128465057e-03       1.742413690346e+04 
       5.853341219310e-03       1.766987199481e+04 
       5.978716621047e-03       1.791125480112e+04 
       6.104245695929e-03       1.814811086614e+04 
       6.229920148152e-03       1.838100799450e+04 
       6.355732300959e-03       1.860952555543e+04 
       6.481675043128e-03       1.883353033458e+04 
       6.607741780775e-03       1.905358912681e+04 
       6.733926393882e-03       1.926957367188e+04 
       6.860223197040e-03       1.948148094837e+04 
       6.986626903966e-03       1.968934298274e+04 
       7.113132595374e-03       1.989307460526e+04 
       7.239735689865e-03       2.009288958661e+04 
       7.366431917508e-03       2.028852983864e+04 
       7.493217295842e-03       2.048045917068e+04 
       7.620088108048e-03       2.066831102035e+04 
       7.747040883077e-03       2.085224703164e+04 
       7.874072377532e-03       2.103215930871e+04 
       8.001179559134e-03       2.120868108702e+04 
       8.128359591620e-03       2.138099722164e+04 
       8.255609820930e-03       2.155013686476e+04 
       8.382927762563e-03       2.171615425922e+04 
       8.510311089987e-03       2.187780901580e+04 
       8.637757624012e-03       2.203582992499e+04 
       8.765265323030e-03       2.219031371347e+04 
       8.892832274047e-03       2.234135086087e+04 
       9.020456684430e-03       2.248885015593e+04 
       9.148136874316e-03       2.263190474929e+04 
       9.275871269608e-03       2.277347628222e+04 
       9.403658395526e-03       2.290997624613e+04 
       9.531496870649e-03       2.304475221509e+04 
       9.659385401410e-03       2.317549252295e+04 
       9.787322777016e-03       2.330292698784e+04 
       9.915307864742e-03       2.342707524596e+04 
       1.004333960558e-02       2.354727901412e+04 
       1.017141701020e-02       2.366604848942e+04 
       1.029953915523e-02       2.378084894127e+04 
       1.042770517977e-02       2.389258823620e+04 
       1.055591428219e-02       2.400127678498e+04 
       1.068416571717e-02       2.410609665962e+04 
       1.081245879289e-02       2.420972475503e+04 
       1.094079286846e-02       2.430890127709e+04 
       1.106916735159e-02       2.440555747086e+04 
       1.119758169627e-02       2.450041275296e+04 
       1.132603540080e-02       2.459079791431e+04 
       1.145452800581e-02       2.468005739555e+04 
       1.158305909248e-02       2.476573110759e+04 
       1.171162828089e-02       2.484757167826e+04 
       1.184023522849e-02       2.492884581409e+04 
       1.196887962861e-02       2.500632192200e+04 
       1.209756120918e-02       2.508139247668e+04 
       1.222627973145e-02       2.515349332940e+04 
       1.235503498884e-02       2.522328878017e+04 
       1.248382680588e-02       2.529041028596e+04 
       1.261265503721e-02       2.535427090617e+04 
       1.274151956662e-02       2.541731725259e+04 
       1.287042030624e-02       2.547703776955e+04 
       1.299935719572e-02       2.553440625851e+04 
       1.312833020149e-02       2.558914800459e+04 
       1.325733931611e-02       2.564171304950e+04 
       1.338638455759e-02       2.569188518403e+04 
       1.351546596885e-02       2.573985943047e+04 
       1.364458361720e-02       2.578440020172e+04 
       1.377373759380e-02       2.582780673809e+04 
       1.390292801326e-02       2.586972532012e+04 
       1.403215501324e-02       2.590877810770e+04 
       1.416141875403e-02       2.594550632466e+04 
       1.429071941827e-02       2.597862504393e+04 
