# Matter power spectrum P(k) at redshift z=0
# for k=9.87275e-06 to 0.59289 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.872750365685e-06       6.103215305074e+01 
       2.205690710024e-05       1.325141005038e+02 
       3.427938175950e-05       2.027379997617e+02 
       4.656959099579e-05       2.724303482966e+02 
       5.895738697612e-05       3.419965855897e+02 
       7.147329564162e-05       4.117353352240e+02 
       8.414876181266e-05       4.818981517983e+02 
       9.701640408104e-05       5.527137336371e+02 
       1.101102824539e-04       6.244001536267e+02 
       1.234661817423e-04       6.971720629932e+02 
       1.371219137040e-04       7.712455179736e+02 
       1.511176409362e-04       8.468416019036e+02 
       1.654962254438e-04       9.241893780267e+02 
       1.803036046419e-04       1.003528508617e+03 
       1.955891972436e-04       1.085111589174e+03 
       2.114063409687e-04       1.169206579771e+03 
       2.278127631980e-04       1.256098920441e+03 
       2.448710844934e-04       1.346093880340e+03 
       2.626493531543e-04       1.439518702855e+03 
       2.812216065340e-04       1.536724762399e+03 
       3.006684514856e-04       1.638089620963e+03 
       3.210776518238e-04       1.744018949263e+03 
       3.425447048409e-04       1.854948008572e+03 
       3.651733814704e-04       1.971342914830e+03 
       3.890761955085e-04       2.093701103376e+03 
       4.143747563520e-04       2.222551006523e+03 
       4.411999472638e-04       2.358450572929e+03 
       4.696918579010e-04       2.501984360898e+03 
       4.999993870403e-04       2.653758745391e+03 
       5.322794212350e-04       2.814394936369e+03 
       5.666954906188e-04       2.984519502144e+03 
       6.034158082786e-04       3.164752032593e+03 
       6.426106192036e-04       3.355689955685e+03 
       6.844488232456e-04       3.557890485489e+03 
       7.290938966748e-04       3.771850196452e+03 
       7.766992181765e-04       3.997983030231e+03 
       8.274030014297e-04       4.236597693685e+03 
       8.813231349045e-04       4.487876220705e+03 
       9.385523111879e-04       4.751855266659e+03 
       9.991538709804e-04       5.028412018971e+03 
       1.063158771834e-03       5.317256630985e+03 
       1.130564009729e-03       5.617932315602e+03 
       1.201332679257e-03       5.929824008792e+03 
       1.275395678542e-03       6.252172843037e+03 
       1.352654882263e-03       6.584061616161e+03 
