# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.611874676098e-10       6.674853093732e-15       4.280941721175e-13       0.000000000000e+00       7.951771630810e-09       5.460205456475e-10      -2.358032090420e-12 
    3       1.492341991881e-10       1.019752033080e-14       5.253413286039e-13       0.000000000000e+00       4.890394110515e-09       3.838253698055e-10      -1.972222930639e-12 
    4       1.385891347467e-10       1.062667004825e-14       5.260863528161e-13       0.000000000000e+00       3.399961811255e-09       2.892413479765e-10      -1.468308984941e-12 
    5       1.305057363418e-10       8.653341338866e-15       4.759479242328e-13       0.000000000000e+00       2.535674020745e-09       2.277679626971e-10      -9.890873795679e-13 
    6       1.246985940334e-10       5.816334693854e-15       4.048420318287e-13       0.000000000000e+00       1.978417939271e-09       1.849257065987e-10      -5.818126793486e-13 
    7       1.207135859446e-10       3.398405818834e-15       3.316975949780e-13       0.000000000000e+00       1.593360548610e-09       1.536235214022e-10      -2.659246012115e-13 
    8       1.180483767037e-10       1.930244363131e-15       2.667807180237e-13       0.000000000000e+00       1.313996592747e-09       1.298853001147e-10      -4.472457630562e-14 
    9       1.164164723268e-10       1.298956061827e-15       2.150211668997e-13       0.000000000000e+00       1.104250214094e-09       1.113538559075e-10       8.922252520602e-14 
   10       1.155636354421e-10       1.115070839022e-15       1.780076279862e-13       0.000000000000e+00       9.426050875955e-10       9.662777322742e-11       1.505381299382e-13 
   11       1.153047914695e-10       1.038722172832e-15       1.550707061260e-13       0.000000000000e+00       7.983715100637e-10       8.509228370304e-11       1.572351711566e-13 
   12       1.155620324956e-10       9.192446644252e-16       1.438980349537e-13       0.000000000000e+00       6.971416343153e-10       7.531205354446e-11       1.298036735848e-13 
   13       1.161489879343e-10       7.641071904799e-16       1.414482603655e-13       0.000000000000e+00       6.140971400991e-10       6.720572596600e-11       8.510749348811e-14 
   14       1.169786044234e-10       6.368858563339e-16       1.447092949642e-13       0.000000000000e+00       5.450393278423e-10       6.022821698634e-11       3.703478826977e-14 
   15       1.180543638429e-10       5.771122606967e-16       1.510381728326e-13       0.000000000000e+00       4.869453731875e-10       5.437253191108e-11      -4.212389140954e-15 
   16       1.193677573910e-10       5.787001015472e-16       1.584005375320e-13       0.000000000000e+00       4.375797978422e-10       4.941866922097e-11      -3.313990688841e-14 
