# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495175502648e-10       6.314432271645e-15       4.408412487141e-13       0.000000000000e+00       8.408909319930e-09       4.916857692063e-10      -2.324538407106e-12 
    3       1.409223763200e-10       9.921076917963e-15       5.381147229372e-13       0.000000000000e+00       5.259176789647e-09       3.520992536598e-10      -1.968881684652e-12 
    4       1.325495180249e-10       1.068080279553e-14       5.411366988732e-13       0.000000000000e+00       3.668703565817e-09       2.683501946726e-10      -1.498287523605e-12 
    5       1.260056131644e-10       9.024007682130e-15       4.933782036096e-13       0.000000000000e+00       2.741530103238e-09       2.130884896144e-10      -1.043350510256e-12 
    6       1.212551391946e-10       6.307729805207e-15       4.230429035303e-13       0.000000000000e+00       2.142216257564e-09       1.741422233973e-10      -6.489102644551e-13 
    7       1.180051116330e-10       3.800158808649e-15       3.485532729346e-13       0.000000000000e+00       1.727387497293e-09       1.454266826770e-10      -3.351950186433e-13 
    8       1.158573533699e-10       2.135976286052e-15       2.804920736438e-13       0.000000000000e+00       1.426747321453e-09       1.234909889483e-10      -1.075837416213e-13 
    9       1.145871965087e-10       1.325346960343e-15       2.244716845869e-13       0.000000000000e+00       1.201447833531e-09       1.062566750248e-10       3.843840217330e-14 
   10       1.139856221343e-10       1.047641181526e-15       1.828447146385e-13       0.000000000000e+00       1.027715078345e-09       9.248316991664e-11       1.143188714572e-13 
   11       1.138931127757e-10       9.621227551043e-16       1.556997556902e-13       0.000000000000e+00       8.652458432298e-10       8.157074760106e-11       1.352926382128e-13 
   12       1.142506354850e-10       8.771239637051e-16       1.413466939093e-13       0.000000000000e+00       7.562214443805e-10       7.232831901532e-11       1.195348766844e-13 
   13       1.148898865467e-10       7.591804119324e-16       1.370668830268e-13       0.000000000000e+00       6.667108070670e-10       6.464830187754e-11       8.286030401210e-14 
   14       1.157359571220e-10       6.537110932453e-16       1.399024252922e-13       0.000000000000e+00       5.922189817534e-10       5.800876831757e-11       3.880970719949e-14 
   15       1.167983399868e-10       6.033332693159e-16       1.470495133757e-13       0.000000000000e+00       5.295067876130e-10       5.243355709558e-11      -1.973617331290e-15 
   16       1.180759178612e-10       6.118560132543e-16       1.561206053606e-13       0.000000000000e+00       4.761778469825e-10       4.771581466780e-11      -3.304937647569e-14 
   17       1.194253247857e-10       6.537467177406e-16       1.655081409499e-13       0.000000000000e+00       4.304222449801e-10       4.363737845693e-11      -5.155519247204e-14 
   18       1.209022601807e-10       7.002029125726e-16       1.741828554031e-13       0.000000000000e+00       3.906999832350e-10       3.995897455518e-11      -5.777281817191e-14 
   19       1.225175423589e-10       7.474433183191e-16       1.818826100005e-13       0.000000000000e+00       3.563848051019e-10       3.667365346528e-11      -5.376838747329e-14 
   20       1.241875620308e-10       8.015362668349e-16       1.886262333484e-13       0.000000000000e+00       3.261558949530e-10       3.377813347808e-11      -4.318364983941e-14 
   21       1.259265346493e-10       8.763853381194e-16       1.947743174004e-13       0.000000000000e+00       2.995401359486e-10       3.124192257430e-11      -2.944176146081e-14 
   22       1.277450647455e-10       9.876663298176e-16       2.008537017579e-13       0.000000000000e+00       2.759025139393e-10       2.898107537322e-11      -1.630792908349e-14 
   23       1.296278970429e-10       1.135868441198e-15       2.072265417853e-13       0.000000000000e+00       2.549189848546e-10       2.695029555073e-11      -5.976972611162e-15 
   24       1.315338364515e-10       1.315274155738e-15       2.141756683910e-13       0.000000000000e+00       2.361053440851e-10       2.509503561885e-11      -9.655547777702e-18 
   25       1.334802701383e-10       1.521700080268e-15       2.217357911097e-13       0.000000000000e+00       2.192413798010e-10       2.341064088577e-11       1.459733579607e-15 
   26       1.354849132911e-10       1.751324823948e-15       2.297780939243e-13       0.000000000000e+00       2.040230900220e-10       2.189215205349e-11      -9.053214932492e-16 
   27       1.375403834659e-10       2.004752345962e-15       2.379467134717e-13       0.000000000000e+00       1.902685805853e-10       2.052934641148e-11      -5.707585970419e-15 
   28       1.396227691350e-10       2.283472790063e-15       2.457647694103e-13       0.000000000000e+00       1.777412564462e-10       1.929929518207e-11      -1.118539076228e-14 
   29       1.417385827532e-10       2.586580177085e-15       2.528679244232e-13       0.000000000000e+00       1.663774386502e-10       1.818698953295e-11      -1.633740365449e-14 
   30       1.438921161129e-10       2.911886641066e-15       2.588663420945e-13       0.000000000000e+00       1.560553702854e-10       1.716617669638e-11      -2.024248857826e-14 
   31       1.460769497740e-10       3.257407495834e-15       2.633670495755e-13       0.000000000000e+00       1.465648669559e-10       1.620291780724e-11      -2.201918931241e-14 
