# Matter power spectrum P(k) at redshift z=0
# for k=1.04302e-05 to 0.62652 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043017433922e-05       4.283282605494e+03 
       2.330343671600e-05       7.696425419043e+02 
       3.622188044949e-05       4.781576777071e+02 
       4.922022203262e-05       4.279349828417e+02 
       6.233375117401e-05       4.349732096423e+02 
       7.559864509227e-05       4.641089893282e+02 
       8.905229284430e-05       5.036549939675e+02 
       1.027336339967e-04       5.493999084497e+02 
       1.166835159824e-04       5.998506608796e+02 
       1.309450745178e-04       6.535462551338e+02 
       1.455641414629e-04       7.101876568390e+02 
       1.605896844471e-04       7.695314798670e+02 
       1.760742824074e-04       8.314365417842e+02 
       1.920746408178e-04       8.960246554561e+02 
       2.086521497371e-04       9.633964764127e+02 
       2.258734867301e-04       1.033656882202e+03 
       2.438112650667e-04       1.107103010344e+03 
       2.625447251450e-04       1.183923978372e+03 
       2.821604635570e-04       1.264440090619e+03 
       3.027531892888e-04       1.349007120406e+03 
       3.244264898410e-04       1.437957588945e+03 
       3.472935811725e-04       1.531708432028e+03 
       3.714780039340e-04       1.630740087698e+03 
       3.971142142101e-04       1.735514111047e+03 
       4.243479999516e-04       1.846573761950e+03 
       4.533366349695e-04       1.964477410497e+03 
       4.842486621219e-04       2.089825386354e+03 
       5.172631786698e-04       2.223249543587e+03 
       5.525684837795e-04       2.365394949678e+03 
       5.903599466171e-04       2.516916678687e+03 
       6.308369707549e-04       2.678471025096e+03 
       6.741989745858e-04       2.850684203003e+03 
       7.206403845745e-04       3.034128920684e+03 
       7.703447503169e-04       3.229320178802e+03 
       8.234782310439e-04       3.436661051245e+03 
       8.801828545094e-04       3.656447577673e+03 
       9.405700816233e-04       3.888808274138e+03 
       1.004715287132e-03       4.133725854923e+03 
       1.072653754539e-03       4.390985986774e+03 
       1.144378664756e-03       4.660219577561e+03 
       1.219841342107e-03       4.940862890710e+03 
       1.298953746660e-03       5.232220099351e+03 
       1.381592926446e-03       5.533444455371e+03 
       1.467606926060e-03       5.843600369338e+03 
       1.556821530234e-03       6.161710212659e+03 
       1.649047213743e-03       6.486763408512e+03 
       1.744085754976e-03       6.817713353396e+03 
       1.841736114306e-03       7.153553022725e+03 
       1.941799340569e-03       7.493294775827e+03 
       2.044082417546e-03       7.836014137363e+03 
       2.148401078263e-03       8.180863355300e+03 
       2.254581691746e-03       8.527035702417e+03 
       2.362462367625e-03       8.873788333231e+03 
       2.471893436356e-03       9.220500004054e+03 
       2.582737456034e-03       9.566530352318e+03 
       2.694868879004e-03       9.911377959098e+03 
       2.808173488974e-03       1.025459104317e+04 
       2.922547696327e-03       1.059573451534e+04 
       3.037897758246e-03       1.093445649517e+04 
       3.154138972261e-03       1.127041722274e+04 
       3.271194877247e-03       1.160336926452e+04 
       3.388996484481e-03       1.193306637183e+04 
       3.507481552824e-03       1.225929022713e+04 
       3.626593915802e-03       1.258183678183e+04 
       3.746282863929e-03       1.290060272159e+04 
       3.866502582580e-03       1.321543083528e+04 
       3.987211643730e-03       1.352622652216e+04 
       4.108372548648e-03       1.383284881073e+04 
       4.229951317938e-03       1.413529857501e+04 
       4.351917125023e-03       1.443345632296e+04 
       4.474241969090e-03       1.472727880515e+04 
       4.596900383627e-03       1.501675694620e+04 
       4.719869176892e-03       1.530182779825e+04 
       4.843127200900e-03       1.558248864738e+04 
       4.966655145806e-03       1.585870316726e+04 
       5.090435356856e-03       1.613048142702e+04 
       5.214451671362e-03       1.639787079733e+04 
       5.338689273416e-03       1.666080749502e+04 
       5.463134564318e-03       1.691935349194e+04 
       5.587775046918e-03       1.717346038071e+04 
       5.712599222283e-03       1.742319194722e+04 
       5.837596497265e-03       1.766858265468e+04 
       5.962757101746e-03       1.790957782388e+04 
       6.088072014455e-03       1.814632889270e+04 
       6.213532896389e-03       1.837874821053e+04 
       6.339132030985e-03       1.860694348409e+04 
       6.464862270303e-03       1.883087763752e+04 
       6.590716986546e-03       1.905068605087e+04 
       6.716690028334e-03       1.926627549474e+04 
       6.842775681234e-03       1.947774842607e+04 
       6.968968632056e-03       1.968515059645e+04 
       7.095263936553e-03       1.988851702445e+04 
       7.221656990137e-03       2.008785241512e+04 
       7.348143501310e-03       2.028328079268e+04 
       7.474719467531e-03       2.047467504459e+04 
       7.601381153264e-03       2.066216669687e+04 
       7.728125069991e-03       2.084588022286e+04 
       7.854947957997e-03       2.102576110620e+04 
       7.981846769737e-03       2.120187206536e+04 
       8.108818654655e-03       2.137416522837e+04 
       8.235860945291e-03       2.154279672104e+04 
       8.362971144566e-03       2.170778612247e+04 
       8.490146914134e-03       2.186910120005e+04 
       8.617386063689e-03       2.202684557311e+04 
       8.744686541156e-03       2.218107921589e+04 
       8.872046423670e-03       2.233183946545e+04 
       8.999463909285e-03       2.247906862564e+04 
       9.126937309336e-03       2.262283541372e+04 
       9.254465041401e-03       2.276325349362e+04 
       9.382045622813e-03       2.290030332503e+04 
       9.509677664673e-03       2.303402867635e+04 
       9.637359866316e-03       2.316449348760e+04 
       9.765091010203e-03       2.329166603073e+04 
       9.892869957190e-03       2.341566076589e+04 
       1.002069564215e-02       2.353648154989e+04 
       1.014856706993e-02       2.365417347022e+04 
       1.027648331158e-02       2.376875378420e+04 
       1.040444350087e-02       2.388029370868e+04 
       1.053244683109e-02       2.398872831900e+04 
