# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.939673616203e-10       6.329799384441e-15       4.238701744727e-13       0.000000000000e+00       6.744256600529e-09       6.343272763061e-10      -2.261269929519e-12 
    3       1.812429574160e-10       9.909238111257e-15       5.188013992780e-13       0.000000000000e+00       4.172619191549e-09       4.689703180921e-10      -1.912423435943e-12 
    4       1.684554902818e-10       1.063218161194e-14       5.244338522289e-13       0.000000000000e+00       2.900315003255e-09       3.671609306990e-10      -1.447370169782e-12 
    5       1.579476715458e-10       8.952944058502e-15       4.820859325557e-13       0.000000000000e+00       2.164942143077e-09       2.983294209106e-10      -9.971181823049e-13 
    6       1.497757926257e-10       6.239422523930e-15       4.183813356768e-13       0.000000000000e+00       1.691975970798e-09       2.487097939851e-10      -6.072888606622e-13 
    7       1.435984876573e-10       3.754327393720e-15       3.505157802853e-13       0.000000000000e+00       1.365676271258e-09       2.113689083910e-10      -2.980716061847e-13 
    8       1.389358073534e-10       2.119480599411e-15       2.880149342992e-13       0.000000000000e+00       1.129528591463e-09       1.823297995371e-10      -7.472993161336e-14 
    9       1.354907278189e-10       1.333170324493e-15       2.357749559294e-13       0.000000000000e+00       9.525379351350e-10       1.591670569572e-10       6.736763236145e-14 
   10       1.330023907954e-10       1.068569279344e-15       1.958640096358e-13       0.000000000000e+00       8.159764280224e-10       1.403693392953e-10       1.397747454515e-13 
   11       1.312774335820e-10       9.848595639126e-16       1.684685860767e-13       0.000000000000e+00       6.925555631306e-10       1.250791644976e-10       1.579347181118e-13 
   12       1.302164738242e-10       8.939006041357e-16       1.523602145012e-13       0.000000000000e+00       6.064918737995e-10       1.121069162958e-10       1.397735537549e-13 
