# Matter power spectrum P(k) at redshift z=0
# for k=1.00063e-05 to 0.602492 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.000633019953e-05       5.778564398987e+01 
       2.235568286130e-05       1.254684795256e+02 
       3.474493040149e-05       1.919689206882e+02 
       4.720470664290e-05       2.579806930136e+02 
       5.976611121849e-05       3.238936835108e+02 
       7.246096454012e-05       3.899968961319e+02 
       8.532207028477e-05       4.565351406462e+02 
       9.838348862799e-05       5.237321036753e+02 
       1.116808234800e-04       5.918020455415e+02 
       1.252515270091e-04       6.609567598061e+02 
       1.391352247529e-04       7.314103175568e+02 
       1.533740645972e-04       8.033826571670e+02 
       1.680130928109e-04       8.771025876282e+02 
       1.831006601259e-04       9.528104649484e+02 
       1.986888604772e-04       1.030760726593e+03 
       2.148340044021e-04       1.111224345954e+03 
       2.315971281322e-04       1.194491294420e+03 
       2.490445379764e-04       1.280873006641e+03 
       2.672483875132e-04       1.370704854686e+03 
       2.862872822087e-04       1.464348620687e+03 
       3.062469020941e-04       1.562194901080e+03 
       3.272206278357e-04       1.664665360703e+03 
       3.493101486246e-04       1.772214729550e+03 
       3.726260215648e-04       1.885332390673e+03 
       3.972881415112e-04       2.004543299077e+03 
       4.234260676447e-04       2.130408036497e+03 
       4.511791388928e-04       2.263521594808e+03 
       4.806962955605e-04       2.404510567714e+03 
       5.121355109898e-04       2.554028259130e+03 
       5.456627274572e-04       2.712747285778e+03 
       5.814501887656e-04       2.881349259760e+03 
       6.196740729658e-04       3.060511110281e+03 
       6.605113577263e-04       3.250888066400e+03 
       7.041359026458e-04       3.453093190239e+03 
       7.507138092818e-04       3.667674191808e+03 
       8.003982178787e-04       3.895088376136e+03 
       8.533238097135e-04       4.135677199680e+03 
       9.096013877978e-04       4.389642500641e+03 
       9.693129826262e-04       4.657026519918e+03 
       1.032507949306e-03       4.937697861276e+03 
       1.099200470436e-03       5.231345486428e+03 
       1.169368753272e-03       5.537481470540e+03 
       1.242956026947e-03       5.855453155528e+03 
       1.319873239513e-03       6.184443302364e+03 
       1.400003166636e-03       6.523531052091e+03 
       1.483205510103e-03       6.871734325133e+03 
       1.569322505613e-03       7.227992173738e+03 
       1.658184576244e-03       7.591216587807e+03 
       1.749615644129e-03       7.960319352175e+03 
       1.843437822830e-03       8.334234912095e+03 
       1.939475330470e-03       8.711938539029e+03 
       2.037557568955e-03       9.092460009053e+03 
       2.137521396016e-03       9.474893213540e+03 
       2.239212670791e-03       9.858401156808e+03 
       2.342487182699e-03       1.024221848742e+04 
       2.447211082604e-03       1.062565069670e+04 
       2.553260930918e-03       1.100807335178e+04 
       2.660523464975e-03       1.138892632664e+04 
       2.768895171894e-03       1.176771369853e+04 
       2.878281736429e-03       1.214399475636e+04 
       2.988597417607e-03       1.251738144021e+04 
       3.099764394291e-03       1.288753520357e+04 
       3.211712108557e-03       1.325415757735e+04 
       3.324376626726e-03       1.361699115133e+04 
       3.437700030993e-03       1.397581208588e+04 
       3.551629849394e-03       1.433042651406e+04 
       3.666118528090e-03       1.468067077468e+04 
       3.781122947273e-03       1.502640196494e+04 
       3.896603980178e-03       1.536750382310e+04 
       4.012526093521e-03       1.570387335190e+04 
       4.128856986933e-03       1.603543385446e+04 
       4.245567268595e-03       1.636211344428e+04 
       4.362630164091e-03       1.668386257058e+04 
       4.480021255501e-03       1.700064316546e+04 
       4.597718247863e-03       1.731232514318e+04 
       4.715700760257e-03       1.761909631573e+04 
       4.833950138979e-03       1.792080079633e+04 
       4.952449290484e-03       1.821745992273e+04 
       5.071182531968e-03       1.850913965832e+04 
       5.190135457675e-03       1.879584380016e+04 
       5.309294819207e-03       1.907751921683e+04 
       5.428648418302e-03       1.935418245778e+04 
       5.548185010701e-03       1.962515905916e+04 
       5.667894219882e-03       1.989185189560e+04 
       5.787766459578e-03       2.015339387027e+04 
       5.907792864112e-03       2.041051276207e+04 
       6.027965225698e-03       2.066259243670e+04 
       6.148275937946e-03       2.090956739033e+04 
       6.268717944910e-03       2.115207565542e+04 
       6.389284695072e-03       2.138997092620e+04 
       6.509970099749e-03       2.162323577894e+04 
       6.630768495448e-03       2.185182234014e+04 
       6.751674609756e-03       2.207570155916e+04 
       6.872683530399e-03       2.229514587132e+04 
       6.993790677151e-03       2.250990337154e+04 
       7.114991776289e-03       2.272035613315e+04 
       7.236282837346e-03       2.292625215750e+04 
       7.357660131932e-03       2.312762086798e+04 
       7.479120174419e-03       2.332459941011e+04 
       7.600659704299e-03       2.351750035099e+04 
       7.722275670064e-03       2.370582614756e+04 
       7.843965214460e-03       2.389122759235e+04 
       7.965725660972e-03       2.407143064387e+04 
       8.087554501446e-03       2.424753365779e+04 
       8.209449384723e-03       2.441956871252e+04 
       8.331408106202e-03       2.458755265875e+04 
       8.453428598243e-03       2.475165484142e+04 
       8.575508921342e-03       2.491174168927e+04 
       8.697647255994e-03       2.506782070672e+04 
       8.819841895205e-03       2.522016745541e+04 
       8.942091237574e-03       2.536881360841e+04 
       9.064393780913e-03       2.551354208496e+04 
       9.186748116350e-03       2.565460951513e+04 
       9.309152922875e-03       2.579199985640e+04 
       9.431606962303e-03       2.592574010635e+04 
       9.554109074593e-03       2.605504104737e+04 
       9.676658173533e-03       2.618264363684e+04 
       9.799253242720e-03       2.630570655000e+04 
       9.921893331847e-03       2.642535661614e+04 
       1.004457755324e-02       2.654156763599e+04 
       1.016730507868e-02       2.665442126269e+04 
       1.029007513638e-02       2.676392888585e+04 
       1.041288700825e-02       2.686926300478e+04 
       1.053574002732e-02       2.697309279990e+04 
       1.065863357535e-02       2.707274282829e+04 
       1.078156708059e-02       2.716938618658e+04 
       1.090454001569e-02       2.726153362416e+04 
       1.102755189584e-02       2.735201424440e+04 
       1.115060227690e-02       2.744022434247e+04 
       1.127369075377e-02       2.752439799274e+04 
       1.139681695881e-02       2.760550683487e+04 
       1.151998056041e-02       2.768376254777e+04 
       1.164318126164e-02       2.775903975176e+04 
       1.176641879899e-02       2.783060731341e+04 
       1.188969294119e-02       2.790086061962e+04 
       1.201300348813e-02       2.796763260637e+04 
       1.213635026986e-02       2.803158755799e+04 
       1.225973314566e-02       2.809270955976e+04 
       1.238315200312e-02       2.815109761365e+04 
       1.250660675738e-02       2.820692784928e+04 
       1.263009735037e-02       2.826015886156e+04 
       1.275362375009e-02       2.831064262473e+04 
       1.287718595002e-02       2.835839986235e+04 
       1.300078396847e-02       2.840374243757e+04 
       1.312441784806e-02       2.844585677185e+04 
       1.324808765523e-02       2.848695731275e+04 
       1.337179347978e-02       2.852368845667e+04 
       1.349553543441e-02       2.855944474391e+04 
       1.361931365440e-02       2.859327808776e+04 
       1.374312829721e-02       2.862333912971e+04 
       1.386697954220e-02       2.865244388067e+04 
       1.399086759034e-02       2.867742602749e+04 
       1.411479266394e-02       2.870113114070e+04 
       1.423875500647e-02       2.872295913666e+04 
       1.436275488233e-02       2.874199861799e+04 
       1.448679257671e-02       2.875939970506e+04 
       1.461086839544e-02       2.877392007840e+04 
       1.473498266488e-02       2.878844809695e+04 
       1.485913573183e-02       2.879923997411e+04 
       1.498332796345e-02       2.880781131369e+04 
       1.510755974723e-02       2.881465304410e+04 
       1.523183149097e-02       2.881874507596e+04 
       1.535614362276e-02       2.882132574429e+04 
       1.548049659101e-02       2.882144773650e+04 
       1.560489086449e-02       2.882019202851e+04 
       1.572932693238e-02       2.881840655538e+04 
       1.585380530436e-02       2.881218693760e+04 
       1.597832651067e-02       2.880643241394e+04 
       1.610289110228e-02       2.879670238100e+04 
       1.622749965095e-02       2.878691986020e+04 
       1.635215274945e-02       2.877404467660e+04 
       1.647685101166e-02       2.876006938625e+04 
       1.660159507280e-02       2.874434595125e+04 
       1.672638558960e-02       2.872696507509e+04 
       1.685122324054e-02       2.870922073400e+04 
       1.697610872605e-02       2.868725784912e+04 
       1.710104276879e-02       2.866604763000e+04 
       1.722602611391e-02       2.864211452620e+04 
       1.735105952929e-02       2.861587162204e+04 
       1.747614380592e-02       2.858883983821e+04 
       1.760127975811e-02       2.856081537579e+04 
       1.772646822392e-02       2.852998687066e+04 
       1.785171006544e-02       2.849849041905e+04 
       1.797700616918e-02       2.846542809721e+04 
       1.810235744645e-02       2.843219711907e+04 
       1.822776483376e-02       2.839654751970e+04 
       1.835322929321e-02       2.835939281470e+04 
       1.847875181295e-02       2.832039616417e+04 
       1.860433340763e-02       2.827970278880e+04 
       1.872997511884e-02       2.823869141861e+04 
       1.885567801560e-02       2.819611998069e+04 
       1.898144319490e-02       2.815347327555e+04 
       1.910727178217e-02       2.810833053200e+04 
       1.923316493185e-02       2.806234458361e+04 
       1.935912382796e-02       2.801392911597e+04 
       1.948514968463e-02       2.796544791790e+04 
       1.961124374676e-02       2.791574878514e+04 
       1.973740729058e-02       2.786562644734e+04 
       1.986364162436e-02       2.781289356591e+04 
       1.998994808899e-02       2.776063320623e+04 
       2.011632805874e-02       2.770541413972e+04 
       2.024278294191e-02       2.765023173687e+04 
       2.036931418158e-02       2.759460249326e+04 
       2.049592325637e-02       2.753640919325e+04 
       2.062261168120e-02       2.747837729912e+04 
       2.074938100812e-02       2.741985745248e+04 
       2.087623282709e-02       2.735885413494e+04 
       2.100316876689e-02       2.729767589441e+04 
       2.113019049593e-02       2.723549028386e+04 
       2.125729972324e-02       2.717324565096e+04 
       2.138449819935e-02       2.710869785635e+04 
       2.151178771726e-02       2.704393062359e+04 
       2.163917011345e-02       2.697885714481e+04 
       2.176664726893e-02       2.691183012035e+04 
       2.189422111026e-02       2.684519356216e+04 
       2.202189361064e-02       2.677683878074e+04 
       2.214966679109e-02       2.670809147422e+04 
       2.227754272156e-02       2.663796916591e+04 
       2.240552352217e-02       2.656775383573e+04 
       2.253361136441e-02       2.649708524346e+04 
       2.266180847244e-02       2.642501449368e+04 
       2.279011712444e-02       2.635291948589e+04 
       2.291853965389e-02       2.627939937293e+04 
       2.304707845104e-02       2.620555119850e+04 
       2.317573596435e-02       2.613190566052e+04 
       2.330451470197e-02       2.605613333639e+04 
       2.343341723327e-02       2.598057756557e+04 
       2.356244619048e-02       2.590489771175e+04 
       2.369160427031e-02       2.582797227720e+04 
       2.382089423561e-02       2.575044531544e+04 
       2.395031891722e-02       2.567205808449e+04 
       2.407988121570e-02       2.559366902838e+04 
       2.420958410324e-02       2.551513983337e+04 
       2.433943062558e-02       2.543520129090e+04 
       2.446942390405e-02       2.535573541087e+04 
       2.459956713758e-02       2.527527295393e+04 
       2.472986360490e-02       2.519391140241e+04 
       2.486031666671e-02       2.511285843855e+04 
       2.499092976798e-02       2.503123594601e+04 
       2.512170644033e-02       2.494854041343e+04 
       2.525265030447e-02       2.486636350812e+04 
       2.538376507271e-02       2.478295544653e+04 
       2.551505455165e-02       2.469999263748e+04 
       2.564652264482e-02       2.461582931303e+04 
       2.577817335554e-02       2.453176125064e+04 
       2.591001078984e-02       2.444735394026e+04 
       2.604203915944e-02       2.436251417721e+04 
       2.617426278491e-02       2.427789683105e+04 
       2.630668609892e-02       2.419210018856e+04 
       2.643931364956e-02       2.410679594383e+04 
       2.657215010388e-02       2.402037371100e+04 
       2.670520025147e-02       2.393455615674e+04 
       2.683846900824e-02       2.384797354258e+04 
       2.697196142029e-02       2.376134557553e+04 
       2.710568266797e-02       2.367435535405e+04 
       2.723963807009e-02       2.358714592553e+04 
       2.737383308825e-02       2.349963336860e+04 
       2.750827333139e-02       2.341184107381e+04 
       2.764296456054e-02       2.332420520841e+04 
       2.777791269363e-02       2.323622521698e+04 
       2.791312381067e-02       2.314799246318e+04 
       2.804860415900e-02       2.305969305939e+04 
       2.818436015880e-02       2.297118241763e+04 
       2.832039840887e-02       2.288261714197e+04 
       2.845672569257e-02       2.279376541468e+04 
       2.859334898403e-02       2.270494890113e+04 
       2.873027545469e-02       2.261578561777e+04 
       2.886751248000e-02       2.252688829247e+04 
       2.900506764650e-02       2.243769174897e+04 
       2.914294875917e-02       2.234830578379e+04 
       2.928116384908e-02       2.225890847838e+04 
       2.941972118141e-02       2.216945800945e+04 
       2.955862926381e-02       2.207984896512e+04 
       2.969789685511e-02       2.199023378730e+04 
       2.983753297447e-02       2.190032709376e+04 
       2.997754691087e-02       2.181061897246e+04 
       3.011794823316e-02       2.172086988413e+04 
       3.025874680040e-02       2.163112864244e+04 
       3.039995277285e-02       2.154130481495e+04 
       3.054157662336e-02       2.145139508345e+04 
       3.068362914937e-02       2.136167297282e+04 
       3.082612148544e-02       2.127177658212e+04 
       3.096906511644e-02       2.118210426418e+04 
       3.111247189128e-02       2.109205454169e+04 
       3.125635403747e-02       2.100222912189e+04 
       3.140072417629e-02       2.091241411242e+04 
       3.154559533872e-02       2.082272792390e+04 
       3.169098098228e-02       2.073279403377e+04 
       3.183689500863e-02       2.064300596052e+04 
       3.198335178216e-02       2.055325890943e+04 
       3.213036614947e-02       2.046360365111e+04 
       3.227795345998e-02       2.037399852118e+04 
       3.242612958757e-02       2.028442560077e+04 
       3.257491095341e-02       2.019491362440e+04 
       3.272431455007e-02       2.010544318279e+04 
       3.287435796692e-02       2.001602424740e+04 
       3.302505941697e-02       1.992664919280e+04 
       3.317643776523e-02       1.983757691744e+04 
       3.332851255866e-02       1.974836109176e+04 
       3.348130405792e-02       1.965923560480e+04 
       3.363483327088e-02       1.957002335676e+04 
       3.378912198820e-02       1.948094625668e+04 
       3.394419282099e-02       1.939222246297e+04 
       3.410006924076e-02       1.930315749244e+04 
       3.425677562181e-02       1.921446869488e+04 
       3.441433728628e-02       1.912598969748e+04 
       3.457278055195e-02       1.903734557937e+04 
       3.473213278322e-02       1.894882575708e+04 
       3.489242244516e-02       1.886034330230e+04 
       3.505367916130e-02       1.877219252207e+04 
       3.521593377507e-02       1.868392308062e+04 
       3.537921841543e-02       1.859560455857e+04 
       3.554356656690e-02       1.850771361855e+04 
       3.570901314443e-02       1.841966801403e+04 
       3.587559457344e-02       1.833176924398e+04 
       3.604334887549e-02       1.824412144489e+04 
       3.621231576015e-02       1.815643467301e+04 
       3.638253672338e-02       1.806867358612e+04 
       3.655405515327e-02       1.798111450087e+04 
       3.672691644361e-02       1.789389583215e+04 
       3.690116811596e-02       1.780640637067e+04 
       3.707685995123e-02       1.771904042327e+04 
       3.725404413133e-02       1.763166554992e+04 
       3.743277539216e-02       1.754485540155e+04 
       3.761311118877e-02       1.745747133047e+04 
       3.779511187394e-02       1.737053158170e+04 
       3.797884089166e-02       1.728352376174e+04 
       3.816436498672e-02       1.719667548296e+04 
       3.835175443226e-02       1.711009803993e+04 
       3.854108327709e-02       1.702302520856e+04 
       3.873242961474e-02       1.693629305378e+04 
       3.892587587672e-02       1.684959918773e+04 
       3.912150915252e-02       1.676311461651e+04 
       3.931942153929e-02       1.667617340344e+04 
       3.951971052458e-02       1.658985860306e+04 
       3.972247940587e-02       1.650289737592e+04 
       3.992783775122e-02       1.641628645059e+04 
       4.013590190583e-02       1.632957556698e+04 
       4.034679555010e-02       1.624295328944e+04 
       4.056065031552e-02       1.615656374054e+04 
       4.077760646559e-02       1.606969684570e+04 
       4.099781365004e-02       1.598301945925e+04 
       4.122143174205e-02       1.589616710726e+04 
       4.144863176925e-02       1.580892850137e+04 
       4.167959695140e-02       1.572186918446e+04 
       4.191452385938e-02       1.563470324158e+04 
       4.215362371270e-02       1.554745854205e+04 
       4.239712383552e-02       1.546010845671e+04 
       4.264526929440e-02       1.537247321278e+04 
       4.289832474535e-02       1.528459451044e+04 
       4.315657652244e-02       1.519677160881e+04 
       4.342033500580e-02       1.510858864077e+04 
       4.368993731449e-02       1.502013619817e+04 
       4.396575037758e-02       1.493133516691e+04 
       4.424817444761e-02       1.484241965958e+04 
       4.453764713312e-02       1.475305740535e+04 
       4.483464804244e-02       1.466334946400e+04 
       4.513970415015e-02       1.457325285574e+04 
       4.545339602122e-02       1.448260883354e+04 
       4.577636505730e-02       1.439156368334e+04 
       4.610932196602e-02       1.429990768450e+04 
       4.645305670050e-02       1.420765871951e+04 
       4.680845017318e-02       1.411486968935e+04 
       4.717648812156e-02       1.402122374316e+04 
       4.755827759486e-02       1.392675906878e+04 
       4.795506664797e-02       1.383163415194e+04 
       4.836826797772e-02       1.373513698137e+04 
       4.879948742624e-02       1.363763277270e+04 
       4.925055851799e-02       1.353934630305e+04 
       4.972358450463e-02       1.343896310616e+04 
       5.022098978008e-02       1.333682082114e+04 
       5.074558301380e-02       1.323325664166e+04 
       5.130063494464e-02       1.312812484993e+04 
       5.188997447932e-02       1.302041378912e+04 
       5.251810751322e-02       1.290922683001e+04 
       5.319036362477e-02       1.279540039607e+04 
       5.391307621758e-02       1.267718382721e+04 
       5.469380120643e-02       1.255428125857e+04 
       5.554157676104e-02       1.242600756699e+04 
       5.646721960485e-02       1.229051298388e+04 
       5.748363765573e-02       1.214564727916e+04 
       5.860610723808e-02       1.198989777316e+04 
       5.985240538867e-02       1.181843200046e+04 
       6.124259401823e-02       1.162816581456e+04 
       6.279812831904e-02       1.141324205473e+04 
       6.453986588116e-02       1.116460818484e+04 
       6.648465684158e-02       1.087609924047e+04 
       6.864077829719e-02       1.053731276908e+04 
       7.100363534808e-02       1.014407305634e+04 
       7.355417198589e-02       9.695535478874e+03 
       7.626178985729e-02       9.198624226368e+03 
       7.909086006628e-02       8.669395595912e+03 
       8.200753372806e-02       8.127368083829e+03 
       8.498400096888e-02       7.594925966969e+03 
       8.799966165344e-02       7.091798678353e+03 
       9.104030768520e-02       6.634164105937e+03 
       9.409659354044e-02       6.231829278034e+03 
       9.716255716558e-02       5.889295390517e+03 
       1.002344675814e-01       5.605640004046e+03 
       1.033100176863e-01       5.375994290449e+03 
       1.063877912067e-01       5.192214370721e+03 
       1.094669225074e-01       5.043684805655e+03 
       1.125468838300e-01       4.919383232379e+03 
       1.156273538277e-01       4.808076250637e+03 
       1.187081369218e-01       4.699175684851e+03 
       1.217891140488e-01       4.584267754489e+03 
       1.248702126588e-01       4.457444686426e+03 
       1.279513884680e-01       4.315633931739e+03 
       1.310326143718e-01       4.158507602728e+03 
       1.341138737100e-01       3.988570439703e+03 
       1.371951561778e-01       3.810057840767e+03 
       1.402764553431e-01       3.628643518471e+03 
       1.433577671372e-01       3.449918629602e+03 
       1.464390889395e-01       3.279486941604e+03 
       1.495204190193e-01       3.121992083897e+03 
       1.526017561970e-01       2.980546701357e+03 
       1.556830996373e-01       2.856797513580e+03 
       1.587644487226e-01       2.751108218666e+03 
       1.618458029756e-01       2.662469315029e+03 
       1.649271620117e-01       2.588957749584e+03 
       1.680085255090e-01       2.527548635160e+03 
       1.710898931902e-01       2.474941577353e+03 
       1.741712648104e-01       2.427913438904e+03 
       1.772526401500e-01       2.383443515182e+03 
       1.803340190088e-01       2.338362269564e+03 
       1.834154012033e-01       2.290109879145e+03 
       1.864967865641e-01       2.237175972589e+03 
       1.895781749338e-01       2.178930600069e+03 
       1.926595661657e-01       2.115716223157e+03 
       1.957409601231e-01       2.048591002444e+03 
       1.988223566778e-01       1.979140542736e+03 
       2.019037557099e-01       1.909189021927e+03 
       2.049851571065e-01       1.840654104545e+03 
       2.080665607618e-01       1.775012087261e+03 
       2.111479665761e-01       1.713482464505e+03 
       2.142293744557e-01       1.657077352778e+03 
       2.173107843119e-01       1.606196441957e+03 
       2.203921960613e-01       1.561115741391e+03 
       2.234736096250e-01       1.521433594739e+03 
       2.265550249285e-01       1.486715924257e+03 
       2.296364419014e-01       1.456091327674e+03 
       2.327178604767e-01       1.428491969292e+03 
       2.357992805914e-01       1.402930110599e+03 
       2.388807021855e-01       1.378200503992e+03 
       2.419621252020e-01       1.353478965992e+03 
       2.450435495870e-01       1.328104559233e+03 
       2.481249752892e-01       1.301547728845e+03 
       2.512064022599e-01       1.273640022592e+03 
       2.542878304525e-01       1.244436214669e+03 
       2.573692598231e-01       1.214125147252e+03 
       2.604506903295e-01       1.183082985462e+03 
       2.635321219316e-01       1.151813334893e+03 
       2.666135545912e-01       1.120905466330e+03 
       2.696949882720e-01       1.090925592374e+03 
       2.727764229390e-01       1.062323666159e+03 
       2.758578585591e-01       1.035472064842e+03 
       2.789392951005e-01       1.010566769170e+03 
       2.820207325328e-01       9.876840120226e+02 
       2.851021708271e-01       9.667067241031e+02 
       2.881836099554e-01       9.474977660982e+02 
       2.912650498912e-01       9.296962439219e+02 
       2.943464906089e-01       9.131026572049e+02 
       2.974279320843e-01       8.973969402958e+02 
       3.005093742938e-01       8.822045867949e+02 
       3.035908172149e-01       8.672336983050e+02 
       3.066722608262e-01       8.523245479382e+02 
       3.097537051068e-01       8.372094427235e+02 
       3.128351500371e-01       8.217985652419e+02 
       3.159165955977e-01       8.061146410786e+02 
       3.189980417704e-01       7.901662336720e+02 
       3.220794885376e-01       7.741297264499e+02 
       3.251609358822e-01       7.581664611506e+02 
       3.282423837879e-01       7.423435207085e+02 
       3.313238322390e-01       7.269314726867e+02 
       3.344052812204e-01       7.119637346290e+02 
       3.374867307173e-01       6.975816318394e+02 
       3.405681807159e-01       6.838634580331e+02 
       3.436496312025e-01       6.708575521778e+02 
       3.467310821641e-01       6.585553848954e+02 
       3.498125335880e-01       6.469603034241e+02 
       3.528939854621e-01       6.359814809555e+02 
       3.559754377747e-01       6.255270092641e+02 
       3.590568905144e-01       6.154512800376e+02 
       3.621383436702e-01       6.056664539570e+02 
       3.652197972317e-01       5.960911277551e+02 
