# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.639412156578e-10       6.597969745534e-15       4.155359518885e-13       0.000000000000e+00       7.582626294464e-09       5.450623116025e-10      -2.319453253419e-12 
    3       1.513410891714e-10       1.007110743378e-14       5.061511993203e-13       0.000000000000e+00       4.670120022585e-09       3.835472438279e-10      -1.929571917315e-12 
    4       1.402233445381e-10       1.050154871819e-14       5.040089442289e-13       0.000000000000e+00       3.237018231934e-09       2.898732739671e-10      -1.428990381594e-12 
    5       1.317795421466e-10       8.570312446456e-15       4.563502495457e-13       0.000000000000e+00       2.407442583096e-09       2.290990815719e-10      -9.549147539885e-13 
    6       1.256802338919e-10       5.787527227768e-15       3.923256140543e-13       0.000000000000e+00       1.874677433954e-09       1.867524898865e-10      -5.525016715964e-13 
    7       1.214472778422e-10       3.415468752766e-15       3.288786581840e-13       0.000000000000e+00       1.509093801557e-09       1.558036326737e-10      -2.400897087761e-13 
    8       1.185702360713e-10       1.982395533553e-15       2.739195220672e-13       0.000000000000e+00       1.245204957513e-09       1.323148073171e-10      -2.049243540125e-14 
    9       1.167514696154e-10       1.379508496947e-15       2.302822037755e-13       0.000000000000e+00       1.047093748282e-09       1.139359631159e-10       1.136345273484e-13 
   10       1.157411018414e-10       1.217034116136e-15       1.981627916290e-13       0.000000000000e+00       8.939413709338e-10       9.928399041764e-11       1.764369943907e-13 
   11       1.153570859606e-10       1.148133735765e-15       1.763756231498e-13       0.000000000000e+00       7.553889739036e-10       8.775906621671e-11       1.848962380704e-13 
   12       1.155140986844e-10       1.014427890760e-15       1.629077409570e-13       0.000000000000e+00       6.594940567573e-10       7.797053749168e-11       1.596658470754e-13 
   13       1.160222389813e-10       8.223761929215e-16       1.556300328680e-13       0.000000000000e+00       5.808665628859e-10       6.984094277231e-11       1.166274806533e-13 
   14       1.167902344693e-10       6.439928411734e-16       1.527678963678e-13       0.000000000000e+00       5.155094572466e-10       6.282778211861e-11       6.931013907513e-14 
   15       1.178153240840e-10       5.332840618962e-16       1.529285061418e-13       0.000000000000e+00       4.605480462700e-10       5.693074117856e-11       2.777957259038e-14 
   16       1.190878507141e-10       4.980470164143e-16       1.551377689574e-13       0.000000000000e+00       4.138581685254e-10       5.193040068279e-11      -2.418281319360e-15 
   17       1.204535874113e-10       5.159940176646e-16       1.589120147492e-13       0.000000000000e+00       3.738369067034e-10       4.760388635508e-11      -1.944460196641e-14 
   18       1.219590268658e-10       5.619592084556e-16       1.639167194588e-13       0.000000000000e+00       3.391240956301e-10       4.370954057164e-11      -2.455887938125e-14 
   19       1.236119370070e-10       6.308127690493e-16       1.700859772425e-13       0.000000000000e+00       3.091595085620e-10       4.023544454890e-11      -2.041095304365e-14 
   20       1.253258675564e-10       7.226691941367e-16       1.773116990504e-13       0.000000000000e+00       2.827835026179e-10       3.716716776868e-11      -1.109220859710e-14 
   21       1.271119902900e-10       8.405747267756e-16       1.855148595971e-13       0.000000000000e+00       2.595774973759e-10       3.447412722167e-11       1.787234823306e-17 
   22       1.289777735327e-10       9.869033324115e-16       1.945326960043e-13       0.000000000000e+00       2.389814888985e-10       3.207306642314e-11       9.464292285390e-15 
   23       1.309090858571e-10       1.156521603793e-15       2.041305003571e-13       0.000000000000e+00       2.207094840552e-10       2.991715855901e-11       1.550579334671e-14 
   24       1.328665322101e-10       1.341784860631e-15       2.139670135877e-13       0.000000000000e+00       2.043365286156e-10       2.794765185964e-11       1.715152958559e-14 
   25       1.348648427298e-10       1.542595446900e-15       2.236661433140e-13       0.000000000000e+00       1.896686367543e-10       2.615741469831e-11       1.474705598488e-14 
   26       1.369181067770e-10       1.761708944767e-15       2.327978030537e-13       0.000000000000e+00       1.764390361088e-10       2.453869818396e-11       9.395905963197e-15 
   27       1.390205605792e-10       2.003064812385e-15       2.410361875661e-13       0.000000000000e+00       1.644879100369e-10       2.308152365360e-11       2.664797192800e-15 
   28       1.411512039674e-10       2.270639522745e-15       2.480926954048e-13       0.000000000000e+00       1.536080096327e-10       2.176337097133e-11      -3.664428557617e-15 
   29       1.433159788683e-10       2.564778687711e-15       2.538386614654e-13       0.000000000000e+00       1.437430713070e-10       2.056894579771e-11      -8.781135526028e-15 
   30       1.455171499520e-10       2.884270612795e-15       2.582054791100e-13       0.000000000000e+00       1.347864318418e-10       1.947055079185e-11      -1.210554637603e-14 
   31       1.477460882477e-10       3.227967579125e-15       2.611627480955e-13       0.000000000000e+00       1.265545149353e-10       1.843223207967e-11      -1.316423599370e-14 
   32       1.500051097903e-10       3.597525358053e-15       2.627851571401e-13       0.000000000000e+00       1.190044892554e-10       1.745547429189e-11      -1.223787856336e-14 
   33       1.522910595121e-10       3.995711029290e-15       2.632168685338e-13       0.000000000000e+00       1.120827559005e-10       1.654899437934e-11      -9.978691673063e-15 
   34       1.545943233059e-10       4.425204100690e-15       2.626228994739e-13       0.000000000000e+00       1.056921763419e-10       1.571595483602e-11      -7.167862850170e-15 
   35       1.569201215392e-10       4.886781912499e-15       2.610659495592e-13       0.000000000000e+00       9.979984436198e-11       1.495279447871e-11      -4.392330416009e-15 
   36       1.592729681395e-10       5.380486488272e-15       2.585889355782e-13       0.000000000000e+00       9.435826398246e-11       1.424887128396e-11      -2.272999181003e-15 
   37       1.616524343689e-10       5.906302083310e-15       2.552144009511e-13       0.000000000000e+00       8.929635385888e-11       1.359044023819e-11      -1.382939083548e-15 
