# Matter power spectrum P(k) at redshift z=0
# for k=8.9932e-06 to 0.540777 h/Mpc,
# number of wavenumbers equal to 566
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.993195753682e-06       8.564321640938e+01 
       2.009038795399e-05       1.859284585550e+02 
       3.121654357406e-05       2.843781500229e+02 
       4.239386806513e-05       3.819633803277e+02 
       5.364483998639e-05       4.792044731846e+02 
       6.499235991507e-05       5.764694156037e+02 
       7.645990293030e-05       6.740584266993e+02 
       8.807167620630e-05       7.722357902272e+02 
       9.985278326361e-05       8.712469824988e+02 
       1.118293964429e-04       9.713275024859e+02 
       1.240289391818e-04       1.072708818761e+03 
       1.364802796821e-04       1.175622290603e+03 
       1.492139375474e-04       1.280302214925e+03 
       1.622623049316e-04       1.386988182468e+03 
       1.756598836618e-04       1.495927061783e+03 
       1.894435396507e-04       1.607374697194e+03 
       2.036527756836e-04       1.721597531964e+03 
       2.183300233074e-04       1.838873843305e+03 
       2.335209540262e-04       1.959495029415e+03 
       2.492748092743e-04       2.083766610084e+03 
       2.656447476174e-04       2.212009078918e+03 
       2.826882062614e-04       2.344558518255e+03 
       3.004672721347e-04       2.481766917118e+03 
       3.190490554585e-04       2.624002143490e+03 
       3.385060557341e-04       2.771647376610e+03 
       3.589165063674e-04       2.925100070306e+03 
       3.803646796566e-04       3.084770214856e+03 
       4.029411285870e-04       3.251077807570e+03 
       4.267428358939e-04       3.424449401391e+03 
       4.518732344196e-04       3.605313733911e+03 
       4.784420563582e-04       3.794096259536e+03 
       5.065649633016e-04       3.991212646020e+03 
       5.363629051653e-04       4.197061290413e+03 
       5.679611555548e-04       4.412015035647e+03 
       6.014879757188e-04       4.636412283969e+03 
       6.370728708693e-04       4.870547980304e+03 
       6.748444230771e-04       5.114664672607e+03 
       7.149277151954e-04       5.368944247582e+03 
       7.574413999612e-04       5.633500529785e+03 
       8.024945150875e-04       5.908372858279e+03 
       8.501831938050e-04       6.193520776589e+03 
       9.005874634616e-04       6.488819249557e+03 
       9.537683535047e-04       6.794054647621e+03 
       1.009765539814e-03       7.108920946545e+03 
       1.068595729083e-03       7.433016735063e+03 
       1.130251933973e-03       7.765844363398e+03 
       1.194703712696e-03       8.106780950758e+03 
       1.261898356788e-03       8.455150096795e+03 
       1.331762922898e-03       8.810220310620e+03 
       1.404206932723e-03       9.171178755382e+03 
       1.479125520235e-03       9.537177797923e+03 
       1.556402791362e-03       9.907359477302e+03 
       1.635915176105e-03       1.028087469716e+04 
       1.717534589597e-03       1.065690436388e+04 
       1.801131267382e-03       1.103466907548e+04 
       1.886576191902e-03       1.141343713243e+04 
       1.973743074515e-03       1.179252924612e+04 
       2.062509895754e-03       1.217131617080e+04 
       2.152760034229e-03       1.254922036640e+04 
       2.244383031751e-03       1.292571734984e+04 
       2.337275050573e-03       1.330033327263e+04 
       2.431339080187e-03       1.367263754040e+04 
       2.526484948044e-03       1.404226203038e+04 
       2.622629182796e-03       1.440886298478e+04 
       2.719694771574e-03       1.477214731568e+04 
       2.817610845521e-03       1.513185971422e+04 
       2.916312320879e-03       1.548777120507e+04 
       3.015739516759e-03       1.583968934686e+04 
       3.115837765483e-03       1.618744258444e+04 
       3.216557027042e-03       1.653088286859e+04 
       3.317851515761e-03       1.686988175414e+04 
       3.419679344525e-03       1.720437088036e+04 
       3.522002189878e-03       1.753421894208e+04 
       3.624784979727e-03       1.785936681177e+04 
       3.727995604287e-03       1.817976077164e+04 
       3.831604650078e-03       1.849534773008e+04 
       3.935585156258e-03       1.880609757740e+04 
       4.039912392217e-03       1.911198395329e+04 
       4.144563655139e-03       1.941298873233e+04 
       4.249518086138e-03       1.970909441623e+04 
       4.354756503520e-03       2.000030669611e+04 
       4.460261251780e-03       2.028662845645e+04 
       4.566016064932e-03       2.056806543708e+04 
       4.672005942890e-03       2.084462047282e+04 
       4.778217039686e-03       2.111632253725e+04 
       4.884636562382e-03       2.138318190063e+04 
       4.991252679658e-03       2.164522029573e+04 
       5.098054439113e-03       2.190247189585e+04 
       5.205031692434e-03       2.215495957292e+04 
       5.312175027631e-03       2.240271280410e+04 
       5.419475707658e-03       2.264576386103e+04 
       5.526925614757e-03       2.288414823228e+04 
       5.634517199979e-03       2.311790104365e+04 
       5.742243437345e-03       2.334706888873e+04 
       5.850097782207e-03       2.357168477555e+04 
       5.958074133368e-03       2.379178008904e+04 
       6.066166798620e-03       2.400741693518e+04 
       6.174370463341e-03       2.421862183080e+04 
       6.282680161868e-03       2.442543857350e+04 
       6.391091251371e-03       2.462792035981e+04 
       6.499599387987e-03       2.482610882431e+04 
       6.608200505010e-03       2.502003760847e+04 
       6.716890792919e-03       2.520976417164e+04 
       6.825666681102e-03       2.539532585643e+04 
       6.934524821090e-03       2.557675530982e+04 
       7.043462071183e-03       2.575410393081e+04 
       7.152475482327e-03       2.592742236484e+04 
       7.261562285133e-03       2.609676286329e+04 
       7.370719877939e-03       2.626214324279e+04 
       7.479945815822e-03       2.642360870608e+04 
       7.589237800463e-03       2.658122100196e+04 
       7.698593670813e-03       2.673502061555e+04 
       7.808011394471e-03       2.688501823096e+04 
       7.917489059727e-03       2.703129770547e+04 
       8.027024868197e-03       2.717387682930e+04 
       8.136617128027e-03       2.731280390086e+04 
       8.246264247584e-03       2.744813250836e+04 
       8.355964729628e-03       2.757988779324e+04 
       8.465717165902e-03       2.770810927499e+04 
       8.575520232113e-03       2.783284540703e+04 
       8.685372683280e-03       2.795412260304e+04 
       8.795273349413e-03       2.807200247665e+04 
       8.905221131490e-03       2.818650683787e+04 
       9.015214997731e-03       2.829769100156e+04 
       9.125253980120e-03       2.840557676622e+04 
       9.235337171174e-03       2.851019817936e+04 
       9.345463720938e-03       2.861160925013e+04 
       9.455632834178e-03       2.870984209933e+04 
       9.565843767773e-03       2.880495739345e+04 
       9.676095828279e-03       2.889693309619e+04 
       9.786388369664e-03       2.898586360124e+04 
       9.896720791187e-03       2.907175276588e+04 
       1.000709253543e-02       2.915465391875e+04 
       1.011750308645e-02       2.923458703043e+04 
       1.022795196807e-02       2.931161338076e+04 
       1.033843874225e-02       2.938573447525e+04 
