# Matter power spectrum P(k) at redshift z=0
# for k=1.04334e-05 to 0.62675 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043341395267e-05       2.934425207683e+03 
       2.331068146996e-05       5.797023270919e+02 
       3.623317245448e-05       4.088886226453e+02 
       4.923563593796e-05       3.862488297008e+02 
       6.235339505896e-05       4.050275130685e+02 
       7.562266184987e-05       4.402811940085e+02 
       8.908086207971e-05       4.845095304119e+02 
       1.027669744711e-04       5.331837643420e+02 
       1.167218886425e-04       5.855348651736e+02 
       1.309887861613e-04       6.408137642092e+02 
       1.456135490985e-04       6.987107153596e+02 
       1.606452004170e-04       7.590359291315e+02 
       1.761363803486e-04       8.217867165788e+02 
       1.921438625440e-04       8.870691462918e+02 
       2.087291131277e-04       9.549904357786e+02 
       2.259588947116e-04       1.025743773188e+03 
       2.439059157644e-04       1.099615104404e+03 
       2.626495232650e-04       1.176804131010e+03 
       2.822764330293e-04       1.257641282008e+03 
       3.028814871499e-04       1.342490014264e+03 
       3.245684212575e-04       1.431684353796e+03 
       3.474506153977e-04       1.525657632954e+03 
       3.716517908350e-04       1.624883336502e+03 
       3.973066007984e-04       1.729830104525e+03 
       4.245610460874e-04       1.841043928434e+03 
       4.535726270921e-04       1.959086037039e+03 
       4.845101234904e-04       2.084560050769e+03 
       5.175528742124e-04       2.218098406786e+03 
       5.528894172947e-04       2.360348687110e+03 
       5.907153478272e-04       2.511969800014e+03 
       6.312302696974e-04       2.673617104987e+03 
       6.746337611705e-04       2.845918857149e+03 
       7.211203519674e-04       3.029451661053e+03 
       7.708736222063e-04       3.224730897283e+03 
       8.240596747757e-04       3.432160790920e+03 
       8.808203843420e-04       3.652038620147e+03 
       9.412669585640e-04       3.884494154527e+03 
       1.005474423467e-03       4.129511913427e+03 
       1.073477631718e-03       4.386874176978e+03 
       1.145269272446e-03       4.656215782475e+03 
       1.220800143921e-03       4.936971583993e+03 
       1.299981674797e-03       5.228445327636e+03 
       1.382690403903e-03       5.529789206797e+03 
       1.468773911941e-03       5.840067200668e+03 
       1.558057581660e-03       6.158300667478e+03 
       1.650351557092e-03       6.483480533014e+03 
       1.745457359639e-03       6.814555369352e+03 
       1.843173763393e-03       7.150518518200e+03 
       1.943301694670e-03       7.490387269643e+03 
       2.045648069314e-03       7.833232489211e+03 
       2.150028596978e-03       8.178218503638e+03 
       2.256269658105e-03       8.524497095032e+03 
       2.364209399638e-03       8.871369884241e+03 
       2.473698207601e-03       9.218193350937e+03 
       2.584598707623e-03       9.564346295807e+03 
       2.696785426571e-03       9.909312488902e+03 
       2.810144225861e-03       1.025262916019e+04 
       2.924571593958e-03       1.059388007610e+04 
       3.039973864509e-03       1.093270776751e+04 
       3.156266408536e-03       1.126877675264e+04 
       3.273372834579e-03       1.160182978769e+04 
       3.391224219261e-03       1.193163025509e+04 
       3.509758382253e-03       1.225795232779e+04 
       3.628919213325e-03       1.258060080812e+04 
       3.748656054771e-03       1.289946019886e+04 
       3.868923139472e-03       1.321438361936e+04 
       3.989679082873e-03       1.352527808257e+04 
       4.110886425941e-03       1.383198776387e+04 
       4.232511225496e-03       1.413452708112e+04 
       4.354522687961e-03       1.443277103494e+04 
       4.476892842588e-03       1.472668058003e+04 
       4.599596250247e-03       1.501624361601e+04 
       4.722609744142e-03       1.530140025386e+04 
       4.845912199015e-03       1.558214096239e+04 
       4.969484325743e-03       1.585843924717e+04 
       5.093308488476e-03       1.613029589150e+04 
       5.217368541782e-03       1.639776194273e+04 
       5.341649685521e-03       1.666077864467e+04 
       5.466138335413e-03       1.691939375574e+04 
       5.590822007508e-03       1.717358175269e+04 
       5.715689214968e-03       1.742338980523e+04 
       5.840729375741e-03       1.766883300655e+04 
       5.965932729899e-03       1.790991157550e+04 
       6.091290265539e-03       1.814673174612e+04 
       6.216793652278e-03       1.837921909287e+04 
       6.342435181499e-03       1.860748340248e+04 
       6.468207712590e-03       1.883148354106e+04 
       6.594104624521e-03       1.905135828911e+04 
       6.720119772174e-03       1.926702466351e+04 
       6.846247446906e-03       1.947854745769e+04 
       6.972482340898e-03       1.968601323330e+04 
       7.098819514884e-03       1.988943975824e+04 
       7.225254368904e-03       2.008883632900e+04 
       7.351782615764e-03       2.028432658022e+04 
       7.478400256931e-03       2.047577543995e+04 
       7.605103560603e-03       2.066332056587e+04 
       7.731889041749e-03       2.084709874597e+04 
       7.858753443909e-03       2.102703597946e+04 
       7.985693722585e-03       2.120320003116e+04 
       8.112707030073e-03       2.137554990899e+04 
       8.239790701587e-03       2.154423643765e+04 
       8.366942242558e-03       2.170927714360e+04 
       8.494159316996e-03       2.187064486222e+04 
       8.621439736815e-03       2.202844147593e+04 
       8.748781452026e-03       2.218272645541e+04 
       8.876182541735e-03       2.233353659300e+04 
       9.003641205854e-03       2.248082875486e+04 
       9.131155757474e-03       2.262463031697e+04 
       9.258724615833e-03       2.276509662085e+04 
       9.386346299838e-03       2.290219297733e+04 
       9.514019422081e-03       2.303596614644e+04 
       9.641742683315e-03       2.316647699112e+04 
       9.769514867346e-03       2.329369470528e+04 
       9.897334836308e-03       2.341773432790e+04 
       1.002520152630e-02       2.353859915745e+04 
       1.015311394332e-02       2.365633464754e+04 
       1.028107115954e-02       2.377095811501e+04 
       1.040907230979e-02       2.388252401592e+04 
       1.053711658838e-02       2.399102280279e+04 
       1.066520324606e-02       2.409657940277e+04 
       1.079333158724e-02       2.419911433276e+04 
       1.092150096747e-02       2.429875455032e+04 
       1.104971079095e-02       2.439547695202e+04 
       1.117796050835e-02       2.448937768741e+04 
       1.130624961473e-02       2.458044963887e+04 
       1.143457764762e-02       2.466868206060e+04 
       1.156294418519e-02       2.475415263901e+04 
       1.169134884460e-02       2.483689425555e+04 
       1.181979128047e-02       2.491696967385e+04 
       1.194827118340e-02       2.499437788128e+04 
       1.207678827865e-02       2.506909765472e+04 
       1.220534232487e-02       2.514129081713e+04 
       1.233393311295e-02       2.521087318131e+04 
       1.246256046496e-02       2.527786345775e+04 
       1.259122423311e-02       2.534237583868e+04 
