# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.218580405398e-10       5.228125827173e-15       4.658281416060e-13       0.000000000000e+00       9.436563300879e-09       2.590865151453e-10      -2.160664902214e-12 
    3       1.195651752132e-10       8.831672982743e-15       5.527275321730e-13       0.000000000000e+00       5.755054668704e-09       2.026428609127e-10      -1.883100596403e-12 
    4       1.160059791689e-10       1.040430883626e-14       5.583672372191e-13       0.000000000000e+00       3.966797468955e-09       1.627126136344e-10      -1.505088393098e-12 
    5       1.129231607167e-10       9.747119853888e-15       5.182887299736e-13       0.000000000000e+00       2.937967497028e-09       1.338381559034e-10      -1.125564534072e-12 
    6       1.106282802323e-10       7.644274001814e-15       4.555506291175e-13       0.000000000000e+00       2.279054032583e-09       1.122036920923e-10      -7.797755065143e-13 
    7       1.090909811922e-10       5.166719965186e-15       3.861447693401e-13       0.000000000000e+00       1.827684063987e-09       9.547550224841e-11      -4.865634941753e-13 
    8       1.082080759764e-10       3.113821991661e-15       3.196477059512e-13       0.000000000000e+00       1.502559285985e-09       8.227778212659e-11      -2.542139588042e-13 
    9       1.078683868627e-10       1.811465965182e-15       2.615399986078e-13       0.000000000000e+00       1.259185001824e-09       7.171247308357e-11      -8.408352371700e-14 
   10       1.079809397394e-10       1.187782289885e-15       2.146421364513e-13       0.000000000000e+00       1.071590421239e-09       6.309387703633e-11       2.769746688310e-14 
   11       1.084027043023e-10       9.787816891271e-16       1.800369339188e-13       0.000000000000e+00       9.019894975663e-10       5.641765209624e-11       8.829655865780e-14 
   12       1.090760101455e-10       9.235703301743e-16       1.575192028994e-13       0.000000000000e+00       7.851201819633e-10       5.031259302775e-11       1.095049776771e-13 
   13       1.099946184697e-10       8.702937583078e-16       1.457766425979e-13       0.000000000000e+00       6.894453209283e-10       4.508509949698e-11       1.016231181112e-13 
   14       1.110934101528e-10       7.845742714327e-16       1.427692274243e-13       0.000000000000e+00       6.100598581660e-10       4.082696192749e-11       7.615868165083e-14 
   15       1.122924794534e-10       6.993253457099e-16       1.462216189588e-13       0.000000000000e+00       5.434221682556e-10       3.719369840395e-11       4.258450098762e-14 
   16       1.135988756894e-10       6.558344870624e-16       1.539313928393e-13       0.000000000000e+00       4.869075354570e-10       3.387242146816e-11       8.382853259563e-15 
   17       1.150300845633e-10       6.693176049788e-16       1.639224770143e-13       0.000000000000e+00       4.385447391314e-10       3.100955411163e-11      -2.065563923128e-14 
   18       1.165129561179e-10       7.247886294710e-16       1.746304946954e-13       0.000000000000e+00       3.966690266651e-10       2.854522279637e-11      -4.128924477206e-14 
   19       1.180644399315e-10       8.011844083142e-16       1.852041294939e-13       0.000000000000e+00       3.605867096453e-10       2.639233848379e-11      -5.257489915048e-14 
   20       1.196837418085e-10       8.757519153391e-16       1.949133479796e-13       0.000000000000e+00       3.288810299406e-10       2.443148679484e-11      -5.494390114186e-14 
   21       1.213626327063e-10       9.495530839938e-16       2.036162159499e-13       0.000000000000e+00       3.010351002065e-10       2.265578684534e-11      -5.003935800308e-14 
   22       1.230633755347e-10       1.033568625190e-15       2.114262640715e-13       0.000000000000e+00       2.763650789068e-10       2.106847208966e-11      -4.054022122079e-14 
   23       1.248033425688e-10       1.140931674245e-15       2.186010325192e-13       0.000000000000e+00       2.545186921215e-10       1.965924696402e-11      -2.880362779337e-14 
   24       1.265929857012e-10       1.284692676304e-15       2.254869973141e-13       0.000000000000e+00       2.349780938948e-10       1.839252792551e-11      -1.734944513259e-14 
   25       1.284159670061e-10       1.465701421529e-15       2.323527439801e-13       0.000000000000e+00       2.175039582893e-10       1.723445486816e-11      -7.827211331557e-15 
   26       1.302381012650e-10       1.679772639134e-15       2.394258126450e-13       0.000000000000e+00       2.017710014566e-10       1.614687809383e-11      -1.535219896879e-15 
   27       1.320794369986e-10       1.922694180908e-15       2.467309098967e-13       0.000000000000e+00       1.875843613648e-10       1.514635091985e-11       1.264849431676e-15 
   28       1.339650360838e-10       2.190183167246e-15       2.541861021215e-13       0.000000000000e+00       1.746935552755e-10       1.425648802692e-11       8.248922409595e-16 
   29       1.358994196670e-10       2.482437998667e-15       2.616042361623e-13       0.000000000000e+00       1.630279309296e-10       1.346840625456e-11      -2.190636534930e-15 
   30       1.378658827158e-10       2.801040673246e-15       2.687084812765e-13       0.000000000000e+00       1.524568897127e-10       1.275124950260e-11      -6.739894598663e-15 
   31       1.398378087986e-10       3.147193337194e-15       2.751655529591e-13       0.000000000000e+00       1.427585756992e-10       1.206859039509e-11      -1.159905246539e-14 
   32       1.418223971242e-10       3.520035656210e-15       2.806883223883e-13       0.000000000000e+00       1.338798547634e-10       1.142273122168e-11      -1.603346981729e-14 
   33       1.438308582656e-10       3.917631783431e-15       2.849635012684e-13       0.000000000000e+00       1.257555525231e-10       1.082597257483e-11      -1.935468695011e-14 
   34       1.458670108003e-10       4.338281525920e-15       2.876884518287e-13       0.000000000000e+00       1.182690635698e-10       1.028610604706e-11      -2.092350317328e-14 
   35       1.479309014152e-10       4.783737527714e-15       2.888051916901e-13       0.000000000000e+00       1.113797901061e-10       9.796817659815e-12      -2.079394559160e-14 
   36       1.500146668785e-10       5.257145824058e-15       2.883498675087e-13       0.000000000000e+00       1.050299922612e-10       9.343083715090e-12      -1.930270827423e-14 
   37       1.521071068389e-10       5.761765435863e-15       2.863844914504e-13       0.000000000000e+00       9.913421033104e-11       8.908440910991e-12      -1.687253552661e-14 
   38       1.542161446073e-10       6.299338110013e-15       2.829651867342e-13       0.000000000000e+00       9.367569356604e-11       8.493193649092e-12      -1.388738507774e-14 
   39       1.563526800406e-10       6.871206100589e-15       2.781669969298e-13       0.000000000000e+00       8.863582243055e-11       8.101769667099e-12      -1.078839359162e-14 
   40       1.585239896718e-10       7.478750394178e-15       2.720947077507e-13       0.000000000000e+00       8.396482947379e-11       7.737704902190e-12      -8.115240544215e-15 
   41       1.607331265033e-10       8.123184598905e-15       2.648491265842e-13       0.000000000000e+00       7.959879804251e-11       7.402968542951e-12      -6.376427185806e-15 
   42       1.629779902993e-10       8.804852908292e-15       2.564083881420e-13       0.000000000000e+00       7.552381748012e-11       7.095939226397e-12      -5.594520902175e-15 
   43       1.652511803242e-10       9.523705706672e-15       2.467110421071e-13       0.000000000000e+00       7.172815885559e-11       6.812584273846e-12      -5.623238300794e-15 
   44       1.675396482671e-10       1.027947443865e-14       2.356876114309e-13       0.000000000000e+00       6.818304704579e-11       6.546820962294e-12      -6.267422766243e-15 
   45       1.698300611053e-10       1.107185586895e-14       2.232599505537e-13       0.000000000000e+00       6.485269960522e-11       6.292261068959e-12      -7.302717448017e-15 
   46       1.721279082191e-10       1.190116121211e-14       2.093406172056e-13       0.000000000000e+00       6.173120499275e-11       6.048418018103e-12      -8.549148409281e-15 
   47       1.744433077308e-10       1.276783893480e-14       1.938322113011e-13       0.000000000000e+00       5.881437205279e-11       5.816101644057e-12      -9.814089514429e-15 
   48       1.767855397105e-10       1.367229272580e-14       1.766267224570e-13       0.000000000000e+00       5.608862105709e-11       5.595646468745e-12      -1.086945739422e-14 
   49       1.791629124670e-10       1.461487984605e-14       1.576048827809e-13       0.000000000000e+00       5.353028903344e-11       5.386871571393e-12      -1.144982479167e-14 
   50       1.815815289335e-10       1.559588226043e-14       1.366640236871e-13       0.000000000000e+00       5.111262878317e-11       5.189278514290e-12      -1.133161847467e-14 
   51       1.840415012753e-10       1.661541462320e-14       1.138120620589e-13       0.000000000000e+00       4.883065725666e-11       5.002801558590e-12      -1.060043334325e-14 
   52       1.865394776558e-10       1.767348846426e-14       8.909790682260e-14       0.000000000000e+00       4.668185120659e-11       4.827191718441e-12      -9.453016517763e-15 
