# Matter power spectrum P(k) at redshift z=0
# for k=1.41223e-05 to 0.850465 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.412231474635e-05       2.163434385829e+01 
       3.156509871229e-05       4.699374237720e+01 
       4.912005723161e-05       7.198888979323e+01 
       6.687396863897e-05       9.693809572465e+01 
       8.491622298214e-05       1.220475862315e+02 
       1.033402785970e-04       1.474891628039e+02 
       1.222452009442e-04       1.734230325252e+02 
       1.417373186818e-04       2.000081309105e+02 
       1.619320316845e-04       2.274082514024e+02 
       1.829558046769e-04       2.557966057273e+02 
       2.049483773116e-04       2.853596935416e+02 
       2.280652154236e-04       3.163010055314e+02 
       2.524802166407e-04       3.488446644471e+02 
       2.783886634335e-04       3.832391399032e+02 
       3.060103837806e-04       4.197609973880e+02 
       3.355930283752e-04       4.587185597513e+02 
       3.674152970581e-04       5.004552633422e+02 
       4.017898391031e-04       5.453523170366e+02 
       4.390654072552e-04       5.938301006132e+02 
       4.796276656004e-04       6.463475130367e+02 
       5.238978516903e-04       7.033982339998e+02 
       5.723283130773e-04       7.655027140407e+02 
       6.253938513214e-04       8.331946380196e+02 
       6.835779246131e-04       9.070009180331e+02 
       7.473532169071e-04       9.874149540882e+02 
       8.171569787190e-04       1.074864207448e+03 
       8.933628590868e-04       1.169674859952e+03 
       9.762524290785e-04       1.272038137146e+03 
       1.065990739791e-03       1.381984006070e+03 
       1.162610448196e-03       1.499367778600e+03 
       1.266007886422e-03       1.623873043242e+03 
       1.375952100541e-03       1.755030958697e+03 
       1.492105109326e-03       1.892252607042e+03 
       1.614049450456e-03       2.034868484008e+03 
       1.741318207990e-03       2.182168028288e+03 
       1.873423220918e-03       2.333435344783e+03 
       2.009878569848e-03       2.487976791530e+03 
       2.150218053866e-03       2.645139600950e+03 
       2.294006691247e-03       2.804323556334e+03 
       2.440847092310e-03       2.964985744529e+03 
       2.590381888838e-03       3.126640977746e+03 
       2.742293406384e-03       3.288859719954e+03 
       2.896301589717e-03       3.451263603261e+03 
       3.052160955339e-03       3.613521530754e+03 
       3.209657117292e-03       3.775344632429e+03 
       3.368603244348e-03       3.936479737261e+03 
       3.528836665314e-03       4.096706344404e+03 
       3.690215740091e-03       4.255832687459e+03 
       3.852617048684e-03       4.413690136908e+03 
       4.015932909470e-03       4.570132766631e+03 
       4.180069214272e-03       4.725032188554e+03 
       4.344943555210e-03       4.878275099535e+03 
       4.510483612901e-03       5.029781794738e+03 
       4.676625774381e-03       5.179450407400e+03 
       4.843313950442e-03       5.327201303982e+03 
       5.010498564536e-03       5.472969251144e+03 
       5.178135688445e-03       5.616695260619e+03 
       5.346186303006e-03       5.758328872132e+03 
       5.514615665155e-03       5.897826779773e+03 
       5.683392765237e-03       6.035150167030e+03 
       5.852489860942e-03       6.170264282399e+03 
       6.021882076289e-03       6.303143751202e+03 
       6.191547055894e-03       6.433761422180e+03 
       6.361464666257e-03       6.562097159480e+03 
       6.531616737113e-03       6.688137814558e+03 
       6.701986836968e-03       6.811862080010e+03 
       6.872560077862e-03       6.933267788477e+03 
       7.043322945176e-03       7.052344509792e+03 
       7.214263148920e-03       7.169089178361e+03 
       7.385369493512e-03       7.283495541268e+03 
       7.556631763495e-03       7.395564674240e+03 
       7.728040623015e-03       7.505299482025e+03 
       7.899587527220e-03       7.612703176010e+03 
       8.071264644002e-03       7.717779681800e+03 
       8.243064784727e-03       7.820540450847e+03 
       8.414981342806e-03       7.920991719133e+03 
       8.587008239101e-03       8.019140672980e+03 
       8.759139873321e-03       8.115004948894e+03 
       8.931371080671e-03       8.208591538512e+03 
       9.103697093108e-03       8.299916680651e+03 
       9.276113504659e-03       8.388997073965e+03 
       9.448616240319e-03       8.475847168269e+03 
       9.621201528116e-03       8.560483407511e+03 
       9.793865873980e-03       8.642925336940e+03 
       9.966606039087e-03       8.723188152804e+03 
       1.013941901943e-02       8.801292404910e+03 
       1.031230202732e-02       8.877264556988e+03 
       1.048525247471e-02       8.951124872163e+03 
       1.065826795797e-02       9.022886710340e+03 
       1.083134624420e-02       9.092578919067e+03 
       1.100448525869e-02       9.160223761025e+03 
       1.117768307353e-02       9.225839202672e+03 
       1.135093789729e-02       9.289456808486e+03 
       1.152424806552e-02       9.351101596136e+03 
       1.169761203216e-02       9.410792683338e+03 
       1.187102836161e-02       9.468554229231e+03 
       1.204449572154e-02       9.524411739813e+03 
       1.221801287626e-02       9.578393846445e+03 
       1.239157868066e-02       9.630522355696e+03 
       1.256519207463e-02       9.680824068807e+03 
       1.273885207799e-02       9.729325665602e+03 
       1.291255778573e-02       9.776049222039e+03 
       1.308630836377e-02       9.821025930646e+03 
       1.326010304489e-02       9.864277712143e+03 
       1.343394112514e-02       9.905830501062e+03 
       1.360782196042e-02       9.945712996211e+03 
       1.378174496337e-02       9.983947833991e+03 
       1.395570960052e-02       1.002056136743e+04 
       1.412971538961e-02       1.005558335871e+04 
       1.430376189716e-02       1.008903610426e+04 
       1.447784873619e-02       1.012094430913e+04 
       1.465197556415e-02       1.015133391886e+04 
       1.482614208097e-02       1.018023257516e+04 
       1.500034802727e-02       1.020765785800e+04 
       1.517459318274e-02       1.023364738902e+04 
       1.534887736460e-02       1.025821453408e+04 
       1.552320042619e-02       1.028138538540e+04 
       1.569756225566e-02       1.030319146683e+04 
       1.587196277480e-02       1.032364861956e+04 
       1.604640193791e-02       1.034278466816e+04 
       1.622087973079e-02       1.036061967095e+04 
       1.639539616980e-02       1.037718051466e+04 
       1.656995130099e-02       1.039249130860e+04 
