# Matter power spectrum P(k) at redshift z=0
# for k=1.1396e-05 to 0.6848 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.139595457797e-05       3.983257172146e+01 
       2.546358440513e-05       8.649841277181e+01 
       3.959014523078e-05       1.323930597812e+02 
       5.382099171487e-05       1.780271694980e+02 
       6.820237124749e-05       2.237025773079e+02 
       8.278191543453e-05       2.696529270420e+02 
       9.760915016003e-05       3.160834643253e+02 
       1.127360321925e-04       3.631876124308e+02 
       1.282175203503e-04       4.111557858412e+02 
       1.441121892661e-04       4.601809595468e+02 
       1.604828937115e-04       5.104627733267e+02 
       1.773974911547e-04       5.622109323861e+02 
       1.949296295673e-04       6.156482706646e+02 
       2.131596062537e-04       6.710136892813e+02 
       2.321753013672e-04       7.285650677092e+02 
       2.520731863867e-04       7.885822063839e+02 
       2.729594026629e-04       8.513698194563e+02 
       2.949508975356e-04       9.172605281226e+02 
       3.181765946858e-04       9.866178196741e+02 
       3.427785604199e-04       1.059838801789e+03 
       3.689131075588e-04       1.137356625657e+03 
       3.967517527807e-04       1.219642273135e+03 
       4.264819113863e-04       1.307205368855e+03 
       4.583071763470e-04       1.400593543767e+03 
       4.924469887976e-04       1.500389842474e+03 
       5.291354703324e-04       1.607207453051e+03 
       5.686191628378e-04       1.721681121731e+03 
       6.111534227879e-04       1.844454587894e+03 
       6.569972612239e-04       1.976163588106e+03 
       7.064065259148e-04       2.117414277450e+03 
       7.596255008055e-04       2.268757542884e+03 
       8.168772472885e-04       2.430660471243e+03 
       8.783533049598e-04       2.603476859306e+03 
       9.442036493642e-04       2.787419619677e+03 
       1.014527990398e-03       2.982538325037e+03 
       1.089369505948e-03       3.188704695612e+03 
       1.168711892291e-03       3.405609178533e+03 
       1.252480191102e-03       3.632768045233e+03 
       1.340545310193e-03       3.869542402284e+03 
       1.432731626353e-03       4.115164901416e+03 
       1.528826675458e-03       4.368772672896e+03 
       1.628591776516e-03       4.629441388599e+03 
       1.731772505667e-03       4.896218095425e+03 
       1.838108172561e-03       5.168149562774e+03 
       1.947339764811e-03       5.444305918917e+03 
       2.059216132943e-03       5.723797911310e+03 
       2.173498433734e-03       6.005788315704e+03 
       2.289963012595e-03       6.289500359299e+03 
       2.408402989637e-03       6.574220089369e+03 
       2.528628836930e-03       6.859298557864e+03 
       2.650468217469e-03       7.144147385660e+03 
       2.773765318196e-03       7.428238073168e+03 
       2.898379863782e-03       7.711098063977e+03 
       3.024185953320e-03       7.992303320659e+03 
       3.151070822973e-03       8.271479485048e+03 
       3.278933605813e-03       8.548290280675e+03 
       3.407684135361e-03       8.822440788471e+03 
       3.537241821029e-03       9.093670368074e+03 
       3.667534610605e-03       9.361780156818e+03 
       3.798498045850e-03       9.626526201406e+03 
       3.930074411373e-03       9.887731065861e+03 
       4.062211973159e-03       1.014523142234e+04 
       4.194864300979e-03       1.039889085126e+04 
       4.327989667782e-03       1.064858419900e+04 
       4.461550518795e-03       1.089420860425e+04 
       4.595513003116e-03       1.113567077640e+04 
       4.729846560902e-03       1.137288707519e+04 
       4.864523559781e-03       1.160579828267e+04 
       4.999518974649e-03       1.183433836250e+04 
       5.134810105620e-03       1.205846234268e+04 
