# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.276553306229e-10       5.774351720929e-15       4.630204915481e-13       0.000000000000e+00       9.148792774571e-09       3.368863481318e-10      -2.265436649576e-12 
    3       1.236845396686e-10       9.416639204138e-15       5.552831849594e-13       0.000000000000e+00       5.616086710734e-09       2.462429547611e-10      -1.948272828883e-12 
    4       1.188205086398e-10       1.061963295847e-14       5.588843176957e-13       0.000000000000e+00       3.873224182041e-09       1.893543504352e-10      -1.523240460917e-12 
    5       1.148411452681e-10       9.463173678557e-15       5.135993700076e-13       0.000000000000e+00       2.868377091738e-09       1.508248258194e-10      -1.104392781069e-12 
    6       1.119716951817e-10       7.015738714539e-15       4.451301075586e-13       0.000000000000e+00       2.223200559777e-09       1.232350323373e-10      -7.316714523027e-13 
    7       1.100930923579e-10       4.471614399471e-15       3.709346558068e-13       0.000000000000e+00       1.780048045384e-09       1.026855463148e-10      -4.249293671883e-13 
    8       1.090111677903e-10       2.576115907147e-15       3.014095801271e-13       0.000000000000e+00       1.461125665068e-09       8.690307538469e-11      -1.914518649835e-13 
    9       1.085521313528e-10       1.510416560530e-15       2.423849520591e-13       0.000000000000e+00       1.222978843948e-09       7.446921611401e-11      -3.016179828746e-14 
   10       1.086066838543e-10       1.072383126197e-15       1.966506576271e-13       0.000000000000e+00       1.039535539521e-09       6.450344286680e-11       6.616778721533e-14 
   11       1.090452579023e-10       9.437433335402e-16       1.648658621439e-13       0.000000000000e+00       8.777086519096e-10       5.696687000862e-11       1.084495386627e-13 
   12       1.097346040763e-10       8.852784749616e-16       1.461806314947e-13       0.000000000000e+00       7.631693513056e-10       5.029759225025e-11       1.118367817939e-13 
   13       1.107139276475e-10       8.017694958143e-16       1.385895370471e-13       0.000000000000e+00       6.694237166655e-10       4.455573935279e-11       8.905507841558e-14 
   14       1.118535398686e-10       7.048671570602e-16       1.393535296394e-13       0.000000000000e+00       5.916597320990e-10       3.988098569288e-11       5.342276598381e-14 
   15       1.131179627984e-10       6.399101098243e-16       1.456994051867e-13       0.000000000000e+00       5.264073316558e-10       3.598514874870e-11       1.512318819121e-14 
   16       1.145383413462e-10       6.319518553089e-16       1.551782277683e-13       0.000000000000e+00       4.710927301565e-10       3.248884463916e-11      -1.869539287928e-14 
   17       1.160345259200e-10       6.720113771797e-16       1.658293796431e-13       0.000000000000e+00       4.237802545293e-10       2.949048668284e-11      -4.320338735823e-14 
   18       1.176129911826e-10       7.314345403647e-16       1.762343305132e-13       0.000000000000e+00       3.828377655416e-10       2.688550767437e-11      -5.669515130659e-14 
   19       1.192878648062e-10       7.951367282916e-16       1.857898230814e-13       0.000000000000e+00       3.475783922839e-10       2.461676478616e-11      -5.974360373045e-14 
   20       1.210113849712e-10       8.545577431819e-16       1.941386150510e-13       0.000000000000e+00       3.166161915916e-10       2.261390203033e-11      -5.450062215381e-14 
   21       1.227953821817e-10       9.215358681122e-16       2.014438606964e-13       0.000000000000e+00       2.894422134250e-10       2.083664918106e-11      -4.367509745247e-14 
   22       1.246387150078e-10       1.015463719618e-15       2.081207084910e-13       0.000000000000e+00       2.653841380954e-10       1.922867927439e-11      -3.073029771580e-14 
   23       1.265326972077e-10       1.144497232039e-15       2.145678893356e-13       0.000000000000e+00       2.440950949917e-10       1.778372193729e-11      -1.818071569570e-14 
   24       1.284478481930e-10       1.311546372403e-15       2.211992177889e-13       0.000000000000e+00       2.250674276050e-10       1.649519891434e-11      -8.308791043161e-15 
   25       1.303937971129e-10       1.512191371261e-15       2.282445392646e-13       0.000000000000e+00       2.080652965379e-10       1.535832921819e-11      -2.117562060258e-15 
   26       1.323771299228e-10       1.739286882999e-15       2.358135709152e-13       0.000000000000e+00       1.927693158182e-10       1.435275863399e-11       1.763033926830e-17 
   27       1.343977542420e-10       1.991662538338e-15       2.437133156204e-13       0.000000000000e+00       1.789878083140e-10       1.344237848964e-11      -1.357272062059e-15 
   28       1.364446054204e-10       2.269669179676e-15       2.516009829879e-13       0.000000000000e+00       1.664752507590e-10       1.258359374241e-11      -5.195952690673e-15 
   29       1.385249684908e-10       2.573205704819e-15       2.591496530456e-13       0.000000000000e+00       1.551614822921e-10       1.178186375497e-11      -1.045218325608e-14 
   30       1.406400996083e-10       2.901722137217e-15       2.659673443227e-13       0.000000000000e+00       1.449182278673e-10       1.105482279024e-11      -1.581542182071e-14 
   31       1.427808926334e-10       3.254435694322e-15       2.716256884456e-13       0.000000000000e+00       1.355285661695e-10       1.041281651349e-11      -1.988901958576e-14 
   32       1.449506869725e-10       3.631128014095e-15       2.758883517146e-13       0.000000000000e+00       1.269398648662e-10       9.844963893499e-12      -2.223750017837e-14 
   33       1.471483674810e-10       4.031619207828e-15       2.785642894010e-13       0.000000000000e+00       1.190879795866e-10       9.326303853365e-12      -2.272656638711e-14 
   34       1.493666645016e-10       4.456195032091e-15       2.794986875539e-13       0.000000000000e+00       1.118589003664e-10       8.829265514857e-12      -2.135542332068e-14 
   35       1.516115704382e-10       4.907841109814e-15       2.787487768352e-13       0.000000000000e+00       1.052125026679e-10       8.354548104007e-12      -1.859870264859e-14 
   36       1.538880830342e-10       5.390853299464e-15       2.764746905872e-13       0.000000000000e+00       9.909212824852e-11       7.910449510764e-12      -1.520370824377e-14 
   37       1.561963479910e-10       5.909416951595e-15       2.728582269157e-13       0.000000000000e+00       9.341430646532e-11       7.503288743413e-12      -1.196522237745e-14 
   38       1.585387717759e-10       6.464568804022e-15       2.679682577254e-13       0.000000000000e+00       8.816229815347e-11       7.132882232752e-12      -9.214008859279e-15 
   39       1.609140732047e-10       7.056237628179e-15       2.618544032102e-13       0.000000000000e+00       8.331765563565e-11       6.795233955295e-12      -7.168807001514e-15 
   40       1.633145649005e-10       7.684028964253e-15       2.545842591723e-13       0.000000000000e+00       7.883183930240e-11       6.483441669865e-12      -6.074795175158e-15 
   41       1.657306022491e-10       8.347464537123e-15       2.462050000349e-13       0.000000000000e+00       7.464266065580e-11       6.189769703522e-12      -6.107666412826e-15 
   42       1.681672014375e-10       9.046848041192e-15       2.366109572242e-13       0.000000000000e+00       7.073632119165e-11       5.913251168972e-12      -7.045567336187e-15 
