# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.414469022478e-10       4.840638956386e-15       3.789240102550e-13       2.439543088904e-19       8.221817867109e-09       4.643423013534e-10      -2.001224614229e-12 
    3       1.334385378496e-10       6.652034200509e-15       4.385591403858e-13       4.879153391513e-19       5.077737520682e-09       3.290549481000e-10      -1.578158000842e-12 
    4       1.258716451471e-10       6.198324545979e-15       4.204153434463e-13       8.132109860309e-19       3.530224523697e-09       2.489796155513e-10      -1.092622131748e-12 
    5       1.201477661917e-10       4.471020110003e-15       3.661359323006e-13       1.219860603353e-18       2.632789996527e-09       1.964630007646e-10      -6.635363000664e-13 
    6       1.161500816391e-10       2.668437295108e-15       3.005857666245e-13       1.707896760531e-18       2.055736174802e-09       1.597182391364e-10      -3.275816792597e-13 
    7       1.135499539101e-10       1.451196939764e-15       2.388824668761e-13       2.277370043953e-18       1.658500453850e-09       1.328395130939e-10      -9.372337533667e-14 
    8       1.119372388062e-10       8.671631106155e-16       1.885435782214e-13       2.928354086590e-18       1.370819292448e-09       1.124497764180e-10       4.541335852027e-14 
    9       1.111018880748e-10       6.591954265851e-16       1.522560329055e-13       3.660950488891e-18       1.154588503181e-09       9.653481663214e-11       1.068524459874e-13 
   10       1.108490646212e-10       5.741682752566e-16       1.296937588638e-13       4.475293285759e-18       9.872262264100e-10       8.389050696077e-11       1.124621449386e-13 
   11       1.110217311888e-10       4.964619593420e-16       1.188202719855e-13       5.371552623887e-18       8.298429199955e-10       7.399148975218e-11       8.489787900645e-14 
   12       1.115811891754e-10       4.223106852502e-16       1.167127910137e-13       6.349937340856e-18       7.248964677224e-10       6.554245965175e-11       4.386542244899e-14 
   13       1.123809346447e-10       3.793153215967e-16       1.202934636544e-13       7.410696181207e-18       6.387714885036e-10       5.849073372446e-11       4.088654204067e-15 
   14       1.133525384353e-10       3.754084209887e-16       1.270629258298e-13       8.554117443213e-18       5.671274718457e-10       5.241478562044e-11      -2.550659849949e-14 
   15       1.145200539213e-10       3.966845375224e-16       1.352340065382e-13       9.780526920935e-18       5.068392795390e-10       4.730394707804e-11      -4.114167147430e-14 
   16       1.158682930873e-10       4.282009269023e-16       1.436226432143e-13       1.109028408607e-17       4.555937360788e-10       4.296814857919e-11      -4.366947604755e-14 
   17       1.172897262673e-10       4.676359658999e-16       1.517694861186e-13       1.248377653962e-17       4.116438758839e-10       3.919702483467e-11      -3.675556734370e-14 
   18       1.188224369570e-10       5.234176828957e-16       1.596292323329e-13       1.396141380587e-17       3.735040579268e-10       3.582506852350e-11      -2.533958293667e-14 
   19       1.204778687138e-10       6.016586386420e-16       1.674618450600e-13       1.552361398167e-17       3.405698447196e-10       3.283968874985e-11      -1.326032897012e-14 
   20       1.221877849570e-10       7.060328886269e-16       1.756254908996e-13       1.717080429108e-17       3.115685062464e-10       3.020599364336e-11      -4.291511948495e-15 
   21       1.239643857515e-10       8.345338978009e-16       1.843054548774e-13       1.890339751669e-17       2.860431875543e-10       2.790517775443e-11       2.683154528726e-16 
   22       1.258126407526e-10       9.828195533117e-16       1.935680811866e-13       2.072179374260e-17       2.633823421153e-10       2.588088500072e-11       3.014337801179e-16 
   23       1.277228277150e-10       1.150840967787e-15       2.032269781612e-13       2.262635757279e-17       2.432735338510e-10       2.408224796784e-11      -3.084561345235e-15 
   24       1.296617671705e-10       1.339576319961e-15       2.129418523959e-13       2.461741975518e-17       2.252508366383e-10       2.243896713651e-11      -8.062660861011e-15 
   25       1.316392365499e-10       1.548807200658e-15       2.223469385648e-13       2.669525677962e-17       2.091014661586e-10       2.093536933411e-11      -1.307860284738e-14 
   26       1.336632775241e-10       1.777847260051e-15       2.310383677348e-13       2.886009223371e-17       1.945323862145e-10       1.956146837160e-11      -1.661897896601e-14 
