# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.427322173097e-10       4.874000441838e-15       3.782658573280e-13       2.372694531324e-19       8.139782123435e-09       4.716249657250e-10      -2.006552153654e-12 
    3       1.344042471739e-10       6.672412925864e-15       4.382646347382e-13       4.745443602871e-19       5.043588056718e-09       3.338657849490e-10      -1.578854837537e-12 
    4       1.266151981595e-10       6.187831910922e-15       4.199504885799e-13       7.909232431117e-19       3.509527212299e-09       2.523544097359e-10      -1.089435567557e-12 
    5       1.207506548354e-10       4.440256806685e-15       3.654206010044e-13       1.186423870523e-18       2.617677700712e-09       1.990346258337e-10      -6.580497871969e-13 
    6       1.166606677878e-10       2.637160512007e-15       2.996792089224e-13       1.661076917805e-18       2.042407402950e-09       1.617541846808e-10      -3.214421346819e-13 
    7       1.139801336837e-10       1.431455487854e-15       2.379109578561e-13       2.214930821181e-18       1.646726614820e-09       1.344234338515e-10      -8.829212268210e-14 
    8       1.122986995104e-10       8.589086751599e-16       1.876400611872e-13       2.848056866642e-18       1.360971224558e-09       1.137034641810e-10       4.925874856631e-14 
    9       1.114226840493e-10       6.561327668743e-16       1.515449296189e-13       3.560554173955e-18       1.146194863488e-09       9.762918832881e-11       1.087668787059e-13 
   10       1.111725594926e-10       5.711132960278e-16       1.292175563714e-13       4.352554228270e-18       9.797983989960e-10       8.488802092278e-11       1.125915017752e-13 
   11       1.113143713351e-10       4.922858506734e-16       1.185247223165e-13       5.224224621276e-18       8.244948175770e-10       7.482541472188e-11       8.374919875770e-14 
   12       1.118249475808e-10       4.183934763767e-16       1.165369550792e-13       6.175771690988e-18       7.201761673667e-10       6.625926910789e-11       4.221882018131e-14 
   13       1.125999537754e-10       3.767934799169e-16       1.202333361811e-13       7.207441793224e-18       6.345666569933e-10       5.903037134243e-11       2.424816534329e-15 
   14       1.135885646714e-10       3.739660242525e-16       1.270913671455e-13       8.319520996539e-18       5.633519230338e-10       5.298226006248e-11      -2.658445205854e-14 
   15       1.147584373301e-10       3.953016846396e-16       1.352253113904e-13       9.512333063599e-18       5.034285529698e-10       4.786995541930e-11      -4.145638893199e-14 
   16       1.160452914572e-10       4.264144338236e-16       1.435338403808e-13       1.078623566223e-17       4.524953281763e-10       4.344638290061e-11      -4.330464834221e-14 
   17       1.175110828394e-10       4.658966698808e-16       1.516207821910e-13       1.214161483527e-17       4.088127435371e-10       3.950740121633e-11      -3.606259196208e-14 
   18       1.190548619148e-10       5.224095313692e-16       1.594552925619e-13       1.357887880668e-17       3.709061721162e-10       3.608268498429e-11      -2.448053142476e-14 
   19       1.206801007111e-10       6.016739913668e-16       1.672937577152e-13       1.509844460004e-17       3.381741817101e-10       3.313145242907e-11      -1.238434775622e-14 
   20       1.223868535434e-10       7.068281070355e-16       1.754826682709e-13       1.670073863552e-17       3.093523128603e-10       3.049318651785e-11      -3.620235694121e-15 
   21       1.241704326977e-10       8.359566681169e-16       1.841909094278e-13       1.838617305819e-17       2.839863321250e-10       2.814756835761e-11       5.673362521740e-16 
   22       1.259964654165e-10       9.849815439960e-16       1.934706539753e-13       2.015514753039e-17       2.614680457766e-10       2.608079304388e-11       1.854496740500e-16 
   23       1.278822434837e-10       1.153662472436e-15       2.031559388048e-13       2.200802632262e-17       2.414865133863e-10       2.426293536125e-11      -3.506824222173e-15 
   24       1.298374205991e-10       1.342678953982e-15       2.129242484397e-13       2.394513998741e-17       2.235783185060e-10       2.263198696507e-11      -8.540396235409e-15 
   25       1.318516838063e-10       1.551932726970e-15       2.223392895480e-13       2.596676480316e-17       2.075320144191e-10       2.114521459523e-11      -1.341387147107e-14 
   26       1.338953633931e-10       1.781008442948e-15       2.309159772890e-13       2.807312419105e-17       1.930565518962e-10       1.975793828829e-11      -1.674092981056e-14 
   27       1.359737037590e-10       2.030256983653e-15       2.384446249486e-13       3.026437445552e-17       1.799780476405e-10       1.848355769255e-11      -1.799375049254e-14 
   28       1.380923427470e-10       2.300473112318e-15       2.448146341561e-13       3.254060629337e-17       1.680707980792e-10       1.734201669052e-11      -1.706638626841e-14 
   29       1.402576403644e-10       2.593580829713e-15       2.499920606895e-13       3.490184496160e-17       1.572735097628e-10       1.632429324435e-11      -1.453461296928e-14 
   30       1.424629785832e-10       2.912121863170e-15       2.539882272576e-13       3.734804136517e-17       1.474695289242e-10       1.539861105110e-11      -1.139207191266e-14 
   31       1.446916242344e-10       3.258641019949e-15       2.568461003888e-13       3.987907633490e-17       1.384580855570e-10       1.452594071824e-11      -8.722597861378e-15 
   32       1.469494873027e-10       3.634236386376e-15       2.586350939606e-13       4.249479568954e-17       1.301924944193e-10       1.370776813259e-11      -6.904279997812e-15 
   33       1.492420764037e-10       4.039454921115e-15       2.594587875422e-13       4.519497938183e-17       1.226143515849e-10       1.295484889551e-11      -6.115479152651e-15 
   34       1.515672137830e-10       4.474755280889e-15       2.594086183639e-13       4.797934765934e-17       1.156176141485e-10       1.227242353664e-11      -6.442622276876e-15 
   35       1.539235865307e-10       4.940872310558e-15       2.583894423392e-13       5.084763138796e-17       1.091663337203e-10       1.165339342815e-11      -7.543085509463e-15 
   36       1.563033546376e-10       5.438565447197e-15       2.562309922237e-13       5.379952047717e-17       1.032085330109e-10       1.108171366694e-11      -8.851080742962e-15 
   37       1.586952152763e-10       5.968551328721e-15       2.527557751575e-13       5.683467873044e-17       9.766642196534e-11       1.053928915422e-11      -9.790445406137e-15 
   38       1.611061185058e-10       6.531622368429e-15       2.478626401200e-13       5.995286841142e-17       9.252557859680e-11       1.002573853302e-11      -1.023523183901e-14 
   39       1.635456107875e-10       7.128560532518e-15       2.414690666408e-13       6.315386529209e-17       8.776961793001e-11       9.544585287199e-12      -1.019665429601e-14 
   40       1.660194201728e-10       7.760101761330e-15       2.334883899659e-13       6.643742551206e-17       8.335306978982e-11       9.097750980727e-12      -9.701347966445e-15 
   41       1.685293112952e-10       8.426925426763e-15       2.238508889635e-13       6.980332749638e-17       7.921719839457e-11       8.685352084005e-12      -8.813907499774e-15 
   42       1.710737261068e-10       9.129625813825e-15       2.125760338339e-13       7.325151366906e-17       7.534975218505e-11       8.305416719729e-12      -7.710321491666e-15 
   43       1.736465587584e-10       9.868726288301e-15       1.997232479296e-13       7.678199518809e-17       7.174039535352e-11       7.953791570703e-12      -6.630547611401e-15 
   44       1.762364069651e-10       1.064468256360e-14       1.853736935969e-13       8.039481719795e-17       6.836277928228e-11       7.624000225728e-12      -5.861951752095e-15 
   45       1.788314221760e-10       1.145791357503e-14       1.696021978229e-13       8.409007730744e-17       6.518393899052e-11       7.309152695527e-12      -5.659377800763e-15 
   46       1.814366465410e-10       1.230891343324e-14       1.523802773934e-13       8.786798034735e-17       6.219883528918e-11       7.008758067594e-12      -5.970508612568e-15 
   47       1.840610957706e-10       1.319816693187e-14       1.336461021921e-13       9.172880522613e-17       5.940397171137e-11       6.723657406483e-12      -6.632984514533e-15 
   48       1.867127704454e-10       1.412611653626e-14       1.133307103622e-13       9.567289482135e-17       5.678697762656e-11       6.454069885872e-12      -7.447892106257e-15 
   49       1.893985124912e-10       1.509316083262e-14       9.135748849696e-14       9.970065994853e-17       5.432594846706e-11       6.199541451148e-12      -8.177701575461e-15 
   50       1.921230758541e-10       1.609961355063e-14       6.765406601424e-14       1.038125495716e-16       5.199603647214e-11       5.959204747699e-12      -8.606961345196e-15 
   51       1.948863741216e-10       1.714557111610e-14       4.219301043921e-14       1.080089426940e-16       4.979286263306e-11       5.732761185653e-12      -8.748589730497e-15 
   52       1.976852377071e-10       1.823100646639e-14       1.496127987287e-14       1.122902339830e-16       4.771431919690e-11       5.519676705644e-12      -8.690013343471e-15 
   53       2.005139581294e-10       1.935580200956e-14      -1.405116288061e-14       1.166568672871e-16       4.575356355752e-11       5.318857992349e-12      -8.536173285612e-15 
   54       2.033641075085e-10       2.051974621822e-14      -4.485128592687e-14       1.211093380162e-16       4.389869968294e-11       5.128615784874e-12      -8.410415749547e-15 
   55       2.062274573337e-10       2.172261046725e-14      -7.744531683718e-14       1.256481122712e-16       4.213640202496e-11       4.947145598528e-12      -8.425185828872e-15 
   56       2.091059973827e-10       2.296440970290e-14      -1.118465532191e-13       1.302733552523e-16       4.046457129755e-11       4.774193789061e-12      -8.583543222895e-15 
   57       2.120040895495e-10       2.424520056338e-14      -1.480693796803e-13       1.349851395506e-16       3.888226466042e-11       4.609741109804e-12      -8.854740877587e-15 
   58       2.149255281832e-10       2.556500653482e-14      -1.861270731009e-13       1.397835216433e-16       3.738586731299e-11       4.453505391520e-12      -9.201998575445e-15 
   59       2.178734803340e-10       2.692381767155e-14      -2.260318314779e-13       1.446685410303e-16       3.596892752490e-11       4.304925011671e-12      -9.582217038849e-15 
   60       2.208504260003e-10       2.832159031629e-14      -2.677948027698e-13       1.496402193709e-16       3.462199166652e-11       4.163142363691e-12      -9.945692033423e-15 
   61       2.238582442488e-10       2.975816135457e-14      -3.114211647635e-13       1.546985039125e-16       3.333522670749e-11       4.027259584909e-12      -1.024662841411e-14 
   62       2.268986293434e-10       3.123296912003e-14      -3.568940088934e-13       1.598430848925e-16       3.210734879046e-11       3.897210213913e-12      -1.047808682856e-14 
   63       2.299726624126e-10       3.274526906173e-14      -4.041868736951e-13       1.650735354315e-16       3.093841515094e-11       3.773054742373e-12      -1.064440954635e-14 
   64       2.330806197851e-10       3.429421074984e-14      -4.532682489276e-13       1.703893610464e-16       2.982713848666e-11       3.654717885312e-12      -1.075116835297e-14 
   65       2.362219178644e-10       3.587883488408e-14      -5.041014473914e-13       1.757899970187e-16       2.877081043229e-11       3.541980688933e-12      -1.080522132715e-14 
   66       2.393950580042e-10       3.749807030219e-14      -5.566444767449e-13       1.812748057643e-16       2.776522503420e-11       3.434472638450e-12      -1.081476961827e-14 
   67       2.425975713835e-10       3.915073098844e-14      -6.108499113221e-13       1.868430742023e-16       2.680460222526e-11       3.331663765916e-12      -1.078941422370e-14 
   68       2.458270267004e-10       4.083561899453e-14      -6.666731586004e-13       1.924941113571e-16       2.588312975148e-11       3.233011151712e-12      -1.073837390349e-14 
   69       2.490844135781e-10       4.255186410609e-14      -7.240994901816e-13       1.982275700112e-16       2.500012281462e-11       3.138450541262e-12      -1.066459269609e-14 
   70       2.523713488475e-10       4.429864794367e-14      -7.831222828916e-13       2.040431858009e-16       2.415577723936e-11       3.047990622665e-12      -1.056953494164e-14 
   71       2.556890469447e-10       4.607510386226e-14      -8.437351937122e-13       2.099406826838e-16       2.334960902222e-11       2.961563574094e-12      -1.045492807546e-14 
   72       2.590382919681e-10       4.788031666847e-14      -9.059322462950e-13       2.159197728716e-16       2.258041919899e-11       2.879021120321e-12      -1.032277237562e-14 
   73       2.624194097360e-10       4.971332233781e-14      -9.697079174758e-13       2.219801567627e-16       2.184625871204e-11       2.800130589226e-12      -1.017535071062e-14 
   74       2.658322398432e-10       5.157310773193e-14      -1.035057223789e-12       2.281215228744e-16       2.114439327782e-11       2.724570968319e-12      -1.001523828702e-14 
   75       2.692761077182e-10       5.345861031581e-14      -1.101975807979e-12       2.343435477762e-16       2.047126825417e-11       2.651928961254e-12      -9.845312397077e-15 
   76       2.727502822159e-10       5.536868519733e-14      -1.170452706573e-12       2.406460356698e-16       1.982339014009e-11       2.581801202261e-12      -9.668541558398e-15 
   77       2.762555064978e-10       5.730199993196e-14      -1.240446938710e-12       2.470293666653e-16       1.920023431528e-11       2.514131135451e-12      -9.487286993842e-15 
   78       2.797926968453e-10       5.925711993235e-14      -1.311906785515e-12       2.534941305076e-16       1.860180617560e-11       2.448926687975e-12      -9.303890890793e-15 
   79       2.833624641949e-10       6.123253850678e-14      -1.384776667773e-12       2.600409969320e-16       1.802775546837e-11       2.386157823896e-12      -9.120890848285e-15 
   80       2.869650961514e-10       6.322667590631e-14      -1.458997082367e-12       2.666707184599e-16       1.747735995608e-11       2.325754777560e-12      -8.941025100890e-15 
   81       2.906005390012e-10       6.523787837199e-14      -1.534504538706e-12       2.733841331950e-16       1.694950908006e-11       2.267606286965e-12      -8.767237742611e-15 
   82       2.942683797261e-10       6.726441718191e-14      -1.611231495162e-12       2.801821676200e-16       1.644268762419e-11       2.211557827131e-12      -8.602683950775e-15 
   83       2.979678280161e-10       6.930448769844e-14      -1.689106295501e-12       2.870658393924e-16       1.595495937854e-11       2.157409843475e-12      -8.450735209925e-15 
   84       3.016980854480e-10       7.135626955782e-14      -1.768058753191e-12       2.940361521784e-16       1.548443727461e-11       2.104969328646e-12      -8.314208662185e-15 
   85       3.054595627364e-10       7.341812079082e-14      -1.848038107251e-12       3.010937539982e-16       1.503081912478e-11       2.054218246961e-12      -8.192896925130e-15 
   86       3.092528322377e-10       7.548841428581e-14      -1.928997940395e-12       3.082392271048e-16       1.459407770780e-11       2.005169921967e-12      -8.085636443807e-15 
   87       3.130782474170e-10       7.756547958122e-14      -2.010890826712e-12       3.154731918782e-16       1.417398889349e-11       1.957817318211e-12      -7.991039253898e-15 
   88       3.169359313686e-10       7.964760294027e-14      -2.093668363024e-12       3.227963078066e-16       1.377012348239e-11       1.912132171137e-12      -7.907485165726e-15 
   89       3.208257653360e-10       8.173302742576e-14      -2.177281200239e-12       3.302092744685e-16       1.338183904546e-11       1.868064116988e-12      -7.833113948250e-15 
   90       3.247473772329e-10       8.381995297480e-14      -2.261679074707e-12       3.377128325144e-16       1.300827176373e-11       1.825539822702e-12      -7.765817513071e-15 
   91       3.287001301630e-10       8.590653647356e-14      -2.346810839578e-12       3.453077646482e-16       1.264832826799e-11       1.784462115819e-12      -7.703232098432e-15 
   92       3.326831109407e-10       8.799089183209e-14      -2.432624496152e-12       3.529948966092e-16       1.230067747847e-11       1.744709114369e-12      -7.642730453219e-15 
   93       3.366954232487e-10       9.007111552895e-14      -2.519065842277e-12       3.607749391806e-16       1.196406611876e-11       1.706164122655e-12      -7.581944721821e-15 
   94       3.407371424808e-10       9.214536747786e-14      -2.606074116875e-12       3.686479849007e-16       1.163833726429e-11       1.668812351805e-12      -7.520442034076e-15 
   95       3.448084839508e-10       9.421180251827e-14      -2.693585755277e-12       3.766139371195e-16       1.132355060881e-11       1.632657204954e-12      -7.458287645786e-15 
   96       3.489095038514e-10       9.626854644770e-14      -2.781535726023e-12       3.846726610439e-16       1.101966877211e-11       1.597690365734e-12      -7.395536168302e-15 
   97       3.530400919559e-10       9.831369644622e-14      -2.869857543236e-12       3.928239825362e-16       1.072655358276e-11       1.563891350497e-12      -7.332231037368e-15 
   98       3.571999643204e-10       1.003453215007e-13      -2.958483278990e-12       4.010676869147e-16       1.044396236075e-11       1.531227060523e-12      -7.268403981969e-15 
   99       3.613886559860e-10       1.023614628294e-13      -3.047343575687e-12       4.094035177520e-16       1.017154420025e-11       1.499651334249e-12      -7.204074493174e-15 
  100       3.656055136807e-10       1.043601343061e-13      -3.136367658423e-12       4.178311756759e-16       9.908836252290e-12       1.469104499478e-12      -7.139249292983e-15 
  101       3.698496885216e-10       1.063393228847e-13      -3.225483347364e-12       4.263503171676e-16       9.655260007422e-12       1.439512925600e-12      -7.073921803168e-15 
  102       3.741201287168e-10       1.082969890232e-13      -3.314617070116e-12       4.349605533622e-16       9.410117578463e-12       1.410788575810e-12      -7.008071614121e-15 
  103       3.784155722678e-10       1.102310671088e-13      -3.403693874099e-12       4.436614488477e-16       9.172587983176e-12       1.382828559323e-12      -6.941663953699e-15 
  104       3.827348109402e-10       1.121395203568e-13      -3.492638745294e-12       4.524527572490e-16       8.941913117015e-12       1.355539072151e-12      -6.874674984845e-15 
  105       3.870775385060e-10       1.140205130417e-13      -3.581380740746e-12       4.613351668079e-16       8.717992289047e-12       1.328911867067e-12      -6.807172734420e-15 
  106       3.914436040148e-10       1.158722624319e-13      -3.669849439966e-12       4.703096537510e-16       8.500861442938e-12       1.302957326915e-12      -6.739246157347e-15 
  107       3.958327464919e-10       1.176929874023e-13      -3.757973714808e-12       4.793772558838e-16       8.290509025654e-12       1.277680820891e-12      -6.670980039732e-15 
  108       4.002445906218e-10       1.194809094579e-13      -3.845681756195e-12       4.885390739924e-16       8.086874354669e-12       1.253082524776e-12      -6.602454751543e-15 
  109       4.046786424308e-10       1.212342537563e-13      -3.932901100849e-12       4.977962732449e-16       7.889845985170e-12       1.229157241153e-12      -6.533745999286e-15 
  110       4.091342849706e-10       1.229512501308e-13      -4.019558658016e-12       5.071500845931e-16       7.699260077255e-12       1.205894219633e-12      -6.464924578683e-15 
  111       4.136107740008e-10       1.246301341137e-13      -4.105580736194e-12       5.166018061739e-16       7.514898763147e-12       1.183276977078e-12      -6.396056127352e-15 
  112       4.181072336725e-10       1.262691479591e-13      -4.190893069861e-12       5.261528047108e-16       7.336488514390e-12       1.161283117827e-12      -6.327200877483e-15 
  113       4.226226522109e-10       1.278665416657e-13      -4.275420846204e-12       5.358045169158e-16       7.163698509061e-12       1.139884153916e-12      -6.258413408512e-15 
  114       4.271558775986e-10       1.294205740004e-13      -4.359088731844e-12       5.455584508906e-16       6.996138998967e-12       1.119045325304e-12      -6.189742399808e-15 
  115       4.317056132586e-10       1.309295135205e-13      -4.441820899565e-12       5.554161875280e-16       6.833359676856e-12       1.098725420096e-12      -6.121230383339e-15 
  116       4.362705943513e-10       1.323916847274e-13      -4.523541676284e-12       5.653792193510e-16       6.674948338268e-12       1.078886643914e-12      -6.052922363809e-15 
  117       4.408501502110e-10       1.338056107037e-13      -4.604177519197e-12       5.754484418020e-16       6.520843966431e-12       1.059525973646e-12      -5.984893396776e-15 
  118       4.454437025029e-10       1.351698898195e-13      -4.683655331203e-12       5.856246024477e-16       6.371058823622e-12       1.040647295869e-12      -5.917223914684e-15 
  119       4.500505880373e-10       1.364831535609e-13      -4.761901893029e-12       5.959084579725e-16       6.225580824600e-12       1.022251608865e-12      -5.849990992347e-15 
  120       4.546700560495e-10       1.377440679521e-13      -4.838843895453e-12       6.063007741429e-16       6.084372790587e-12       1.004336931688e-12      -5.783268178028e-15 
  121       4.593012654799e-10       1.389513349772e-13      -4.914407971522e-12       6.168023257716e-16       5.947371703252e-12       9.868982132472e-13      -5.717125324526e-15 
  122       4.639432822543e-10       1.401036940022e-13      -4.988520728774e-12       6.274138966814e-16       5.814487958694e-12       9.699272413769e-13      -5.651628420251e-15 
  123       4.685950765634e-10       1.411999231975e-13      -5.061108781458e-12       6.381362796701e-16       5.685604621424e-12       9.534125519155e-13      -5.586839420309e-15 
  124       4.732555201429e-10       1.422388409594e-13      -5.132098782754e-12       6.489702764741e-16       5.560576678349e-12       9.373393377793e-13      -5.522816077584e-15 
  125       4.779233835538e-10       1.432193073325e-13      -5.201417456992e-12       6.599166977327e-16       5.439230292756e-12       9.216893580387e-13      -5.459611773814e-15 
  126       4.825973334622e-10       1.441402254314e-13      -5.268991631877e-12       6.709763629527e-16       5.321362058293e-12       9.064408469937e-13      -5.397275350680e-15 
  127       4.872759299193e-10       1.450005428630e-13      -5.334748270706e-12       6.821501004721e-16       5.206738252954e-12       8.915684232491e-13      -5.335850940880e-15 
  128       4.919576236412e-10       1.457992531486e-13      -5.398614504586e-12       6.934387474247e-16       5.095094093060e-12       8.770429987904e-13      -5.275377799215e-15 
  129       4.966409134608e-10       1.465354393406e-13      -5.460518495835e-12       7.048431091794e-16       4.986190609337e-12       8.628379489535e-13      -5.215870942492e-15 
  130       5.013248439875e-10       1.472084072636e-13      -5.520392066810e-12       7.163638327056e-16       4.879993914097e-12       8.489485807290e-13      -5.157261026779e-15 
  131       5.060085576551e-10       1.478175696454e-13      -5.578168421693e-12       7.280015191835e-16       4.776514281617e-12       8.353746382682e-13      -5.099447524690e-15 
  132       5.106911378856e-10       1.483624069396e-13      -5.633781378964e-12       7.397567629609e-16       4.675749958462e-12       8.221141877613e-13      -5.042317022106e-15 
  133       5.153716075156e-10       1.488424690492e-13      -5.687165409564e-12       7.516301512277e-16       4.577686829793e-12       8.091635713133e-13      -4.985742911935e-15 
  134       5.200489272221e-10       1.492573770507e-13      -5.738255675065e-12       7.636222636896e-16       4.482298085676e-12       7.965173608207e-13      -4.929585087865e-15 
