# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.468293400747e-10       6.322797441178e-15       4.429210113491e-13       0.000000000000e+00       8.701594931083e-09       4.794940569538e-10      -2.327768810989e-12 
    3       1.385547173974e-10       9.929509972969e-15       5.397631466111e-13       0.000000000000e+00       5.340447462321e-09       3.414732521337e-10      -1.973361928980e-12 
    4       1.304856949857e-10       1.069395375895e-14       5.427339675765e-13       0.000000000000e+00       3.715793474990e-09       2.595939658376e-10      -1.502370051739e-12 
    5       1.241962012721e-10       9.039298707454e-15       4.947003643359e-13       0.000000000000e+00       2.776057257324e-09       2.056254254850e-10      -1.046906666885e-12 
    6       1.196615645169e-10       6.323230816785e-15       4.239748895299e-13       0.000000000000e+00       2.169361920155e-09       1.676580240033e-10      -6.521270076030e-13 
    7       1.165926017563e-10       3.813816403767e-15       3.490907342428e-13       0.000000000000e+00       1.750473069858e-09       1.397676551429e-10      -3.380959377017e-13 
    8       1.145997719459e-10       2.146350011288e-15       2.806968418671e-13       0.000000000000e+00       1.447128038620e-09       1.184904351079e-10      -1.102017739122e-13 
    9       1.134525952721e-10       1.331837786897e-15       2.244539993063e-13       0.000000000000e+00       1.218198319842e-09       1.017309580936e-10       3.605216624311e-14 
   10       1.129563753383e-10       1.050541098250e-15       1.827219984944e-13       0.000000000000e+00       1.039521591696e-09       8.834009786327e-11       1.121115179895e-13 
   11       1.129644307311e-10       9.624557745378e-16       1.555632186366e-13       0.000000000000e+00       8.777794722361e-10       7.791172463408e-11       1.332215152081e-13 
   12       1.134025593978e-10       8.762550490330e-16       1.412984596470e-13       0.000000000000e+00       7.670209965827e-10       6.899943537158e-11       1.175859913191e-13 
   13       1.141092707053e-10       7.583598726782e-16       1.371645588680e-13       0.000000000000e+00       6.760952859221e-10       6.156813866356e-11       8.107790257378e-14 
   14       1.150086765332e-10       6.537830113140e-16       1.401649891476e-13       0.000000000000e+00       6.004345743349e-10       5.515822013892e-11       3.720577637214e-14 
   15       1.161376091004e-10       6.046046668461e-16       1.474717384047e-13       0.000000000000e+00       5.367456616170e-10       4.985459611224e-11      -3.393767362799e-15 
   16       1.174630993963e-10       6.142448149820e-16       1.566180101954e-13       0.000000000000e+00       4.825925759231e-10       4.536918645650e-11      -3.431879369014e-14 
   17       1.188582865728e-10       6.570431531656e-16       1.659972891739e-13       0.000000000000e+00       4.361357486206e-10       4.142437848074e-11      -5.270292476496e-14 
   18       1.203708740031e-10       7.041743598249e-16       1.746613450399e-13       0.000000000000e+00       3.958111024216e-10       3.786790804482e-11      -5.881443445335e-14 
   19       1.220143582362e-10       7.518414357392e-16       1.823261596230e-13       0.000000000000e+00       3.609780541799e-10       3.471877379918e-11      -5.471342506920e-14 
   20       1.237156533891e-10       8.061487172627e-16       1.889592192655e-13       0.000000000000e+00       3.302975656258e-10       3.196670153768e-11      -4.403127849342e-14 
   21       1.254828517634e-10       8.812223355470e-16       1.949691161976e-13       0.000000000000e+00       3.032884758364e-10       2.955652776732e-11      -3.016962130201e-14 
