# Matter power spectrum P(k) at redshift z=0
# for k=1.04395e-05 to 0.627325 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043952841244e-05       5.504194358035e+01 
       2.305319419113e-05       1.088218185115e+02 
       3.570992885308e-05       1.662580144550e+02 
       4.844238616795e-05       2.248728531849e+02 
       6.128374247233e-05       2.816109575645e+02 
       7.426798038937e-05       3.402211348088e+02 
       8.743018132108e-05       3.977736987911e+02 
       1.008068304534e-04       4.563653332821e+02 
       1.144361380447e-04       5.156518826912e+02 
       1.283583807986e-04       5.759714167647e+02 
       1.426162671348e-04       6.375083841224e+02 
       1.572553301339e-04       7.003656896946e+02 
       1.723243517989e-04       7.649102896456e+02 
       1.878758220038e-04       8.312970738341e+02 
       2.039664349950e-04       8.997396521634e+02 
       2.206576254889e-04       9.704502033187e+02 
       2.380161451302e-04       1.043771220875e+03 
       2.561146781743e-04       1.119996308984e+03 
       2.750324925193e-04       1.199403349935e+03 
       2.948561183891e-04       1.282340642324e+03 
       3.156800417500e-04       1.369182948785e+03 
       3.376073926077e-04       1.460302806749e+03 
       3.607505993562e-04       1.556163211844e+03 
       3.852319690716e-04       1.657211066451e+03 
       4.111841399796e-04       1.763941257825e+03 
       4.387503365103e-04       1.876888664886e+03 
       4.680843401718e-04       1.996617618269e+03 
       4.993500725518e-04       2.123702830832e+03 
       5.327206728154e-04       2.258766610694e+03 
       5.683769452446e-04       2.402433159479e+03 
       6.065050581161e-04       2.555329184982e+03 
       6.472933999948e-04       2.718071211393e+03 
       6.909285495355e-04       2.891244243751e+03 
       7.375903941143e-04       3.075380449419e+03 
       7.874465399940e-04       3.270942531857e+03 
       8.406462832198e-04       3.478289979262e+03 
       8.973145373186e-04       3.697659087486e+03 
       9.575462138755e-04       3.929151594465e+03 
       1.021401594702e-03       4.172690483674e+03 
       1.088903195178e-03       4.428068228875e+03 
       1.160034489375e-03       4.694881537018e+03 
       1.234740664085e-03       4.972568790821e+03 
       1.312931328345e-03       5.260466932041e+03 
       1.394484877322e-03       5.557707551874e+03 
       1.479254040797e-03       5.863432680237e+03 
       1.567072065604e-03       6.176688600400e+03 
       1.657758992217e-03       6.496490770933e+03 
       1.751127570202e-03       6.821851131868e+03 
       1.846988484772e-03       7.151785045742e+03 
       1.945154705175e-03       7.485369206839e+03 
       2.045444890131e-03       7.821698282846e+03 
       2.147685881477e-03       8.159936675440e+03 
       2.251714380368e-03       8.499303291390e+03 
       2.357377933625e-03       8.839112512993e+03 
       2.464535367625e-03       9.178691937776e+03 
       2.573056801151e-03       9.517443000350e+03 
       2.682823353411e-03       9.854892987291e+03 
       2.793726644302e-03       1.019054623694e+04 
       2.905668164290e-03       1.052396258418e+04 
       3.018558573159e-03       1.085482484304e+04 
       3.132316971275e-03       1.118275602630e+04 
       3.246870174267e-03       1.150752470894e+04 
       3.362152011976e-03       1.182887885058e+04 
       3.478102664912e-03       1.214657390295e+04 
       3.594668045811e-03       1.246043899518e+04 
       3.711799229827e-03       1.277029463240e+04 
       3.829451934127e-03       1.307607795648e+04 
       3.947586045749e-03       1.337757746285e+04 
       4.066165195407e-03       1.367474280347e+04 
       4.185156374253e-03       1.396752327935e+04 
       4.304529590230e-03       1.425577897155e+04 
       4.424257560569e-03       1.453953738749e+04 
       4.544315437023e-03       1.481866543755e+04 
       4.664680560569e-03       1.509324547435e+04 
       4.785332242549e-03       1.536318027536e+04 
       4.906251569415e-03       1.562841918947e+04 
       5.027421228522e-03       1.588906044646e+04 
       5.148825352661e-03       1.614507191155e+04 
       5.270449381223e-03       1.639642214621e+04 
       5.392279936147e-03       1.664321963487e+04 
       5.514304710998e-03       1.688535910537e+04 
       5.636512371675e-03       1.712295213131e+04 
       5.758892467463e-03       1.735595637391e+04 
       5.881435351272e-03       1.758446799031e+04 
       6.004132108011e-03       1.780844071328e+04 
       6.126974490236e-03       1.802803272355e+04 
       6.249954860226e-03       1.824315128774e+04 
       6.373066137818e-03       1.845385961938e+04 
       6.496301753350e-03       1.866026185231e+04 
       6.619655605177e-03       1.886236939427e+04 
       6.743122021262e-03       1.906007582406e+04 
       6.866695724407e-03       1.925374390700e+04 
       6.990371800761e-03       1.944313531888e+04 
       7.114145671231e-03       1.962836746728e+04 
       7.238013065533e-03       1.980956097806e+04 
       7.361969998587e-03       1.998670865826e+04 
       7.486012749030e-03       2.015880143430e+04 
       7.610137839637e-03       2.032794962847e+04 
       7.734342019456e-03       2.049321203139e+04 
       7.858622247494e-03       2.065465116574e+04 
       7.982975677801e-03       2.081226364118e+04 
       8.107399645817e-03       2.096603641533e+04 
