# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.625529940174e-10       6.422005309959e-15       3.917817699515e-13       0.000000000000e+00       3.630678924464e-09       7.902818757577e-10      -2.090057376627e-12 
    3       3.427680410339e-10       9.879876456481e-15       4.781889439257e-13       0.000000000000e+00       2.140237437148e-09       6.000997673837e-10      -1.751295872035e-12 
    4       3.190210498379e-10       1.044837677101e-14       4.954436462585e-13       0.000000000000e+00       1.455372015107e-09       4.817919085514e-10      -1.294166422172e-12 
    5       2.971559905732e-10       8.680158599885e-15       4.755246855376e-13       0.000000000000e+00       1.073230273829e-09       4.002111925032e-10      -8.533223332769e-13 
    6       2.782365754967e-10       5.985618943536e-15       4.387323930984e-13       0.000000000000e+00       8.331360781136e-10       3.402321097728e-10      -4.751856894546e-13 
    7       2.622054345096e-10       3.601764999715e-15       3.972232930588e-13       0.000000000000e+00       6.703989918954e-10       2.942604459040e-10      -1.788580969027e-13 
    8       2.486072668616e-10       2.094155472737e-15       3.562799180968e-13       0.000000000000e+00       5.539782399223e-10       2.579141153219e-10       3.138586063349e-14 
    9       2.370938265104e-10       1.410555354417e-15       3.180136493359e-13       0.000000000000e+00       4.672813627925e-10       2.284859832682e-10       1.610375325817e-13 
   10       2.273485881792e-10       1.199033751495e-15       2.834575122461e-13       0.000000000000e+00       4.006717055917e-10       2.042546692394e-10       2.223323851314e-13 
   11       2.191230193862e-10       1.120030473846e-15       2.533845316304e-13       0.000000000000e+00       3.464614504469e-10       1.847401715981e-10       2.319430018310e-13 
   12       2.122386419059e-10       1.001644704415e-15       2.284603154898e-13       0.000000000000e+00       3.042961696513e-10       1.675167675716e-10       2.062100523013e-13 
   13       2.063622396387e-10       8.327224624099e-16       2.090720182760e-13       0.000000000000e+00       2.697219361047e-10       1.528181211530e-10       1.618900178502e-13 
   14       2.012909700313e-10       6.746569247462e-16       1.954450416912e-13       0.000000000000e+00       2.409466929417e-10       1.399678440984e-10       1.122542262726e-13 
   15       1.969843771049e-10       5.788793961442e-16       1.877111165399e-13       0.000000000000e+00       2.167001494455e-10       1.288392272505e-10       6.745986106374e-14 
   16       1.934095781274e-10       5.540435320235e-16       1.855217312285e-13       0.000000000000e+00       1.960500873786e-10       1.191196763162e-10       3.337024956659e-14 
   17       1.903509526500e-10       5.784972582072e-16       1.880291116827e-13       0.000000000000e+00       1.782951756377e-10       1.105300023117e-10       1.227155281177e-14 
   18       1.877443375159e-10       6.264442029808e-16       1.941871848992e-13       0.000000000000e+00       1.628426554802e-10       1.027676471100e-10       3.378799217607e-15 
   19       1.855984362173e-10       6.924229789911e-16       2.029880736625e-13       0.000000000000e+00       1.494482193508e-10       9.579891776450e-11       4.393652786767e-15 
   20       1.837845834486e-10       7.771015501287e-16       2.130243181814e-13       0.000000000000e+00       1.376102501756e-10       8.951752187045e-11       1.148561521350e-14 
   21       1.823221398662e-10       8.862988859960e-16       2.232669159986e-13       0.000000000000e+00       1.271509305254e-10       8.387958063407e-11       2.130166120794e-14 
   22       1.811927491365e-10       1.025921199540e-15       2.327173222883e-13       0.000000000000e+00       1.178257184658e-10       7.876969175105e-11       3.024628446171e-14 
   23       1.803538623014e-10       1.191254761329e-15       2.409621804356e-13       0.000000000000e+00       1.095134057065e-10       7.412632684320e-11       3.633585060847e-14 
   24       1.797109404727e-10       1.373717268341e-15       2.478056187463e-13       0.000000000000e+00       1.020296986651e-10       6.985340969269e-11       3.824082398180e-14 
   25       1.792895413367e-10       1.571486211643e-15       2.533000412546e-13       0.000000000000e+00       9.529286108461e-11       6.593228691916e-11       3.603044182809e-14 
   26       1.791103809623e-10       1.785586181752e-15       2.576553126016e-13       0.000000000000e+00       8.918712356230e-11       6.233273729889e-11       3.054155067044e-14 
   27       1.791436795434e-10       2.020888832806e-15       2.612665597967e-13       0.000000000000e+00       8.364409735913e-11       5.903399054452e-11       2.323944329780e-14 
   28       1.793237618996e-10       2.283173722087e-15       2.645856437331e-13       0.000000000000e+00       7.857309013982e-11       5.599501933689e-11       1.587823290615e-14 
   29       1.796552965524e-10       2.573652676374e-15       2.677559868047e-13       0.000000000000e+00       7.395181294850e-11       5.319972985578e-11       9.353927116734e-15 
   30       1.801386235941e-10       2.891760948723e-15       2.708195495273e-13       0.000000000000e+00       6.973440820574e-11       5.061112967601e-11       4.397109518698e-15 
   31       1.807507971176e-10       3.236810862635e-15       2.737582224132e-13       0.000000000000e+00       6.583939338954e-11       4.817240600533e-11       1.660019455098e-15 
   32       1.814930547840e-10       3.609793098171e-15       2.763402374806e-13       0.000000000000e+00       6.224938243927e-11       4.588263732805e-11       1.002670314978e-15 
   33       1.823556601822e-10       4.012235360694e-15       2.782046307131e-13       0.000000000000e+00       5.894150587483e-11       4.374535752698e-11       1.920045126920e-15 
   34       1.833147536391e-10       4.445469279108e-15       2.789532105935e-13       0.000000000000e+00       5.587248858799e-11       4.175160328530e-11       3.763003143029e-15 
   35       1.843740799455e-10       4.909687801190e-15       2.783596101021e-13       0.000000000000e+00       5.302868349468e-11       3.989552390360e-11       5.921869884309e-15 
   36       1.855345238049e-10       5.404530303840e-15       2.762277089519e-13       0.000000000000e+00       5.038939396998e-11       3.816164688962e-11       7.686424942877e-15 
   37       1.867872790631e-10       5.929676415417e-15       2.723791599326e-13       0.000000000000e+00       4.792272775698e-11       3.652739588659e-11       8.374902761824e-15 
   38       1.881337930161e-10       6.486110959721e-15       2.668057851413e-13       0.000000000000e+00       4.562369225325e-11       3.499065050436e-11       7.979680393132e-15 
   39       1.895701626582e-10       7.075272667462e-15       2.595686077082e-13       0.000000000000e+00       4.348622833216e-11       3.354967661921e-11       6.734326445665e-15 
   40       1.910803215177e-10       7.698726205380e-15       2.507595373728e-13       0.000000000000e+00       4.149158033276e-11       3.219483485713e-11       4.947383829206e-15 
   41       1.926437672009e-10       8.358015315883e-15       2.404827488467e-13       0.000000000000e+00       3.961514674293e-11       3.091253078710e-11       2.962736604955e-15 
   42       1.942645372872e-10       9.054144732730e-15       2.287868577414e-13       0.000000000000e+00       3.785240232962e-11       2.970032760320e-11       1.012684477062e-15 
   43       1.959497281339e-10       9.787943618314e-15       2.157139343461e-13       0.000000000000e+00       3.619953253256e-11       2.855555196383e-11      -6.742024640090e-16 
   44       1.977008989786e-10       1.056020388555e-14       2.013186803598e-13       0.000000000000e+00       3.464563305034e-11       2.747066892032e-11      -1.830292586065e-15 
   45       1.995159991340e-10       1.137154846970e-14       1.856386103190e-13       0.000000000000e+00       3.317682920397e-11       2.643629523656e-11      -2.230502380959e-15 
   46       2.013971128916e-10       1.222199490218e-14       1.685927486183e-13       0.000000000000e+00       3.179144646525e-11       2.545223975916e-11      -1.971151115820e-15 
   47       2.033441087719e-10       1.311125713346e-14       1.500535252130e-13       0.000000000000e+00       3.048840525482e-11       2.451909514633e-11      -1.270913052342e-15 
   48       2.053519827079e-10       1.403885388887e-14       1.298732825351e-13       0.000000000000e+00       2.926263264059e-11       2.363492634580e-11      -3.970097142631e-16 
   49       2.074104586347e-10       1.500409879468e-14       1.078830448189e-13       0.000000000000e+00       2.810476214192e-11       2.279507375267e-11       3.320622601558e-16 
   50       2.095081711975e-10       1.600636596384e-14       8.393367749092e-14       0.000000000000e+00       2.700407438074e-11       2.199382299375e-11       6.240692173000e-16 
   51       2.116474789760e-10       1.704599464823e-14       5.803539151421e-14       0.000000000000e+00       2.595895649742e-11       2.123040528492e-11       4.767955952037e-16 
   52       2.138329817360e-10       1.812361307629e-14       3.025397862423e-14       0.000000000000e+00       2.496876291825e-11       2.050428554929e-11      -1.883310139556e-17 
   53       2.160671103161e-10       1.923988747079e-14       6.724768787338e-16       0.000000000000e+00       2.403067846547e-11       1.981333172806e-11      -7.517344688655e-16 
   54       2.183499428458e-10       2.039552513770e-14      -3.060806519064e-14       0.000000000000e+00       2.313957067192e-11       1.915370577966e-11      -1.589619835905e-15 
   55       2.206803059895e-10       2.159111697479e-14      -6.349509013636e-14       0.000000000000e+00       2.228963512104e-11       1.852112138270e-11      -2.405341697012e-15 
   56       2.230598200682e-10       2.282661210559e-14      -9.799349641495e-14       0.000000000000e+00       2.148014844500e-11       1.791523263287e-11      -3.166004729261e-15 
   57       2.254895369242e-10       2.410171814356e-14      -1.341374358666e-13       0.000000000000e+00       2.071088581230e-11       1.733614466906e-11      -3.864153813315e-15 
   58       2.279686121329e-10       2.541604723913e-14      -1.719652760002e-13       0.000000000000e+00       1.998037698418e-11       1.678308795108e-11      -4.492334394608e-15 
   59       2.304941712859e-10       2.676911291208e-14      -2.115198981420e-13       0.000000000000e+00       1.928582848738e-11       1.625436250706e-11      -5.043110522448e-15 
