# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.625530897293e-10       6.422005914941e-15       3.917815290566e-13       0.000000000000e+00       3.630679995349e-09       7.902821474295e-10      -2.090057835983e-12 
    3       3.427680606952e-10       9.879877412942e-15       4.781886999596e-13       0.000000000000e+00       2.140238080882e-09       6.000998892771e-10      -1.751296174091e-12 
    4       3.190210346234e-10       1.044837727171e-14       4.954435505633e-13       0.000000000000e+00       1.455372453599e-09       4.817919575667e-10      -1.294166513065e-12 
    5       2.971559856094e-10       8.680158730923e-15       4.755246708907e-13       0.000000000000e+00       1.073230610574e-09       4.002112432494e-10      -8.533223404209e-13 
    6       2.782365839057e-10       5.985618957325e-15       4.387323899424e-13       0.000000000000e+00       8.331363608118e-10       3.402321750328e-10      -4.751856936881e-13 
    7       2.622054492635e-10       3.601764994746e-15       3.972232778203e-13       0.000000000000e+00       6.703992396370e-10       2.942604988465e-10      -1.788581136385e-13 
    8       2.486072853632e-10       2.094155461497e-15       3.562799023581e-13       0.000000000000e+00       5.539784611369e-10       2.579141579332e-10       3.138584027813e-14 
    9       2.370938452469e-10       1.410555326213e-15       3.180136479695e-13       0.000000000000e+00       4.672815619047e-10       2.284860406661e-10       1.610375169031e-13 
   10       2.273486115709e-10       1.199033711333e-15       2.834575179126e-13       0.000000000000e+00       4.006718864349e-10       2.042547402935e-10       2.223323762569e-13 
   11       2.191230430191e-10       1.120030442007e-15       2.533845332117e-13       0.000000000000e+00       3.464616037444e-10       1.847402255709e-10       2.319429900494e-13 
   12       2.122386589912e-10       1.001644691675e-15       2.284603125229e-13       0.000000000000e+00       3.042963195619e-10       1.675168048781e-10       2.062100485167e-13 
   13       2.063622547991e-10       8.327224630858e-16       2.090720150689e-13       0.000000000000e+00       2.697220853498e-10       1.528181655701e-10       1.618900152751e-13 
   14       2.012909941443e-10       6.746569290555e-16       1.954450399661e-13       0.000000000000e+00       2.409468382163e-10       1.399679103426e-10       1.122542241737e-13 
   15       1.969844012737e-10       5.788793992707e-16       1.877111160151e-13       0.000000000000e+00       2.167002845188e-10       1.288392916186e-10       6.745986056456e-14 
   16       1.934095890305e-10       5.540435333120e-16       1.855217319008e-13       0.000000000000e+00       1.960502077893e-10       1.191197151129e-10       3.337025062800e-14 
   17       1.903509619883e-10       5.784972582838e-16       1.880291128281e-13       0.000000000000e+00       1.782952825227e-10       1.105300316406e-10       1.227155273391e-14 
   18       1.877443546825e-10       6.264442029362e-16       1.941871849061e-13       0.000000000000e+00       1.628427510960e-10       1.027676860664e-10       3.378795798424e-15 
   19       1.855984581239e-10       6.924229792286e-16       2.029880725980e-13       0.000000000000e+00       1.494483058777e-10       9.579896361144e-11       4.393647853799e-15 
   20       1.837845965146e-10       7.771015500342e-16       2.130243182609e-13       0.000000000000e+00       1.376103292966e-10       8.951754952788e-11       1.148561460833e-14 
   21       1.823221442410e-10       8.862988854105e-16       2.232669171607e-13       0.000000000000e+00       1.271510024044e-10       8.387958829175e-11       2.130166577323e-14 
   22       1.811927631014e-10       1.025921199174e-15       2.327173213058e-13       0.000000000000e+00       1.178257817415e-10       7.876971084858e-11       3.024628782813e-14 
   23       1.803538863756e-10       1.191254761608e-15       2.409621768559e-13       0.000000000000e+00       1.095134611630e-10       7.412636460658e-11       3.633584988363e-14 
   24       1.797109502714e-10       1.373717269001e-15       2.478056161669e-13       0.000000000000e+00       1.020297499446e-10       6.985343585609e-11       3.824082276708e-14 
   25       1.792895310342e-10       1.571486212135e-15       2.533000406615e-13       0.000000000000e+00       9.529291025302e-11       6.593229215321e-11       3.603044252968e-14 
   26       1.791103732527e-10       1.785586181471e-15       2.576553109511e-13       0.000000000000e+00       8.918716978503e-11       6.233274730294e-11       3.054155234365e-14 
   27       1.791436852280e-10       2.020888831610e-15       2.612665565586e-13       0.000000000000e+00       8.364413968919e-11       5.903401781430e-11       2.323944556689e-14 
   28       1.793237689000e-10       2.283173720419e-15       2.645856423484e-13       0.000000000000e+00       7.857312842777e-11       5.599504993541e-11       1.587823685024e-14 
   29       1.796552932281e-10       2.573652674664e-15       2.677559891650e-13       0.000000000000e+00       7.395184764111e-11       5.319974993636e-11       9.353932674055e-15 
   30       1.801386075700e-10       2.891760947150e-15       2.708195536049e-13       0.000000000000e+00       6.973444037060e-11       5.061113545801e-11       4.397114315509e-15 
   31       1.807507757569e-10       3.236810861076e-15       2.737582228707e-13       0.000000000000e+00       6.583942464157e-11       4.817240423289e-11       1.660019311294e-15 
   32       1.814930371784e-10       3.609793096258e-15       2.763402322547e-13       0.000000000000e+00       6.224941418325e-11       4.588263613926e-11       1.002663615765e-15 
   33       1.823556544670e-10       4.012235357794e-15       2.782046239834e-13       0.000000000000e+00       5.894153895862e-11       4.374536333426e-11       1.920034871904e-15 
