# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.490501638673e-10       6.366128874768e-15       4.495324604985e-13       0.000000000000e+00 
    3       1.406078839845e-10       1.005475228770e-14       5.487833241953e-13       0.000000000000e+00 
    4       1.323856598875e-10       1.090594973831e-14       5.532680345440e-13       0.000000000000e+00 
    5       1.259707031758e-10       9.302956847747e-15       5.060193125727e-13       0.000000000000e+00 
    6       1.213317752255e-10       6.584000287956e-15       4.355704084548e-13       0.000000000000e+00 
    7       1.181439652285e-10       4.028979730339e-15       3.606613747294e-13       0.000000000000e+00 
    8       1.160739571301e-10       2.300046881647e-15       2.920091718914e-13       0.000000000000e+00 
    9       1.148705764123e-10       1.433176925115e-15       2.353513280996e-13       0.000000000000e+00 
   10       1.143140524547e-10       1.120476271543e-15       1.931700247812e-13       0.000000000000e+00 
   11       1.142756259929e-10       1.019962337366e-15       1.655875701875e-13       0.000000000000e+00 
   12       1.146480889830e-10       9.312549724127e-16       1.509458808108e-13       0.000000000000e+00 
   13       1.153175514102e-10       8.125904075980e-16       1.465812401421e-13       0.000000000000e+00 
   14       1.161946356104e-10       7.059442488185e-16       1.495203482443e-13       0.000000000000e+00 
   15       1.172852841936e-10       6.551183674058e-16       1.568940478946e-13       0.000000000000e+00 
   16       1.185608381216e-10       6.667205569379e-16       1.662500632300e-13       0.000000000000e+00 
   17       1.199355930859e-10       7.168138853505e-16       1.758800679274e-13       0.000000000000e+00 
   18       1.214166768503e-10       7.759185394903e-16       1.847779888605e-13       0.000000000000e+00 
   19       1.230141178725e-10       8.386954621501e-16       1.926267597473e-13       0.000000000000e+00 
   20       1.246722976351e-10       9.093771801348e-16       1.993511620905e-13       0.000000000000e+00 
   21       1.264035372669e-10       1.001825555186e-15       2.053220947523e-13       0.000000000000e+00 
   22       1.282074875145e-10       1.132332351919e-15       2.111161735837e-13       0.000000000000e+00 
   23       1.300728606728e-10       1.301837689704e-15       2.171208881449e-13       0.000000000000e+00 
   24       1.319672179659e-10       1.504940429956e-15       2.236339241196e-13       0.000000000000e+00 
   25       1.339104365880e-10       1.737145028622e-15       2.306799214227e-13       0.000000000000e+00 
   26       1.359184107072e-10       1.994126708775e-15       2.381204561296e-13       0.000000000000e+00 
   27       1.379720257242e-10       2.276443548241e-15       2.456448721996e-13       0.000000000000e+00 
   28       1.400341316534e-10       2.585670154806e-15       2.528340409915e-13       0.000000000000e+00 
   29       1.421148381665e-10       2.920874703825e-15       2.593270636840e-13       0.000000000000e+00 
   30       1.442292118151e-10       3.279801982500e-15       2.647151395891e-13       0.000000000000e+00 
   31       1.463816152239e-10       3.660364539639e-15       2.685797630138e-13       0.000000000000e+00 
   32       1.485745631176e-10       4.064232037529e-15       2.707905356559e-13       0.000000000000e+00 
   33       1.508003789833e-10       4.494635308210e-15       2.713194573682e-13       0.000000000000e+00 
   34       1.530449726713e-10       4.955057641249e-15       2.701840805516e-13       0.000000000000e+00 
   35       1.553144443180e-10       5.447723284229e-15       2.675088840907e-13       0.000000000000e+00 
   36       1.576160860178e-10       5.974615378137e-15       2.634915787798e-13       0.000000000000e+00 
   37       1.599517895354e-10       6.537557171092e-15       2.583360249462e-13       0.000000000000e+00 
   38       1.623222304765e-10       7.137090808135e-15       2.520634918486e-13       0.000000000000e+00 
   39       1.647228197574e-10       7.773214145490e-15       2.446407683858e-13       0.000000000000e+00 
   40       1.671416909175e-10       8.445658098757e-15       2.360299204646e-13       0.000000000000e+00 
   41       1.695653322268e-10       9.154088861012e-15       2.261731826566e-13       0.000000000000e+00 
   42       1.719993634704e-10       9.898836550436e-15       2.149432015727e-13       0.000000000000e+00 
   43       1.744533496441e-10       1.068037377964e-14       2.021755562784e-13       0.000000000000e+00 
   44       1.769347985946e-10       1.149911345925e-14       1.876802675063e-13       0.000000000000e+00 
   45       1.794487158343e-10       1.235541975597e-14       1.712842720563e-13       0.000000000000e+00 
   46       1.819967287840e-10       1.324965116432e-14       1.529777705725e-13       0.000000000000e+00 
   47       1.845772542439e-10       1.418212577066e-14       1.328089018010e-13       0.000000000000e+00 
   48       1.871853924730e-10       1.515310690770e-14       1.108443709036e-13       0.000000000000e+00 
   49       1.898126541986e-10       1.616280126973e-14       8.717038302759e-14       0.000000000000e+00 
   50       1.924503732219e-10       1.721135540398e-14       6.187287899754e-14       0.000000000000e+00 
   51       1.951016696135e-10       1.829884843404e-14       3.496975192881e-14       0.000000000000e+00 
   52       1.977722619093e-10       1.942529410348e-14       6.461845312961e-15       0.000000000000e+00 
   53       2.004669681366e-10       2.059064031256e-14      -2.364799668106e-14       0.000000000000e+00 
   54       2.031896062631e-10       2.179476715716e-14      -5.535496965472e-14       0.000000000000e+00 
   55       2.059429405574e-10       2.303749342813e-14      -8.865875320918e-14       0.000000000000e+00 
