# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.492152332575e-10       6.369056041088e-15       4.504648878445e-13       0.000000000000e+00 
    3       1.407593549746e-10       1.006964037546e-14       5.504926359024e-13       0.000000000000e+00 
    4       1.325185971798e-10       1.093479831741e-14       5.552297920839e-13       0.000000000000e+00 
    5       1.260842002419e-10       9.343223831400e-15       5.079772275266e-13       0.000000000000e+00 
    6       1.214271020387e-10       6.630252732506e-15       4.373862081347e-13       0.000000000000e+00 
    7       1.182241677002e-10       4.071765227863e-15       3.622235113359e-13       0.000000000000e+00 
    8       1.161418701557e-10       2.330848410541e-15       2.932252902165e-13       0.000000000000e+00 
    9       1.149274681124e-10       1.447725271309e-15       2.361513537701e-13       0.000000000000e+00 
   10       1.143621814567e-10       1.119915646151e-15       1.935268214541e-13       0.000000000000e+00 
   11       1.143155338937e-10       1.009427185548e-15       1.654739435635e-13       0.000000000000e+00 
   12       1.146811025886e-10       9.168854185660e-16       1.503676402271e-13       0.000000000000e+00 
   13       1.153452437052e-10       7.987053511676e-16       1.455320773764e-13       0.000000000000e+00 
   14       1.162173947256e-10       6.937908567340e-16       1.479629698577e-13       0.000000000000e+00 
   15       1.173043917850e-10       6.433085938602e-16       1.548689356246e-13       0.000000000000e+00 
   16       1.185769059354e-10       6.526441261481e-16       1.638370455172e-13       0.000000000000e+00 
   17       1.199489170592e-10       6.982997468847e-16       1.730747743676e-13       0.000000000000e+00 
   18       1.214279186660e-10       7.522264539639e-16       1.815987938356e-13       0.000000000000e+00 
   19       1.230237896877e-10       8.097610084589e-16       1.891153533259e-13       0.000000000000e+00 
   20       1.246805286226e-10       8.754589093903e-16       1.955529687874e-13       0.000000000000e+00 
   21       1.264105772596e-10       9.627983854254e-16       2.012575328199e-13       0.000000000000e+00 
   22       1.282138320433e-10       1.087390357171e-15       2.067690583359e-13       0.000000000000e+00 
   23       1.300789219053e-10       1.249792506810e-15       2.124653504507e-13       0.000000000000e+00 
   24       1.319732059126e-10       1.444363034962e-15       2.186505047152e-13       0.000000000000e+00 
   25       1.339165307884e-10       1.666724840651e-15       2.253896307699e-13       0.000000000000e+00 
   26       1.359247929104e-10       1.912776574530e-15       2.325856498472e-13       0.000000000000e+00 
   27       1.379788049256e-10       2.183008086391e-15       2.398896043520e-13       0.000000000000e+00 
   28       1.400413253535e-10       2.478853477504e-15       2.468247506306e-13       0.000000000000e+00 
   29       1.421224705429e-10       2.799371713872e-15       2.530401719615e-13       0.000000000000e+00 
   30       1.442373498136e-10       3.142358276272e-15       2.581642351134e-13       0.000000000000e+00 
   31       1.463903640427e-10       3.505793065354e-15       2.618156177413e-13       0.000000000000e+00 
   32       1.485840086842e-10       3.891379105619e-15       2.638636430024e-13       0.000000000000e+00 
   33       1.508105625647e-10       4.302380316581e-15       2.642657914099e-13       0.000000000000e+00 
   34       1.530559001637e-10       4.742301890075e-15       2.630253962609e-13       0.000000000000e+00 
   35       1.553261717489e-10       5.213292550675e-15       2.602712395198e-13       0.000000000000e+00 
   36       1.576287566321e-10       5.717216869240e-15       2.562120187260e-13       0.000000000000e+00 
   37       1.599656245829e-10       6.255779928075e-15       2.510612333466e-13       0.000000000000e+00 
   38       1.623374258308e-10       6.829482806277e-15       2.448368852655e-13       0.000000000000e+00 
   39       1.647395050621e-10       7.438307418834e-15       2.374972423102e-13       0.000000000000e+00 
   40       1.671599125110e-10       8.081973708319e-15       2.289934976204e-13       0.000000000000e+00 
   41       1.695850608360e-10       8.760125528388e-15       2.192578501439e-13       0.000000000000e+00 
   42       1.720205885815e-10       9.473003200060e-15       2.081649225051e-13       0.000000000000e+00 
   43       1.744761135415e-10       1.022096039751e-14       1.955564928955e-13       0.000000000000e+00 
   44       1.769592076085e-10       1.100427615903e-14       1.812500583735e-13       0.000000000000e+00 
   45       1.794749372450e-10       1.182330245777e-14       1.650803594012e-13       0.000000000000e+00 
   46       1.820249380069e-10       1.267896771223e-14       1.470423501609e-13       0.000000000000e+00 
   47       1.846076180044e-10       1.357241789469e-14       1.271883771475e-13       0.000000000000e+00 
   48       1.872180655112e-10       1.450488364240e-14       1.055897704221e-13       0.000000000000e+00 
   49       1.898477757758e-10       1.547768548157e-14       8.233779815816e-14       0.000000000000e+00 
   50       1.924880662283e-10       1.649180618507e-14       5.752209494782e-14       0.000000000000e+00 
   51       1.951420487666e-10       1.754645888005e-14       3.115682923002e-14       0.000000000000e+00 
   52       1.978154349884e-10       1.864013929934e-14       3.236144837265e-15       0.000000000000e+00 
   53       2.005130345713e-10       1.977100989082e-14      -2.624516737230e-14       0.000000000000e+00 
   54       2.032386556554e-10       2.093688467126e-14      -5.729177502686e-14       0.000000000000e+00 
   55       2.059950557189e-10       2.213573109401e-14      -8.991214037500e-14       0.000000000000e+00 
   56       2.087840081261e-10       2.336735634847e-14      -1.241325483905e-13       0.000000000000e+00 
   57       2.116060776236e-10       2.463211344394e-14      -1.599867483622e-13       0.000000000000e+00 
   58       2.144604757722e-10       2.593042578675e-14      -1.975122930541e-13       0.000000000000e+00 
   59       2.173449632968e-10       2.726279217753e-14      -2.367508090458e-13       0.000000000000e+00 
   60       2.202557524362e-10       2.862979180843e-14      -2.777482670747e-13       0.000000000000e+00 
   61       2.231890561423e-10       3.003188558943e-14      -3.205438150766e-13       0.000000000000e+00 
   62       2.261463629370e-10       3.146875671104e-14      -3.651327366786e-13       0.000000000000e+00 
   63       2.291301781603e-10       3.293983025785e-14      -4.114956202294e-13       0.000000000000e+00 
   64       2.321424371018e-10       3.444446238202e-14      -4.596089717023e-13       0.000000000000e+00 
   65       2.351844596045e-10       3.598193883813e-14      -5.094451221396e-13       0.000000000000e+00 
   66       2.382569046677e-10       3.755147351811e-14      -5.609721350973e-13       0.000000000000e+00 
   67       2.413597250506e-10       3.915220698615e-14      -6.141537140893e-13       0.000000000000e+00 
   68       2.444926452878e-10       4.078320209392e-14      -6.689515005696e-13       0.000000000000e+00 
   69       2.476568096855e-10       4.244343306943e-14      -7.253327154684e-13       0.000000000000e+00 
   70       2.508533882344e-10       4.413179157520e-14      -7.832639068760e-13       0.000000000000e+00 
   71       2.540830513071e-10       4.584708792010e-14      -8.427086656515e-13       0.000000000000e+00 
   72       2.573459376473e-10       4.758804951960e-14      -9.036275940069e-13       0.000000000000e+00 
   73       2.606416223601e-10       4.935331935600e-14      -9.659782740899e-13       0.000000000000e+00 
   74       2.639690849015e-10       5.114145443867e-14      -1.029715236568e-12       0.000000000000e+00 
   75       2.673266770685e-10       5.295092426428e-14      -1.094789929213e-12       0.000000000000e+00 
   76       2.707128114280e-10       5.478018670708e-14      -1.161156492746e-12       0.000000000000e+00 
   77       2.741282422956e-10       5.662793507053e-14      -1.228790373806e-12       0.000000000000e+00 
   78       2.775741444810e-10       5.849289349856e-14      -1.297673064837e-12       0.000000000000e+00 
   79       2.810514127907e-10       6.037374358942e-14      -1.367786684181e-12       0.000000000000e+00 
   80       2.845606447908e-10       6.226912444366e-14      -1.439114063751e-12       0.000000000000e+00 
   81       2.881021235705e-10       6.417763271212e-14      -1.511638836687e-12       0.000000000000e+00 
   82       2.916758005043e-10       6.609782264392e-14      -1.585345525032e-12       0.000000000000e+00 
   83       2.952812780160e-10       6.802820613449e-14      -1.660219627391e-12       0.000000000000e+00 
   84       2.989181040034e-10       6.996724787140e-14      -1.736239585665e-12       0.000000000000e+00 
   85       3.025867489534e-10       7.191334974232e-14      -1.813350963064e-12       0.000000000000e+00 
   86       3.062877599624e-10       7.386486391824e-14      -1.891488126180e-12       0.000000000000e+00 
   87       3.100214516533e-10       7.582009749184e-14      -1.970581937223e-12       0.000000000000e+00 
   88       3.137878941773e-10       7.777731244317e-14      -2.050559705194e-12       0.000000000000e+00 
   89       3.175869012140e-10       7.973472560519e-14      -2.131345137069e-12       0.000000000000e+00 
   90       3.214180179734e-10       8.169050862943e-14      -2.212858288978e-12       0.000000000000e+00 
   91       3.252805091962e-10       8.364278795156e-14      -2.295015517385e-12       0.000000000000e+00 
   92       3.291733471551e-10       8.558964475702e-14      -2.377729430267e-12       0.000000000000e+00 
   93       3.330955359615e-10       8.752916421711e-14      -2.460915378807e-12       0.000000000000e+00 
   94       3.370471663421e-10       8.945959174259e-14      -2.544512155359e-12       0.000000000000e+00 
   95       3.410284980540e-10       9.137920027638e-14      -2.628464332679e-12       0.000000000000e+00 
   96       3.450396304306e-10       9.328624375040e-14      -2.712716041196e-12       0.000000000000e+00 
   97       3.490804949985e-10       9.517895772746e-14      -2.797211009977e-12       0.000000000000e+00 
   98       3.531508480957e-10       9.705556004323e-14      -2.881892607680e-12       0.000000000000e+00 
   99       3.572502634882e-10       9.891425144815e-14      -2.966703883521e-12       0.000000000000e+00 
  100       3.613781249882e-10       1.007532162494e-13      -3.051587608233e-12       0.000000000000e+00 
  101       3.655336190710e-10       1.025706229528e-13      -3.136486315025e-12       0.000000000000e+00 
  102       3.697157274925e-10       1.043646249048e-13      -3.221342340541e-12       0.000000000000e+00 
  103       3.739232199071e-10       1.061333609344e-13      -3.306097865825e-12       0.000000000000e+00 
  104       3.781549175975e-10       1.078749909629e-13      -3.390693244594e-12       0.000000000000e+00 
  105       3.824105411415e-10       1.095878069303e-13      -3.475061642653e-12       0.000000000000e+00 
  106       3.866899640226e-10       1.112701381199e-13      -3.559133747336e-12       0.000000000000e+00 
  107       3.909929473924e-10       1.129203185424e-13      -3.642839437396e-12       0.000000000000e+00 
  108       3.953191356670e-10       1.145366879620e-13      -3.726107805150e-12       0.000000000000e+00 
