# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.490428240042e-10       6.339325880602e-15       4.482196428020e-13       0.000000000000e+00 
    3       1.406179246556e-10       1.002476205602e-14       5.476875097055e-13       0.000000000000e+00 
    4       1.323926762291e-10       1.088119420557e-14       5.521807368300e-13       0.000000000000e+00 
    5       1.259881399019e-10       9.283680317812e-15       5.049645101648e-13       0.000000000000e+00 
    6       1.213639545646e-10       6.567749126091e-15       4.345794185927e-13       0.000000000000e+00 
    7       1.182026763452e-10       4.013166284933e-15       3.596768167884e-13       0.000000000000e+00 
    8       1.161161225180e-10       2.285950005409e-15       2.910706339645e-13       0.000000000000e+00 
    9       1.149086026933e-10       1.424398192582e-15       2.345153049812e-13       0.000000000000e+00 
   10       1.143938632165e-10       1.119517737215e-15       1.923523891433e-13       0.000000000000e+00 
   11       1.143413886015e-10       1.025941938457e-15       1.647351110076e-13       0.000000000000e+00 
   12       1.147036484815e-10       9.403118055919e-16       1.501601422269e-13       0.000000000000e+00 
   13       1.153652517955e-10       8.203293166889e-16       1.459122768863e-13       0.000000000000e+00 
   14       1.162570906996e-10       7.099199415083e-16       1.489356044370e-13       0.000000000000e+00 
   15       1.173578332567e-10       6.556409217165e-16       1.563724463167e-13       0.000000000000e+00 
   16       1.185831460004e-10       6.658956546797e-16       1.658388029969e-13       0.000000000000e+00 
   17       1.199945617181e-10       7.168487031223e-16       1.755780844875e-13       0.000000000000e+00 
   18       1.214932222211e-10       7.776954361904e-16       1.845114346090e-13       0.000000000000e+00 
   19       1.230788625974e-10       8.417808431242e-16       1.923470607961e-13       0.000000000000e+00 
   20       1.247452506373e-10       9.121446892276e-16       1.990641652871e-13       0.000000000000e+00 
   21       1.264918853420e-10       1.002984063079e-15       2.050055848895e-13       0.000000000000e+00 
   22       1.282895518572e-10       1.131545831653e-15       2.107005232611e-13       0.000000000000e+00 
   23       1.301482476021e-10       1.299327417616e-15       2.165688046041e-13       0.000000000000e+00 
   24       1.320660530373e-10       1.501312377926e-15       2.229678287689e-13       0.000000000000e+00 
   25       1.340322713490e-10       1.732855438837e-15       2.299405150359e-13       0.000000000000e+00 
   26       1.360207172494e-10       1.989292440973e-15       2.373532183201e-13       0.000000000000e+00 
   27       1.380409143172e-10       2.271038133065e-15       2.448980159898e-13       0.000000000000e+00 
   28       1.401024671205e-10       2.579590394545e-15       2.521536744997e-13       0.000000000000e+00 
   29       1.422115292731e-10       2.914040778967e-15       2.587418887082e-13       0.000000000000e+00 
   30       1.443592297939e-10       3.272199698265e-15       2.642265295922e-13       0.000000000000e+00 
   31       1.465263791376e-10       3.652016343343e-15       2.681613943699e-13       0.000000000000e+00 
   32       1.487197375022e-10       4.055000432684e-15       2.704144556928e-13       0.000000000000e+00 
   33       1.509467289885e-10       4.484126106180e-15       2.709657435790e-13       0.000000000000e+00 
   34       1.532067276124e-10       4.942657848151e-15       2.698423602814e-13       0.000000000000e+00 
   35       1.554978057522e-10       5.432970298568e-15       2.671744091886e-13       0.000000000000e+00 
   36       1.578104444196e-10       5.957355892679e-15       2.631650735727e-13       0.000000000000e+00 
