# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.490558682365e-10       6.349281367486e-15       4.484948740188e-13       0.000000000000e+00 
    3       1.406132972192e-10       1.005866035694e-14       5.489191211925e-13       0.000000000000e+00 
    4       1.323767896530e-10       1.094188392425e-14       5.540288738306e-13       0.000000000000e+00 
    5       1.259599521839e-10       9.367732964018e-15       5.073693318749e-13       0.000000000000e+00 
    6       1.213215395006e-10       6.661903831000e-15       4.374000122271e-13       0.000000000000e+00 
    7       1.181457313022e-10       4.100292328097e-15       3.627648239967e-13       0.000000000000e+00 
    8       1.160438808665e-10       2.351682533057e-15       2.942666203992e-13       0.000000000000e+00 
    9       1.148222935425e-10       1.462253948475e-15       2.376400799508e-13       0.000000000000e+00 
   10       1.142940620287e-10       1.132176593309e-15       1.952828677936e-13       0.000000000000e+00 
   11       1.142290256611e-10       1.022480377752e-15       1.673729040378e-13       0.000000000000e+00 
   12       1.145800724158e-10       9.313621913800e-16       1.523706607669e-13       0.000000000000e+00 
   13       1.152310487413e-10       8.136610691529e-16       1.476522327307e-13       0.000000000000e+00 
   14       1.161132431388e-10       7.082892094738e-16       1.502553453141e-13       0.000000000000e+00 
   15       1.172054008395e-10       6.575357615640e-16       1.573262059817e-13       0.000000000000e+00 
   16       1.184231654506e-10       6.680034126381e-16       1.665076234480e-13       0.000000000000e+00 
   17       1.198275327183e-10       7.165130889207e-16       1.760331035435e-13       0.000000000000e+00 
   18       1.213202498743e-10       7.744388623322e-16       1.848220225162e-13       0.000000000000e+00 
   19       1.229007009031e-10       8.364469550756e-16       1.926029260702e-13       0.000000000000e+00 
   20       1.245619062491e-10       9.064587401415e-16       1.993652619757e-13       0.000000000000e+00 
   21       1.263036281475e-10       9.982125445340e-16       2.053938422215e-13       0.000000000000e+00 
   22       1.280972014569e-10       1.127928349877e-15       2.111391109937e-13       0.000000000000e+00 
   23       1.299523332681e-10       1.296509335825e-15       2.170312187069e-13       0.000000000000e+00 
   24       1.318666241767e-10       1.498532837832e-15       2.234613560495e-13       0.000000000000e+00 
   25       1.338296517214e-10       1.729515657820e-15       2.304494001651e-13       0.000000000000e+00 
   26       1.358156724155e-10       1.985149067921e-15       2.378244868549e-13       0.000000000000e+00 
   27       1.378339107319e-10       2.265951349995e-15       2.452850027623e-13       0.000000000000e+00 
   28       1.398934767765e-10       2.573458635102e-15       2.524312239951e-13       0.000000000000e+00 
   29       1.420004849260e-10       2.906815473765e-15       2.588979227883e-13       0.000000000000e+00 
   30       1.441462052563e-10       3.263901210437e-15       2.642618946979e-13       0.000000000000e+00 
   31       1.463115943556e-10       3.642747902584e-15       2.680915444343e-13       0.000000000000e+00 
   32       1.485033414305e-10       4.044951899821e-15       2.702652116535e-13       0.000000000000e+00 
   33       1.507287230065e-10       4.473585731572e-15       2.707729209626e-13       0.000000000000e+00 
   34       1.529869783313e-10       4.931980512133e-15       2.696481936864e-13       0.000000000000e+00 
   35       1.552761710023e-10       5.422382488139e-15       2.670073568058e-13       0.000000000000e+00 
   36       1.575868287145e-10       5.946862421967e-15       2.630299195991e-13       0.000000000000e+00 
   37       1.599060523917e-10       6.507328502084e-15       2.579023191658e-13       0.000000000000e+00 
   38       1.622414664505e-10       7.104317058968e-15       2.516474918779e-13       0.000000000000e+00 
   39       1.646040405926e-10       7.737788673805e-15       2.442406843971e-13       0.000000000000e+00 
   40       1.670010821508e-10       8.407428378795e-15       2.356544812521e-13       0.000000000000e+00 
   41       1.694356561516e-10       9.112856566414e-15       2.258408894671e-13       0.000000000000e+00 
   42       1.719057412650e-10       9.854388476834e-15       2.146717389924e-13       0.000000000000e+00 
   43       1.744040129254e-10       1.063249101213e-14       2.019780679158e-13       0.000000000000e+00 
   44       1.769174662904e-10       1.144757221594e-14       1.875642297917e-13       0.000000000000e+00 
   45       1.794327724374e-10       1.230000069154e-14       1.712516491964e-13       0.000000000000e+00 
   46       1.819553753104e-10       1.319017689506e-14       1.530296299824e-13       0.000000000000e+00 
   47       1.844952963721e-10       1.411847874103e-14       1.329467868728e-13       0.000000000000e+00 
   48       1.870616638987e-10       1.508524014590e-14       1.110704498115e-13       0.000000000000e+00 
   49       1.896625740035e-10       1.609074970031e-14       8.748760721994e-14       0.000000000000e+00 
   50       1.923037950367e-10       1.713522157634e-14       6.228458924050e-14       0.000000000000e+00 
   51       1.949847886212e-10       1.821870201978e-14       3.547742774874e-14       0.000000000000e+00 
   52       1.977013683412e-10       1.934113518114e-14       7.064223830913e-15       0.000000000000e+00 
   53       2.004465731504e-10       2.050238609055e-14      -2.295530019454e-14       0.000000000000e+00 
   54       2.032104739654e-10       2.170223802335e-14      -5.457985799138e-14       0.000000000000e+00 
   55       2.059835402509e-10       2.294042205005e-14      -8.781182206631e-14       0.000000000000e+00 
   56       2.087681622231e-10       2.421672031730e-14      -1.226742806559e-13       0.000000000000e+00 
   57       2.115696522428e-10       2.553088380989e-14      -1.591983183521e-13       0.000000000000e+00 
   58       2.143928820908e-10       2.688260106411e-14      -1.974184745497e-13       0.000000000000e+00 
   59       2.172422282628e-10       2.827149678731e-14      -2.373730019196e-13       0.000000000000e+00 
   60       2.201215172641e-10       2.969713047759e-14      -2.791041248823e-13       0.000000000000e+00 
   61       2.230338146743e-10       3.115901775975e-14      -3.226480314909e-13       0.000000000000e+00 
   62       2.259808607757e-10       3.265670311266e-14      -3.680016392564e-13       0.000000000000e+00 
   63       2.289634105934e-10       3.418970109112e-14      -4.151487942715e-13       0.000000000000e+00 
   64       2.319813204657e-10       3.575747440332e-14      -4.640698135919e-13       0.000000000000e+00 
   65       2.350334883809e-10       3.735943325130e-14      -5.147414179581e-13       0.000000000000e+00 
   66       2.381177943157e-10       3.899493467127e-14      -5.671366645179e-13       0.000000000000e+00 
   67       2.412310405717e-10       4.066328187398e-14      -6.212248795487e-13       0.000000000000e+00 
   68       2.443701145165e-10       4.236368112259e-14      -6.769728778346e-13       0.000000000000e+00 
   69       2.475358837549e-10       4.409510369401e-14      -7.343490580976e-13       0.000000000000e+00 
   70       2.507299866672e-10       4.585639463382e-14      -7.933200203608e-13       0.000000000000e+00 
   71       2.539536519511e-10       4.764631102968e-14      -8.538493189623e-13       0.000000000000e+00 
   72       2.572076702220e-10       4.946352026572e-14      -9.158974281845e-13       0.000000000000e+00 
   73       2.604923656140e-10       5.130659827693e-14      -9.794217078827e-13       0.000000000000e+00 
   74       2.638075673811e-10       5.317402780353e-14      -1.044376369114e-12       0.000000000000e+00 
   75       2.671525814983e-10       5.506419664535e-14      -1.110712439768e-12       0.000000000000e+00 
   76       2.705266877092e-10       5.697548208026e-14      -1.178383537557e-12       0.000000000000e+00 
   77       2.739307980898e-10       5.890652575038e-14      -1.247364480353e-12       0.000000000000e+00 
   78       2.773660507416e-10       6.085600596418e-14      -1.317636022858e-12       0.000000000000e+00 
   79       2.808332938370e-10       6.282255600023e-14      -1.389179433647e-12       0.000000000000e+00 
   80       2.843330679948e-10       6.480476412847e-14      -1.461976579889e-12       0.000000000000e+00 
   81       2.878655886556e-10       6.680117363147e-14      -1.536010012052e-12       0.000000000000e+00 
   82       2.914307284582e-10       6.881028282563e-14      -1.611263048624e-12       0.000000000000e+00 
   83       2.950279996145e-10       7.083054508246e-14      -1.687719860822e-12       0.000000000000e+00 
   84       2.986568558258e-10       7.286036605255e-14      -1.765357571092e-12       0.000000000000e+00 
   85       3.023176941431e-10       7.489809476213e-14      -1.844120857995e-12       0.000000000000e+00 
   86       3.060109876531e-10       7.694203107264e-14      -1.923943277091e-12       0.000000000000e+00 
   87       3.097369686314e-10       7.899042832127e-14      -2.004754824063e-12       0.000000000000e+00 
   88       3.134956162889e-10       8.104149329530e-14      -2.086481885211e-12       0.000000000000e+00 
   89       3.172866445179e-10       8.309338620624e-14      -2.169047187938e-12       0.000000000000e+00 
   90       3.211094896384e-10       8.514422066412e-14      -2.252369751248e-12       0.000000000000e+00 
   91       3.249632981437e-10       8.719206365168e-14      -2.336364836234e-12       0.000000000000e+00 
   92       3.288469144470e-10       8.923493549864e-14      -2.420943896568e-12       0.000000000000e+00 
   93       3.327592343264e-10       9.127085808795e-14      -2.506021188717e-12       0.000000000000e+00 
   94       3.367003526837e-10       9.329800782418e-14      -2.591534847351e-12       0.000000000000e+00 
   95       3.406705665561e-10       9.531458573101e-14      -2.677428902886e-12       0.000000000000e+00 
   96       3.446700176603e-10       9.731877189688e-14      -2.763646945547e-12       0.000000000000e+00 
   97       3.486986851592e-10       9.930872611125e-14      -2.850132167272e-12       0.000000000000e+00 
   98       3.527563784275e-10       1.012825885009e-13      -2.936827403623e-12       0.000000000000e+00 
   99       3.568427298178e-10       1.032384801664e-13      -3.023675175695e-12       0.000000000000e+00 
  100       3.609571874268e-10       1.051745038182e-13      -3.110617732020e-12       0.000000000000e+00 
  101       3.650990078610e-10       1.070887444128e-13      -3.197597090482e-12       0.000000000000e+00 
  102       3.692672490029e-10       1.089792697897e-13      -3.284555080221e-12       0.000000000000e+00 
  103       3.734607627769e-10       1.108441313068e-13      -3.371433383541e-12       0.000000000000e+00 
  104       3.776784420330e-10       1.126814016072e-13      -3.458171722611e-12       0.000000000000e+00 
  105       3.819200147599e-10       1.144892923560e-13      -3.544702050315e-12       0.000000000000e+00 
  106       3.861853441720e-10       1.162660536680e-13      -3.630953649142e-12       0.000000000000e+00 
