# Matter power spectrum P(k) at redshift z=0
# for k=1.04383e-05 to 0.627318 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043826635766e-05       5.124848071171e+01 
       2.332538248788e-05       1.112961440334e+02 
       3.625781742455e-05       1.703113977108e+02 
       4.927040025248e-05       2.289222421560e+02 
       6.239853628504e-05       2.874871685810e+02 
       7.567852306446e-05       3.462756419411e+02 
       8.914787647046e-05       4.055186065580e+02 
       1.028456712784e-04       4.654292058069e+02 
       1.168129005416e-04       5.262133996016e+02 
       1.310928582060e-04       5.880764133170e+02 
       1.457315493712e-04       6.512272161183e+02 
       1.607781325519e-04       7.158820219672e+02 
       1.762853981142e-04       7.822672781321e+02 
       1.923102866877e-04       8.506223950423e+02 
       2.089144506936e-04       9.212023860479e+02 
       2.261648610423e-04       9.942804480091e+02 
       2.441344593780e-04       1.070150582409e+03 
       2.629028537588e-04       1.149130213477e+03 
       2.825570520836e-04       1.231562826476e+03 
       3.031922225811e-04       1.317820563519e+03 
       3.249124638837e-04       1.408306685308e+03 
       3.478315582048e-04       1.503457793175e+03 
       3.720736695568e-04       1.603745648210e+03 
       3.977739345196e-04       1.709678321909e+03 
       4.250788758347e-04       1.821800416340e+03 
       4.541465495953e-04       1.940691955050e+03 
       4.851463163912e-04       2.066965545354e+03 
       5.182581080520e-04       2.201261246189e+03 
       5.536710487342e-04       2.344238709934e+03 
       5.915812879671e-04       2.496566025469e+03 
       6.321889213202e-04       2.658904949822e+03 
       6.756939195844e-04       2.831892356150e+03 
       7.222910661720e-04       3.016118142809e+03 
       7.721640165465e-04       3.212100236653e+03 
       8.254787359881e-04       3.420258098798e+03 
       8.823767244580e-04       3.640886466780e+03 
       9.429685695593e-04       3.874131721863e+03 
       1.007328443562e-03       4.119973401544e+03 
       1.075490144573e-03       4.378213225644e+03 
       1.147445158325e-03       4.648473231765e+03 
       1.223142996274e-03       4.930203995932e+03 
       1.302493787635e-03       5.222702090072e+03 
       1.385372826561e-03       5.525115028339e+03 
       1.471626560237e-03       5.836508482437e+03 
       1.561079389470e-03       6.155905402490e+03 
       1.653540650575e-03       6.482273554350e+03 
       1.748811237442e-03       6.814574627323e+03 
       1.846689469289e-03       7.151788413270e+03 
       1.946975973152e-03       7.492932298127e+03 
       2.049477498705e-03       7.837075858383e+03 
       2.154009698096e-03       8.183350266256e+03 
       2.260398979049e-03       8.530954662292e+03 
       2.368483578899e-03       8.879157981684e+03 
       2.478114018541e-03       9.227298695157e+03 
       2.589153087641e-03       9.574782284136e+03 
       2.701475494144e-03       9.921080263274e+03 
       2.814967288325e-03       1.026572086749e+04 
       2.929525148447e-03       1.060828943292e+04 
       3.045055594041e-03       1.094842097956e+04 
       3.161474174812e-03       1.128579655353e+04 
       3.278704668686e-03       1.162013782645e+04 
       3.396678311188e-03       1.195120458464e+04 
       3.515333069873e-03       1.227878594337e+04 
       3.634612971301e-03       1.260270239035e+04 
       3.754467483713e-03       1.292280080669e+04 
       3.874850955544e-03       1.323894793962e+04 
       3.995722107984e-03       1.355103437295e+04 
       4.117043578592e-03       1.385896528754e+04 
       4.238781512290e-03       1.416266537693e+04 
       4.360905195809e-03       1.446207017704e+04 
       4.483386731560e-03       1.475712929471e+04 
       4.606200747055e-03       1.504780482786e+04 
       4.729324136206e-03       1.533405738454e+04 
       4.852735829083e-03       1.561584903364e+04 
       4.976416587002e-03       1.589323468940e+04 
       5.100348820134e-03       1.616614637158e+04 
       5.224516425061e-03       1.643456848855e+04 
       5.348904640034e-03       1.669866531582e+04 
       5.473499915887e-03       1.695829048150e+04 
       5.598289800815e-03       1.721292554742e+04 
       5.723262837437e-03       1.746427134854e+04 
       5.848408470727e-03       1.771013861823e+04 
       5.973716965577e-03       1.795215711904e+04 
       6.099179332902e-03       1.818982204914e+04 
       6.224787263324e-03       1.842310458168e+04 
       6.350533067580e-03       1.865220285839e+04 
       6.476409622916e-03       1.887679798420e+04 
       6.602410324794e-03       1.909750311441e+04 
