# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.627838 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098369324044e+01 
       2.335248717943e-05       1.106600909923e+02 
       3.629404804878e-05       1.693115617444e+02 
       4.931595413093e-05       2.275619807167e+02 
       6.245368649600e-05       2.857677564992e+02 
       7.574362183131e-05       3.441968758689e+02 
       8.922335971974e-05       4.030790833077e+02 
       1.029320644413e-04       4.626264608490e+02 
       1.169108256940e-04       5.230439810739e+02 
       1.312030426627e-04       5.845359154390e+02 
       1.458548358721e-04       6.473102990540e+02 
       1.609154911963e-04       7.115824033549e+02 
       1.764379402190e-04       7.775777187161e+02 
       1.924792807578e-04       8.455346732696e+02 
       2.091013407007e-04       9.157072664682e+02 
       2.263712872062e-04       9.883676374840e+02 
       2.443622816242e-04       1.063808680548e+03 
       2.631541779860e-04       1.142346660609e+03 
       2.828342592987e-04       1.224323842203e+03 
       3.034980008401e-04       1.310111067296e+03 
       3.252498427937e-04       1.400110226785e+03 
       3.482039454844e-04       1.494756470119e+03 
       3.724848887878e-04       1.594520006772e+03 
       3.982282627476e-04       1.699907245194e+03 
       4.255810790636e-04       1.811461012220e+03 
       4.547019134793e-04       1.929759430494e+03 
       4.857606685816e-04       2.055413045890e+03 
       5.189378277672e-04       2.189059697308e+03 
       5.544230583198e-04       2.331356625674e+03 
       5.924130206836e-04       2.482969303096e+03 
       6.331082596084e-04       2.644556647486e+03 
       6.767090989189e-04       2.816752480542e+03 
       7.234105416188e-04       3.000143410802e+03 
       7.733962924502e-04       3.195243924235e+03 
       8.268321637401e-04       3.402469949117e+03 
       8.838592785474e-04       3.622112700487e+03 
       9.445876171677e-04       3.854315206114e+03 
       1.009090526630e-03       4.099054080846e+03 
       1.077400794340e-03       4.356128716989e+03 
       1.149508760081e-03       4.625159689802e+03 
       1.225362716573e-03       4.905597128410e+03 
       1.304871568485e-03       5.196738359577e+03 
       1.387909442800e-03       5.497732630306e+03 
       1.474321729261e-03       5.807649248664e+03 
       1.563931917910e-03       6.125515307213e+03 
       1.656548601055e-03       6.450303730298e+03 
       1.751972099723e-03       6.780982038459e+03 
       1.850000323226e-03       7.116536459140e+03 
       1.950433634720e-03       7.455991000845e+03 
       2.053078644259e-03       7.798421788654e+03 
       2.157750965228e-03       8.142966468594e+03 
       2.264277044769e-03       8.488830474304e+03 
       2.372495217357e-03       8.835288537842e+03 
       2.482256141274e-03       9.181684775539e+03 
       2.593422769508e-03       9.527429692840e+03 
       2.705869988005e-03       9.871997798103e+03 
       2.819484031154e-03       1.021492256432e+04 
       2.934161761180e-03       1.055579370037e+04 
       3.049809876996e-03       1.089424846932e+04 
       3.166344100155e-03       1.122996988756e+04 
       3.283688371043e-03       1.156268372081e+04 
       3.401774077250e-03       1.189214867416e+04 
       3.520539327576e-03       1.221815890016e+04 
       3.639928279024e-03       1.254053485751e+04 
       3.759890519764e-03       1.285912414451e+04 
       3.880380508127e-03       1.317379512188e+04 
       4.001357065764e-03       1.348443911991e+04 
       4.122782921899e-03       1.379096308462e+04 
       4.244624305001e-03       1.409328873601e+04 
       4.366850577885e-03       1.439135471620e+04 
       4.489433912224e-03       1.468511095994e+04 
       4.612348998581e-03       1.497451978857e+04 
       4.735572788269e-03       1.525954316541e+04 
       4.859084263636e-03       1.554013603677e+04 
       4.982864233640e-03       1.581636227585e+04 
       5.106895151888e-03       1.608815007026e+04 
       5.231160954605e-03       1.635547373974e+04 
       5.355646916249e-03       1.661849795532e+04 
       5.480339520751e-03       1.687713168436e+04 
       5.605226346597e-03       1.713134524673e+04 
       5.730295964154e-03       1.738117063732e+04 
       5.855537843842e-03       1.762620890822e+04 
       5.980942273911e-03       1.786734321884e+04 
       6.106500286750e-03       1.810416295208e+04 
       6.232203592735e-03       1.833657909657e+04 
       6.358044520805e-03       1.856497547639e+04 
       6.484015964988e-03       1.878903654740e+04 
       6.610111336249e-03       1.900870884050e+04 
       6.736324519045e-03       1.922452144529e+04 
       6.862649832113e-03       1.943616898241e+04 
       6.989081993010e-03       1.964399517810e+04 
       7.115616086008e-03       1.984762518819e+04 
       7.242247533016e-03       2.004688267918e+04 
       7.368972067176e-03       2.024320496152e+04 
       7.495785708885e-03       2.043488748687e+04 
       7.622684743990e-03       2.062336679106e+04 
       7.749665703928e-03       2.080735684286e+04 
       7.876725347621e-03       2.098680330360e+04 
       8.003860644963e-03       2.116309317173e+04 
       8.131068761721e-03       2.133573297154e+04 
       8.258347045740e-03       2.150472157576e+04 
       8.385693014303e-03       2.167086679975e+04 
       8.513104342557e-03       2.183259094578e+04 
       8.640578852889e-03       2.199075149719e+04 
       8.768114505175e-03       2.214537906812e+04 
       8.895709387819e-03       2.229642965894e+04 
       9.023361709511e-03       2.244412199631e+04 
       9.151069791632e-03       2.258825245057e+04 
       9.278832061266e-03       2.272909429048e+04 
       9.406647044749e-03       2.286660262726e+04 
       9.534513361718e-03       2.300076735477e+04 
       9.662429719610e-03       2.313165049236e+04 
       9.790394908586e-03       2.325931961765e+04 
       9.918407796829e-03       2.338376396992e+04 
       1.004646732619e-02       2.350410196726e+04 
       1.017457250817e-02       2.362318398264e+04 
       1.030272242018e-02       2.373825810946e+04 
       1.043091620208e-02       2.385025467903e+04 
       1.055915305295e-02       2.395925248115e+04 
       1.068743222815e-02       2.406524936678e+04 
       1.081575303654e-02       2.416741683149e+04 
       1.094411483786e-02       2.426837682386e+04 
       1.107251704041e-02       2.436560726737e+04 
       1.120095909880e-02       2.446004005270e+04 
       1.132944051188e-02       2.455158608804e+04 
       1.145796082083e-02       2.464026706037e+04 
       1.158651960735e-02       2.472625017572e+04 
       1.171511649205e-02       2.480951457649e+04 
       1.184375113286e-02       2.488917069505e+04 
       1.197242322360e-02       2.496797108293e+04 
       1.210113249267e-02       2.504228532310e+04 
       1.222987870176e-02       2.511590539138e+04 
       1.235866164475e-02       2.518601834054e+04 
       1.248748114660e-02       2.525359308343e+04 
       1.261633706236e-02       2.531864049916e+04 
       1.274522927625e-02       2.538123350829e+04 
       1.287415770080e-02       2.544139015071e+04 
       1.300312227605e-02       2.549916888920e+04 
       1.313212296884e-02       2.555452223132e+04 
       1.326115977208e-02       2.560663297491e+04 
       1.339023270418e-02       2.565794854938e+04 
       1.351934180844e-02       2.570630915867e+04 
       1.364848715251e-02       2.575243029984e+04 
       1.377766882793e-02       2.579611140738e+04 
       1.390688694967e-02       2.583767618813e+04 
       1.403614165574e-02       2.587715942294e+04 
       1.416543310678e-02       2.591422753429e+04 
       1.429476148579e-02       2.594941831426e+04 
       1.442412699778e-02       2.598225663326e+04 
       1.455352986952e-02       2.601309545001e+04 
       1.468297034932e-02       2.604120935165e+04 
       1.481244870681e-02       2.606876277076e+04 
       1.494196523274e-02       2.609344066838e+04 
