# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.793737518276e-10       6.372148256084e-15       4.240304884107e-13       0.000000000000e+00       7.261984587559e-09       5.892974025618e-10      -2.276857047776e-12 
    3       1.675445667470e-10       9.944785404193e-15       5.188063680186e-13       0.000000000000e+00       4.450785440710e-09       4.302414032083e-10      -1.924008757659e-12 
    4       1.560302723244e-10       1.063382633480e-14       5.238409186998e-13       0.000000000000e+00       3.085630277266e-09       3.343689618556e-10      -1.453748374955e-12 
    5       1.467909455087e-10       8.917009334073e-15       4.805263534508e-13       0.000000000000e+00       2.299782334584e-09       2.702933598134e-10      -9.994551417824e-13 
    6       1.397748585141e-10       6.184308505006e-15       4.158496875370e-13       0.000000000000e+00       1.795821234654e-09       2.244273269557e-10      -6.070611684621e-13 
    7       1.345361194900e-10       3.701564115823e-15       3.472174010303e-13       0.000000000000e+00       1.449121013107e-09       1.900271444263e-10      -2.966153359033e-13 
    8       1.307395594869e-10       2.081391030225e-15       2.841419810502e-13       0.000000000000e+00       1.198399424657e-09       1.634019464815e-10      -7.317161775468e-14 
    9       1.280862921420e-10       1.309800575314e-15       2.315451625369e-13       0.000000000000e+00       1.010034671048e-09       1.423426384402e-10       6.822113678386e-14 
   10       1.262674860532e-10       1.052877454894e-15       1.915942729079e-13       0.000000000000e+00       8.641475764932e-10       1.253583587676e-10       1.395028131506e-13 
   11       1.251635273361e-10       9.699135280861e-16       1.643307303388e-13       0.000000000000e+00       7.322948775769e-10       1.116989950446e-10       1.565863004935e-13 
   12       1.245602328517e-10       8.769496893318e-16       1.483836660814e-13       0.000000000000e+00       6.406527961375e-10       9.980059685658e-11       1.373122209912e-13 
   13       1.243849378005e-10       7.484646587647e-16       1.416279310346e-13       0.000000000000e+00       5.653931500469e-10       8.999510565428e-11       9.829033979476e-14 
   14       1.245616413347e-10       6.339256735825e-16       1.416441885043e-13       0.000000000000e+00       5.027476370292e-10       8.150994588706e-11       5.263483850831e-14 
   15       1.250408024976e-10       5.761702623522e-16       1.461529460537e-13       0.000000000000e+00       4.499827637994e-10       7.428059789853e-11       1.095746359243e-14 
   16       1.257048590739e-10       5.778677143697e-16       1.532048201847e-13       0.000000000000e+00       4.050891797132e-10       6.799889216460e-11      -2.045463907170e-14 
   17       1.265735333668e-10       6.134022543801e-16       1.612809639748e-13       0.000000000000e+00       3.665491627287e-10       6.247230843134e-11      -3.898831892445e-14 
   18       1.275855845850e-10       6.553362542394e-16       1.694733600375e-13       0.000000000000e+00       3.330728583389e-10       5.760303668590e-11      -4.509401050088e-14 
   19       1.287507260427e-10       7.006446288700e-16       1.774055917898e-13       0.000000000000e+00       3.041325141759e-10       5.332574303039e-11      -4.105552473916e-14 
   20       1.300441696918e-10       7.554907431027e-16       1.848113587737e-13       0.000000000000e+00       2.786216504417e-10       4.947360988979e-11      -3.077373162036e-14 
   21       1.314536868666e-10       8.322685318756e-16       1.918206952586e-13       0.000000000000e+00       2.561446545043e-10       4.599469745891e-11      -1.770470877054e-14 
   22       1.329364692431e-10       9.443233873224e-16       1.987171325024e-13       0.000000000000e+00       2.361678626256e-10       4.282642228622e-11      -5.547881078585e-15 
   23       1.345060764014e-10       1.090428551568e-15       2.056991693684e-13       0.000000000000e+00       2.184206663727e-10       3.996866001363e-11       3.613533612866e-15 
   24       1.361659316441e-10       1.263588664023e-15       2.129189319932e-13       0.000000000000e+00       2.024972045172e-10       3.740411627118e-11       8.367640817978e-15 
   25       1.379028837433e-10       1.460288901937e-15       2.203865028867e-13       0.000000000000e+00       1.882132247053e-10       3.509695751121e-11       8.728390336960e-15 
   26       1.396833202699e-10       1.678122501416e-15       2.280119759039e-13       0.000000000000e+00       1.753130957635e-10       3.298543290154e-11       5.492972690598e-15 
   27       1.415125772335e-10       1.918411558995e-15       2.355617529586e-13       0.000000000000e+00       1.636444187166e-10       3.105448198280e-11       4.979501282535e-17 
   28       1.433963317296e-10       2.183203103283e-15       2.427218083295e-13       0.000000000000e+00       1.530084512047e-10       2.928946773036e-11      -5.894603634531e-15 
   29       1.453427084295e-10       2.471934148721e-15       2.492366701766e-13       0.000000000000e+00       1.433525809185e-10       2.768223643246e-11      -1.133294196930e-14 
   30       1.473457789099e-10       2.782741921073e-15       2.548258199022e-13       0.000000000000e+00       1.345749141365e-10       2.620982367078e-11      -1.532331295665e-14 
   31       1.493874043368e-10       3.113945420613e-15       2.591966233427e-13       0.000000000000e+00       1.264985657644e-10       2.483657533033e-11      -1.699097688963e-14 
   32       1.514708119530e-10       3.467410293128e-15       2.622174894776e-13       0.000000000000e+00       1.190830023036e-10       2.355562850325e-11      -1.647649467308e-14 
   33       1.535966033201e-10       3.846490792468e-15       2.638089222113e-13       0.000000000000e+00       1.122768200259e-10       2.236044095678e-11      -1.436102535444e-14 
   34       1.557573229864e-10       4.254665491422e-15       2.639230835863e-13       0.000000000000e+00       1.059860281240e-10       2.123852074425e-11      -1.136640099716e-14 
   35       1.579540524630e-10       4.693642194943e-15       2.626252566787e-13       0.000000000000e+00       1.001792724346e-10       2.019104746204e-11      -8.103699092733e-15 
   36       1.601836597864e-10       5.164606360305e-15       2.600451881825e-13       0.000000000000e+00       9.481084121996e-11       1.921881275995e-11      -5.256637210944e-15 
   37       1.624383760778e-10       5.668609089719e-15       2.563180307839e-13       0.000000000000e+00       8.981188835094e-11       1.831804124131e-11      -3.485632919274e-15 
   38       1.647228728050e-10       6.206199521708e-15       2.514446311208e-13       0.000000000000e+00       8.517007039736e-11       1.748591606739e-11      -2.837385671058e-15 
   39       1.670415537802e-10       6.777654268009e-15       2.453865096922e-13       0.000000000000e+00       8.087117931278e-11       1.671597888721e-11      -3.140794468955e-15 
   40       1.693932126792e-10       7.383059208631e-15       2.381028044033e-13       0.000000000000e+00       7.687490187102e-11       1.599603371915e-11      -4.158967110607e-15 
   41       1.717734858103e-10       8.022471349126e-15       2.295381657777e-13       0.000000000000e+00       7.312899069209e-11       1.531209674334e-11      -5.604478356860e-15 
   42       1.741846196815e-10       8.696498910364e-15       2.195825925170e-13       0.000000000000e+00       6.962280966779e-11       1.466294975970e-11      -7.202545776429e-15 
   43       1.766278685881e-10       9.405888268525e-15       2.080978985085e-13       0.000000000000e+00       6.634737953744e-11       1.404951380439e-11      -8.640418571728e-15 
   44       1.791003279956e-10       1.015136451714e-14       1.949271640673e-13       0.000000000000e+00       6.327930065059e-11       1.347065297753e-11      -9.545824354249e-15 
   45       1.815972881678e-10       1.093357385161e-14       1.799298168996e-13       0.000000000000e+00       6.038919560256e-11       1.292401865303e-11      -9.594809169560e-15 
   46       1.841210605589e-10       1.175289241415e-14       1.631021362869e-13       0.000000000000e+00       5.767275726749e-11       1.240929988854e-11      -8.881590751176e-15 
   47       1.866741214249e-10       1.260955869007e-14       1.444907864066e-13       0.000000000000e+00       5.512702649382e-11       1.192564388282e-11      -7.653583167786e-15 
   48       1.892563652940e-10       1.350372111353e-14       1.241605888425e-13       0.000000000000e+00       5.274102302173e-11       1.147060424189e-11      -6.212785899653e-15 
   49       1.918648700199e-10       1.443543385689e-14       1.021954412678e-13       0.000000000000e+00       5.049514781414e-11       1.104002290621e-11      -4.918840066169e-15 
   50       1.944958347335e-10       1.540472431026e-14       7.867443488574e-14       0.000000000000e+00       4.836713020782e-11       1.062928808863e-11      -4.104064820753e-15 
   51       1.971515589204e-10       1.641182688212e-14       5.359043298876e-14       0.000000000000e+00       4.635315904728e-11       1.023778455784e-11      -3.784287734025e-15 
   52       1.998349516146e-10       1.745700538285e-14       2.691097946890e-14       0.000000000000e+00       4.445145425074e-11       9.865447237861e-12      -3.874805463618e-15 
   53       2.025473945251e-10       1.854048606418e-14      -1.399074118461e-15       0.000000000000e+00       4.265594049852e-11       9.511438720889e-12      -4.270483223480e-15 
   54       2.052886093425e-10       1.966245678217e-14      -3.137781698919e-14       0.000000000000e+00       4.095595755552e-11       9.174095947865e-12      -4.844668901655e-15 
   55       2.080576294838e-10       2.082302835787e-14      -6.306200953449e-14       0.000000000000e+00       3.933954053618e-11       8.851510452793e-12      -5.472501975356e-15 
   56       2.108563020035e-10       2.202210933606e-14      -9.647246332766e-14       0.000000000000e+00       3.780487858309e-11       8.543560043976e-12      -6.110108688908e-15 
   57       2.136864232095e-10       2.325949864790e-14      -1.316254643499e-13       0.000000000000e+00       3.635119537725e-11       8.250288442846e-12      -6.733178650187e-15 
   58       2.165486227339e-10       2.453491842778e-14      -1.685370436456e-13       0.000000000000e+00       3.497528128454e-11       7.971287928237e-12      -7.314161242503e-15 
   59       2.194422738693e-10       2.584801170362e-14      -2.072230497300e-13       0.000000000000e+00       3.367134276688e-11       7.705670701261e-12      -7.822130189030e-15 
   60       2.223654039060e-10       2.719834008699e-14      -2.476992209965e-13       0.000000000000e+00       3.243085179337e-11       7.452040250172e-12      -8.222648117237e-15 
   61       2.253158088607e-10       2.858543837300e-14      -2.899783994893e-13       0.000000000000e+00       3.124492984448e-11       7.208912801075e-12      -8.487974112768e-15 
   62       2.282948928962e-10       3.000899788647e-14      -3.340612776000e-13       0.000000000000e+00       3.011246591334e-11       6.976156995574e-12      -8.630670167528e-15 
   63       2.313045355136e-10       3.146872037830e-14      -3.799436934037e-13       0.000000000000e+00       2.903356174707e-11       6.753828021332e-12      -8.677332056301e-15 
   64       2.343459127776e-10       3.296426425317e-14      -4.276192880827e-13       0.000000000000e+00       2.800708926746e-11       6.541731971779e-12      -8.659100907009e-15 
   65       2.374194458679e-10       3.449524406546e-14      -4.770794876315e-13       0.000000000000e+00       2.703062040292e-11       6.339411491861e-12      -8.611855940377e-15 
   66       2.405247496298e-10       3.606123001516e-14      -5.283134845622e-13       0.000000000000e+00       2.610035692028e-11       6.146131423799e-12      -8.576407209596e-15 
   67       2.436605811262e-10       3.766174744372e-14      -5.813082196094e-13       0.000000000000e+00       2.521106025675e-11       5.960864452843e-12      -8.598688339985e-15 
   68       2.468255870249e-10       3.929620452648e-14      -6.360458687276e-13       0.000000000000e+00       2.435745945206e-11       5.782573688861e-12      -8.718154966059e-15 
   69       2.500208366209e-10       4.096365946304e-14      -6.924957536829e-13       0.000000000000e+00       2.353896306952e-11       5.611158986873e-12      -8.929819433391e-15 
   70       2.532477120043e-10       4.266300499116e-14      -7.506207519372e-13       0.000000000000e+00       2.275578036797e-11       5.446677470404e-12      -9.214834228463e-15 
   71       2.565071241753e-10       4.439303371788e-14      -8.103795657010e-13       0.000000000000e+00       2.200749589335e-11       5.289056922766e-12      -9.551498676073e-15 
   72       2.597994820255e-10       4.615243577898e-14      -8.717266398349e-13       0.000000000000e+00       2.129303711367e-11       5.138089027079e-12      -9.915150034435e-15 
   73       2.631246613204e-10       4.793979649851e-14      -9.346120797515e-13       0.000000000000e+00       2.061064205401e-11       4.993422606291e-12      -1.027805459027e-14 
   74       2.664819736804e-10       4.975359404825e-14      -9.989815693177e-13       0.000000000000e+00       1.995782693142e-11       4.854556863202e-12      -1.060929875391e-14 
   75       2.698701355636e-10       5.159219710719e-14      -1.064776288756e-12       0.000000000000e+00       1.933135378990e-11       4.720834620481e-12      -1.087468015437e-14 
   76       2.732879046151e-10       5.345398552517e-14      -1.131941606006e-12       0.000000000000e+00       1.872803885766e-11       4.591612356376e-12      -1.104455977733e-14 
   77       2.767361912526e-10       5.533774289019e-14      -1.200455162047e-12       0.000000000000e+00       1.814741934288e-11       4.466821051930e-12      -1.111931219776e-14 
   78       2.802162775741e-10       5.724233162803e-14      -1.270303781712e-12       0.000000000000e+00       1.758951639962e-11       4.346495810605e-12      -1.110834002368e-14 
   79       2.837291670968e-10       5.916657652762e-14      -1.341475250794e-12       0.000000000000e+00       1.705402266680e-11       4.230605051726e-12      -1.102257803597e-14 
   80       2.872755674244e-10       6.110926492291e-14      -1.413958413863e-12       0.000000000000e+00       1.654028714283e-11       4.119047375838e-12      -1.087454753104e-14 
   81       2.908558729132e-10       6.306914687463e-14      -1.487743272072e-12       0.000000000000e+00       1.604730006028e-11       4.011648430071e-12      -1.067841066359e-14 
   82       2.944701473395e-10       6.504493535207e-14      -1.562821080965e-12       0.000000000000e+00       1.557367776051e-11       3.908157773495e-12      -1.045002478934e-14 
