# Matter power spectrum P(k) at redshift z=0
# for k=1.01037e-05 to 0.606367 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010368080516e-05       5.812623963689e+01 
       2.257321538200e-05       1.262065013950e+02 
       3.508381927235e-05       1.930981137754e+02 
       4.766703270551e-05       2.595000024172e+02 
       6.035488480552e-05       3.258054649413e+02 
       7.318016129783e-05       3.923062374912e+02 
       8.617668025695e-05       4.592496127754e+02 
       9.937957934958e-05       5.268616310846e+02 
       1.128256180546e-04       5.953587480292e+02 
       1.265534983725e-04       6.649549176866e+02 
       1.406042075496e-04       7.358662639409e+02 
       1.550213863180e-04       8.083147249407e+02 
       1.698517260414e-04       8.825309873216e+02 
       1.851453979300e-04       9.587571128535e+02 
       2.009565170580e-04       1.037249028695e+03 
       2.173436432202e-04       1.118278841602e+03 
       2.343703195657e-04       1.202137178222e+03 
       2.521056483199e-04       1.289135468110e+03 
       2.706249005562e-04       1.379608170332e+03 
       2.900101536887e-04       1.473914908005e+03 
       3.103509458647e-04       1.572442449665e+03 
       3.317449304485e-04       1.675606437596e+03 
       3.542985060144e-04       1.783852691257e+03 
       3.781273874522e-04       1.897657936728e+03 
       4.033570718071e-04       2.017529682146e+03 
       4.301231384525e-04       2.144004964078e+03 
       4.585713076803e-04       2.277647642488e+03 
       4.888571660127e-04       2.419043804351e+03 
       5.211454526372e-04       2.568794944985e+03 
       5.556087926552e-04       2.727508493105e+03 
       5.924257638840e-04       2.895785434959e+03 
       6.317782003364e-04       3.074204911940e+03 
       6.738476730280e-04       3.263305941062e+03 
       7.188111519332e-04       3.463566735922e+03 
       7.668359426485e-04       3.675382637379e+03 
       8.180741023330e-04       3.899043985754e+03 
       8.726566582324e-04       4.134715668512e+03 
       9.306880566185e-04       4.382420329203e+03 
       9.922413332371e-04       4.642027133074e+03 
       1.057354493118e-03       4.913247484390e+03 
       1.126028503575e-03       5.195638518610e+03 
       1.198227143969e-03       5.488614335956e+03 
       1.273878745106e-03       5.791463926846e+03 
       1.352879631356e-03       6.103343203964e+03 
       1.435098894542e-03       6.423376276256e+03 
       1.520384014643e-03       6.750636483136e+03 
       1.608566812682e-03       7.084159153081e+03 
       1.699469268221e-03       7.422978103912e+03 
       1.792908834689e-03       7.766145541669e+03 
       1.888703010791e-03       8.112747733623e+03 
       1.986673049347e-03       8.461918081185e+03 
       2.086646787797e-03       8.812844941762e+03 
       2.188460658965e-03       9.164778209893e+03 
       2.291960985850e-03       9.517030269523e+03 
       2.397004684559e-03       9.868977233104e+03 
       2.503459501636e-03       1.022005660046e+04 
       2.611203902445e-03       1.056976525302e+04 
       2.720126711424e-03       1.091765496847e+04 
       2.830126587067e-03       1.126332945195e+04 
       2.941111396786e-03       1.160643864479e+04 
       3.052997541042e-03       1.194667593333e+04 
       3.165709262737e-03       1.228377354348e+04 
       3.279177967095e-03       1.261750023350e+04 
