# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.467357184382e-10       6.592552883557e-15       4.577630859463e-13       0.000000000000e+00       8.644385510361e-09       4.782255738368e-10      -2.365606893049e-12 
    3       1.384159410696e-10       1.070468758348e-14       5.713781456658e-13       0.000000000000e+00       5.360922568623e-09       3.407982399313e-10      -2.026230270681e-12 
    4       1.302327124291e-10       1.208201370680e-14       5.912280517509e-13       0.000000000000e+00       3.732839685915e-09       2.591286998105e-10      -1.567830008678e-12 
    5       1.237626423563e-10       1.096675078908e-14       5.590234260579e-13       0.000000000000e+00       2.785681163384e-09       2.054311707391e-10      -1.122682031068e-12 
    6       1.189935639150e-10       8.566558940740e-15       5.022037678367e-13       0.000000000000e+00       2.174605937948e-09       1.676394073883e-10      -7.354239516503e-13 
    7       1.155953247200e-10       6.092865483660e-15       4.387956713018e-13       0.000000000000e+00       1.754141284510e-09       1.397708899314e-10      -4.260170028390e-13 
    8       1.132846892234e-10       4.221810112902e-15       3.790407946105e-13       0.000000000000e+00       1.450246633709e-09       1.185205980370e-10      -1.996981207777e-13 
    9       1.118165165823e-10       3.068175115469e-15       3.284151547828e-13       0.000000000000e+00       1.221706680925e-09       1.019207917649e-10      -5.201723611682e-14 
   10       1.109709757528e-10       2.429278425587e-15       2.893955333318e-13       0.000000000000e+00       1.044630921055e-09       8.869920274531e-11       2.820115175014e-14 
   11       1.106445445535e-10       2.054056722946e-15       2.622156173930e-13       0.000000000000e+00       8.799066348432e-10       7.823955174328e-11       5.515949753994e-14 
   12       1.106962160372e-10       1.793119192158e-15       2.455117085871e-13       0.000000000000e+00       7.689319424616e-10       6.919058689041e-11       4.708811968166e-14 
   13       1.110518762757e-10       1.612231433637e-15       2.370997049510e-13       0.000000000000e+00       6.778227750629e-10       6.184429802448e-11       1.974702042926e-14 
   14       1.116295247057e-10       1.531366382021e-15       2.345617155259e-13       0.000000000000e+00       6.020120534969e-10       5.545678865313e-11      -1.531390366104e-14 
   15       1.124279649689e-10       1.562659078635e-15       2.356110567272e-13       0.000000000000e+00       5.381928821857e-10       5.011510484045e-11      -4.722121439134e-14 
   16       1.133781904947e-10       1.686607799294e-15       2.383022002349e-13       0.000000000000e+00       4.839265882912e-10       4.554280051528e-11      -7.022651074963e-14 
   17       1.144660837829e-10       1.864437952874e-15       2.412273420866e-13       0.000000000000e+00       4.373710043609e-10       4.156444961879e-11      -8.193540228149e-14 
   18       1.156497514687e-10       2.060526864955e-15       2.436631615368e-13       0.000000000000e+00       3.969593335984e-10       3.806104166623e-11      -8.283127564128e-14 
