# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.466276814278e-10       6.300716086879e-15       4.427470132608e-13       0.000000000000e+00       8.554652921910e-09       4.776707277486e-10      -2.327208265996e-12 
    3       1.383821907916e-10       9.909142222178e-15       5.402719455047e-13       0.000000000000e+00       5.353419276294e-09       3.408580564243e-10      -1.971970332279e-12 
    4       1.303499406381e-10       1.067933564864e-14       5.431597298459e-13       0.000000000000e+00       3.735253327245e-09       2.590299665175e-10      -1.501953253871e-12 
    5       1.240926241580e-10       9.033142033350e-15       4.949710522798e-13       0.000000000000e+00       2.791465836850e-09       2.051916698678e-10      -1.047446634249e-12 
    6       1.195812791152e-10       6.321348272979e-15       4.240359235911e-13       0.000000000000e+00       2.181172560835e-09       1.673083778142e-10      -6.531288140000e-13 
    7       1.165056780800e-10       3.811346864252e-15       3.489158036633e-13       0.000000000000e+00       1.758662468417e-09       1.394021696072e-10      -3.392260826235e-13 
    8       1.145263354499e-10       2.141041516408e-15       2.802555186736e-13       0.000000000000e+00       1.452472839367e-09       1.181388809481e-10      -1.111801144259e-13 
    9       1.133996028680e-10       1.324637083979e-15       2.237384005902e-13       0.000000000000e+00       1.223043142645e-09       1.014982987590e-10       3.542742453342e-14 
   10       1.129108121081e-10       1.043874537687e-15       1.817957687225e-13       0.000000000000e+00       1.046122473148e-09       8.822803264308e-11       1.119435500281e-13 
   11       1.129277675513e-10       9.580577560765e-16       1.545055189640e-13       0.000000000000e+00       8.801470534798e-10       7.774494626686e-11       1.335503092542e-13 
   12       1.133564320409e-10       8.741141298605e-16       1.401299745266e-13       0.000000000000e+00       7.691464257390e-10       6.878658621007e-11       1.182494440942e-13 
   13       1.140732674324e-10       7.571170129870e-16       1.359301233464e-13       0.000000000000e+00       6.780176390024e-10       6.144793233374e-11       8.203692501789e-14 
   14       1.149913938925e-10       6.518238196027e-16       1.388968217397e-13       0.000000000000e+00       6.021873850914e-10       5.507108545541e-11       3.819053421827e-14 
   15       1.161183887161e-10       6.010152124294e-16       1.461716884787e-13       0.000000000000e+00       5.383524220741e-10       4.972976180429e-11      -2.527530657545e-15 
   16       1.174376357688e-10       6.089046507097e-16       1.553567395971e-13       0.000000000000e+00       4.840727951200e-10       4.519904121477e-11      -3.364927988080e-14 
   17       1.188440037024e-10       6.501315396364e-16       1.647674680947e-13       0.000000000000e+00       4.375054518763e-10       4.127970966563e-11      -5.226245657788e-14 
   18       1.203609331647e-10       6.957851750023e-16       1.734151181446e-13       0.000000000000e+00       3.970826141448e-10       3.777628409602e-11      -5.857198711823e-14 
   19       1.219984835048e-10       7.417577308402e-16       1.810463121694e-13       0.000000000000e+00       3.621663156624e-10       3.467091966381e-11      -5.463646250878e-14 
   20       1.236922795404e-10       7.937795445166e-16       1.876703125144e-13       0.000000000000e+00       3.314103864940e-10       3.193261664294e-11      -4.410656793693e-14 
   21       1.254560236216e-10       8.659609746092e-16       1.936630078571e-13       0.000000000000e+00       3.043327605396e-10       2.952255376910e-11      -3.037014679332e-14 
   22       1.272942029648e-10       9.743904263005e-16       1.995800828514e-13       0.000000000000e+00       2.802871757725e-10       2.735855523033e-11      -1.715255867767e-14 
   23       1.291937450959e-10       1.119684256642e-15       2.058114141581e-13       0.000000000000e+00       2.589436739343e-10       2.540403059164e-11      -6.691473460685e-15 
   24       1.311190842208e-10       1.296147225919e-15       2.126657509639e-13       0.000000000000e+00       2.398093004974e-10       2.361903102386e-11      -6.121197040533e-16 
   25       1.330917898766e-10       1.499541100191e-15       2.201784245422e-13       0.000000000000e+00       2.226595743654e-10       2.201418663782e-11       9.696570336210e-16 
   26       1.351310087661e-10       1.725957252346e-15       2.282100026148e-13       0.000000000000e+00       2.071847576772e-10       2.059532783153e-11      -1.249497901936e-15 
   27       1.372174526047e-10       1.975951619793e-15       2.363898954259e-13       0.000000000000e+00       1.931995432612e-10       1.932800158310e-11      -5.923769189561e-15 
